,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,PORTLAND_ACTION,SACRAMENTO_SCORE,PORTLAND_SCORE
0,1,11:38.0,T. Lawson misses 2-pt jump shot from 18 ft,,0,0
1,1,11:37.0,,Defensive rebound by M. Plumlee,0,0
2,1,11:29.0,,M. Leonard misses 2-pt layup from 1 ft,0,0
3,1,11:29.0,Defensive rebound by R. Gay,,0,0
4,1,11:21.0,Turnover by K. Koufos (bad pass),,0,0
5,1,11:04.0,,D. Lillard makes 2-pt jump shot from 18 ft,0,2
6,1,10:42.0,D. Cousins makes 3-pt jump shot from 26 ft (assist by T. Lawson),,3,2
7,1,10:23.0,,M. Harkless makes 3-pt jump shot from 25 ft (assist by M. Plumlee),3,5
8,1,10:10.0,A. Afflalo misses 3-pt jump shot from 24 ft,,3,5
9,1,10:08.0,,Defensive rebound by M. Harkless,3,5
10,1,9:57.0,,M. Harkless misses 3-pt jump shot from 25 ft,3,5
11,1,9:56.0,Defensive rebound by D. Cousins,,3,5
12,1,9:54.0,Shooting foul by M. Harkless (drawn by R. Gay),,3,5
13,1,9:54.0,R. Gay makes free throw 1 of 2,,4,5
14,1,9:54.0,R. Gay makes free throw 2 of 2,,5,5
15,1,9:37.0,,M. Leonard makes 2-pt jump shot from 21 ft (assist by M. Plumlee),5,7
16,1,9:20.0,D. Cousins misses 2-pt layup from 2 ft,,5,7
17,1,9:20.0,,Defensive rebound by M. Leonard,5,7
18,1,9:14.0,,C. McCollum makes 2-pt layup from 1 ft (assist by M. Harkless),5,9
19,1,9:02.0,K. Koufos misses 2-pt jump shot from 4 ft (block by M. Plumlee),,5,9
20,1,9:01.0,,Defensive rebound by M. Leonard,5,9
21,1,8:55.0,,C. McCollum makes 2-pt layup from 2 ft (assist by D. Lillard),5,11
22,1,8:50.0,Sacramento full timeout,,5,11
23,1,8:40.0,A. Afflalo makes 2-pt jump shot from 16 ft,,7,11
24,1,8:22.0,,M. Harkless misses 2-pt dunk at rim,7,11
25,1,8:22.0,Defensive rebound by D. Cousins,,7,11
26,1,8:13.0,K. Koufos makes 2-pt hook shot at rim (assist by T. Lawson),,9,11
27,1,7:56.0,,Personal take foul by K. Koufos (drawn by M. Harkless),9,11
28,1,7:53.0,,C. McCollum makes 3-pt jump shot from 22 ft (assist by D. Lillard),9,14
29,1,7:40.0,Turnover by R. Gay (bad pass; steal by M. Plumlee),,9,14
30,1,7:37.0,,Shooting foul by K. Koufos (drawn by M. Plumlee),9,14
31,1,7:37.0,,M. Plumlee makes free throw 1 of 2,9,15
32,1,7:37.0,M. Barnes enters the game for K. Koufos,,9,15
33,1,7:37.0,,M. Plumlee makes free throw 2 of 2,9,16
34,1,7:16.0,R. Gay makes 2-pt layup from 3 ft,,11,16
35,1,7:03.0,,D. Lillard makes 2-pt layup from 1 ft (assist by M. Plumlee),11,18
36,1,6:51.0,D. Cousins makes 2-pt hook shot from 5 ft,,13,18
37,1,6:42.0,,Shooting foul by A. Afflalo (drawn by D. Lillard),13,18
38,1,6:42.0,,D. Lillard makes free throw 1 of 2,13,19
39,1,6:42.0,,D. Lillard makes free throw 2 of 2,13,20
40,1,6:28.0,R. Gay misses 2-pt jump shot from 16 ft,,13,20
41,1,6:26.0,Offensive rebound by D. Cousins,,13,20
42,1,6:26.0,D. Cousins misses 2-pt layup at rim,,13,20
43,1,6:26.0,Offensive rebound by D. Cousins,,13,20
44,1,6:20.0,M. Barnes misses 3-pt jump shot from 25 ft,,13,20
45,1,6:19.0,Offensive rebound by A. Afflalo,,13,20
46,1,6:12.0,A. Afflalo misses 2-pt layup from 2 ft (block by C. McCollum),,13,20
47,1,6:11.0,,Defensive rebound by C. McCollum,13,20
48,1,6:05.0,,M. Plumlee makes 2-pt dunk at rim (assist by C. McCollum),13,22
49,1,6:00.0,Turnover by M. Barnes (bad pass; steal by C. McCollum),,13,22
50,1,5:54.0,,D. Lillard makes 3-pt jump shot from 25 ft (assist by C. McCollum),13,25
51,1,5:46.0,Sacramento full timeout,,13,25
52,1,5:46.0,,Technical foul by M. Leonard,13,25
53,1,5:46.0,Technical foul by D. Cousins,,13,25
54,1,5:37.0,,Violation by M. Plumlee (def goaltending),13,25
55,1,5:37.0,D. Cousins makes 2-pt layup at rim,,15,25
56,1,5:37.0,Shooting foul by M. Harkless (drawn by D. Cousins),,15,25
57,1,5:37.0,D. Cousins misses free throw 1 of 1,,15,25
58,1,5:34.0,,Defensive rebound by M. Harkless,15,25
59,1,5:28.0,,D. Lillard misses 3-pt jump shot from 25 ft,15,25
60,1,5:26.0,Defensive rebound by D. Cousins,,15,25
61,1,5:07.0,A. Afflalo makes 2-pt jump shot from 9 ft,,17,25
62,1,4:55.0,,E. Turner enters the game for C. McCollum,17,25
63,1,4:55.0,,A. Crabbe enters the game for M. Plumlee,17,25
64,1,4:55.0,D. Collison enters the game for T. Lawson,,17,25
65,1,4:53.0,,Turnover by E. Turner (bad pass; steal by D. Cousins),17,25
66,1,4:51.0,Personal foul by M. Leonard (drawn by D. Cousins),,17,25
67,1,4:51.0,D. Cousins makes free throw 1 of 2,,18,25
68,1,4:51.0,O. Casspi enters the game for R. Gay,,18,25
69,1,4:51.0,,J. Layman enters the game for M. Harkless,18,25
70,1,4:51.0,D. Cousins makes free throw 2 of 2,,19,25
71,1,4:38.0,,E. Turner misses 2-pt jump shot from 16 ft,19,25
72,1,4:37.0,Defensive rebound by A. Afflalo,,19,25
73,1,4:26.0,Shooting foul by E. Turner (drawn by D. Cousins),,19,25
74,1,4:26.0,,Portland full timeout,19,25
75,1,4:26.0,D. Cousins makes free throw 1 of 2,,20,25
76,1,4:26.0,D. Cousins makes free throw 2 of 2,,21,25
77,1,4:01.0,,M. Leonard makes 2-pt jump shot from 15 ft,21,27
78,1,3:40.0,O. Casspi makes 2-pt layup from 2 ft (assist by D. Cousins),,23,27
79,1,3:29.0,,E. Turner misses 2-pt jump shot from 16 ft,23,27
80,1,3:28.0,Defensive rebound by D. Cousins,,23,27
81,1,3:15.0,A. Afflalo makes 2-pt jump shot from 21 ft (assist by O. Casspi),,25,27
82,1,2:58.0,,A. Crabbe makes 2-pt jump shot from 16 ft (assist by E. Turner),25,29
83,1,2:38.0,,Violation by D. Lillard (kicked ball),25,29
84,1,2:29.0,D. Collison misses 3-pt jump shot from 26 ft,,25,29
85,1,2:29.0,,Defensive rebound by M. Leonard,25,29
86,1,2:21.0,,D. Lillard misses 3-pt jump shot from 26 ft,25,29
87,1,2:20.0,Defensive rebound by D. Collison,,25,29
88,1,2:00.0,D. Cousins misses 3-pt jump shot from 25 ft,,25,29
89,1,1:59.0,,Defensive rebound by J. Layman,25,29
90,1,1:50.0,,Shooting foul by D. Collison (drawn by D. Lillard),25,29
91,1,1:50.0,,D. Lillard makes free throw 1 of 2,25,30
92,1,1:50.0,,D. Lillard misses free throw 2 of 2,25,30
93,1,1:49.0,Defensive rebound by M. Barnes,,25,30
94,1,1:39.0,Shooting foul by M. Leonard (drawn by M. Barnes),,25,30
95,1,1:39.0,M. Barnes makes free throw 1 of 2,,26,30
96,1,1:39.0,,C. McCollum enters the game for D. Lillard,26,30
97,1,1:39.0,M. Barnes makes free throw 2 of 2,,27,30
98,1,1:21.0,,M. Leonard makes 2-pt dunk at rim (assist by A. Crabbe),27,32
99,1,1:02.0,D. Cousins makes 2-pt layup from 1 ft,,29,32
100,1,0:48.0,,J. Layman makes 2-pt jump shot from 7 ft (assist by C. McCollum),29,34
101,1,0:33.0,,Offensive charge foul by D. Cousins (drawn by M. Leonard),29,34
102,1,0:33.0,Turnover by D. Cousins (offensive foul),,29,34
103,1,0:33.0,B. McLemore enters the game for A. Afflalo,,29,34
104,1,0:24.0,W. Cauley-Stein enters the game for D. Cousins,,29,34
105,1,0:20.0,,Turnover by J. Layman (step out of bounds),29,34
106,1,0:05.0,O. Casspi misses 3-pt jump shot from 27 ft,,29,34
107,1,0:05.0,,Defensive rebound by Team,29,34
