,QUARTER,TIME_REMAINING,HOUSTON_ACTION,CHICAGO_ACTION,HOUSTON_SCORE,CHICAGO_SCORE
0,1,11:41.0,P. Beverley misses 3-pt jump shot from 25 ft,,0,0
1,1,11:40.0,,Defensive rebound by B. Portis,0,0
2,1,11:14.0,,J. Butler misses 2-pt jump shot from 18 ft,0,0
3,1,11:12.0,,Offensive rebound by J. Grant,0,0
4,1,11:10.0,,D. Wade makes 3-pt jump shot from 26 ft (assist by J. Grant),0,3
5,1,10:55.0,Turnover by J. Harden (bad pass; steal by D. Wade),,0,3
6,1,10:45.0,,J. Grant misses 3-pt jump shot from 23 ft,0,3
7,1,10:44.0,Defensive rebound by T. Ariza,,0,3
8,1,10:30.0,R. Anderson misses 3-pt jump shot from 24 ft,,0,3
9,1,10:29.0,,Defensive rebound by D. Wade,0,3
10,1,10:26.0,,Turnover by D. Wade (bad pass; steal by J. Harden),0,3
11,1,10:16.0,T. Ariza misses 3-pt jump shot from 26 ft,,0,3
12,1,10:16.0,Offensive rebound by R. Anderson,,0,3
13,1,10:16.0,R. Anderson makes 2-pt layup from 2 ft,,2,3
14,1,10:16.0,Shooting foul by B. Portis (drawn by R. Anderson),,2,3
15,1,10:16.0,R. Anderson makes free throw 1 of 1,,3,3
16,1,9:56.0,,R. Lopez makes 2-pt hook shot from 7 ft (assist by D. Wade),3,5
17,1,9:49.0,Shooting foul by J. Butler (drawn by J. Harden),,3,5
18,1,9:49.0,J. Harden makes free throw 1 of 3,,4,5
19,1,9:49.0,J. Harden makes free throw 2 of 3,,5,5
20,1,9:49.0,J. Harden misses free throw 3 of 3,,5,5
21,1,9:48.0,,Defensive rebound by R. Lopez,5,5
22,1,9:29.0,,D. Wade makes 2-pt dunk at rim (assist by J. Butler),5,7
23,1,9:14.0,C. Capela makes 2-pt dunk at rim (assist by J. Harden),,7,7
24,1,8:56.0,,J. Grant misses 3-pt jump shot from 25 ft,7,7
25,1,8:55.0,,Offensive rebound by J. Grant,7,7
26,1,8:52.0,,J. Butler makes 2-pt layup from 1 ft (assist by J. Grant),7,9
27,1,8:46.0,Turnover by J. Harden (bad pass),,7,9
28,1,8:46.0,,M. Carter-Williams enters the game for J. Grant,7,9
29,1,8:27.0,,M. Carter-Williams makes 2-pt layup from 2 ft (assist by J. Butler),7,11
30,1,8:17.0,Personal foul by B. Portis (drawn by J. Harden),,7,11
31,1,8:17.0,,J. Lauvergne enters the game for B. Portis,7,11
32,1,8:06.0,R. Anderson makes 3-pt jump shot from 27 ft (assist by J. Harden),,10,11
33,1,7:47.0,,D. Wade makes 2-pt jump shot from 19 ft (assist by M. Carter-Williams),10,13
34,1,7:40.0,Shooting foul by R. Lopez (drawn by T. Ariza),,10,13
35,1,7:40.0,T. Ariza misses free throw 1 of 2,,10,13
36,1,7:40.0,Offensive rebound by Team,,10,13
37,1,7:40.0,T. Ariza makes free throw 2 of 2,,11,13
38,1,7:28.0,,D. Wade makes 2-pt layup from 2 ft,11,15
39,1,7:28.0,,Shooting foul by P. Beverley (drawn by D. Wade),11,15
40,1,7:28.0,,D. Wade makes free throw 1 of 1,11,16
41,1,7:18.0,Turnover by J. Harden (bad pass),,11,16
42,1,7:04.0,,D. Wade makes 2-pt jump shot from 15 ft,11,18
43,1,6:48.0,R. Anderson misses 3-pt jump shot from 26 ft,,11,18
44,1,6:47.0,Offensive rebound by P. Beverley,,11,18
45,1,6:41.0,C. Capela misses 2-pt layup from 1 ft (block by R. Lopez),,11,18
46,1,6:39.0,Offensive rebound by R. Anderson,,11,18
47,1,6:38.0,R. Anderson misses 2-pt layup from 2 ft,,11,18
48,1,6:37.0,,Defensive rebound by J. Lauvergne,11,18
49,1,6:25.0,,Turnover by J. Lauvergne (lost ball; steal by J. Harden),11,18
50,1,6:16.0,P. Beverley misses 3-pt jump shot from 25 ft,,11,18
51,1,6:16.0,,Defensive rebound by J. Lauvergne,11,18
52,1,5:59.0,,M. Carter-Williams misses 3-pt jump shot from 24 ft,11,18
53,1,5:58.0,,Offensive rebound by Team,11,18
54,1,5:58.0,,Chicago full timeout,11,18
55,1,5:58.0,N. Hilário enters the game for C. Capela,,11,18
56,1,5:58.0,E. Gordon enters the game for P. Beverley,,11,18
57,1,5:41.0,,R. Lopez makes 2-pt jump shot from 12 ft (assist by J. Lauvergne),11,20
58,1,5:19.0,R. Anderson makes 3-pt jump shot from 28 ft (assist by J. Harden),,14,20
59,1,4:56.0,,Turnover by J. Lauvergne (bad pass),14,20
60,1,4:56.0,,D. Valentine enters the game for D. Wade,14,20
61,1,4:42.0,R. Anderson misses 3-pt jump shot from 27 ft,,14,20
62,1,4:41.0,,Defensive rebound by D. Valentine,14,20
63,1,4:32.0,,D. Valentine makes 3-pt jump shot from 23 ft (assist by M. Carter-Williams),14,23
64,1,4:23.0,J. Harden makes 2-pt jump shot from 10 ft,,16,23
65,1,3:52.0,,R. Lopez misses 2-pt jump shot from 9 ft,16,23
66,1,3:51.0,Defensive rebound by J. Harden,,16,23
67,1,3:47.0,L. Williams enters the game for R. Anderson,,16,23
68,1,3:39.0,L. Williams makes 2-pt jump shot from 18 ft,,18,23
69,1,3:21.0,,M. Carter-Williams makes 2-pt layup from 2 ft (assist by J. Lauvergne),18,25
70,1,3:08.0,L. Williams misses 3-pt jump shot from 26 ft,,18,25
71,1,3:08.0,,Defensive rebound by J. Lauvergne,18,25
72,1,3:01.0,,Shooting foul by E. Gordon (drawn by J. Butler),18,25
73,1,3:01.0,,J. Butler makes free throw 1 of 2,18,26
74,1,3:01.0,Houston full timeout,,18,26
75,1,3:01.0,,J. Butler makes free throw 2 of 2,18,27
76,1,2:45.0,E. Gordon misses 3-pt jump shot from 27 ft,,18,27
77,1,2:43.0,,Defensive rebound by J. Lauvergne,18,27
78,1,2:28.0,,J. Butler misses 2-pt layup from 2 ft,18,27
79,1,2:28.0,Defensive rebound by N. Hilário,,18,27
80,1,2:28.0,Personal foul by R. Lopez (drawn by T. Ariza),,18,27
81,1,2:28.0,T. Ariza makes free throw 1 of 2,,19,27
82,1,2:28.0,,C. Felício enters the game for R. Lopez,19,27
83,1,2:28.0,T. Ariza makes free throw 2 of 2,,20,27
84,1,2:18.0,,Turnover by J. Lauvergne (bad pass; steal by N. Hilário),20,27
85,1,2:11.0,J. Harden misses 2-pt jump shot from 7 ft (block by C. Felício),,20,27
86,1,2:09.0,,Defensive rebound by J. Butler,20,27
87,1,1:55.0,,M. Carter-Williams misses 2-pt jump shot from 17 ft,20,27
88,1,1:54.0,,Offensive rebound by M. Carter-Williams,20,27
89,1,1:50.0,,J. Butler makes 2-pt layup from 2 ft (assist by M. Carter-Williams),20,29
90,1,1:40.0,E. Gordon misses 2-pt jump shot from 10 ft,,20,29
91,1,1:39.0,,Defensive rebound by D. Valentine,20,29
92,1,1:30.0,,C. Felício misses 2-pt hook shot from 6 ft,20,29
93,1,1:29.0,Defensive rebound by T. Ariza,,20,29
94,1,1:23.0,Turnover by J. Harden (lost ball; steal by M. Carter-Williams),,20,29
95,1,1:23.0,,Personal foul by N. Hilário (drawn by M. Carter-Williams),20,29
96,1,1:23.0,S. Dekker enters the game for T. Ariza,,20,29
97,1,1:06.0,,J. Lauvergne makes 2-pt layup from 2 ft,20,31
98,1,0:47.0,N. Hilário misses 2-pt layup from 2 ft (block by C. Felício),,20,31
99,1,0:45.0,,Defensive rebound by J. Lauvergne,20,31
100,1,0:42.0,,D. Valentine misses 2-pt layup from 2 ft,20,31
101,1,0:42.0,,Offensive rebound by J. Butler,20,31
102,1,0:42.0,,J. Butler makes 2-pt layup from 2 ft,20,33
103,1,0:29.0,E. Gordon makes 3-pt jump shot from 22 ft (assist by N. Hilário),,23,33
104,1,0:08.0,,Turnover by J. Butler (lost ball; steal by L. Williams),23,33
105,1,0:03.0,J. Harden misses 2-pt layup from 2 ft (block by C. Felício),,23,33
106,1,0:02.0,,Defensive rebound by Team,23,33
107,1,0:02.0,Houston full timeout,,23,33
108,1,0:02.0,P. Beverley enters the game for J. Harden,,23,33
109,1,0:02.0,,Violation by Team (jump ball),23,33
110,1,0:02.0,,Turnover by D. Valentine (back court),23,33
111,1,0:00.0,N. Hilário misses 3-pt jump shot from 39 ft,,23,33
112,1,0:00.0,Offensive rebound by Team,,23,33
113,2,11:44.0,,P. Zipser misses 3-pt jump shot from 22 ft,23,33
114,2,11:43.0,,Offensive rebound by J. Lauvergne,23,33
115,2,11:35.0,,J. Lauvergne misses 3-pt jump shot from 26 ft,23,33
116,2,11:34.0,Defensive rebound by C. Capela,,23,33
117,2,11:25.0,E. Gordon misses 2-pt jump shot from 11 ft,,23,33
118,2,11:24.0,,Defensive rebound by P. Zipser,23,33
119,2,11:13.0,,D. Valentine misses 3-pt jump shot from 24 ft,23,33
120,2,11:12.0,Defensive rebound by C. Capela,,23,33
