,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,NEW YORK_ACTION,SACRAMENTO_SCORE,NEW YORK_SCORE
0,1,11:41.0,,K. Porziņģis misses 2-pt jump shot from 11 ft,0,0
1,1,11:40.0,,Offensive rebound by J. Noah,0,0
2,1,11:39.0,,J. Noah misses 2-pt layup from 1 ft,0,0
3,1,11:38.0,Defensive rebound by K. Koufos,,0,0
4,1,11:26.0,Shooting foul by C. Anthony (drawn by R. Gay),,0,0
5,1,11:26.0,R. Gay makes free throw 1 of 2,,1,0
6,1,11:26.0,R. Gay makes free throw 2 of 2,,2,0
7,1,11:09.0,,J. Holiday makes 3-pt jump shot from 26 ft (assist by D. Rose),2,3
8,1,10:53.0,D. Cousins makes 2-pt jump shot from 20 ft (assist by D. Collison),,4,3
9,1,10:44.0,,J. Noah misses 2-pt layup from 2 ft,4,3
10,1,10:44.0,Defensive rebound by K. Koufos,,4,3
11,1,10:38.0,K. Koufos makes 2-pt dunk at rim (assist by D. Collison),,6,3
12,1,10:24.0,,K. Porziņģis misses 3-pt jump shot from 25 ft,6,3
13,1,10:23.0,,Offensive rebound by D. Rose,6,3
14,1,10:23.0,,D. Rose makes 2-pt layup from 2 ft,6,5
15,1,10:05.0,Personal foul by J. Holiday (drawn by D. Cousins),,6,5
16,1,9:53.0,D. Cousins misses 3-pt jump shot from 25 ft,,6,5
17,1,9:52.0,,Defensive rebound by J. Holiday,6,5
18,1,9:41.0,,K. Porziņģis misses 2-pt jump shot from 13 ft,6,5
19,1,9:39.0,Defensive rebound by D. Cousins,,6,5
20,1,9:32.0,D. Collison misses 2-pt layup from 1 ft,,6,5
21,1,9:31.0,,Defensive rebound by K. Porziņģis,6,5
22,1,9:30.0,,Turnover by K. Porziņģis (bad pass; steal by R. Gay),6,5
23,1,9:29.0,Turnover by R. Gay (bad pass),,6,5
24,1,9:11.0,,C. Anthony misses 2-pt layup from 1 ft (block by K. Koufos),6,5
25,1,9:09.0,Defensive rebound by R. Gay,,6,5
26,1,9:04.0,R. Gay misses 3-pt jump shot from 26 ft,,6,5
27,1,9:04.0,Offensive rebound by K. Koufos,,6,5
28,1,8:59.0,Personal foul by K. Porziņģis (drawn by D. Cousins),,6,5
29,1,8:59.0,,L. Thomas enters the game for C. Anthony,6,5
30,1,8:51.0,Personal foul by D. Rose (drawn by D. Collison),,6,5
31,1,8:44.0,Turnover by R. Gay (bad pass; steal by J. Noah),,6,5
32,1,8:39.0,,Turnover by L. Thomas (bad pass; steal by R. Gay),6,5
33,1,8:31.0,A. Afflalo misses 2-pt jump shot from 23 ft,,6,5
34,1,8:30.0,,Defensive rebound by J. Noah,6,5
35,1,8:20.0,,Turnover by K. Porziņģis (lost ball; steal by D. Cousins),6,5
36,1,8:15.0,D. Cousins makes 2-pt layup at rim (assist by R. Gay),,8,5
37,1,8:02.0,,D. Rose makes 2-pt jump shot from 14 ft (assist by K. Porziņģis),8,7
38,1,7:49.0,Personal foul by L. Thomas (drawn by D. Cousins),,8,7
39,1,7:49.0,D. Cousins makes free throw 1 of 2,,9,7
40,1,7:49.0,D. Cousins makes free throw 2 of 2,,10,7
41,1,7:32.0,,K. Porziņģis misses 2-pt jump shot from 15 ft (block by D. Cousins),10,7
42,1,7:31.0,Defensive rebound by K. Koufos,,10,7
43,1,7:16.0,A. Afflalo makes 3-pt jump shot from 24 ft (assist by D. Cousins),,13,7
44,1,7:06.0,,D. Rose makes 2-pt jump shot from 4 ft,13,9
45,1,6:50.0,R. Gay misses 2-pt jump shot from 7 ft,,13,9
46,1,6:48.0,Offensive rebound by K. Koufos,,13,9
47,1,6:48.0,K. Koufos misses 2-pt layup from 1 ft,,13,9
48,1,6:46.0,,Defensive rebound by K. Porziņģis,13,9
49,1,6:39.0,,L. Thomas misses 2-pt jump shot from 8 ft,13,9
50,1,6:38.0,Defensive rebound by A. Afflalo,,13,9
51,1,6:20.0,D. Cousins misses 2-pt jump shot from 19 ft,,13,9
52,1,6:19.0,,Defensive rebound by J. Holiday,13,9
53,1,6:13.0,,Shooting foul by R. Gay (drawn by L. Thomas),13,9
54,1,6:13.0,,L. Thomas makes free throw 1 of 2,13,10
55,1,6:13.0,,L. Thomas misses free throw 2 of 2,13,10
56,1,6:13.0,,K. O'Quinn enters the game for J. Noah,13,10
57,1,6:12.0,,Offensive rebound by K. O'Quinn,13,10
58,1,6:07.0,,J. Holiday misses 3-pt jump shot from 26 ft,13,10
59,1,6:06.0,Defensive rebound by Team,,13,10
60,1,6:06.0,,Loose ball foul by K. O'Quinn (drawn by D. Cousins),13,10
61,1,6:06.0,D. Cousins makes free throw 1 of 2,,14,10
62,1,6:06.0,D. Cousins makes free throw 2 of 2,,15,10
63,1,5:55.0,,J. Holiday misses 2-pt jump shot from 22 ft,15,10
64,1,5:54.0,,Offensive rebound by Team,15,10
65,1,5:54.0,Loose ball foul by K. Koufos (drawn by K. O'Quinn),,15,10
66,1,5:54.0,,New York full timeout,15,10
67,1,5:37.0,,K. O'Quinn misses 2-pt jump shot from 17 ft,15,10
68,1,5:36.0,Defensive rebound by K. Koufos,,15,10
69,1,5:20.0,,C. Anthony enters the game for K. Porziņģis,15,10
70,1,5:20.0,M. Barnes enters the game for K. Koufos,,15,10
71,1,5:19.0,Turnover by R. Gay (bad pass; steal by J. Holiday),,15,10
72,1,5:14.0,,Turnover by J. Holiday (bad pass; steal by R. Gay),15,10
73,1,4:58.0,D. Cousins misses 2-pt dunk at rim (block by K. O'Quinn),,15,10
74,1,4:57.0,,Defensive rebound by J. Holiday,15,10
75,1,4:49.0,,C. Anthony misses 3-pt jump shot from 25 ft,15,10
76,1,4:48.0,,Offensive rebound by D. Rose,15,10
77,1,4:31.0,,D. Rose makes 2-pt jump shot from 11 ft (assist by C. Anthony),15,12
78,1,4:21.0,D. Collison misses 3-pt jump shot from 24 ft,,15,12
79,1,4:20.0,,Defensive rebound by K. O'Quinn,15,12
80,1,4:06.0,,L. Thomas misses 2-pt jump shot from 22 ft,15,12
81,1,4:05.0,,Offensive rebound by J. Holiday,15,12
82,1,4:02.0,,L. Thomas makes 3-pt jump shot from 23 ft (assist by J. Holiday),15,15
83,1,3:49.0,Personal foul by K. O'Quinn (drawn by D. Cousins),,15,15
84,1,3:49.0,D. Cousins misses free throw 1 of 2,,15,15
85,1,3:49.0,Offensive rebound by Team,,15,15
86,1,3:49.0,T. Lawson enters the game for D. Collison,,15,15
87,1,3:49.0,O. Casspi enters the game for R. Gay,,15,15
88,1,3:49.0,D. Cousins makes free throw 2 of 2,,16,15
89,1,3:34.0,,K. O'Quinn misses 2-pt jump shot from 20 ft,16,15
90,1,3:33.0,Defensive rebound by O. Casspi,,16,15
91,1,3:23.0,M. Barnes misses 3-pt jump shot from 25 ft,,16,15
92,1,3:22.0,,Defensive rebound by K. O'Quinn,16,15
93,1,3:15.0,,L. Thomas misses 2-pt layup from 3 ft,16,15
94,1,3:14.0,Defensive rebound by A. Afflalo,,16,15
95,1,3:04.0,A. Afflalo misses 2-pt jump shot from 16 ft,,16,15
96,1,3:03.0,Offensive rebound by M. Barnes,,16,15
97,1,2:57.0,T. Lawson misses 3-pt jump shot from 25 ft,,16,15
98,1,2:56.0,,Defensive rebound by K. O'Quinn,16,15
99,1,2:53.0,,J. Holiday misses 2-pt layup from 3 ft,16,15
100,1,2:51.0,,Offensive rebound by J. Holiday,16,15
101,1,2:50.0,,J. Holiday makes 2-pt layup from 1 ft,16,17
102,1,2:36.0,A. Afflalo misses 2-pt jump shot from 12 ft,,16,17
103,1,2:35.0,,Defensive rebound by K. O'Quinn,16,17
104,1,2:24.0,,D. Rose misses 2-pt layup from 2 ft (block by D. Cousins),16,17
105,1,2:23.0,,Offensive rebound by Team,16,17
106,1,2:23.0,Sacramento full timeout,,16,17
107,1,2:09.0,,L. Thomas misses 2-pt hook shot from 6 ft,16,17
108,1,2:08.0,Defensive rebound by D. Cousins,,16,17
109,1,1:51.0,D. Cousins makes 2-pt layup from 3 ft,,18,17
110,1,1:33.0,,C. Anthony makes 2-pt jump shot from 18 ft (assist by D. Rose),18,19
111,1,1:18.0,Offensive foul by M. Barnes (drawn by L. Thomas),,18,19
112,1,1:18.0,Turnover by M. Barnes (offensive foul),,18,19
113,1,1:06.0,,L. Thomas makes 3-pt jump shot from 23 ft (assist by D. Rose),18,22
114,1,0:39.0,D. Cousins misses 2-pt jump shot from 21 ft,,18,22
115,1,0:38.0,,Defensive rebound by L. Thomas,18,22
116,1,0:31.0,,D. Rose makes 2-pt jump shot from 15 ft,18,24
117,1,0:23.0,D. Cousins misses 2-pt layup from 3 ft (block by K. O'Quinn),,18,24
118,1,0:22.0,,Defensive rebound by K. O'Quinn,18,24
