,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,OKLAHOMA CITY_ACTION,SAN ANTONIO_SCORE,OKLAHOMA CITY_SCORE
0,1,11:34.0,L. Aldridge misses 3-pt jump shot from 24 ft,,0,0
1,1,11:33.0,,Defensive rebound by A. Roberson,0,0
2,1,11:15.0,,D. Sabonis misses 3-pt jump shot from 25 ft,0,0
3,1,11:15.0,,Offensive rebound by R. Westbrook,0,0
4,1,11:12.0,,Turnover by R. Westbrook (bad pass; steal by D. Green),0,0
5,1,10:56.0,L. Aldridge misses 2-pt jump shot from 18 ft,,0,0
6,1,10:56.0,,Defensive rebound by R. Westbrook,0,0
7,1,10:53.0,,Turnover by R. Westbrook (bad pass),0,0
8,1,10:32.0,K. Leonard misses 2-pt jump shot from 11 ft,,0,0
9,1,10:31.0,Offensive rebound by L. Aldridge,,0,0
10,1,10:31.0,L. Aldridge misses 2-pt layup from 1 ft,,0,0
11,1,10:30.0,,Defensive rebound by D. Sabonis,0,0
12,1,10:17.0,,V. Oladipo misses 2-pt jump shot from 15 ft,0,0
13,1,10:16.0,Defensive rebound by L. Aldridge,,0,0
14,1,10:05.0,,Violation by S. Adams (kicked ball),0,0
15,1,10:03.0,Turnover by D. Green (traveling),,0,0
16,1,9:53.0,,R. Westbrook makes 2-pt jump shot from 14 ft,0,2
17,1,9:29.0,K. Leonard misses 2-pt jump shot from 15 ft (block by A. Roberson),,0,2
18,1,9:28.0,,Defensive rebound by A. Roberson,0,2
19,1,9:20.0,,Shooting foul by L. Aldridge (drawn by D. Sabonis),0,2
20,1,9:20.0,,D. Sabonis makes free throw 1 of 2,0,3
21,1,9:20.0,,D. Sabonis makes free throw 2 of 2,0,4
22,1,9:10.0,,Violation by A. Roberson (kicked ball),0,4
23,1,9:03.0,Shooting foul by D. Sabonis (drawn by L. Aldridge),,0,4
24,1,9:03.0,L. Aldridge misses free throw 1 of 2,,0,4
25,1,9:03.0,Offensive rebound by Team,,0,4
26,1,9:03.0,L. Aldridge makes free throw 2 of 2,,1,4
27,1,8:42.0,,S. Adams misses 2-pt hook shot from 7 ft,1,4
28,1,8:41.0,Defensive rebound by L. Aldridge,,1,4
29,1,8:32.0,L. Aldridge makes 2-pt jump shot from 21 ft (assist by T. Parker),,3,4
