,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,BROOKLYN_ACTION,WASHINGTON_SCORE,BROOKLYN_SCORE
0,1,11:46.0,,B. Bogdanović misses 2-pt layup from 3 ft,0,0
1,1,11:45.0,Defensive rebound by M. Gortat,,0,0
2,1,11:35.0,O. Porter misses 2-pt jump shot from 16 ft,,0,0
3,1,11:34.0,,Defensive rebound by R. Hollis-Jefferson,0,0
4,1,11:19.0,,B. Lopez misses 2-pt jump shot from 8 ft,0,0
5,1,11:18.0,Defensive rebound by M. Gortat,,0,0
6,1,11:13.0,B. Beal misses 2-pt layup from 3 ft,,0,0
7,1,11:11.0,,Defensive rebound by B. Lopez,0,0
8,1,11:06.0,,S. Dinwiddie misses 2-pt layup from 3 ft,0,0
9,1,11:04.0,,Offensive rebound by B. Bogdanović,0,0
10,1,10:49.0,,R. Hollis-Jefferson makes 2-pt jump shot from 13 ft,0,2
11,1,10:33.0,M. Gortat misses 2-pt jump shot from 7 ft,,0,2
12,1,10:31.0,,Defensive rebound by R. Hollis-Jefferson,0,2
13,1,10:22.0,,Shooting foul by O. Porter (drawn by B. Bogdanović),0,2
14,1,10:22.0,,B. Bogdanović makes free throw 1 of 2,0,3
15,1,10:22.0,,B. Bogdanović makes free throw 2 of 2,0,4
16,1,10:11.0,M. Gortat makes 2-pt jump shot from 8 ft (assist by B. Beal),,2,4
17,1,10:01.0,,R. Foye misses 3-pt jump shot from 24 ft,2,4
18,1,10:00.0,Defensive rebound by M. Gortat,,2,4
19,1,9:53.0,J. Wall makes 2-pt jump shot from 19 ft,,4,4
20,1,9:26.0,,B. Lopez misses 3-pt jump shot from 25 ft,4,4
21,1,9:25.0,Defensive rebound by M. Gortat,,4,4
22,1,9:15.0,M. Gortat misses 2-pt layup from 2 ft,,4,4
23,1,9:13.0,,Defensive rebound by B. Lopez,4,4
24,1,9:01.0,,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by S. Dinwiddie),4,7
25,1,8:46.0,B. Beal makes 2-pt jump shot from 19 ft (assist by J. Wall),,6,7
26,1,8:30.0,,B. Bogdanović misses 2-pt jump shot from 15 ft,6,7
27,1,8:29.0,,Offensive rebound by R. Hollis-Jefferson,6,7
28,1,8:18.0,,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by R. Foye),6,10
29,1,7:59.0,Washington full timeout,,6,10
30,1,7:50.0,K. Oubre misses 3-pt jump shot from 24 ft,,6,10
31,1,7:49.0,,Defensive rebound by R. Foye,6,10
32,1,7:42.0,,B. Lopez misses 2-pt hook shot from 7 ft,6,10
33,1,7:40.0,Defensive rebound by M. Gortat,,6,10
34,1,7:34.0,O. Porter makes 3-pt jump shot from 24 ft (assist by J. Wall),,9,10
35,1,7:13.0,,Personal foul by K. Oubre (drawn by B. Bogdanović),9,10
36,1,7:08.0,,Turnover by B. Lopez (lost ball; steal by J. Wall),9,10
37,1,7:02.0,O. Porter makes 3-pt jump shot from 25 ft (assist by J. Wall),,12,10
38,1,6:36.0,,R. Hollis-Jefferson makes 2-pt jump shot from 9 ft,12,12
39,1,6:30.0,J. Wall misses 2-pt layup from 2 ft,,12,12
40,1,6:29.0,,Defensive rebound by B. Lopez,12,12
41,1,6:25.0,,B. Bogdanović misses 3-pt jump shot from 24 ft,12,12
42,1,6:24.0,,Offensive rebound by R. Hollis-Jefferson,12,12
43,1,6:15.0,,S. Dinwiddie misses 3-pt jump shot from 25 ft,12,12
44,1,6:14.0,Defensive rebound by M. Gortat,,12,12
