,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,PHOENIX_ACTION,SAN ANTONIO_SCORE,PHOENIX_SCORE
0,1,11:44.0,,Personal foul by D. Green (drawn by D. Booker),0,0
1,1,11:29.0,,E. Bledsoe misses 3-pt jump shot from 26 ft,0,0
2,1,11:29.0,Defensive rebound by L. Aldridge,,0,0
3,1,11:08.0,L. Aldridge misses 2-pt jump shot from 13 ft,,0,0
4,1,11:07.0,,Defensive rebound by E. Bledsoe,0,0
5,1,10:53.0,,M. Chriss makes 3-pt jump shot from 25 ft (assist by D. Booker),0,3
6,1,10:28.0,T. Parker misses 2-pt layup from 3 ft (block by M. Chriss),,0,3
7,1,10:28.0,Offensive rebound by Team,,0,3
8,1,10:25.0,T. Parker misses 2-pt jump shot from 17 ft,,0,3
9,1,10:24.0,,Defensive rebound by T. Chandler,0,3
10,1,10:08.0,,D. Booker misses 2-pt jump shot from 11 ft,0,3
11,1,10:08.0,Defensive rebound by L. Aldridge,,0,3
12,1,10:02.0,Turnover by L. Aldridge (bad pass; steal by D. Booker),,0,3
13,1,9:59.0,,D. Booker makes 2-pt layup from 1 ft,0,5
14,1,9:42.0,T. Parker makes 3-pt jump shot from 24 ft (assist by L. Aldridge),,3,5
15,1,9:28.0,,T. Chandler misses 2-pt layup from 2 ft,3,5
16,1,9:27.0,,Offensive rebound by T. Chandler,3,5
17,1,9:18.0,,P. Tucker makes 2-pt jump shot from 18 ft (assist by D. Booker),3,7
18,1,8:57.0,P. Gasol makes 2-pt jump shot from 21 ft (assist by T. Parker),,5,7
19,1,8:41.0,,D. Booker makes 2-pt jump shot from 17 ft,5,9
20,1,8:20.0,T. Parker misses 3-pt jump shot from 24 ft,,5,9
21,1,8:20.0,,Defensive rebound by D. Booker,5,9
22,1,8:14.0,,M. Chriss misses 2-pt jump shot from 4 ft,5,9
23,1,8:13.0,,Offensive rebound by E. Bledsoe,5,9
24,1,8:05.0,,D. Booker misses 3-pt jump shot from 26 ft,5,9
25,1,8:05.0,Defensive rebound by K. Leonard,,5,9
26,1,7:57.0,Turnover by P. Gasol (bad pass),,5,9
27,1,7:45.0,,E. Bledsoe makes 3-pt jump shot from 25 ft,5,12
28,1,7:30.0,L. Aldridge misses 2-pt hook shot from 7 ft,,5,12
29,1,7:28.0,Offensive rebound by P. Gasol,,5,12
30,1,7:21.0,K. Leonard makes 2-pt jump shot from 21 ft,,7,12
31,1,6:52.0,,E. Bledsoe misses 2-pt layup from 1 ft,7,12
32,1,6:50.0,,Offensive rebound by T. Chandler,7,12
33,1,6:50.0,,T. Chandler misses 2-pt layup from 2 ft,7,12
34,1,6:49.0,,Offensive rebound by T. Chandler,7,12
35,1,6:49.0,,T. Chandler makes 2-pt layup from 1 ft,7,14
36,1,6:46.0,Shooting foul by P. Tucker (drawn by K. Leonard),,7,14
37,1,6:46.0,K. Leonard makes free throw 1 of 2,,8,14
38,1,6:46.0,K. Leonard makes free throw 2 of 2,,9,14
39,1,6:24.0,,M. Chriss misses 2-pt jump shot from 11 ft,9,14
40,1,6:23.0,Defensive rebound by P. Gasol,,9,14
41,1,6:14.0,Personal foul by D. Booker (drawn by K. Leonard),,9,14
42,1,6:00.0,P. Gasol makes 2-pt jump shot from 5 ft,,11,14
43,1,5:50.0,,Turnover by E. Bledsoe (offensive foul),11,14
44,1,5:50.0,,Offensive foul by E. Bledsoe (drawn by T. Parker),11,14
45,1,5:50.0,,Phoenix full timeout,11,14
46,1,5:50.0,D. Dedmon enters the game for P. Gasol,,11,14
47,1,5:50.0,P. Mills enters the game for D. Green,,11,14
48,1,5:50.0,M. Ginóbili enters the game for T. Parker,,11,14
49,1,5:31.0,Turnover by L. Aldridge (traveling),,11,14
50,1,5:17.0,,E. Bledsoe misses 2-pt jump shot from 11 ft,11,14
51,1,5:15.0,Defensive rebound by M. Ginóbili,,11,14
52,1,5:06.0,L. Aldridge makes 2-pt layup from 1 ft (assist by M. Ginóbili),,13,14
53,1,5:06.0,Shooting foul by T. Chandler (drawn by L. Aldridge),,13,14
54,1,5:06.0,,B. Knight enters the game for E. Bledsoe,13,14
55,1,5:06.0,L. Aldridge makes free throw 1 of 1,,14,14
56,1,4:55.0,,Turnover by D. Booker (lost ball; steal by M. Ginóbili),14,14
57,1,4:44.0,D. Dedmon makes 2-pt layup from 2 ft (assist by K. Leonard),,16,14
58,1,4:32.0,,D. Booker misses 2-pt jump shot from 5 ft,16,14
59,1,4:32.0,Defensive rebound by D. Dedmon,,16,14
60,1,4:24.0,Offensive foul by L. Aldridge (drawn by M. Chriss),,16,14
61,1,4:24.0,Turnover by L. Aldridge (offensive foul),,16,14
62,1,4:24.0,D. Lee enters the game for L. Aldridge,,16,14
63,1,4:14.0,,Offensive foul by T. Chandler (drawn by P. Mills),16,14
64,1,4:14.0,,Turnover by T. Chandler (offensive foul),16,14
65,1,4:14.0,,J. Dudley enters the game for M. Chriss,16,14
66,1,4:14.0,,A. Williams enters the game for T. Chandler,16,14
67,1,4:06.0,M. Ginóbili misses 2-pt layup from 1 ft,,16,14
68,1,4:05.0,Offensive rebound by D. Dedmon,,16,14
69,1,4:04.0,D. Dedmon misses 2-pt layup from 2 ft,,16,14
70,1,4:04.0,Offensive rebound by K. Leonard,,16,14
71,1,4:03.0,K. Leonard misses 2-pt layup from 3 ft,,16,14
72,1,4:02.0,,Defensive rebound by P. Tucker,16,14
73,1,3:51.0,,B. Knight makes 2-pt jump shot from 20 ft,16,16
74,1,3:51.0,San Antonio full timeout,,16,16
75,1,3:51.0,,L. Barbosa enters the game for D. Booker,16,16
76,1,3:51.0,J. Simmons enters the game for K. Leonard,,16,16
77,1,3:38.0,Shooting block foul by J. Dudley (drawn by D. Dedmon),,16,16
78,1,3:38.0,D. Dedmon makes free throw 1 of 2,,17,16
79,1,3:38.0,D. Dedmon misses free throw 2 of 2,,17,16
80,1,3:38.0,,E. Bledsoe enters the game for P. Tucker,17,16
81,1,3:37.0,,Defensive rebound by E. Bledsoe,17,16
82,1,3:24.0,,Turnover by B. Knight (offensive foul),17,16
83,1,3:24.0,,Offensive foul by B. Knight (drawn by J. Simmons),17,16
84,1,3:09.0,D. Lee makes 2-pt layup from 3 ft (assist by P. Mills),,19,16
85,1,3:00.0,,B. Knight misses 3-pt jump shot from 26 ft,19,16
86,1,3:00.0,,Offensive rebound by A. Williams,19,16
87,1,2:48.0,,L. Barbosa misses 2-pt jump shot from 3 ft,19,16
88,1,2:47.0,,Offensive rebound by L. Barbosa,19,16
89,1,2:38.0,,B. Knight misses 2-pt jump shot from 5 ft,19,16
90,1,2:37.0,,Offensive rebound by A. Williams,19,16
91,1,2:34.0,,Turnover by E. Bledsoe (bad pass; steal by M. Ginóbili),19,16
92,1,2:30.0,P. Mills misses 2-pt layup at rim,,19,16
93,1,2:30.0,,Defensive rebound by L. Barbosa,19,16
94,1,2:23.0,,L. Barbosa misses 2-pt layup from 2 ft,19,16
95,1,2:23.0,,Offensive rebound by A. Williams,19,16
96,1,2:23.0,,A. Williams misses 2-pt layup from 1 ft,19,16
97,1,2:18.0,Defensive rebound by J. Simmons,,19,16
98,1,2:12.0,D. Dedmon makes 2-pt dunk at rim (assist by P. Mills),,21,16
99,1,1:55.0,Violation by M. Ginóbili (kicked ball),,21,16
100,1,1:43.0,,J. Dudley makes 2-pt jump shot from 14 ft,21,18
101,1,1:30.0,,Violation by L. Barbosa (kicked ball),21,18
102,1,1:20.0,M. Ginóbili misses 3-pt jump shot from 25 ft,,21,18
103,1,1:19.0,Offensive rebound by Team,,21,18
104,1,1:11.0,P. Mills misses 2-pt jump shot from 4 ft,,21,18
105,1,1:10.0,,Defensive rebound by L. Barbosa,21,18
106,1,0:53.0,,L. Barbosa misses 2-pt jump shot from 20 ft,21,18
107,1,0:52.0,Defensive rebound by P. Mills,,21,18
108,1,0:41.0,D. Lee makes 2-pt jump shot from 3 ft,,23,18
109,1,0:30.0,,E. Bledsoe misses 3-pt jump shot from 25 ft,23,18
110,1,0:29.0,Defensive rebound by D. Lee,,23,18
111,1,0:11.0,Turnover by P. Mills (back court),,23,18
112,1,0:11.0,,D. Booker enters the game for A. Williams,23,18
113,1,0:06.0,,Personal take foul by P. Mills,23,18
114,1,0:06.0,D. Green enters the game for D. Lee,,23,18
115,1,0:03.0,,E. Bledsoe makes 2-pt jump shot from 20 ft,23,20
116,2,11:47.0,D. Lee misses 2-pt layup from 2 ft,,23,20
117,2,11:44.0,,Defensive rebound by J. Dudley,23,20
118,2,11:26.0,,J. Dudley misses 3-pt jump shot from 26 ft,23,20
119,2,11:26.0,Defensive rebound by J. Simmons,,23,20
120,2,11:10.0,P. Mills misses 3-pt jump shot from 25 ft,,23,20
121,2,11:10.0,Offensive rebound by P. Gasol,,23,20
122,2,11:08.0,P. Gasol makes 2-pt layup from 1 ft,,25,20
123,2,11:08.0,Violation by Team (jump ball),,25,20
124,2,10:56.0,,J. Dudley makes 3-pt jump shot from 25 ft (assist by B. Knight),25,23
125,2,10:48.0,Turnover by D. Lee (bad pass),,25,23
126,2,10:48.0,T. Parker enters the game for P. Mills,,25,23
127,2,10:36.0,,J. Dudley makes 2-pt layup from 3 ft (assist by B. Knight),25,25
128,2,10:36.0,San Antonio full timeout,,25,25
129,2,10:36.0,L. Aldridge enters the game for T. Parker,,25,25
130,2,10:36.0,K. Leonard enters the game for D. Lee,,25,25
131,2,10:16.0,D. Green makes 3-pt jump shot from 26 ft (assist by P. Gasol),,28,25
132,2,10:02.0,,L. Barbosa makes 2-pt layup from 1 ft,28,27
133,2,9:35.0,P. Gasol misses 2-pt jump shot from 20 ft,,28,27
134,2,9:35.0,,Defensive rebound by D. Booker,28,27
135,2,9:29.0,,D. Bender makes 3-pt jump shot from 25 ft (assist by D. Booker),28,30
136,2,9:28.0,San Antonio full timeout,,28,30
137,2,9:28.0,P. Mills enters the game for D. Green,,28,30
138,2,9:14.0,Def 3 sec tech foul by D. Bender,,28,30
139,2,9:14.0,K. Leonard makes technical free throw,,29,30
140,2,9:10.0,Offensive foul by L. Aldridge (drawn by L. Barbosa),,29,30
141,2,9:10.0,Turnover by L. Aldridge (offensive foul),,29,30
142,2,8:54.0,,Turnover by D. Booker (bad pass; steal by P. Mills),29,30
143,2,8:48.0,K. Leonard makes 2-pt layup from 1 ft,,31,30
144,2,8:35.0,,L. Barbosa misses 2-pt layup from 2 ft,31,30
145,2,8:33.0,Defensive rebound by P. Gasol,,31,30
146,2,8:26.0,Personal foul by L. Barbosa (drawn by K. Leonard),,31,30
147,2,8:17.0,P. Mills misses 3-pt jump shot from 27 ft,,31,30
148,2,8:16.0,,Defensive rebound by J. Dudley,31,30
149,2,8:03.0,,D. Booker makes 2-pt layup from 3 ft,31,32
