,QUARTER,TIME_REMAINING,DETROIT_ACTION,SAN ANTONIO_ACTION,DETROIT_SCORE,SAN ANTONIO_SCORE
0,1,11:37.0,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,,0,0
1,1,11:36.0,,Defensive rebound by L. Aldridge,0,0
2,1,11:21.0,,T. Parker makes 2-pt jump shot from 17 ft,0,2
3,1,11:04.0,Personal foul by T. Parker (drawn by T. Harris),,0,2
4,1,10:56.0,T. Harris makes 2-pt jump shot from 17 ft (assist by I. Smith),,2,2
5,1,10:37.0,,T. Parker misses 3-pt jump shot from 24 ft,2,2
6,1,10:37.0,Defensive rebound by A. Drummond,,2,2
7,1,10:26.0,T. Harris misses 3-pt jump shot from 26 ft,,2,2
8,1,10:24.0,Offensive rebound by A. Drummond,,2,2
9,1,10:24.0,A. Drummond makes 2-pt layup from 1 ft,,4,2
10,1,10:10.0,,P. Gasol makes 2-pt jump shot from 14 ft (assist by T. Parker),4,4
11,1,9:54.0,Turnover by A. Drummond (bad pass; steal by K. Leonard),,4,4
12,1,9:36.0,,K. Anderson misses 3-pt jump shot from 24 ft,4,4
13,1,9:35.0,Defensive rebound by T. Harris,,4,4
14,1,9:26.0,T. Harris makes 2-pt layup from 3 ft (assist by I. Smith),,6,4
15,1,9:09.0,,K. Leonard makes 3-pt jump shot from 25 ft (assist by T. Parker),6,7
16,1,8:52.0,K. Caldwell-Pope makes 3-pt jump shot from 25 ft,,9,7
17,1,8:36.0,,P. Gasol misses 2-pt jump shot from 19 ft,9,7
18,1,8:35.0,,Offensive rebound by L. Aldridge,9,7
19,1,8:33.0,,L. Aldridge makes 2-pt layup from 5 ft,9,9
20,1,8:14.0,T. Harris misses 2-pt jump shot from 12 ft,,9,9
21,1,8:12.0,,Defensive rebound by L. Aldridge,9,9
22,1,8:02.0,,K. Anderson makes 2-pt layup from 1 ft (assist by P. Gasol),9,11
23,1,7:46.0,M. Morris misses 2-pt layup from 2 ft (block by P. Gasol),,9,11
24,1,7:44.0,Offensive rebound by K. Caldwell-Pope,,9,11
25,1,7:39.0,I. Smith makes 2-pt jump shot from 17 ft (assist by K. Caldwell-Pope),,11,11
26,1,7:22.0,,Shooting foul by T. Harris (drawn by L. Aldridge),11,11
