,QUARTER,TIME_REMAINING,DALLAS_ACTION,DETROIT_ACTION,DALLAS_SCORE,DETROIT_SCORE
0,1,11:44.0,,R. Jackson misses 2-pt jump shot from 6 ft,0,0
1,1,11:43.0,,Offensive rebound by A. Drummond,0,0
2,1,11:40.0,,A. Drummond misses 2-pt layup at rim,0,0
3,1,11:38.0,Defensive rebound by D. Nowitzki,,0,0
4,1,11:26.0,H. Barnes misses 3-pt jump shot from 26 ft,,0,0
5,1,11:26.0,,Defensive rebound by A. Drummond,0,0
6,1,11:05.0,,A. Drummond misses 2-pt hook shot from 8 ft,0,0
7,1,11:04.0,Defensive rebound by D. Nowitzki,,0,0
8,1,10:57.0,Offensive foul by D. Williams (drawn by M. Morris),,0,0
9,1,10:57.0,Turnover by D. Williams (offensive foul),,0,0
10,1,10:49.0,,R. Jackson makes 2-pt layup at rim,0,2
11,1,10:37.0,D. Williams misses 2-pt layup from 1 ft,,0,2
12,1,10:37.0,,Defensive rebound by A. Drummond,0,2
13,1,10:23.0,,M. Morris makes 2-pt jump shot from 14 ft,0,4
14,1,10:10.0,H. Barnes misses 2-pt layup from 1 ft (block by M. Morris),,0,4
15,1,10:10.0,,Defensive rebound by M. Morris,0,4
16,1,9:55.0,,J. Leuer misses 2-pt jump shot from 14 ft,0,4
17,1,9:55.0,Defensive rebound by D. Nowitzki,,0,4
18,1,9:46.0,D. Nowitzki misses 2-pt jump shot from 18 ft,,0,4
19,1,9:46.0,,Defensive rebound by M. Morris,0,4
20,1,9:38.0,,M. Morris makes 2-pt layup from 1 ft (assist by A. Drummond),0,6
21,1,9:25.0,Personal foul by A. Drummond (drawn by H. Barnes),,0,6
22,1,9:18.0,Turnover by D. Williams (lost ball; steal by R. Jackson),,0,6
23,1,9:14.0,,A. Drummond makes 2-pt dunk at rim (assist by R. Jackson),0,8
24,1,9:14.0,Dallas full timeout,,0,8
25,1,8:58.0,D. Williams misses 3-pt jump shot from 27 ft,,0,8
26,1,8:57.0,,Defensive rebound by K. Caldwell-Pope,0,8
27,1,8:48.0,,M. Morris misses 3-pt jump shot from 27 ft,0,8
28,1,8:48.0,,Offensive rebound by A. Drummond,0,8
29,1,8:41.0,,A. Drummond misses 2-pt jump shot from 5 ft (block by D. Nowitzki),0,8
30,1,8:40.0,,Offensive rebound by A. Drummond,0,8
31,1,8:36.0,,J. Leuer makes 2-pt jump shot from 8 ft (assist by A. Drummond),0,10
32,1,8:16.0,D. Nowitzki makes 2-pt jump shot from 20 ft (assist by S. Curry),,2,10
33,1,7:50.0,,R. Jackson makes 3-pt jump shot from 26 ft,2,13
34,1,7:35.0,W. Matthews misses 3-pt jump shot from 26 ft,,2,13
35,1,7:35.0,,Defensive rebound by A. Drummond,2,13
36,1,7:27.0,,A. Drummond makes 2-pt dunk at rim (assist by R. Jackson),2,15
37,1,7:12.0,W. Matthews makes 2-pt layup from 1 ft,,4,15
38,1,7:02.0,,K. Caldwell-Pope misses 3-pt jump shot from 27 ft,4,15
39,1,7:01.0,Defensive rebound by D. Nowitzki,,4,15
40,1,7:00.0,Personal foul by A. Drummond (drawn by D. Nowitzki),,4,15
41,1,7:00.0,Y. Ferrell enters the game for D. Williams,,4,15
