,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,MIAMI_ACTION,WASHINGTON_SCORE,MIAMI_SCORE
0,1,11:44.0,M. Gortat makes 2-pt hook shot from 5 ft,,2,0
1,1,11:29.0,,Turnover by R. McGruder (lost ball; steal by T. Satoranský),2,0
2,1,11:20.0,K. Oubre makes 2-pt layup at rim,,4,0
3,1,10:56.0,,H. Whiteside makes 2-pt dunk at rim (assist by R. McGruder),4,2
4,1,10:43.0,O. Porter misses 3-pt jump shot from 25 ft,,4,2
5,1,10:42.0,,Defensive rebound by H. Whiteside,4,2
6,1,10:23.0,,J. Richardson misses 3-pt jump shot from 23 ft,4,2
7,1,10:22.0,Defensive rebound by B. Jennings,,4,2
8,1,10:13.0,K. Oubre misses 2-pt layup from 1 ft (block by H. Whiteside),,4,2
9,1,10:12.0,Offensive rebound by Team,,4,2
10,1,10:01.0,,Violation by G. Dragić (kicked ball),4,2
11,1,9:54.0,T. Satoranský misses 3-pt jump shot from 24 ft,,4,2
12,1,9:53.0,Offensive rebound by M. Gortat,,4,2
13,1,9:49.0,M. Gortat makes 2-pt jump shot from 11 ft,,6,2
14,1,9:27.0,,Turnover by G. Dragić (lost ball; steal by K. Oubre),6,2
15,1,9:18.0,B. Jennings misses 3-pt jump shot from 23 ft,,6,2
16,1,9:17.0,,Defensive rebound by H. Whiteside,6,2
17,1,9:07.0,,G. Dragić makes 3-pt jump shot from 25 ft (assist by J. Johnson),6,5
18,1,8:40.0,O. Porter makes 2-pt jump shot from 18 ft (assist by T. Satoranský),,8,5
19,1,8:16.0,,H. Whiteside misses 2-pt hook shot from 9 ft,8,5
20,1,8:15.0,Defensive rebound by O. Porter,,8,5
21,1,8:03.0,M. Gortat misses 2-pt jump shot from 8 ft,,8,5
22,1,8:02.0,,Defensive rebound by H. Whiteside,8,5
23,1,7:57.0,,Personal foul by B. Jennings (drawn by G. Dragić),8,5
24,1,7:45.0,,H. Whiteside misses 2-pt jump shot from 5 ft,8,5
25,1,7:44.0,Defensive rebound by O. Porter,,8,5
26,1,7:41.0,Turnover by M. Gortat (traveling),,8,5
27,1,7:29.0,,G. Dragić makes 2-pt jump shot from 10 ft,8,7
28,1,7:19.0,T. Satoranský misses 2-pt jump shot from 3 ft (block by J. Richardson),,8,7
29,1,7:18.0,Offensive rebound by K. Oubre,,8,7
30,1,7:16.0,K. Oubre misses 2-pt layup from 1 ft (block by H. Whiteside),,8,7
31,1,7:15.0,,Defensive rebound by H. Whiteside,8,7
32,1,7:10.0,,J. Richardson misses 2-pt layup from 2 ft,8,7
33,1,7:09.0,,Offensive rebound by H. Whiteside,8,7
34,1,7:07.0,,H. Whiteside misses 2-pt dunk at rim,8,7
35,1,7:06.0,Defensive rebound by O. Porter,,8,7
36,1,7:01.0,O. Porter makes 2-pt jump shot from 3 ft,,10,7
37,1,6:49.0,,Def 3 sec tech foul by T. Satoranský,10,7
38,1,6:49.0,,G. Dragić makes technical free throw,10,8
39,1,6:44.0,,Turnover by R. McGruder (lost ball; steal by K. Oubre),10,8
40,1,6:38.0,K. Oubre misses 2-pt dunk at rim,,10,8
41,1,6:37.0,,Defensive rebound by J. Johnson,10,8
42,1,6:31.0,,H. Whiteside makes 2-pt dunk at rim (assist by R. McGruder),10,10
43,1,6:24.0,Washington full timeout,,10,10
44,1,6:11.0,M. Gortat makes 2-pt layup from 2 ft (assist by B. Jennings),,12,10
45,1,5:54.0,,G. Dragić misses 2-pt jump shot from 9 ft,12,10
46,1,5:53.0,,Offensive rebound by G. Dragić,12,10
47,1,5:52.0,,G. Dragić misses 2-pt layup at rim,12,10
48,1,5:51.0,Defensive rebound by O. Porter,,12,10
49,1,5:38.0,B. Jennings misses 2-pt layup from 1 ft,,12,10
