,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,LA CLIPPERS_ACTION,SACRAMENTO_SCORE,LA CLIPPERS_SCORE
0,1,11:41.0,S. Labissière makes 2-pt jump shot from 19 ft,,2,0
1,1,11:28.0,,Personal foul by S. Labissière (drawn by B. Griffin),2,0
2,1,11:22.0,,B. Griffin misses 2-pt jump shot from 3 ft (block by W. Cauley-Stein),2,0
3,1,11:19.0,Defensive rebound by S. Labissière,,2,0
4,1,11:00.0,S. Labissière misses 2-pt jump shot from 17 ft,,2,0
5,1,10:57.0,,Defensive rebound by C. Paul,2,0
6,1,10:53.0,,A. Rivers makes 3-pt jump shot from 26 ft (assist by C. Paul),2,3
7,1,10:32.0,W. Cauley-Stein misses 2-pt jump shot from 19 ft,,2,3
8,1,10:31.0,,Defensive rebound by D. Jordan,2,3
9,1,10:11.0,,L. Mbah a Moute misses 3-pt jump shot from 24 ft,2,3
10,1,10:10.0,Defensive rebound by S. Labissière,,2,3
11,1,10:00.0,B. Hield misses 3-pt jump shot from 25 ft,,2,3
12,1,9:59.0,,Defensive rebound by D. Jordan,2,3
13,1,9:49.0,,A. Rivers makes 3-pt jump shot from 25 ft,2,6
14,1,9:49.0,Sacramento full timeout,,2,6
15,1,9:28.0,T. Evans makes 2-pt jump shot from 5 ft,,4,6
16,1,9:25.0,,Offensive foul by B. Griffin (drawn by S. Labissière),4,6
17,1,9:25.0,,Turnover by B. Griffin (offensive foul),4,6
18,1,9:14.0,D. Collison makes 2-pt jump shot from 17 ft,,6,6
19,1,8:53.0,,Turnover by B. Griffin (bad pass; steal by W. Cauley-Stein),6,6
20,1,8:48.0,B. Hield misses 3-pt jump shot from 28 ft,,6,6
21,1,8:48.0,Offensive rebound by Team,,6,6
22,1,8:48.0,,Loose ball foul by L. Mbah a Moute (drawn by S. Labissière),6,6
23,1,8:35.0,T. Evans misses 2-pt layup from 2 ft,,6,6
24,1,8:33.0,,Defensive rebound by L. Mbah a Moute,6,6
25,1,8:27.0,,C. Paul makes 3-pt jump shot from 25 ft,6,9
26,1,8:13.0,D. Collison makes 2-pt jump shot from 18 ft (assist by S. Labissière),,8,9
27,1,7:55.0,,B. Griffin misses 2-pt layup from 2 ft,8,9
28,1,7:54.0,Defensive rebound by W. Cauley-Stein,,8,9
29,1,7:41.0,S. Labissière misses 2-pt hook shot from 7 ft,,8,9
30,1,7:38.0,,Defensive rebound by D. Jordan,8,9
31,1,7:19.0,,A. Rivers misses 3-pt jump shot from 23 ft,8,9
32,1,7:18.0,Defensive rebound by S. Labissière,,8,9
33,1,7:05.0,D. Collison makes 2-pt layup from 2 ft,,10,9
