,QUARTER,TIME_REMAINING,INDIANA_ACTION,CLEVELAND_ACTION,INDIANA_SCORE,CLEVELAND_SCORE
0,1,11:37.0,,Shooting foul by J. Teague (drawn by K. Irving),0,0
1,1,11:37.0,,K. Irving makes free throw 1 of 2,0,1
2,1,11:37.0,,K. Irving makes free throw 2 of 2,0,2
3,1,11:23.0,P. George makes 3-pt jump shot from 25 ft (assist by J. Teague),,3,2
4,1,11:02.0,,K. Irving misses 3-pt jump shot from 26 ft,3,2
5,1,11:02.0,Defensive rebound by M. Turner,,3,2
6,1,10:52.0,J. Teague makes 2-pt jump shot from 13 ft,,5,2
7,1,10:40.0,,L. James misses 2-pt layup from 1 ft,5,2
8,1,10:39.0,Defensive rebound by G. Robinson,,5,2
9,1,10:27.0,J. Teague makes 3-pt jump shot from 26 ft (assist by G. Robinson),,8,2
10,1,10:07.0,,K. Irving misses 3-pt jump shot from 26 ft,8,2
11,1,10:07.0,Defensive rebound by P. George,,8,2
12,1,9:57.0,P. George misses 3-pt jump shot from 25 ft,,8,2
13,1,9:57.0,,Defensive rebound by C. Frye,8,2
14,1,9:45.0,,T. Thompson makes 2-pt layup from 1 ft (assist by L. James),8,4
15,1,9:33.0,Shooting foul by C. Frye (drawn by P. George),,8,4
16,1,9:33.0,P. George makes free throw 1 of 2,,9,4
17,1,9:33.0,P. George makes free throw 2 of 2,,10,4
18,1,9:19.0,,L. James makes 3-pt jump shot from 26 ft (assist by K. Irving),10,7
19,1,9:00.0,M. Turner misses 2-pt jump shot from 19 ft,,10,7
20,1,9:00.0,,Defensive rebound by Team,10,7
21,1,8:52.0,,L. James misses 2-pt jump shot from 8 ft,10,7
22,1,8:50.0,Defensive rebound by G. Robinson,,10,7
23,1,8:44.0,P. George makes 3-pt jump shot from 25 ft (assist by J. Teague),,13,7
24,1,8:19.0,,C. Frye misses 3-pt jump shot from 26 ft,13,7
25,1,8:19.0,Defensive rebound by M. Turner,,13,7
26,1,8:10.0,K. Séraphin misses 2-pt hook shot from 8 ft,,13,7
27,1,8:08.0,,Defensive rebound by T. Thompson,13,7
28,1,8:00.0,,K. Irving makes 2-pt layup from 1 ft,13,9
29,1,7:40.0,K. Séraphin makes 2-pt jump shot from 7 ft (assist by P. George),,15,9
30,1,7:22.0,,C. Frye misses 3-pt jump shot from 24 ft,15,9
31,1,7:21.0,Defensive rebound by P. George,,15,9
32,1,7:10.0,P. George misses 2-pt jump shot from 22 ft,,15,9
33,1,7:09.0,Offensive rebound by M. Turner,,15,9
34,1,7:09.0,M. Turner misses 2-pt layup from 1 ft,,15,9
35,1,7:08.0,,Defensive rebound by C. Frye,15,9
36,1,6:53.0,,I. Shumpert makes 3-pt jump shot from 24 ft (assist by L. James),15,12
37,1,6:38.0,Turnover by J. Teague (bad pass; steal by K. Irving),,15,12
38,1,6:36.0,,K. Irving misses 2-pt layup from 1 ft,15,12
39,1,6:36.0,Defensive rebound by Team,,15,12
40,1,6:36.0,,Loose ball foul by T. Thompson (drawn by M. Turner),15,12
41,1,6:20.0,G. Robinson makes 3-pt jump shot from 23 ft (assist by P. George),,18,12
42,1,6:05.0,,Personal block foul by G. Robinson (drawn by I. Shumpert),18,12
43,1,5:55.0,,C. Frye misses 3-pt jump shot from 25 ft,18,12
44,1,5:55.0,Defensive rebound by J. Teague,,18,12
