,QUARTER,TIME_REMAINING,CHICAGO_ACTION,ORLANDO_ACTION,CHICAGO_SCORE,ORLANDO_SCORE
0,1,11:38.0,J. Butler misses 2-pt jump shot from 12 ft,,0,0
1,1,11:37.0,,Defensive rebound by E. Payton,0,0
2,1,11:26.0,,B. Biyombo misses 2-pt hook shot from 5 ft,0,0
3,1,11:25.0,Defensive rebound by R. Lopez,,0,0
4,1,11:11.0,J. Grant misses 2-pt jump shot from 20 ft,,0,0
5,1,11:10.0,,Defensive rebound by A. Gordon,0,0
6,1,10:59.0,,E. Fournier makes 3-pt jump shot from 25 ft (assist by E. Payton),0,3
7,1,10:39.0,P. Zipser misses 2-pt jump shot from 9 ft,,0,3
8,1,10:37.0,,Defensive rebound by E. Payton,0,3
9,1,10:35.0,,Turnover by E. Payton (bad pass),0,3
10,1,10:09.0,J. Butler makes 2-pt jump shot from 15 ft,,2,3
11,1,9:47.0,,B. Biyombo misses 2-pt jump shot from 6 ft,2,3
12,1,9:45.0,Defensive rebound by P. Zipser,,2,3
13,1,9:43.0,Turnover by P. Zipser (bad pass; steal by E. Payton),,2,3
14,1,9:39.0,,E. Payton makes 2-pt layup from 1 ft,2,5
15,1,9:22.0,R. Lopez makes 2-pt jump shot from 21 ft (assist by J. Grant),,4,5
16,1,9:01.0,,B. Biyombo misses 2-pt jump shot from 5 ft,4,5
17,1,9:00.0,Defensive rebound by B. Portis,,4,5
18,1,8:51.0,Turnover by J. Butler (bad pass),,4,5
19,1,8:38.0,,A. Gordon makes 2-pt layup from 1 ft,4,7
20,1,8:17.0,B. Portis misses 3-pt jump shot from 23 ft,,4,7
21,1,8:16.0,,Defensive rebound by T. Ross,4,7
22,1,8:08.0,,E. Fournier misses 2-pt layup from 2 ft,4,7
23,1,8:06.0,Defensive rebound by B. Portis,,4,7
24,1,7:58.0,B. Portis makes 2-pt layup from 2 ft (assist by J. Grant),,6,7
25,1,7:40.0,,E. Payton misses 2-pt jump shot from 19 ft,6,7
26,1,7:38.0,Defensive rebound by J. Butler,,6,7
27,1,7:25.0,J. Grant makes 3-pt jump shot from 25 ft (assist by J. Butler),,9,7
28,1,7:09.0,,E. Fournier misses 2-pt jump shot from 19 ft,9,7
29,1,7:09.0,Defensive rebound by P. Zipser,,9,7
30,1,7:02.0,P. Zipser misses 2-pt layup from 1 ft (block by B. Biyombo),,9,7
31,1,7:00.0,,Defensive rebound by E. Fournier,9,7
32,1,6:58.0,,Shooting foul by J. Grant (drawn by A. Gordon),9,7
33,1,6:58.0,,A. Gordon misses free throw 1 of 2,9,7
34,1,6:58.0,,Offensive rebound by Team,9,7
35,1,6:58.0,,A. Gordon makes free throw 2 of 2,9,8
36,1,6:43.0,Turnover by J. Butler (lost ball; steal by E. Payton),,9,8
37,1,6:39.0,,Turnover by E. Payton (bad pass; steal by J. Grant),9,8
38,1,6:18.0,P. Zipser misses 2-pt jump shot from 21 ft,,9,8
39,1,6:17.0,,Defensive rebound by B. Biyombo,9,8
40,1,6:07.0,,B. Biyombo misses 2-pt jump shot from 8 ft,9,8
