,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,MEMPHIS_ACTION,SAN ANTONIO_SCORE,MEMPHIS_SCORE
0,1,11:35.0,L. Aldridge misses 2-pt jump shot from 12 ft,,0,0
1,1,11:34.0,,Defensive rebound by J. Ennis,0,0
2,1,11:14.0,,M. Gasol makes 2-pt hook shot from 5 ft,0,2
3,1,10:58.0,L. Aldridge makes 2-pt jump shot from 18 ft (assist by T. Parker),,2,2
4,1,10:35.0,,M. Conley misses 2-pt jump shot from 15 ft,2,2
5,1,10:35.0,,Offensive rebound by Team,2,2
6,1,10:35.0,Loose ball foul by K. Leonard (drawn by Z. Randolph),,2,2
7,1,10:29.0,,Turnover by Z. Randolph (lost ball),2,2
8,1,10:13.0,T. Parker makes 2-pt jump shot from 17 ft,,4,2
9,1,9:56.0,,V. Carter misses 3-pt jump shot from 26 ft,4,2
10,1,9:55.0,,Offensive rebound by Z. Randolph,4,2
11,1,9:52.0,,Z. Randolph misses 2-pt hook shot from 4 ft,4,2
12,1,9:51.0,,Offensive rebound by Team,4,2
13,1,9:44.0,,M. Gasol misses 2-pt jump shot from 12 ft,4,2
14,1,9:44.0,Defensive rebound by L. Aldridge,,4,2
15,1,9:32.0,L. Aldridge misses 2-pt jump shot from 20 ft,,4,2
16,1,9:32.0,Offensive rebound by T. Parker,,4,2
17,1,9:19.0,Shooting foul by M. Conley (drawn by T. Parker),,4,2
18,1,9:19.0,T. Parker makes free throw 1 of 2,,5,2
19,1,9:19.0,T. Parker makes free throw 2 of 2,,6,2
20,1,9:06.0,,Turnover by M. Gasol (lost ball),6,2
21,1,8:52.0,T. Parker makes 2-pt jump shot from 13 ft,,8,2
22,1,8:32.0,,Z. Randolph misses 2-pt jump shot from 11 ft,8,2
23,1,8:31.0,,Offensive rebound by V. Carter,8,2
24,1,8:31.0,,V. Carter makes 2-pt dunk at rim,8,4
25,1,8:19.0,Turnover by D. Lee (bad pass; steal by J. Ennis),,8,4
26,1,8:11.0,,V. Carter makes 3-pt jump shot from 26 ft (assist by J. Ennis),8,7
27,1,7:47.0,L. Aldridge misses 2-pt jump shot from 13 ft,,8,7
28,1,7:45.0,,Defensive rebound by M. Conley,8,7
29,1,7:32.0,,J. Ennis makes 2-pt jump shot from 5 ft,8,9
30,1,7:13.0,T. Parker makes 3-pt jump shot from 24 ft (assist by D. Lee),,11,9
31,1,6:51.0,,V. Carter misses 3-pt jump shot from 25 ft,11,9
32,1,6:50.0,,Offensive rebound by Z. Randolph,11,9
33,1,6:47.0,,Z. Randolph makes 2-pt layup from 1 ft,11,11
34,1,6:46.0,San Antonio full timeout,,11,11
35,1,6:30.0,Shooting foul by M. Gasol (drawn by K. Leonard),,11,11
36,1,6:30.0,K. Leonard makes free throw 1 of 2,,12,11
37,1,6:30.0,K. Leonard makes free throw 2 of 2,,13,11
38,1,6:16.0,,M. Gasol misses 2-pt jump shot from 6 ft,13,11
39,1,6:15.0,Defensive rebound by L. Aldridge,,13,11
40,1,6:10.0,Turnover by T. Parker (bad pass),,13,11
41,1,5:52.0,,V. Carter misses 3-pt jump shot from 23 ft,13,11
42,1,5:52.0,Defensive rebound by K. Leonard,,13,11
43,1,5:38.0,D. Green makes 3-pt jump shot from 23 ft (assist by T. Parker),,16,11
44,1,5:15.0,,M. Conley misses 3-pt jump shot from 24 ft,16,11
45,1,5:14.0,Defensive rebound by L. Aldridge,,16,11
46,1,4:53.0,T. Parker makes 2-pt layup from 1 ft,,18,11
47,1,4:53.0,,Memphis full timeout,18,11
48,1,4:53.0,,A. Harrison enters the game for M. Conley,18,11
49,1,4:53.0,,J. Green enters the game for Z. Randolph,18,11
50,1,4:53.0,P. Mills enters the game for T. Parker,,18,11
51,1,4:53.0,P. Gasol enters the game for D. Green,,18,11
52,1,4:53.0,M. Ginóbili enters the game for D. Lee,,18,11
53,1,4:36.0,,A. Harrison makes 3-pt jump shot from 26 ft (assist by M. Gasol),18,14
54,1,4:20.0,P. Mills makes 2-pt jump shot from 19 ft,,20,14
55,1,4:01.0,,A. Harrison makes 3-pt jump shot from 26 ft (assist by M. Gasol),20,17
56,1,3:33.0,K. Leonard misses 3-pt jump shot from 26 ft,,20,17
57,1,3:33.0,,Defensive rebound by V. Carter,20,17
58,1,3:24.0,,V. Carter makes 2-pt jump shot from 5 ft,20,19
59,1,3:15.0,Personal foul by A. Harrison,,20,19
60,1,3:10.0,Personal foul by J. Green (drawn by K. Leonard),,20,19
61,1,3:10.0,D. Bertāns enters the game for L. Aldridge,,20,19
62,1,3:10.0,,M. Conley enters the game for J. Ennis,20,19
63,1,2:59.0,K. Leonard makes 2-pt jump shot from 19 ft,,22,19
64,1,2:33.0,,M. Conley misses 2-pt jump shot from 8 ft,22,19
65,1,2:31.0,Defensive rebound by P. Mills,,22,19
66,1,2:18.0,K. Leonard misses 2-pt jump shot from 8 ft,,22,19
67,1,2:18.0,,Defensive rebound by M. Gasol,22,19
68,1,2:05.0,,J. Green misses 3-pt jump shot from 23 ft,22,19
69,1,2:04.0,Defensive rebound by P. Gasol,,22,19
70,1,1:50.0,Turnover by D. Bertāns (bad pass),,22,19
71,1,1:50.0,,W. Selden enters the game for V. Carter,22,19
72,1,1:33.0,,M. Gasol misses 2-pt jump shot from 7 ft,22,19
73,1,1:33.0,Defensive rebound by D. Bertāns,,22,19
74,1,1:19.0,K. Leonard makes 2-pt jump shot from 13 ft,,24,19
75,1,1:02.0,,Turnover by J. Green (bad pass; steal by K. Leonard),24,19
76,1,0:47.0,D. Bertāns misses 3-pt jump shot from 25 ft,,24,19
77,1,0:46.0,,Defensive rebound by M. Conley,24,19
78,1,0:40.0,,M. Conley misses 2-pt layup at rim,24,19
79,1,0:38.0,,Offensive rebound by M. Gasol,24,19
80,1,0:38.0,,M. Gasol misses 2-pt layup from 1 ft,24,19
81,1,0:36.0,Defensive rebound by D. Bertāns,,24,19
82,1,0:22.0,P. Mills misses 3-pt jump shot from 25 ft,,24,19
83,1,0:21.0,Offensive rebound by K. Leonard,,24,19
84,1,0:08.0,Turnover by P. Mills (lost ball),,24,19
85,1,0:08.0,,T. Daniels enters the game for A. Harrison,24,19
86,1,0:06.0,,Personal take foul by P. Mills,24,19
87,1,0:06.0,D. Green enters the game for P. Mills,,24,19
88,1,0:06.0,J. Simmons enters the game for K. Leonard,,24,19
89,1,0:01.0,,M. Conley makes 3-pt jump shot from 26 ft,24,22
90,2,11:41.0,,W. Selden misses 2-pt layup from 1 ft,24,22
91,2,11:38.0,Defensive rebound by M. Ginóbili,,24,22
92,2,11:26.0,Turnover by M. Ginóbili (bad pass),,24,22
93,2,11:15.0,,J. Green misses 3-pt jump shot from 25 ft,24,22
94,2,11:14.0,Defensive rebound by M. Ginóbili,,24,22
95,2,10:58.0,P. Gasol misses 2-pt hook shot from 9 ft,,24,22
96,2,10:57.0,,Defensive rebound by J. Green,24,22
97,2,10:48.0,,Z. Randolph makes 2-pt layup from 2 ft (assist by M. Conley),24,24
98,2,10:24.0,T. Parker makes 2-pt jump shot from 19 ft,,26,24
99,2,10:13.0,,Turnover by M. Conley (lost ball),26,24
100,2,10:13.0,D. Green enters the game for M. Ginóbili,,26,24
101,2,9:59.0,Turnover by P. Gasol (lost ball; steal by M. Conley),,26,24
102,2,9:58.0,,Personal foul by D. Green (drawn by M. Conley),26,24
103,2,9:46.0,,J. Green makes 2-pt jump shot from 19 ft (assist by M. Conley),26,26
104,2,9:30.0,T. Parker makes 2-pt layup from 1 ft,,28,26
105,2,9:20.0,,Personal foul by J. Simmons (drawn by T. Daniels),28,26
106,2,9:05.0,,J. Green misses 2-pt jump shot from 20 ft,28,26
107,2,9:04.0,Defensive rebound by T. Parker,,28,26
108,2,8:52.0,Personal foul by J. Green (drawn by L. Aldridge),,28,26
109,2,8:52.0,San Antonio full timeout,,28,26
110,2,8:52.0,,M. Gasol enters the game for J. Green,28,26
111,2,8:48.0,P. Gasol misses 2-pt jump shot from 20 ft,,28,26
112,2,8:48.0,,Defensive rebound by Z. Randolph,28,26
113,2,8:25.0,,Z. Randolph misses 2-pt jump shot from 19 ft,28,26
114,2,8:22.0,Defensive rebound by P. Gasol,,28,26
115,2,8:11.0,P. Gasol misses 2-pt jump shot from 7 ft,,28,26
116,2,8:09.0,,Defensive rebound by Z. Randolph,28,26
117,2,7:55.0,,M. Gasol makes 2-pt jump shot from 9 ft,28,28
118,2,7:35.0,L. Aldridge misses 2-pt hook shot from 5 ft,,28,28
119,2,7:34.0,Offensive rebound by L. Aldridge,,28,28
120,2,7:33.0,L. Aldridge makes 2-pt layup at rim,,30,28
121,2,7:18.0,,M. Conley makes 2-pt jump shot from 7 ft,30,30
122,2,7:04.0,Offensive foul by L. Aldridge (drawn by M. Conley),,30,30
123,2,7:04.0,Turnover by L. Aldridge (offensive foul),,30,30
124,2,7:04.0,K. Leonard enters the game for J. Simmons,,30,30
125,2,7:04.0,D. Lee enters the game for P. Gasol,,30,30
126,2,6:45.0,,W. Selden makes 2-pt layup from 1 ft (assist by T. Daniels),30,32
127,2,6:41.0,San Antonio full timeout,,30,32
128,2,6:41.0,,V. Carter enters the game for W. Selden,30,32
129,2,6:27.0,K. Leonard makes 2-pt jump shot from 20 ft,,32,32
130,2,6:10.0,,M. Gasol makes 3-pt jump shot from 25 ft (assist by M. Conley),32,35
131,2,5:46.0,Shooting foul by M. Conley (drawn by D. Lee),,32,35
132,2,5:46.0,D. Lee misses free throw 1 of 2,,32,35
133,2,5:46.0,Offensive rebound by Team,,32,35
134,2,5:46.0,P. Mills enters the game for T. Parker,,32,35
135,2,5:46.0,D. Lee makes free throw 2 of 2,,33,35
136,2,5:32.0,,Turnover by Z. Randolph (lost ball; steal by K. Leonard),33,35
137,2,5:32.0,Personal foul by Z. Randolph (drawn by K. Leonard),,33,35
138,2,5:14.0,L. Aldridge makes 2-pt jump shot from 14 ft,,35,35
139,2,4:57.0,,Shooting foul by L. Aldridge (drawn by M. Gasol),35,35
140,2,4:57.0,,M. Gasol makes free throw 1 of 2,35,36
141,2,4:57.0,,M. Gasol makes free throw 2 of 2,35,37
142,2,4:37.0,K. Leonard makes 2-pt jump shot from 12 ft,,37,37
143,2,4:14.0,,Turnover by V. Carter (bad pass; steal by D. Green),37,37
144,2,4:06.0,D. Green misses 2-pt jump shot from 20 ft,,37,37
145,2,4:05.0,Offensive rebound by L. Aldridge,,37,37
146,2,4:05.0,Turnover by L. Aldridge (lost ball),,37,37
147,2,3:49.0,,Personal block foul by D. Green (drawn by V. Carter),37,37
148,2,3:39.0,,T. Daniels makes 3-pt jump shot from 27 ft (assist by M. Conley),37,40
149,2,3:22.0,P. Mills makes 3-pt jump shot from 26 ft (assist by D. Green),,40,40
150,2,3:11.0,,V. Carter makes 3-pt jump shot from 27 ft (assist by M. Conley),40,43
151,2,2:55.0,K. Leonard misses 2-pt jump shot from 22 ft,,40,43
152,2,2:55.0,,Defensive rebound by Z. Randolph,40,43
153,2,2:45.0,,M. Gasol makes 2-pt jump shot from 8 ft (assist by T. Daniels),40,45
154,2,2:45.0,San Antonio full timeout,,40,45
155,2,2:45.0,,Memphis full timeout,40,45
156,2,2:45.0,M. Ginóbili enters the game for D. Lee,,40,45
157,2,2:45.0,D. Bertāns enters the game for D. Green,,40,45
158,2,2:29.0,K. Leonard makes 2-pt layup from 1 ft (assist by L. Aldridge),,42,45
159,2,2:10.0,,Z. Randolph makes 2-pt hook shot from 7 ft (assist by M. Gasol),42,47
160,2,2:10.0,,Shooting foul by D. Bertāns (drawn by Z. Randolph),42,47
161,2,2:10.0,,Z. Randolph misses free throw 1 of 1,42,47
162,2,2:10.0,T. Parker enters the game for P. Mills,,42,47
163,2,2:09.0,Defensive rebound by L. Aldridge,,42,47
164,2,1:51.0,Shooting foul by V. Carter (drawn by K. Leonard),,42,47
165,2,1:51.0,K. Leonard makes free throw 1 of 2,,43,47
166,2,1:51.0,K. Leonard misses free throw 2 of 2,,43,47
167,2,1:51.0,P. Gasol enters the game for D. Bertāns,,43,47
168,2,1:50.0,,Defensive rebound by V. Carter,43,47
169,2,1:38.0,Offensive charge foul by V. Carter (drawn by M. Ginóbili),,43,47
170,2,1:38.0,,Turnover by V. Carter (offensive foul),43,47
171,2,1:23.0,Shooting foul by V. Carter (drawn by K. Leonard),,43,47
172,2,1:23.0,K. Leonard makes free throw 1 of 2,,44,47
173,2,1:23.0,,J. Ennis enters the game for V. Carter,44,47
