,QUARTER,TIME_REMAINING,INDIANA_ACTION,MIAMI_ACTION,INDIANA_SCORE,MIAMI_SCORE
0,1,11:43.0,,W. Ellington misses 3-pt jump shot from 26 ft,0,0
1,1,11:42.0,Defensive rebound by P. George,,0,0
2,1,11:29.0,T. Young misses 2-pt layup from 1 ft,,0,0
3,1,11:28.0,,Defensive rebound by H. Whiteside,0,0
4,1,11:27.0,,Personal foul by T. Young (drawn by H. Whiteside),0,0
5,1,11:14.0,,G. Dragić misses 2-pt jump shot from 18 ft,0,0
6,1,11:13.0,Defensive rebound by P. George,,0,0
7,1,11:12.0,Turnover by P. George (bad pass; steal by G. Dragić),,0,0
8,1,11:01.0,,H. Whiteside makes 2-pt hook shot from 6 ft (assist by W. Ellington),0,2
9,1,10:46.0,Personal foul by R. McGruder (drawn by P. George),,0,2
10,1,10:34.0,J. Teague misses 3-pt jump shot from 25 ft,,0,2
11,1,10:33.0,,Defensive rebound by R. McGruder,0,2
12,1,10:12.0,,G. Dragić misses 2-pt jump shot from 9 ft,0,2
13,1,10:11.0,Defensive rebound by J. Teague,,0,2
14,1,10:02.0,M. Turner misses 2-pt jump shot from 9 ft,,0,2
15,1,10:01.0,,Defensive rebound by J. McRoberts,0,2
16,1,9:49.0,,Turnover by G. Dragić (bad pass; steal by T. Young),0,2
17,1,9:47.0,Clear path foul by R. McGruder,,0,2
18,1,9:47.0,G. Robinson makes clear path free throw 1 of 2,,1,2
19,1,9:47.0,G. Robinson makes clear path free throw 2 of 2,,2,2
20,1,9:31.0,J. Teague misses 2-pt jump shot from 10 ft,,2,2
21,1,9:30.0,,Defensive rebound by G. Dragić,2,2
22,1,9:19.0,,Turnover by G. Dragić (3 sec),2,2
23,1,9:06.0,P. George misses 2-pt jump shot from 12 ft,,2,2
24,1,9:05.0,,Defensive rebound by J. McRoberts,2,2
25,1,8:56.0,,H. Whiteside makes 2-pt dunk at rim (assist by G. Dragić),2,4
26,1,8:36.0,P. George misses 2-pt jump shot from 12 ft,,2,4
27,1,8:35.0,,Defensive rebound by J. McRoberts,2,4
28,1,8:26.0,,R. McGruder misses 3-pt jump shot from 24 ft,2,4
29,1,8:25.0,,Offensive rebound by R. McGruder,2,4
30,1,8:18.0,,W. Ellington misses 3-pt jump shot from 25 ft,2,4
31,1,8:17.0,,Offensive rebound by Team,2,4
32,1,8:13.0,,Turnover by W. Ellington (lost ball; steal by M. Turner),2,4
33,1,8:08.0,T. Young makes 2-pt layup from 2 ft (assist by G. Robinson),,4,4
34,1,7:53.0,,Turnover by G. Dragić (bad pass),4,4
35,1,7:33.0,J. Teague misses 2-pt jump shot from 13 ft,,4,4
36,1,7:32.0,,Defensive rebound by W. Ellington,4,4
37,1,7:25.0,,Turnover by H. Whiteside (lost ball),4,4
38,1,7:11.0,G. Robinson misses 2-pt jump shot from 13 ft,,4,4
39,1,7:10.0,,Defensive rebound by G. Dragić,4,4
40,1,7:01.0,,G. Dragić misses 2-pt jump shot from 12 ft,4,4
41,1,7:00.0,,Offensive rebound by R. McGruder,4,4
42,1,6:55.0,,R. McGruder misses 3-pt jump shot from 24 ft,4,4
43,1,6:54.0,Defensive rebound by J. Teague,,4,4
44,1,6:50.0,G. Robinson makes 2-pt dunk at rim (assist by J. Teague),,6,4
45,1,6:35.0,,W. Ellington makes 3-pt jump shot from 24 ft (assist by G. Dragić),6,7
46,1,6:24.0,P. George makes 2-pt jump shot from 16 ft,,8,7
47,1,5:58.0,,J. McRoberts makes 2-pt jump shot from 17 ft (assist by G. Dragić),8,9
48,1,5:46.0,J. Teague makes 2-pt hook shot from 6 ft,,10,9
49,1,5:46.0,Shooting foul by J. McRoberts (drawn by J. Teague),,10,9
50,1,5:46.0,,Miami full timeout,10,9
51,1,5:46.0,,J. Richardson enters the game for R. McGruder,10,9
52,1,5:46.0,J. Teague makes free throw 1 of 1,,11,9
53,1,5:32.0,,Turnover by J. Richardson (bad pass; steal by T. Young),11,9
54,1,5:29.0,T. Young makes 2-pt dunk at rim,,13,9
55,1,5:12.0,,W. Ellington misses 2-pt jump shot from 12 ft,13,9
56,1,5:11.0,,Offensive rebound by H. Whiteside,13,9
57,1,5:10.0,,H. Whiteside makes 2-pt layup at rim,13,11
58,1,4:57.0,J. Teague makes 2-pt jump shot from 8 ft,,15,11
59,1,4:46.0,,G. Dragić misses 2-pt jump shot from 10 ft,15,11
60,1,4:45.0,,Offensive rebound by H. Whiteside,15,11
61,1,4:44.0,,H. Whiteside misses 2-pt layup from 1 ft,15,11
62,1,4:43.0,Defensive rebound by M. Turner,,15,11
63,1,4:37.0,P. George misses 3-pt jump shot from 25 ft,,15,11
64,1,4:36.0,,Defensive rebound by W. Ellington,15,11
65,1,4:18.0,,Turnover by J. Richardson (traveling),15,11
66,1,4:18.0,,J. Johnson enters the game for J. McRoberts,15,11
67,1,4:18.0,,T. Johnson enters the game for W. Ellington,15,11
68,1,4:18.0,R. Stuckey enters the game for G. Robinson,,15,11
69,1,4:05.0,M. Turner misses 2-pt jump shot from 22 ft,,15,11
70,1,4:04.0,,Defensive rebound by J. Richardson,15,11
71,1,3:57.0,,T. Johnson makes 3-pt jump shot from 25 ft (assist by J. Richardson),15,14
72,1,3:44.0,M. Turner misses 3-pt jump shot from 25 ft,,15,14
73,1,3:43.0,,Defensive rebound by H. Whiteside,15,14
74,1,3:37.0,,G. Dragić misses 2-pt layup from 2 ft,15,14
75,1,3:36.0,,Offensive rebound by H. Whiteside,15,14
76,1,3:34.0,,H. Whiteside makes 2-pt layup from 2 ft,15,16
77,1,3:30.0,Indiana full timeout,,15,16
78,1,3:30.0,C. Miles enters the game for T. Young,,15,16
79,1,3:30.0,A. Jefferson enters the game for M. Turner,,15,16
80,1,3:15.0,Def 3 sec tech foul by J. Richardson,,15,16
81,1,3:15.0,P. George makes technical free throw,,16,16
82,1,3:11.0,P. George misses 2-pt jump shot from 12 ft,,16,16
83,1,3:10.0,Offensive rebound by P. George,,16,16
84,1,3:06.0,P. George misses 2-pt jump shot from 6 ft,,16,16
85,1,3:05.0,,Defensive rebound by J. Richardson,16,16
86,1,3:02.0,,Personal foul by P. George (drawn by J. Richardson),16,16
87,1,2:46.0,,Turnover by J. Johnson (lost ball; steal by A. Jefferson),16,16
88,1,2:33.0,R. Stuckey misses 2-pt layup from 3 ft,,16,16
89,1,2:32.0,,Defensive rebound by H. Whiteside,16,16
90,1,2:28.0,,Turnover by J. Richardson (bad pass; steal by J. Teague),16,16
91,1,2:23.0,P. George misses 3-pt jump shot from 25 ft,,16,16
92,1,2:22.0,,Defensive rebound by H. Whiteside,16,16
93,1,2:13.0,Offensive charge foul by H. Whiteside (drawn by C. Miles),,16,16
94,1,2:13.0,,Turnover by H. Whiteside (offensive foul),16,16
95,1,2:13.0,G. Robinson enters the game for P. George,,16,16
96,1,2:13.0,A. Brooks enters the game for J. Teague,,16,16
97,1,1:50.0,C. Miles makes 2-pt jump shot from 22 ft,,18,16
98,1,1:31.0,,H. Whiteside makes 2-pt layup from 2 ft (assist by J. Johnson),18,18
99,1,1:11.0,R. Stuckey misses 2-pt jump shot from 19 ft,,18,18
100,1,1:10.0,,Defensive rebound by H. Whiteside,18,18
101,1,0:58.0,,H. Whiteside misses 2-pt jump shot from 17 ft,18,18
102,1,0:57.0,Defensive rebound by R. Stuckey,,18,18
103,1,0:48.0,Shooting foul by H. Whiteside (drawn by A. Jefferson),,18,18
104,1,0:48.0,A. Jefferson misses free throw 1 of 2,,18,18
105,1,0:48.0,Offensive rebound by Team,,18,18
106,1,0:48.0,,J. Winslow enters the game for G. Dragić,18,18
107,1,0:48.0,,W. Reed enters the game for H. Whiteside,18,18
