,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,HOUSTON_ACTION,SAN ANTONIO_SCORE,HOUSTON_SCORE
0,1,11:42.0,L. Aldridge misses 2-pt jump shot from 20 ft,,0,0
1,1,11:42.0,,Defensive rebound by T. Ariza,0,0
2,1,11:28.0,,J. Harden misses 2-pt jump shot from 11 ft,0,0
3,1,11:26.0,,Offensive rebound by N. Hilário,0,0
4,1,11:21.0,,P. Beverley misses 3-pt jump shot from 25 ft,0,0
5,1,11:20.0,Defensive rebound by P. Gasol,,0,0
6,1,11:07.0,T. Parker makes 2-pt jump shot from 18 ft,,2,0
7,1,10:53.0,,T. Ariza misses 2-pt layup from 3 ft,2,0
8,1,10:52.0,Defensive rebound by P. Gasol,,2,0
9,1,10:44.0,T. Parker misses 2-pt jump shot from 21 ft,,2,0
10,1,10:43.0,,Defensive rebound by N. Hilário,2,0
11,1,10:35.0,,J. Harden misses 2-pt jump shot from 12 ft (block by D. Green),2,0
12,1,10:34.0,Defensive rebound by P. Gasol,,2,0
13,1,10:23.0,Personal foul by T. Ariza (drawn by L. Aldridge),,2,0
14,1,10:09.0,K. Leonard misses 2-pt jump shot from 12 ft,,2,0
15,1,10:08.0,,Defensive rebound by R. Anderson,2,0
16,1,10:00.0,,T. Ariza misses 3-pt jump shot from 26 ft,2,0
17,1,10:00.0,,Offensive rebound by N. Hilário,2,0
18,1,9:56.0,,T. Ariza makes 2-pt layup from 3 ft (assist by N. Hilário),2,2
19,1,9:38.0,P. Gasol makes 2-pt jump shot from 19 ft (assist by T. Parker),,4,2
20,1,9:26.0,,R. Anderson misses 2-pt jump shot from 18 ft,4,2
21,1,9:25.0,Defensive rebound by L. Aldridge,,4,2
22,1,9:06.0,K. Leonard misses 2-pt jump shot from 7 ft,,4,2
23,1,9:05.0,Offensive rebound by P. Gasol,,4,2
24,1,9:04.0,P. Gasol makes 2-pt layup from 1 ft,,6,2
25,1,8:48.0,,J. Harden makes 2-pt jump shot from 9 ft,6,4
26,1,8:30.0,D. Green misses 3-pt jump shot from 24 ft,,6,4
27,1,8:29.0,,Defensive rebound by T. Ariza,6,4
28,1,8:19.0,,J. Harden makes 2-pt dunk at rim (assist by R. Anderson),6,6
29,1,7:58.0,P. Gasol misses 2-pt jump shot from 20 ft,,6,6
30,1,7:57.0,,Defensive rebound by P. Beverley,6,6
31,1,7:48.0,,N. Hilário makes 2-pt layup from 2 ft (assist by J. Harden),6,8
32,1,7:35.0,Personal block foul by N. Hilário (drawn by P. Gasol),,6,8
33,1,7:23.0,K. Leonard makes 2-pt jump shot from 6 ft,,8,8
34,1,7:16.0,,Shooting foul by L. Aldridge (drawn by T. Ariza),8,8
35,1,7:16.0,,T. Ariza makes free throw 1 of 2,8,9
36,1,7:16.0,,T. Ariza misses free throw 2 of 2,8,9
37,1,7:16.0,Defensive rebound by P. Gasol,,8,9
38,1,7:16.0,,M. Harrell enters the game for N. Hilário,8,9
39,1,7:02.0,Def 3 sec tech foul by P. Beverley,,8,9
40,1,7:02.0,K. Leonard makes technical free throw,,9,9
41,1,6:50.0,,Offensive charge foul by D. Green (drawn by M. Harrell),9,9
42,1,6:50.0,Turnover by D. Green (offensive foul),,9,9
43,1,6:39.0,,J. Harden makes 2-pt dunk at rim (assist by M. Harrell),9,11
44,1,6:39.0,San Antonio full timeout,,9,11
45,1,6:39.0,,E. Gordon enters the game for P. Beverley,9,11
46,1,6:29.0,Turnover by P. Gasol (bad pass; steal by M. Harrell),,9,11
47,1,6:24.0,,M. Harrell makes 2-pt layup from 2 ft (assist by J. Harden),9,13
48,1,6:05.0,T. Parker makes 2-pt jump shot from 20 ft,,11,13
49,1,5:44.0,,Turnover by E. Gordon (bad pass; steal by K. Leonard),11,13
50,1,5:34.0,L. Aldridge makes 2-pt layup from 2 ft (assist by P. Gasol),,13,13
51,1,5:14.0,,R. Anderson misses 2-pt jump shot from 22 ft,13,13
52,1,5:13.0,Defensive rebound by P. Gasol,,13,13
53,1,4:58.0,L. Aldridge misses 2-pt jump shot from 16 ft,,13,13
54,1,4:57.0,,Defensive rebound by J. Harden,13,13
55,1,4:49.0,,R. Anderson misses 3-pt jump shot from 27 ft,13,13
56,1,4:49.0,Defensive rebound by D. Green,,13,13
57,1,4:39.0,T. Parker misses 2-pt layup from 4 ft (block by E. Gordon),,13,13
58,1,4:37.0,Offensive rebound by T. Parker,,13,13
59,1,4:23.0,D. Green misses 3-pt jump shot from 26 ft,,13,13
60,1,4:21.0,,Defensive rebound by J. Harden,13,13
61,1,4:13.0,,T. Ariza misses 3-pt jump shot from 24 ft,13,13
62,1,4:12.0,Defensive rebound by P. Gasol,,13,13
63,1,4:09.0,,S. Dekker enters the game for R. Anderson,13,13
64,1,4:09.0,P. Mills enters the game for P. Gasol,,13,13
65,1,4:09.0,D. Lee enters the game for D. Green,,13,13
66,1,4:09.0,M. Ginóbili enters the game for T. Parker,,13,13
67,1,4:02.0,Shooting foul by M. Harrell (drawn by L. Aldridge),,13,13
68,1,4:02.0,L. Aldridge misses free throw 1 of 2,,13,13
69,1,4:02.0,Offensive rebound by Team,,13,13
70,1,4:02.0,L. Aldridge makes free throw 2 of 2,,14,13
71,1,3:46.0,,E. Gordon misses 2-pt layup from 2 ft (block by D. Lee),14,13
72,1,3:45.0,Defensive rebound by D. Lee,,14,13
73,1,3:40.0,K. Leonard makes 2-pt jump shot from 5 ft,,16,13
74,1,3:29.0,,J. Harden makes 2-pt layup from 1 ft,16,15
75,1,3:17.0,M. Ginóbili misses 3-pt jump shot from 25 ft,,16,15
76,1,3:17.0,,Defensive rebound by J. Harden,16,15
77,1,3:10.0,,Shooting foul by M. Ginóbili (drawn by J. Harden),16,15
78,1,3:10.0,,J. Harden makes free throw 1 of 3,16,16
79,1,3:10.0,,J. Harden makes free throw 2 of 3,16,17
80,1,3:10.0,,J. Harden makes free throw 3 of 3,16,18
81,1,2:48.0,L. Aldridge misses 2-pt layup from 2 ft,,16,18
82,1,2:47.0,Offensive rebound by L. Aldridge,,16,18
83,1,2:47.0,L. Aldridge makes 2-pt layup from 1 ft,,18,18
84,1,2:32.0,,M. Harrell misses 2-pt layup from 2 ft,18,18
85,1,2:31.0,,Offensive rebound by J. Harden,18,18
86,1,2:28.0,,S. Dekker misses 3-pt jump shot from 25 ft,18,18
87,1,2:27.0,Defensive rebound by K. Leonard,,18,18
88,1,2:21.0,P. Mills makes 2-pt layup from 3 ft (assist by K. Leonard),,20,18
89,1,2:01.0,,S. Dekker makes 2-pt dunk at rim (assist by E. Gordon),20,20
90,1,1:35.0,P. Mills makes 2-pt jump shot from 19 ft (assist by L. Aldridge),,22,20
91,1,1:21.0,,S. Dekker misses 2-pt jump shot from 6 ft,22,20
92,1,1:20.0,,Offensive rebound by M. Harrell,22,20
93,1,1:20.0,,M. Harrell misses 2-pt layup from 1 ft,22,20
94,1,1:19.0,,Offensive rebound by S. Dekker,22,20
95,1,1:16.0,,M. Harrell makes 2-pt dunk at rim (assist by S. Dekker),22,22
96,1,0:49.0,K. Leonard misses 2-pt layup from 3 ft,,22,22
97,1,0:47.0,Offensive rebound by L. Aldridge,,22,22
98,1,0:47.0,L. Aldridge makes 2-pt layup from 1 ft,,24,22
99,1,0:29.0,,J. Harden misses 3-pt jump shot from 26 ft,24,22
100,1,0:28.0,,Offensive rebound by S. Dekker,24,22
101,1,0:28.0,,S. Dekker makes 2-pt layup from 2 ft,24,24
102,1,0:07.0,K. Leonard misses 2-pt jump shot from 6 ft,,24,24
103,1,0:06.0,Offensive rebound by L. Aldridge,,24,24
104,1,0:03.0,L. Aldridge makes 2-pt jump shot from 20 ft,,26,24
105,2,11:49.0,,E. Gordon misses 3-pt jump shot from 25 ft,26,24
106,2,11:48.0,Defensive rebound by D. Dedmon,,26,24
107,2,11:35.0,M. Ginóbili makes 3-pt jump shot from 25 ft (assist by D. Lee),,29,24
108,2,11:06.0,,S. Dekker misses 3-pt jump shot from 26 ft,29,24
109,2,11:06.0,Defensive rebound by M. Ginóbili,,29,24
110,2,11:02.0,Turnover by M. Ginóbili (bad pass; steal by P. Beverley),,29,24
111,2,10:57.0,,S. Dekker makes 2-pt dunk at rim (assist by C. Brewer),29,26
112,2,10:45.0,Shooting foul by E. Gordon (drawn by J. Simmons),,29,26
113,2,10:45.0,J. Simmons misses free throw 1 of 2,,29,26
114,2,10:45.0,Offensive rebound by Team,,29,26
115,2,10:45.0,J. Simmons makes free throw 2 of 2,,30,26
116,2,10:29.0,,S. Dekker misses 2-pt jump shot from 4 ft,30,26
117,2,10:27.0,,Offensive rebound by R. Anderson,30,26
118,2,10:27.0,,R. Anderson misses 2-pt layup from 1 ft,30,26
119,2,10:26.0,,Offensive rebound by R. Anderson,30,26
120,2,10:26.0,,R. Anderson makes 2-pt layup from 2 ft,30,28
121,2,10:06.0,D. Lee misses 2-pt layup from 3 ft (block by S. Dekker),,30,28
122,2,10:05.0,,Defensive rebound by R. Anderson,30,28
123,2,9:52.0,,E. Gordon misses 3-pt jump shot from 26 ft,30,28
124,2,9:51.0,,Offensive rebound by C. Brewer,30,28
125,2,9:47.0,,Turnover by S. Dekker (bad pass; steal by M. Ginóbili),30,28
126,2,9:37.0,P. Mills makes 3-pt jump shot from 25 ft,,33,28
127,2,9:20.0,,P. Beverley misses 3-pt jump shot from 23 ft,33,28
128,2,9:19.0,,Offensive rebound by S. Dekker,33,28
129,2,9:15.0,,P. Beverley misses 3-pt jump shot from 26 ft,33,28
130,2,9:14.0,Defensive rebound by D. Lee,,33,28
131,2,9:03.0,,Violation by E. Gordon (kicked ball),33,28
132,2,9:00.0,Offensive foul by D. Dedmon (drawn by P. Beverley),,33,28
133,2,9:00.0,Turnover by D. Dedmon (offensive foul),,33,28
134,2,8:46.0,,E. Gordon makes 2-pt jump shot from 18 ft,33,30
135,2,8:44.0,San Antonio full timeout,,33,30
136,2,8:44.0,D. Green enters the game for M. Ginóbili,,33,30
137,2,8:23.0,D. Lee makes 2-pt layup from 3 ft (assist by J. Simmons),,35,30
138,2,8:11.0,,P. Beverley makes 2-pt layup from 2 ft,35,32
139,2,7:54.0,Turnover by P. Mills (bad pass; steal by P. Beverley),,35,32
140,2,7:44.0,,R. Anderson misses 3-pt jump shot from 26 ft,35,32
141,2,7:43.0,,Offensive rebound by S. Dekker,35,32
142,2,7:22.0,,E. Gordon misses 2-pt jump shot from 21 ft,35,32
