,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,NEW ORLEANS_ACTION,WASHINGTON_SCORE,NEW ORLEANS_SCORE
0,1,11:40.0,M. Gortat makes 2-pt jump shot from 9 ft,,2,0
1,1,11:22.0,,Turnover by B. Hield (bad pass; steal by J. Wall),2,0
2,1,11:19.0,J. Wall makes 2-pt layup from 2 ft,,4,0
3,1,11:14.0,,B. Hield misses 3-pt jump shot from 25 ft,4,0
4,1,11:12.0,Defensive rebound by B. Beal,,4,0
5,1,10:51.0,M. Gortat misses 2-pt layup from 2 ft (block by A. Davis),,4,0
6,1,10:50.0,,Defensive rebound by J. Holiday,4,0
7,1,10:34.0,,A. Davis misses 2-pt jump shot from 20 ft,4,0
8,1,10:33.0,Defensive rebound by M. Gortat,,4,0
9,1,10:22.0,B. Beal makes 2-pt jump shot from 22 ft (assist by J. Wall),,6,0
10,1,10:10.0,,S. Hill misses 3-pt jump shot from 27 ft,6,0
11,1,10:08.0,Defensive rebound by M. Gortat,,6,0
12,1,9:59.0,O. Porter makes 3-pt jump shot from 26 ft (assist by J. Wall),,9,0
13,1,9:37.0,,J. Holiday misses 2-pt jump shot from 15 ft,9,0
14,1,9:35.0,,Offensive rebound by D. Cunningham,9,0
15,1,9:34.0,,D. Cunningham makes 2-pt hook shot from 6 ft,9,2
16,1,9:24.0,B. Beal makes 2-pt dunk at rim (assist by J. Wall),,11,2
17,1,9:20.0,,New Orleans full timeout,11,2
18,1,9:11.0,,A. Davis makes 2-pt layup from 2 ft (assist by S. Hill),11,4
19,1,8:54.0,M. Gortat misses 2-pt jump shot from 3 ft,,11,4
20,1,8:52.0,,Defensive rebound by A. Davis,11,4
21,1,8:44.0,,S. Hill makes 3-pt jump shot from 26 ft (assist by J. Holiday),11,7
22,1,8:24.0,M. Morris misses 2-pt jump shot from 6 ft,,11,7
23,1,8:23.0,Offensive rebound by M. Gortat,,11,7
24,1,8:20.0,J. Wall misses 3-pt jump shot from 24 ft,,11,7
25,1,8:18.0,Offensive rebound by M. Morris,,11,7
26,1,8:18.0,M. Morris misses 2-pt layup from 2 ft,,11,7
27,1,8:17.0,Offensive rebound by M. Morris,,11,7
28,1,8:16.0,M. Morris makes 2-pt layup from 2 ft,,13,7
29,1,7:59.0,,J. Holiday makes 2-pt layup from 2 ft (assist by A. Davis),13,9
30,1,7:44.0,M. Morris makes 2-pt dunk at rim (assist by J. Wall),,15,9
31,1,7:31.0,,A. Davis misses 2-pt jump shot from 21 ft,15,9
32,1,7:29.0,Defensive rebound by M. Gortat,,15,9
33,1,7:21.0,B. Beal misses 2-pt layup from 2 ft,,15,9
34,1,7:19.0,,Defensive rebound by A. Davis,15,9
35,1,7:04.0,,J. Holiday misses 3-pt jump shot from 25 ft,15,9
36,1,7:03.0,Defensive rebound by O. Porter,,15,9
37,1,6:56.0,J. Wall makes 2-pt jump shot from 13 ft,,17,9
38,1,6:37.0,,Turnover by A. Davis (lost ball; steal by O. Porter),17,9
39,1,6:32.0,B. Beal makes 2-pt dunk at rim (assist by J. Wall),,19,9
40,1,6:14.0,,B. Hield misses 3-pt jump shot from 26 ft,19,9
41,1,6:12.0,,Offensive rebound by A. Davis,19,9
42,1,5:56.0,,A. Davis makes 2-pt jump shot from 14 ft,19,11
43,1,5:48.0,M. Morris misses 2-pt jump shot from 8 ft,,19,11
44,1,5:46.0,,Defensive rebound by B. Hield,19,11
45,1,5:40.0,,B. Hield misses 2-pt layup from 2 ft,19,11
46,1,5:39.0,,Offensive rebound by J. Holiday,19,11
47,1,5:38.0,,J. Holiday makes 2-pt layup from 2 ft,19,13
48,1,5:14.0,M. Gortat misses 2-pt hook shot from 7 ft,,19,13
49,1,5:13.0,,Defensive rebound by S. Hill,19,13
50,1,5:04.0,Loose ball foul by O. Porter (drawn by S. Hill),,19,13
51,1,5:04.0,K. Oubre enters the game for M. Morris,,19,13
52,1,4:58.0,,Offensive foul by A. Davis (drawn by O. Porter),19,13
53,1,4:58.0,,Turnover by A. Davis (offensive foul),19,13
54,1,4:58.0,,T. Evans enters the game for S. Hill,19,13
55,1,4:58.0,,D. Motiejūnas enters the game for B. Hield,19,13
56,1,4:41.0,M. Gortat makes 2-pt hook shot from 8 ft,,21,13
57,1,4:31.0,,T. Evans misses 3-pt jump shot from 26 ft,21,13
58,1,4:28.0,Defensive rebound by K. Oubre,,21,13
59,1,4:15.0,O. Porter makes 3-pt jump shot from 26 ft (assist by J. Wall),,24,13
60,1,4:07.0,,New Orleans full timeout,24,13
61,1,3:57.0,,A. Davis misses 2-pt jump shot from 17 ft,24,13
62,1,3:55.0,Defensive rebound by O. Porter,,24,13
63,1,3:40.0,Turnover by J. Wall (bad pass; steal by A. Davis),,24,13
64,1,3:37.0,,A. Davis makes 2-pt dunk at rim,24,15
65,1,3:18.0,Shooting foul by D. Motiejūnas (drawn by M. Gortat),,24,15
66,1,3:18.0,M. Gortat makes free throw 1 of 2,,25,15
67,1,3:18.0,T. Satoranský enters the game for B. Beal,,25,15
68,1,3:18.0,M. Gortat makes free throw 2 of 2,,26,15
69,1,3:07.0,,D. Motiejūnas makes 2-pt hook shot from 5 ft (assist by D. Cunningham),26,17
70,1,2:49.0,J. Wall makes 2-pt dunk at rim,,28,17
71,1,2:36.0,,Personal foul by M. Gortat (drawn by A. Davis),28,17
72,1,2:36.0,Washington full timeout,,28,17
73,1,2:28.0,,D. Motiejūnas makes 2-pt hook shot from 10 ft,28,19
74,1,2:11.0,Shooting block foul by D. Motiejūnas (drawn by J. Wall),,28,19
75,1,2:11.0,J. Wall makes free throw 1 of 2,,29,19
76,1,2:11.0,J. Wall misses free throw 2 of 2,,29,19
77,1,2:11.0,,Defensive rebound by A. Davis,29,19
78,1,2:11.0,,T. Jones enters the game for D. Motiejūnas,29,19
79,1,1:59.0,,Personal foul by K. Oubre (drawn by J. Holiday),29,19
80,1,1:59.0,J. Smith enters the game for M. Gortat,,29,19
81,1,1:53.0,,J. Holiday makes 2-pt layup from 2 ft,29,21
82,1,1:35.0,J. Smith misses 2-pt jump shot from 18 ft,,29,21
83,1,1:34.0,,Defensive rebound by D. Cunningham,29,21
84,1,1:26.0,,Turnover by A. Davis (traveling),29,21
85,1,1:18.0,J. Wall misses 2-pt jump shot from 18 ft,,29,21
86,1,1:15.0,,Defensive rebound by Team,29,21
87,1,1:01.0,,A. Davis misses 2-pt hook shot from 12 ft,29,21
88,1,1:00.0,,Offensive rebound by Team,29,21
89,1,1:00.0,,E. Moore enters the game for J. Holiday,29,21
90,1,0:54.0,,T. Evans makes 2-pt layup from 2 ft (assist by T. Jones),29,23
91,1,0:43.0,K. Oubre misses 2-pt jump shot from 16 ft,,29,23
92,1,0:39.0,Offensive rebound by O. Porter,,29,23
93,1,0:35.0,O. Porter misses 3-pt jump shot from 23 ft,,29,23
94,1,0:34.0,,Defensive rebound by A. Davis,29,23
95,1,0:18.0,,Turnover by A. Davis (lost ball),29,23
96,1,0:05.0,Personal take foul by E. Moore (drawn by J. Wall),,29,23
97,1,0:00.0,J. Wall misses 2-pt jump shot from 6 ft (block by A. Davis),,29,23
98,1,0:00.0,Offensive rebound by Team,,29,23
99,2,11:43.0,,T. Evans misses 2-pt layup from 2 ft,29,23
100,2,11:42.0,Defensive rebound by K. Oubre,,29,23
