,QUARTER,TIME_REMAINING,ORLANDO_ACTION,PHILADELPHIA_ACTION,ORLANDO_SCORE,PHILADELPHIA_SCORE
0,1,11:39.0,,E. İlyasova misses 2-pt layup from 1 ft,0,0
1,1,11:37.0,,Offensive rebound by J. Embiid,0,0
2,1,11:37.0,,J. Embiid misses 2-pt layup from 1 ft,0,0
3,1,11:35.0,,Offensive rebound by J. Embiid,0,0
4,1,11:35.0,,J. Embiid misses 2-pt layup from 2 ft,0,0
5,1,11:33.0,,Offensive rebound by J. Embiid,0,0
6,1,11:32.0,,J. Embiid misses 2-pt jump shot from 9 ft,0,0
7,1,11:31.0,Defensive rebound by B. Biyombo,,0,0
8,1,11:20.0,Offensive foul by D. Augustin (drawn by E. İlyasova),,0,0
9,1,11:20.0,Turnover by D. Augustin (offensive foul),,0,0
10,1,11:02.0,,E. İlyasova misses 3-pt jump shot from 26 ft,0,0
11,1,11:01.0,,Offensive rebound by G. Henderson,0,0
12,1,10:59.0,,G. Henderson makes 2-pt layup from 2 ft,0,2
13,1,10:40.0,A. Gordon makes 3-pt jump shot from 25 ft (assist by B. Biyombo),,3,2
14,1,10:23.0,,R. Covington makes 3-pt jump shot from 25 ft (assist by J. Embiid),3,5
15,1,10:02.0,E. Fournier misses 2-pt jump shot from 5 ft,,3,5
16,1,10:00.0,,Defensive rebound by R. Covington,3,5
17,1,9:50.0,,R. Covington misses 3-pt jump shot from 26 ft,3,5
18,1,9:48.0,Defensive rebound by B. Biyombo,,3,5
19,1,9:44.0,Offensive foul by A. Gordon (drawn by G. Henderson),,3,5
20,1,9:44.0,Turnover by A. Gordon (offensive foul),,3,5
21,1,9:31.0,,J. Embiid makes 2-pt hook shot from 8 ft,3,7
22,1,9:12.0,D. Augustin misses 3-pt jump shot from 25 ft,,3,7
23,1,9:10.0,,Defensive rebound by J. Embiid,3,7
24,1,8:57.0,,J. Embiid misses 2-pt dunk at rim,3,7
25,1,8:56.0,Defensive rebound by E. Fournier,,3,7
26,1,8:48.0,Personal foul by R. Covington (drawn by E. Fournier),,3,7
27,1,8:40.0,A. Gordon misses 2-pt jump shot from 15 ft,,3,7
28,1,8:38.0,,Defensive rebound by S. Rodríguez,3,7
29,1,8:31.0,,S. Rodríguez makes 2-pt jump shot from 19 ft (assist by J. Embiid),3,9
30,1,8:16.0,E. Fournier misses 2-pt jump shot from 9 ft (block by E. İlyasova),,3,9
31,1,8:15.0,Offensive rebound by B. Biyombo,,3,9
32,1,8:15.0,Shooting foul by R. Covington (drawn by B. Biyombo),,3,9
33,1,8:15.0,B. Biyombo misses free throw 1 of 2,,3,9
34,1,8:15.0,Offensive rebound by Team,,3,9
35,1,8:15.0,B. Biyombo misses free throw 2 of 2,,3,9
36,1,8:15.0,,Defensive rebound by G. Henderson,3,9
37,1,8:15.0,,J. Okafor enters the game for R. Covington,3,9
38,1,8:15.0,,N. Stauskas enters the game for J. Embiid,3,9
39,1,8:05.0,,S. Rodríguez misses 2-pt jump shot from 9 ft,3,9
40,1,8:04.0,Defensive rebound by D. Augustin,,3,9
41,1,7:45.0,E. Fournier misses 2-pt jump shot from 18 ft,,3,9
42,1,7:44.0,,Defensive rebound by E. İlyasova,3,9
43,1,7:35.0,,E. İlyasova misses 2-pt jump shot from 10 ft (block by A. Gordon),3,9
44,1,7:33.0,Defensive rebound by S. Ibaka,,3,9
45,1,7:20.0,S. Ibaka misses 3-pt jump shot from 25 ft,,3,9
46,1,7:18.0,,Defensive rebound by J. Okafor,3,9
47,1,7:05.0,,N. Stauskas misses 3-pt jump shot from 26 ft,3,9
48,1,7:03.0,Defensive rebound by A. Gordon,,3,9
49,1,6:48.0,S. Ibaka makes 2-pt hook shot from 9 ft (assist by E. Fournier),,5,9
50,1,6:37.0,,Personal foul by B. Biyombo (drawn by J. Okafor),5,9
51,1,6:37.0,N. Vučević enters the game for B. Biyombo,,5,9
52,1,6:25.0,,J. Okafor misses 2-pt jump shot from 7 ft,5,9
53,1,6:23.0,Defensive rebound by N. Vučević,,5,9
54,1,6:12.0,E. Fournier misses 2-pt jump shot from 4 ft (block by J. Okafor),,5,9
55,1,6:12.0,Offensive rebound by Team,,5,9
56,1,6:03.0,A. Gordon makes 2-pt jump shot from 15 ft (assist by D. Augustin),,7,9
57,1,5:50.0,,G. Henderson misses 2-pt jump shot from 19 ft,7,9
58,1,5:49.0,Defensive rebound by S. Ibaka,,7,9
59,1,5:40.0,D. Augustin misses 2-pt jump shot from 14 ft (block by S. Rodríguez),,7,9
60,1,5:39.0,,Defensive rebound by J. Okafor,7,9
61,1,5:31.0,,Turnover by S. Rodríguez (bad pass; steal by E. Fournier),7,9
62,1,5:27.0,Shooting foul by E. İlyasova (drawn by E. Fournier),,7,9
63,1,5:27.0,,Philadelphia full timeout,7,9
64,1,5:27.0,E. Fournier misses free throw 1 of 2,,7,9
65,1,5:27.0,Offensive rebound by Team,,7,9
66,1,5:27.0,,T. McConnell enters the game for E. İlyasova,7,9
67,1,5:27.0,,D. Šarić enters the game for G. Henderson,7,9
68,1,5:27.0,,H. Thompson enters the game for S. Rodríguez,7,9
69,1,5:27.0,E. Fournier makes free throw 2 of 2,,8,9
70,1,5:11.0,,J. Okafor misses 2-pt jump shot from 10 ft,8,9
71,1,5:09.0,Defensive rebound by D. Augustin,,8,9
72,1,5:07.0,Personal foul by H. Thompson (drawn by D. Augustin),,8,9
73,1,4:51.0,A. Gordon makes 2-pt jump shot from 14 ft,,10,9
74,1,4:31.0,,Turnover by J. Okafor (lost ball; steal by N. Vučević),10,9
75,1,4:25.0,A. Gordon makes 2-pt layup from 1 ft,,12,9
76,1,4:13.0,,T. McConnell misses 2-pt layup from 2 ft,12,9
77,1,4:12.0,Defensive rebound by N. Vučević,,12,9
78,1,3:54.0,N. Vučević misses 2-pt layup from 2 ft,,12,9
79,1,3:51.0,,Defensive rebound by T. McConnell,12,9
80,1,3:30.0,,H. Thompson misses 2-pt layup from 2 ft (block by S. Ibaka),12,9
81,1,3:28.0,Defensive rebound by N. Vučević,,12,9
82,1,3:23.0,A. Gordon misses 2-pt jump shot from 3 ft (block by J. Okafor),,12,9
83,1,3:22.0,Offensive rebound by Team,,12,9
84,1,3:22.0,E. Payton enters the game for D. Augustin,,12,9
85,1,3:22.0,,J. Embiid enters the game for J. Okafor,12,9
86,1,3:22.0,Orlando full timeout,,12,9
87,1,3:06.0,S. Ibaka misses 3-pt jump shot from 25 ft,,12,9
88,1,3:05.0,Offensive rebound by Team,,12,9
89,1,3:05.0,Turnover by Team (shot clock),,12,9
90,1,2:58.0,,Personal foul by S. Ibaka (drawn by J. Embiid),12,9
91,1,2:47.0,,Personal foul by N. Vučević (drawn by J. Embiid),12,9
92,1,2:40.0,,J. Embiid misses 2-pt layup from 2 ft,12,9
93,1,2:39.0,Defensive rebound by N. Vučević,,12,9
94,1,2:28.0,S. Ibaka makes 2-pt hook shot from 11 ft (assist by N. Vučević),,14,9
95,1,2:07.0,,T. McConnell misses 2-pt jump shot from 5 ft,14,9
96,1,2:06.0,Defensive rebound by Team,,14,9
97,1,2:06.0,,Loose ball foul by T. McConnell (drawn by S. Ibaka),14,9
98,1,2:06.0,S. Ibaka misses free throw 1 of 2,,14,9
99,1,2:06.0,Offensive rebound by Team,,14,9
100,1,2:06.0,S. Ibaka makes free throw 2 of 2,,15,9
101,1,1:54.0,J. Green enters the game for S. Ibaka,,15,9
102,1,1:43.0,,T. McConnell misses 2-pt layup from 1 ft,15,9
103,1,1:41.0,Defensive rebound by J. Green,,15,9
104,1,1:35.0,J. Green misses 2-pt layup from 2 ft,,15,9
105,1,1:33.0,,Defensive rebound by N. Stauskas,15,9
106,1,1:26.0,,J. Embiid misses 3-pt jump shot from 26 ft,15,9
107,1,1:24.0,Defensive rebound by A. Gordon,,15,9
108,1,1:17.0,A. Gordon makes 2-pt jump shot from 16 ft (assist by N. Vučević),,17,9
109,1,1:05.0,,D. Šarić misses 2-pt jump shot from 20 ft,17,9
110,1,1:03.0,Defensive rebound by N. Vučević,,17,9
111,1,0:56.0,J. Green misses 2-pt jump shot from 3 ft,,17,9
112,1,0:56.0,Offensive rebound by J. Green,,17,9
113,1,0:56.0,J. Green makes 2-pt layup from 3 ft,,19,9
114,1,0:43.0,,J. Embiid makes 3-pt jump shot from 24 ft (assist by T. McConnell),19,12
115,1,0:23.0,N. Vučević makes 2-pt jump shot from 13 ft (assist by E. Fournier),,21,12
116,1,0:07.0,,Personal foul by E. Payton (drawn by T. McConnell),21,12
117,1,0:02.0,,T. McConnell makes 2-pt layup from 2 ft (assist by J. Embiid),21,14
118,1,0:00.0,J. Green misses 3-pt jump shot from 45 ft,,21,14
119,1,0:00.0,Offensive rebound by Team,,21,14
120,2,11:49.0,Personal foul by T. McConnell (drawn by E. Payton),,21,14
121,2,11:49.0,,J. Embiid enters the game for D. Šarić,21,14
122,2,11:43.0,N. Vučević misses 2-pt jump shot from 17 ft,,21,14
123,2,11:42.0,,Defensive rebound by T. McConnell,21,14
124,2,11:33.0,,Personal foul by N. Vučević (drawn by J. Embiid),21,14
125,2,11:20.0,,J. Embiid makes 3-pt jump shot from 26 ft (assist by N. Stauskas),21,17
126,2,11:06.0,Shooting foul by J. Okafor (drawn by B. Biyombo),,21,17
127,2,11:06.0,B. Biyombo makes free throw 1 of 2,,22,17
128,2,11:06.0,B. Biyombo makes free throw 2 of 2,,23,17
129,2,10:54.0,,J. Okafor makes 2-pt layup from 2 ft (assist by J. Embiid),23,19
130,2,10:39.0,J. Green misses 2-pt layup from 2 ft,,23,19
131,2,10:37.0,,Defensive rebound by J. Okafor,23,19
132,2,10:25.0,,J. Embiid makes 2-pt jump shot from 10 ft,23,21
133,2,10:13.0,Shooting foul by T. McConnell (drawn by E. Payton),,23,21
134,2,10:13.0,E. Payton misses free throw 1 of 2,,23,21
135,2,10:13.0,Offensive rebound by Team,,23,21
136,2,10:13.0,E. Payton misses free throw 2 of 2,,23,21
137,2,10:13.0,,S. Rodríguez enters the game for T. McConnell,23,21
138,2,10:12.0,,Defensive rebound by J. Okafor,23,21
139,2,9:59.0,,N. Stauskas misses 2-pt layup from 1 ft,23,21
140,2,9:54.0,Defensive rebound by J. Meeks,,23,21
141,2,9:49.0,J. Green misses 3-pt jump shot from 24 ft,,23,21
142,2,9:47.0,,Defensive rebound by S. Rodríguez,23,21
143,2,9:41.0,,H. Thompson misses 3-pt jump shot from 25 ft,23,21
144,2,9:39.0,Defensive rebound by N. Vučević,,23,21
145,2,9:34.0,J. Green makes 2-pt dunk at rim (assist by E. Payton),,25,21
146,2,9:34.0,,Philadelphia full timeout,25,21
147,2,9:34.0,,G. Henderson enters the game for N. Stauskas,25,21
148,2,9:34.0,,R. Covington enters the game for H. Thompson,25,21
149,2,9:20.0,,R. Covington misses 3-pt jump shot from 26 ft,25,21
150,2,9:18.0,,Offensive rebound by R. Covington,25,21
151,2,9:04.0,,J. Okafor makes 2-pt dunk at rim (assist by S. Rodríguez),25,23
152,2,8:48.0,J. Meeks makes 3-pt jump shot from 25 ft (assist by J. Green),,28,23
153,2,8:35.0,,G. Henderson misses 2-pt jump shot from 20 ft,28,23
154,2,8:35.0,Defensive rebound by Team,,28,23
155,2,8:14.0,Personal block foul by G. Henderson (drawn by J. Meeks),,28,23
156,2,8:09.0,J. Meeks misses 2-pt jump shot from 11 ft,,28,23
157,2,8:07.0,,Defensive rebound by J. Okafor,28,23
158,2,7:53.0,,J. Embiid misses 2-pt hook shot from 10 ft,28,23
159,2,7:51.0,Defensive rebound by J. Green,,28,23
160,2,7:36.0,N. Vučević misses 2-pt jump shot from 18 ft,,28,23
161,2,7:35.0,,Defensive rebound by J. Embiid,28,23
162,2,7:23.0,,S. Rodríguez misses 2-pt jump shot from 21 ft,28,23
163,2,7:21.0,,Offensive rebound by Team,28,23
164,2,7:10.0,,J. Embiid makes 3-pt jump shot from 25 ft (assist by S. Rodríguez),28,26
165,2,7:08.0,Orlando full timeout,,28,26
166,2,7:08.0,E. Fournier enters the game for J. Meeks,,28,26
167,2,7:08.0,S. Ibaka enters the game for N. Vučević,,28,26
168,2,6:51.0,E. Payton misses 3-pt jump shot from 25 ft,,28,26
169,2,6:50.0,,Defensive rebound by J. Embiid,28,26
170,2,6:36.0,,Turnover by J. Okafor (lost ball; steal by E. Payton),28,26
171,2,6:30.0,E. Payton makes 2-pt layup from 2 ft,,30,26
172,2,6:20.0,,Personal foul by S. Ibaka (drawn by J. Okafor),30,26
173,2,6:20.0,,E. İlyasova enters the game for J. Embiid,30,26
174,2,6:09.0,,R. Covington misses 2-pt layup from 2 ft,30,26
175,2,6:08.0,Defensive rebound by E. Fournier,,30,26
176,2,5:56.0,S. Ibaka makes 2-pt jump shot from 16 ft,,32,26
177,2,5:29.0,,S. Rodríguez misses 2-pt jump shot from 10 ft,32,26
178,2,5:27.0,Defensive rebound by J. Green,,32,26
179,2,5:19.0,S. Ibaka misses 3-pt jump shot from 28 ft,,32,26
180,2,5:18.0,,Defensive rebound by R. Covington,32,26
181,2,5:12.0,,R. Covington makes 3-pt jump shot from 25 ft (assist by S. Rodríguez),32,29
182,2,4:48.0,S. Ibaka makes 2-pt jump shot from 19 ft (assist by B. Biyombo),,34,29
183,2,4:33.0,,G. Henderson makes 2-pt jump shot from 11 ft,34,31
184,2,4:17.0,J. Green makes 3-pt jump shot from 25 ft (assist by E. Payton),,37,31
185,2,4:06.0,,E. İlyasova misses 3-pt jump shot from 25 ft,37,31
186,2,4:05.0,Defensive rebound by E. Fournier,,37,31
187,2,3:59.0,Turnover by J. Green (traveling),,37,31
188,2,3:59.0,,R. Holmes enters the game for J. Okafor,37,31
189,2,3:59.0,A. Gordon enters the game for E. Payton,,37,31
190,2,3:59.0,D. Augustin enters the game for J. Green,,37,31
191,2,3:47.0,,G. Henderson makes 3-pt jump shot from 25 ft (assist by R. Covington),37,34
192,2,3:38.0,Personal foul by G. Henderson (drawn by E. Fournier),,37,34
193,2,3:38.0,E. Fournier makes free throw 1 of 2,,38,34
194,2,3:38.0,E. Fournier makes free throw 2 of 2,,39,34
195,2,3:28.0,,R. Holmes makes 2-pt dunk at rim (assist by E. İlyasova),39,36
196,2,3:04.0,A. Gordon makes 2-pt jump shot from 16 ft,,41,36
197,2,2:55.0,,Personal foul by E. Fournier (drawn by R. Covington),41,36
198,2,2:55.0,Official timeout,,41,36
199,2,2:44.0,,R. Covington misses 3-pt jump shot from 25 ft,41,36
200,2,2:42.0,Defensive rebound by Team,,41,36
201,2,2:42.0,,N. Stauskas enters the game for G. Henderson,41,36
202,2,2:28.0,A. Gordon makes 2-pt layup from 1 ft (assist by D. Augustin),,43,36
203,2,2:04.0,,E. İlyasova makes 2-pt layup from 1 ft (assist by S. Rodríguez),43,38
204,2,1:50.0,N. Vučević enters the game for B. Biyombo,,43,38
205,2,1:42.0,E. Fournier misses 2-pt jump shot from 17 ft,,43,38
206,2,1:40.0,,Defensive rebound by R. Covington,43,38
207,2,1:25.0,,Shooting foul by S. Ibaka (drawn by E. İlyasova),43,38
208,2,1:25.0,,E. İlyasova misses free throw 1 of 2,43,38
209,2,1:25.0,,Offensive rebound by Team,43,38
210,2,1:25.0,J. Green enters the game for S. Ibaka,,43,38
211,2,1:25.0,,H. Thompson enters the game for R. Covington,43,38
212,2,1:25.0,,E. İlyasova makes free throw 2 of 2,43,39
213,2,1:16.0,Shooting foul by R. Holmes (drawn by E. Fournier),,43,39
214,2,1:16.0,E. Fournier makes free throw 1 of 2,,44,39
215,2,1:16.0,B. Biyombo enters the game for N. Vučević,,44,39
216,2,1:16.0,E. Fournier makes free throw 2 of 2,,45,39
217,2,1:03.0,,Turnover by N. Stauskas (step out of bounds),45,39
218,2,0:44.0,J. Green makes 3-pt jump shot from 24 ft,,48,39
219,2,0:35.0,,S. Rodríguez makes 3-pt jump shot from 24 ft,48,42
220,2,0:22.0,A. Gordon misses 3-pt jump shot from 23 ft,,48,42
221,2,0:21.0,Offensive rebound by B. Biyombo,,48,42
222,2,0:02.0,E. Fournier makes 2-pt layup from 2 ft,,50,42
223,2,0:00.0,,R. Holmes misses 3-pt jump shot from 44 ft,50,42
224,2,0:00.0,,Offensive rebound by Team,50,42
225,3,11:43.0,E. Fournier misses 3-pt jump shot from 26 ft,,50,42
226,3,11:42.0,,Defensive rebound by G. Henderson,50,42
227,3,11:30.0,,J. Embiid makes 2-pt jump shot from 15 ft,50,44
228,3,11:12.0,D. Augustin makes 3-pt jump shot from 25 ft (assist by S. Ibaka),,53,44
229,3,10:57.0,,S. Rodríguez misses 2-pt layup from 2 ft,53,44
230,3,10:55.0,Defensive rebound by B. Biyombo,,53,44
231,3,10:38.0,S. Ibaka misses 2-pt jump shot from 12 ft,,53,44
232,3,10:36.0,,Defensive rebound by J. Embiid,53,44
233,3,10:27.0,,J. Embiid misses 3-pt jump shot from 26 ft,53,44
234,3,10:26.0,Defensive rebound by D. Augustin,,53,44
235,3,10:04.0,S. Ibaka misses 3-pt jump shot from 27 ft,,53,44
236,3,10:02.0,,Defensive rebound by S. Rodríguez,53,44
237,3,9:57.0,,E. İlyasova misses 2-pt layup from 1 ft,53,44
238,3,9:56.0,,Offensive rebound by E. İlyasova,53,44
239,3,9:56.0,,Shooting foul by D. Augustin (drawn by E. İlyasova),53,44
240,3,9:56.0,,E. İlyasova misses free throw 1 of 2,53,44
241,3,9:56.0,,Offensive rebound by Team,53,44
242,3,9:56.0,,E. İlyasova makes free throw 2 of 2,53,45
243,3,9:48.0,Turnover by B. Biyombo (traveling),,53,45
244,3,9:40.0,,E. İlyasova makes 3-pt jump shot from 27 ft (assist by S. Rodríguez),53,48
245,3,9:20.0,S. Ibaka makes 3-pt jump shot from 24 ft (assist by D. Augustin),,56,48
246,3,9:09.0,,E. İlyasova misses 3-pt jump shot from 26 ft,56,48
247,3,9:07.0,Defensive rebound by B. Biyombo,,56,48
248,3,8:58.0,Shooting foul by G. Henderson (drawn by E. Fournier),,56,48
249,3,8:58.0,E. Fournier makes free throw 1 of 2,,57,48
250,3,8:58.0,E. Fournier makes free throw 2 of 2,,58,48
251,3,8:46.0,,J. Embiid misses 2-pt jump shot from 15 ft,58,48
252,3,8:45.0,Defensive rebound by B. Biyombo,,58,48
253,3,8:34.0,Shooting foul by J. Embiid (drawn by S. Ibaka),,58,48
254,3,8:34.0,S. Ibaka makes free throw 1 of 2,,59,48
255,3,8:34.0,S. Ibaka makes free throw 2 of 2,,60,48
256,3,8:24.0,,E. İlyasova misses 3-pt jump shot from 28 ft,60,48
257,3,8:22.0,Defensive rebound by E. Fournier,,60,48
258,3,8:15.0,E. Fournier makes 3-pt jump shot from 25 ft,,63,48
259,3,8:13.0,,Philadelphia full timeout,63,48
260,3,8:02.0,,G. Henderson misses 2-pt jump shot from 14 ft,63,48
261,3,8:01.0,,Offensive rebound by J. Embiid,63,48
262,3,7:59.0,,J. Embiid makes 2-pt jump shot from 5 ft,63,50
263,3,7:42.0,Turnover by E. Fournier (bad pass; steal by R. Covington),,63,50
264,3,7:33.0,,Shooting foul by D. Augustin (drawn by S. Rodríguez),63,50
265,3,7:33.0,,S. Rodríguez makes 2-pt jump shot from 7 ft,63,52
266,3,7:33.0,,D. Šarić enters the game for E. İlyasova,63,52
267,3,7:33.0,,S. Rodríguez makes free throw 1 of 1,63,53
268,3,7:09.0,D. Augustin misses 2-pt jump shot from 18 ft,,63,53
269,3,7:08.0,Offensive rebound by Team,,63,53
270,3,7:08.0,Turnover by Team (shot clock),,63,53
271,3,6:56.0,,Personal foul by B. Biyombo (drawn by J. Embiid),63,53
272,3,6:56.0,N. Vučević enters the game for B. Biyombo,,63,53
273,3,6:47.0,,J. Embiid misses 2-pt jump shot from 16 ft,63,53
274,3,6:45.0,Defensive rebound by N. Vučević,,63,53
275,3,6:35.0,A. Gordon misses 2-pt jump shot from 18 ft,,63,53
