,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,BROOKLYN_ACTION,MINNESOTA_SCORE,BROOKLYN_SCORE
0,1,11:47.0,,B. Lopez makes 2-pt dunk at rim (assist by B. Bogdanović),0,2
1,1,11:33.0,Turnover by Z. LaVine (step out of bounds),,0,2
2,1,11:19.0,,B. Lopez misses 3-pt jump shot from 23 ft,0,2
3,1,11:18.0,Defensive rebound by K. Dunn,,0,2
4,1,11:14.0,Turnover by K. Dunn (lost ball; steal by T. Booker),,0,2
5,1,11:11.0,,Shooting foul by K. Dunn (drawn by R. Hollis-Jefferson),0,2
6,1,11:11.0,,R. Hollis-Jefferson makes free throw 1 of 2,0,3
7,1,11:11.0,,R. Hollis-Jefferson makes free throw 2 of 2,0,4
8,1,10:54.0,A. Wiggins makes 2-pt dunk at rim (assist by G. Dieng),,2,4
9,1,10:45.0,,Offensive foul by B. Lopez (drawn by G. Dieng),2,4
10,1,10:45.0,,Turnover by B. Lopez (offensive foul),2,4
11,1,10:31.0,K. Towns makes 2-pt layup from 3 ft (assist by A. Wiggins),,4,4
12,1,10:22.0,,B. Lopez makes 2-pt layup from 2 ft (assist by I. Whitehead),4,6
13,1,10:08.0,Z. LaVine misses 2-pt jump shot from 21 ft,,4,6
14,1,10:07.0,,Defensive rebound by I. Whitehead,4,6
15,1,9:59.0,,B. Lopez makes 3-pt jump shot from 24 ft (assist by I. Whitehead),4,9
16,1,9:45.0,Turnover by A. Wiggins (bad pass; steal by T. Booker),,4,9
17,1,9:41.0,,T. Booker makes 2-pt dunk at rim,4,11
18,1,9:30.0,Minnesota full timeout,,4,11
19,1,9:20.0,Shooting foul by R. Hollis-Jefferson (drawn by A. Wiggins),,4,11
20,1,9:20.0,A. Wiggins misses free throw 1 of 2,,4,11
21,1,9:20.0,Offensive rebound by Team,,4,11
22,1,9:20.0,A. Wiggins misses free throw 2 of 2,,4,11
23,1,9:19.0,,Defensive rebound by T. Booker,4,11
24,1,9:01.0,,R. Hollis-Jefferson makes 2-pt layup from 3 ft,4,13
25,1,8:50.0,A. Wiggins misses 2-pt layup from 3 ft,,4,13
26,1,8:49.0,Offensive rebound by K. Towns,,4,13
27,1,8:40.0,K. Towns makes 2-pt layup from 3 ft (assist by G. Dieng),,6,13
28,1,8:18.0,,B. Bogdanović misses 2-pt jump shot from 4 ft,6,13
29,1,8:16.0,Defensive rebound by G. Dieng,,6,13
30,1,8:11.0,K. Towns makes 2-pt layup from 1 ft (assist by K. Dunn),,8,13
31,1,8:02.0,,I. Whitehead makes 2-pt jump shot from 18 ft,8,15
32,1,7:52.0,Shooting foul by T. Booker (drawn by G. Dieng),,8,15
33,1,7:52.0,G. Dieng misses free throw 1 of 2,,8,15
34,1,7:52.0,Offensive rebound by Team,,8,15
35,1,7:52.0,G. Dieng misses free throw 2 of 2,,8,15
36,1,7:52.0,,J. Hamilton enters the game for T. Booker,8,15
37,1,7:51.0,Offensive rebound by A. Wiggins,,8,15
38,1,7:47.0,G. Dieng makes 2-pt layup at rim,,10,15
39,1,7:42.0,,Brooklyn full timeout,10,15
40,1,7:42.0,,S. Kilpatrick enters the game for I. Whitehead,10,15
41,1,7:23.0,,B. Lopez misses 2-pt jump shot from 9 ft,10,15
42,1,7:21.0,Defensive rebound by K. Dunn,,10,15
43,1,7:02.0,K. Towns makes 3-pt jump shot from 24 ft,,13,15
44,1,6:45.0,,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by S. Kilpatrick),13,18
45,1,6:33.0,A. Wiggins misses 2-pt layup from 2 ft,,13,18
46,1,6:32.0,Offensive rebound by Team,,13,18
47,1,6:24.0,Z. LaVine misses 2-pt jump shot from 22 ft,,13,18
48,1,6:23.0,,Defensive rebound by B. Lopez,13,18
49,1,6:14.0,,R. Hollis-Jefferson makes 3-pt jump shot from 25 ft (assist by B. Bogdanović),13,21
50,1,5:52.0,Shooting foul by S. Kilpatrick (drawn by Z. LaVine),,13,21
51,1,5:52.0,Z. LaVine makes free throw 1 of 2,,14,21
52,1,5:52.0,Z. LaVine makes free throw 2 of 2,,15,21
53,1,5:44.0,,Turnover by Team (back court),15,21
54,1,5:31.0,Z. LaVine misses 3-pt jump shot from 23 ft,,15,21
55,1,5:29.0,Offensive rebound by K. Towns,,15,21
56,1,5:25.0,Z. LaVine makes 2-pt layup from 2 ft (assist by K. Towns),,17,21
57,1,5:07.0,,Shooting foul by K. Dunn (drawn by S. Kilpatrick),17,21
58,1,5:07.0,,S. Kilpatrick makes free throw 1 of 2,17,22
59,1,5:07.0,,T. Booker enters the game for B. Lopez,17,22
60,1,5:07.0,,J. Harris enters the game for B. Bogdanović,17,22
61,1,5:07.0,T. Jones enters the game for K. Dunn,,17,22
62,1,5:07.0,,S. Kilpatrick makes free throw 2 of 2,17,23
63,1,4:48.0,A. Wiggins misses 2-pt dunk at rim,,17,23
64,1,4:47.0,Offensive rebound by K. Towns,,17,23
65,1,4:45.0,Shooting foul by J. Hamilton (drawn by K. Towns),,17,23
66,1,4:45.0,K. Towns makes free throw 1 of 2,,18,23
67,1,4:45.0,K. Towns makes free throw 2 of 2,,19,23
68,1,4:35.0,,Shooting foul by G. Dieng (drawn by T. Booker),19,23
69,1,4:35.0,,T. Booker makes free throw 1 of 2,19,24
70,1,4:35.0,,T. Booker misses free throw 2 of 2,19,24
71,1,4:34.0,Defensive rebound by T. Jones,,19,24
72,1,4:28.0,Personal foul by T. Booker (drawn by K. Towns),,19,24
73,1,4:28.0,K. Towns makes free throw 1 of 2,,20,24
74,1,4:28.0,S. Muhammad enters the game for Z. LaVine,,20,24
75,1,4:28.0,,L. Scola enters the game for T. Booker,20,24
76,1,4:28.0,K. Towns makes free throw 2 of 2,,21,24
77,1,4:16.0,,Turnover by R. Hollis-Jefferson (bad pass; steal by T. Jones),21,24
78,1,4:12.0,T. Jones makes 2-pt layup from 1 ft (assist by G. Dieng),,23,24
79,1,3:54.0,,J. Hamilton makes 3-pt jump shot from 22 ft (assist by S. Kilpatrick),23,27
80,1,3:40.0,Def 3 sec tech foul by S. Kilpatrick,,23,27
81,1,3:40.0,T. Jones misses technical free throw,,23,27
82,1,3:40.0,Offensive rebound by Team,,23,27
83,1,3:40.0,,R. Foye enters the game for R. Hollis-Jefferson,23,27
84,1,3:40.0,C. Aldrich enters the game for G. Dieng,,23,27
85,1,3:30.0,C. Aldrich misses 2-pt hook shot from 4 ft,,23,27
86,1,3:29.0,,Defensive rebound by J. Hamilton,23,27
87,1,3:27.0,,Turnover by J. Hamilton (bad pass; steal by T. Jones),23,27
88,1,3:23.0,S. Muhammad makes 2-pt dunk at rim (assist by A. Wiggins),,25,27
89,1,3:10.0,,J. Harris misses 3-pt jump shot from 24 ft,25,27
90,1,3:09.0,Defensive rebound by S. Muhammad,,25,27
91,1,2:59.0,A. Wiggins misses 2-pt jump shot from 3 ft,,25,27
92,1,2:58.0,Offensive rebound by A. Wiggins,,25,27
93,1,2:57.0,A. Wiggins misses 2-pt layup at rim,,25,27
94,1,2:55.0,,Defensive rebound by S. Kilpatrick,25,27
95,1,2:48.0,,Shooting foul by A. Wiggins (drawn by S. Kilpatrick),25,27
96,1,2:48.0,,S. Kilpatrick makes free throw 1 of 2,25,28
97,1,2:48.0,,S. Kilpatrick makes free throw 2 of 2,25,29
98,1,2:34.0,S. Muhammad misses 2-pt jump shot from 12 ft,,25,29
99,1,2:33.0,Offensive rebound by C. Aldrich,,25,29
100,1,2:20.0,C. Aldrich makes 2-pt layup at rim (assist by T. Jones),,27,29
101,1,2:00.0,,R. Foye misses 3-pt jump shot from 24 ft,27,29
102,1,1:58.0,Defensive rebound by C. Aldrich,,27,29
103,1,1:44.0,K. Towns misses 2-pt layup from 2 ft,,27,29
104,1,1:43.0,Offensive rebound by C. Aldrich,,27,29
105,1,1:41.0,C. Aldrich misses 2-pt layup from 1 ft,,27,29
106,1,1:38.0,,Defensive rebound by L. Scola,27,29
107,1,1:33.0,,J. Harris makes 2-pt layup from 3 ft,27,31
108,1,1:21.0,Turnover by K. Towns (bad pass),,27,31
109,1,1:21.0,N. Bjelica enters the game for K. Towns,,27,31
110,1,1:08.0,,Turnover by S. Kilpatrick (bad pass; steal by N. Bjelica),27,31
111,1,1:02.0,Shooting foul by J. Harris (drawn by T. Jones),,27,31
112,1,1:02.0,T. Jones makes free throw 1 of 2,,28,31
113,1,1:02.0,T. Jones makes free throw 2 of 2,,29,31
114,1,0:49.0,Violation by C. Aldrich (kicked ball),,29,31
115,1,0:47.0,,J. Hamilton misses 3-pt jump shot from 25 ft,29,31
116,1,0:46.0,Defensive rebound by T. Jones,,29,31
117,1,0:32.0,A. Wiggins makes 2-pt jump shot from 6 ft (assist by C. Aldrich),,31,31
118,1,0:16.0,,J. Harris makes 2-pt layup at rim,31,33
119,1,0:02.0,A. Wiggins makes 2-pt jump shot from 19 ft,,33,33
120,2,11:47.0,Z. LaVine misses 3-pt jump shot from 28 ft,,33,33
121,2,11:46.0,Offensive rebound by N. Bjelica,,33,33
122,2,11:33.0,N. Bjelica misses 3-pt jump shot from 24 ft,,33,33
123,2,11:32.0,,Defensive rebound by L. Scola,33,33
124,2,11:23.0,,L. Scola misses 2-pt layup from 1 ft,33,33
125,2,11:21.0,Defensive rebound by N. Bjelica,,33,33
126,2,11:01.0,N. Bjelica misses 2-pt layup from 2 ft,,33,33
127,2,11:00.0,,Defensive rebound by L. Scola,33,33
128,2,10:49.0,,J. Hamilton makes 3-pt jump shot from 25 ft (assist by R. Foye),33,36
129,2,10:41.0,Offensive foul by S. Muhammad (drawn by R. Foye),,33,36
130,2,10:41.0,Turnover by S. Muhammad (offensive foul),,33,36
131,2,10:33.0,,B. Bogdanović misses 3-pt jump shot from 24 ft,33,36
132,2,10:32.0,Defensive rebound by N. Bjelica,,33,36
133,2,10:26.0,Shooting foul by J. Hamilton (drawn by N. Bjelica),,33,36
134,2,10:26.0,N. Bjelica makes 2-pt layup from 3 ft,,35,36
135,2,10:26.0,N. Bjelica misses free throw 1 of 1,,35,36
136,2,10:25.0,,Defensive rebound by J. Hamilton,35,36
137,2,10:18.0,,Offensive foul by J. Hamilton (drawn by S. Muhammad),35,36
138,2,10:18.0,,Turnover by J. Hamilton (offensive foul),35,36
139,2,10:18.0,,T. Booker enters the game for J. Hamilton,35,36
140,2,10:06.0,T. Jones misses 3-pt jump shot from 27 ft,,35,36
141,2,10:05.0,,Defensive rebound by T. Booker,35,36
142,2,9:48.0,,L. Scola makes 2-pt jump shot from 8 ft,35,38
143,2,9:28.0,S. Muhammad misses 3-pt jump shot from 24 ft,,35,38
144,2,9:27.0,,Defensive rebound by I. Whitehead,35,38
145,2,9:21.0,,Personal foul by N. Bjelica (drawn by L. Scola),35,38
146,2,9:16.0,,R. Foye makes 3-pt jump shot from 24 ft (assist by T. Booker),35,41
147,2,9:00.0,N. Bjelica makes 3-pt jump shot from 24 ft (assist by T. Jones),,38,41
148,2,8:39.0,,I. Whitehead misses 2-pt jump shot from 17 ft,38,41
149,2,8:38.0,Defensive rebound by N. Bjelica,,38,41
150,2,8:31.0,S. Muhammad misses 2-pt layup from 1 ft,,38,41
151,2,8:31.0,,Defensive rebound by T. Booker,38,41
152,2,8:26.0,,T. Booker makes 2-pt layup from 2 ft,38,43
153,2,8:20.0,S. Muhammad misses 2-pt layup from 1 ft (block by I. Whitehead),,38,43
154,2,8:19.0,Offensive rebound by T. Jones,,38,43
155,2,8:06.0,S. Muhammad makes 3-pt jump shot from 25 ft (assist by T. Jones),,41,43
156,2,7:54.0,,T. Booker misses 2-pt layup from 3 ft (block by N. Bjelica),41,43
157,2,7:53.0,Defensive rebound by N. Bjelica,,41,43
158,2,7:49.0,,Offensive charge foul by N. Bjelica (drawn by R. Foye),41,43
159,2,7:49.0,Turnover by N. Bjelica (offensive foul),,41,43
160,2,7:49.0,Official timeout,,41,43
161,2,7:49.0,G. Dieng enters the game for C. Aldrich,,41,43
162,2,7:49.0,K. Towns enters the game for N. Bjelica,,41,43
163,2,7:42.0,,T. Booker misses 2-pt jump shot from 9 ft,41,43
164,2,7:41.0,Defensive rebound by Z. LaVine,,41,43
165,2,7:30.0,K. Towns makes 2-pt jump shot from 13 ft (assist by T. Jones),,43,43
