,QUARTER,TIME_REMAINING,BOSTON_ACTION,DALLAS_ACTION,BOSTON_SCORE,DALLAS_SCORE
0,1,11:44.0,I. Thomas makes 3-pt jump shot from 24 ft (assist by J. Crowder),,3,0
1,1,11:28.0,,D. Nowitzki makes 2-pt jump shot from 16 ft (assist by H. Barnes),3,2
2,1,11:10.0,J. Crowder misses 2-pt jump shot from 19 ft,,3,2
3,1,11:09.0,,Defensive rebound by D. Nowitzki,3,2
4,1,10:57.0,,W. Matthews makes 3-pt jump shot from 26 ft (assist by H. Barnes),3,5
5,1,10:37.0,A. Horford makes 2-pt layup from 2 ft,,5,5
6,1,10:19.0,,W. Matthews misses 3-pt jump shot from 26 ft,5,5
7,1,10:18.0,Defensive rebound by A. Horford,,5,5
8,1,10:07.0,M. Smart makes 3-pt jump shot from 25 ft (assist by A. Johnson),,8,5
9,1,9:44.0,,D. Nowitzki makes 2-pt jump shot from 17 ft (assist by S. Curry),8,7
10,1,9:30.0,I. Thomas makes 3-pt jump shot from 23 ft (assist by A. Johnson),,11,7
11,1,9:13.0,,D. Nowitzki makes 3-pt jump shot from 24 ft (assist by S. Curry),11,10
12,1,8:49.0,A. Horford misses 2-pt jump shot from 7 ft,,11,10
13,1,8:48.0,,Defensive rebound by W. Matthews,11,10
14,1,8:30.0,,W. Matthews makes 2-pt jump shot from 14 ft,11,12
15,1,8:18.0,I. Thomas makes 3-pt jump shot from 24 ft (assist by A. Johnson),,14,12
16,1,8:17.0,,Dallas full timeout,14,12
17,1,8:17.0,,Y. Ferrell enters the game for S. Curry,14,12
18,1,8:03.0,,H. Barnes makes 2-pt jump shot from 19 ft (assist by W. Matthews),14,14
19,1,7:47.0,I. Thomas misses 3-pt jump shot from 24 ft,,14,14
20,1,7:46.0,,Defensive rebound by W. Matthews,14,14
21,1,7:29.0,,D. Nowitzki misses 2-pt jump shot from 13 ft,14,14
22,1,7:28.0,Defensive rebound by A. Horford,,14,14
23,1,7:20.0,Personal foul by W. Matthews (drawn by A. Horford),,14,14
24,1,7:20.0,J. Jerebko enters the game for A. Johnson,,14,14
25,1,7:08.0,A. Horford misses 2-pt hook shot from 7 ft,,14,14
26,1,7:07.0,,Defensive rebound by W. Matthews,14,14
27,1,6:45.0,,D. Nowitzki misses 2-pt jump shot from 18 ft,14,14
28,1,6:44.0,Defensive rebound by J. Jerebko,,14,14
29,1,6:37.0,Turnover by M. Smart (traveling),,14,14
30,1,6:16.0,,D. Nowitzki makes 2-pt jump shot from 13 ft (assist by D. Williams),14,16
31,1,6:01.0,M. Smart makes 3-pt jump shot from 25 ft (assist by I. Thomas),,17,16
32,1,5:38.0,,H. Barnes makes 3-pt jump shot from 24 ft (assist by D. Nowitzki),17,19
33,1,5:23.0,,S. Mejri enters the game for D. Nowitzki,17,19
34,1,5:15.0,J. Crowder makes 3-pt jump shot from 25 ft (assist by I. Thomas),,20,19
35,1,4:58.0,,H. Barnes misses 2-pt jump shot from 18 ft,20,19
36,1,4:57.0,Defensive rebound by J. Jerebko,,20,19
37,1,4:45.0,A. Horford misses 2-pt jump shot from 16 ft,,20,19
38,1,4:44.0,,Defensive rebound by W. Matthews,20,19
39,1,4:28.0,,S. Mejri misses 2-pt layup at rim (block by J. Crowder),20,19
40,1,4:26.0,Defensive rebound by A. Horford,,20,19
41,1,4:17.0,Turnover by A. Horford (bad pass; steal by D. Williams),,20,19
42,1,4:04.0,Offensive charge foul by D. Williams (drawn by M. Smart),,20,19
43,1,4:04.0,,Turnover by D. Williams (offensive foul),20,19
44,1,4:04.0,T. Rozier enters the game for A. Horford,,20,19
45,1,4:04.0,K. Olynyk enters the game for M. Smart,,20,19
46,1,4:04.0,,S. Curry enters the game for D. Williams,20,19
47,1,4:04.0,,D. Powell enters the game for S. Mejri,20,19
48,1,3:47.0,Turnover by I. Thomas (bad pass; steal by S. Curry),,20,19
49,1,3:47.0,,Personal foul by J. Crowder (drawn by S. Curry),20,19
50,1,3:27.0,,W. Matthews misses 2-pt jump shot from 20 ft,20,19
51,1,3:26.0,Defensive rebound by J. Jerebko,,20,19
52,1,3:14.0,Boston full timeout,,20,19
53,1,3:11.0,Shooting block foul by W. Matthews (drawn by I. Thomas),,20,19
54,1,3:11.0,I. Thomas misses free throw 1 of 2,,20,19
55,1,3:11.0,Offensive rebound by Team,,20,19
56,1,3:11.0,,D. Harris enters the game for W. Matthews,20,19
57,1,3:11.0,I. Thomas makes free throw 2 of 2,,21,19
58,1,2:54.0,,Y. Ferrell makes 2-pt jump shot from 16 ft,21,21
59,1,2:42.0,J. Crowder misses 3-pt jump shot from 25 ft,,21,21
60,1,2:41.0,,Defensive rebound by S. Curry,21,21
61,1,2:25.0,,Y. Ferrell makes 3-pt jump shot from 25 ft,21,24
62,1,2:04.0,T. Rozier makes 2-pt jump shot from 22 ft,,23,24
63,1,1:49.0,,S. Curry misses 3-pt jump shot from 25 ft,23,24
64,1,1:48.0,Defensive rebound by T. Rozier,,23,24
65,1,1:32.0,J. Crowder misses 3-pt jump shot from 23 ft,,23,24
66,1,1:31.0,,Defensive rebound by Y. Ferrell,23,24
67,1,1:25.0,,Y. Ferrell makes 2-pt jump shot from 15 ft,23,26
68,1,1:14.0,Shooting foul by Y. Ferrell (drawn by I. Thomas),,23,26
69,1,1:14.0,I. Thomas makes free throw 1 of 2,,24,26
70,1,1:14.0,G. Green enters the game for J. Crowder,,24,26
71,1,1:14.0,,D. Nowitzki enters the game for H. Barnes,24,26
72,1,1:14.0,I. Thomas makes free throw 2 of 2,,25,26
73,1,0:54.0,,Turnover by Y. Ferrell (bad pass),25,26
74,1,0:54.0,M. Smart enters the game for I. Thomas,,25,26
75,1,0:54.0,A. Johnson enters the game for J. Jerebko,,25,26
76,1,0:39.0,M. Smart makes 2-pt jump shot from 19 ft (assist by A. Johnson),,27,26
77,1,0:31.0,,D. Powell misses 2-pt jump shot from 4 ft (block by A. Johnson),27,26
78,1,0:29.0,Defensive rebound by A. Johnson,,27,26
79,1,0:07.0,M. Smart makes 3-pt jump shot from 25 ft (assist by A. Johnson),,30,26
80,1,0:02.0,,Y. Ferrell makes 2-pt layup from 2 ft,30,28
81,1,0:00.0,M. Smart misses 3-pt jump shot from 60 ft,,30,28
82,1,0:00.0,Offensive rebound by Team,,30,28
83,2,11:40.0,,Y. Ferrell makes 2-pt layup at rim (assist by D. Powell),30,30
84,2,11:27.0,M. Smart makes 2-pt jump shot from 5 ft (assist by K. Olynyk),,32,30
85,2,11:08.0,,Y. Ferrell misses 3-pt jump shot from 24 ft,32,30
86,2,11:07.0,Defensive rebound by A. Johnson,,32,30
87,2,10:49.0,A. Johnson makes 3-pt jump shot from 24 ft (assist by G. Green),,35,30
88,2,10:30.0,,S. Curry enters the game for Y. Ferrell,35,30
89,2,10:26.0,,S. Curry misses 2-pt jump shot from 11 ft,35,30
90,2,10:26.0,,Offensive rebound by Team,35,30
91,2,10:26.0,Loose ball foul by G. Green (drawn by D. Powell),,35,30
92,2,10:20.0,,D. Nowitzki misses 2-pt jump shot from 21 ft,35,30
