,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,HOUSTON_ACTION,LA LAKERS_SCORE,HOUSTON_SCORE
0,1,11:44.0,L. Deng misses 2-pt jump shot from 22 ft,,0,0
1,1,11:43.0,Offensive rebound by T. Mozgov,,0,0
2,1,11:40.0,Turnover by T. Mozgov (bad pass; steal by T. Ariza),,0,0
3,1,11:33.0,,T. Ariza misses 3-pt jump shot from 25 ft,0,0
4,1,11:31.0,Defensive rebound by J. Randle,,0,0
5,1,11:18.0,,Violation by C. Capela (def goaltending),0,0
6,1,11:18.0,T. Mozgov makes 2-pt jump shot from 3 ft,,2,0
7,1,11:01.0,,C. Capela makes 2-pt layup from 2 ft (assist by J. Harden),2,2
8,1,10:51.0,Turnover by M. Huertas (bad pass),,2,2
9,1,10:49.0,,Turnover by P. Beverley (bad pass; steal by M. Huertas),2,2
10,1,10:44.0,M. Huertas makes 2-pt layup from 3 ft,,4,2
11,1,10:28.0,,R. Anderson makes 2-pt jump shot from 6 ft,4,4
12,1,10:12.0,Shooting foul by R. Anderson (drawn by J. Randle),,4,4
13,1,10:12.0,J. Randle makes free throw 1 of 2,,5,4
14,1,10:12.0,J. Randle misses free throw 2 of 2,,5,4
15,1,10:10.0,,Defensive rebound by J. Harden,5,4
16,1,10:04.0,,C. Capela makes 2-pt dunk at rim (assist by P. Beverley),5,6
17,1,9:45.0,J. Clarkson misses 2-pt jump shot from 4 ft (block by C. Capela),,5,6
18,1,9:43.0,,Defensive rebound by C. Capela,5,6
19,1,9:30.0,,P. Beverley misses 2-pt jump shot from 10 ft,5,6
20,1,9:28.0,Defensive rebound by T. Mozgov,,5,6
21,1,9:15.0,J. Randle misses 3-pt jump shot from 24 ft,,5,6
22,1,9:14.0,,Defensive rebound by R. Anderson,5,6
23,1,9:09.0,,C. Capela makes 2-pt dunk at rim (assist by J. Harden),5,8
24,1,8:54.0,T. Mozgov makes 2-pt jump shot from 19 ft (assist by M. Huertas),,7,8
25,1,8:40.0,,R. Anderson misses 3-pt jump shot from 25 ft,7,8
26,1,8:39.0,Defensive rebound by M. Huertas,,7,8
27,1,8:29.0,Turnover by L. Deng (bad pass; steal by J. Harden),,7,8
28,1,8:28.0,,Personal foul by M. Huertas (drawn by P. Beverley),7,8
29,1,8:20.0,,J. Harden makes 3-pt jump shot from 25 ft,7,11
30,1,8:09.0,Offensive foul by J. Randle (drawn by P. Beverley),,7,11
31,1,8:09.0,Turnover by J. Randle (offensive foul),,7,11
32,1,7:57.0,,J. Harden makes 3-pt jump shot from 25 ft,7,14
33,1,7:40.0,T. Mozgov makes 2-pt dunk at rim (assist by M. Huertas),,9,14
34,1,7:28.0,,P. Beverley misses 3-pt jump shot from 24 ft,9,14
35,1,7:26.0,Defensive rebound by T. Mozgov,,9,14
36,1,7:12.0,J. Randle misses 2-pt jump shot from 6 ft,,9,14
37,1,7:11.0,Offensive rebound by J. Randle,,9,14
38,1,7:09.0,J. Randle makes 2-pt layup from 3 ft,,11,14
39,1,6:51.0,,Shooting foul by M. Huertas (drawn by J. Harden),11,14
40,1,6:51.0,,J. Harden makes free throw 1 of 2,11,15
41,1,6:51.0,,E. Gordon enters the game for P. Beverley,11,15
42,1,6:51.0,B. Ingram enters the game for J. Clarkson,,11,15
43,1,6:51.0,L. Williams enters the game for M. Huertas,,11,15
44,1,6:51.0,,J. Harden makes free throw 2 of 2,11,16
45,1,6:40.0,Turnover by J. Randle (bad pass; steal by T. Ariza),,11,16
46,1,6:34.0,,T. Ariza makes 2-pt dunk from 1 ft,11,18
47,1,6:23.0,Turnover by J. Randle (traveling),,11,18
48,1,6:15.0,,Turnover by T. Ariza (bad pass),11,18
49,1,5:59.0,Turnover by L. Williams (bad pass; steal by J. Harden),,11,18
50,1,5:53.0,,E. Gordon makes 3-pt jump shot from 26 ft (assist by J. Harden),11,21
51,1,5:52.0,LA Lakers full timeout,,11,21
52,1,5:52.0,,N. Hilário enters the game for C. Capela,11,21
53,1,5:30.0,J. Randle misses 2-pt hook shot from 9 ft,,11,21
54,1,5:30.0,,Defensive rebound by Team,11,21
55,1,5:20.0,,Shooting foul by L. Deng (drawn by N. Hilário),11,21
56,1,5:20.0,,N. Hilário makes free throw 1 of 2,11,22
57,1,5:20.0,,N. Hilário misses free throw 2 of 2,11,22
58,1,5:20.0,Defensive rebound by J. Randle,,11,22
59,1,5:08.0,Shooting foul by E. Gordon (drawn by L. Williams),,11,22
60,1,5:08.0,L. Williams makes free throw 1 of 3,,12,22
61,1,5:08.0,L. Williams makes free throw 2 of 3,,13,22
