,QUARTER,TIME_REMAINING,TORONTO_ACTION,PHILADELPHIA_ACTION,TORONTO_SCORE,PHILADELPHIA_SCORE
0,1,11:46.0,,T. McConnell makes 2-pt jump shot from 4 ft,0,2
1,1,11:23.0,D. Carroll misses 2-pt jump shot from 21 ft (block by N. Stauskas),,0,2
2,1,11:21.0,,Defensive rebound by E. İlyasova,0,2
3,1,11:12.0,,J. Embiid misses 2-pt jump shot from 13 ft,0,2
4,1,11:11.0,Defensive rebound by J. Valančiūnas,,0,2
5,1,11:02.0,Turnover by P. Siakam (traveling),,0,2
6,1,10:53.0,,E. İlyasova makes 2-pt layup from 2 ft (assist by T. McConnell),0,4
7,1,10:31.0,Turnover by K. Lowry (step out of bounds),,0,4
8,1,10:18.0,,R. Covington makes 3-pt jump shot from 26 ft (assist by J. Embiid),0,7
9,1,10:00.0,D. Carroll misses 3-pt jump shot from 25 ft,,0,7
10,1,9:58.0,,Defensive rebound by T. McConnell,0,7
11,1,9:45.0,,E. İlyasova misses 2-pt jump shot from 21 ft,0,7
12,1,9:43.0,Defensive rebound by J. Valančiūnas,,0,7
13,1,9:37.0,K. Lowry makes 3-pt jump shot from 26 ft,,3,7
14,1,9:15.0,,J. Embiid makes 2-pt jump shot from 9 ft (assist by E. İlyasova),3,9
15,1,8:58.0,Shooting foul by N. Stauskas (drawn by D. DeRozan),,3,9
16,1,8:58.0,D. DeRozan makes free throw 1 of 2,,4,9
17,1,8:58.0,D. DeRozan makes free throw 2 of 2,,5,9
18,1,8:46.0,,J. Embiid misses 3-pt jump shot from 25 ft,5,9
19,1,8:44.0,Defensive rebound by D. Carroll,,5,9
20,1,8:33.0,Personal foul by R. Covington (drawn by J. Valančiūnas),,5,9
21,1,8:19.0,Turnover by Team (shot clock),,5,9
22,1,8:10.0,,E. İlyasova misses 2-pt jump shot from 5 ft (block by P. Siakam),5,9
23,1,8:10.0,,Offensive rebound by Team,5,9
24,1,8:06.0,,E. İlyasova makes 3-pt jump shot from 25 ft (assist by N. Stauskas),5,12
25,1,7:49.0,K. Lowry misses 3-pt jump shot from 25 ft,,5,12
26,1,7:48.0,Offensive rebound by J. Valančiūnas,,5,12
27,1,7:36.0,J. Valančiūnas makes 2-pt jump shot from 19 ft (assist by D. DeRozan),,7,12
