,QUARTER,TIME_REMAINING,PHOENIX_ACTION,MINNESOTA_ACTION,PHOENIX_SCORE,MINNESOTA_SCORE
0,1,11:45.0,P. Tucker misses 2-pt jump shot from 19 ft,,0,0
1,1,11:43.0,,Defensive rebound by K. Towns,0,0
2,1,11:30.0,,A. Wiggins misses 2-pt jump shot from 19 ft,0,0
3,1,11:29.0,Defensive rebound by P. Tucker,,0,0
4,1,11:23.0,M. Chriss makes 2-pt dunk at rim (assist by E. Bledsoe),,2,0
5,1,11:03.0,,K. Towns makes 2-pt jump shot from 19 ft,2,2
6,1,10:48.0,P. Tucker makes 2-pt jump shot from 21 ft (assist by D. Booker),,4,2
7,1,10:31.0,,K. Towns misses 2-pt hook shot from 6 ft,4,2
8,1,10:29.0,Defensive rebound by T. Chandler,,4,2
9,1,10:22.0,D. Booker misses 3-pt jump shot from 25 ft,,4,2
10,1,10:21.0,,Defensive rebound by K. Towns,4,2
11,1,10:08.0,,R. Rubio misses 2-pt layup from 1 ft,4,2
12,1,10:07.0,Defensive rebound by T. Chandler,,4,2
13,1,9:53.0,T. Chandler makes 2-pt dunk at rim (assist by E. Bledsoe),,6,2
14,1,9:53.0,,Minnesota full timeout,6,2
15,1,9:35.0,,Turnover by A. Wiggins (lost ball; steal by P. Tucker),6,2
16,1,9:30.0,D. Booker makes 2-pt layup from 1 ft (assist by P. Tucker),,8,2
17,1,9:18.0,,Turnover by Z. LaVine (bad pass; steal by E. Bledsoe),8,2
18,1,9:08.0,Turnover by M. Chriss (step out of bounds),,8,2
19,1,8:49.0,,K. Towns makes 2-pt hook shot from 7 ft (assist by Z. LaVine),8,4
20,1,8:36.0,D. Booker misses 3-pt jump shot from 24 ft,,8,4
21,1,8:36.0,,Defensive rebound by K. Towns,8,4
22,1,8:29.0,,Z. LaVine misses 2-pt layup from 3 ft (block by D. Booker),8,4
23,1,8:28.0,Defensive rebound by P. Tucker,,8,4
24,1,8:22.0,P. Tucker misses 2-pt jump shot from 4 ft,,8,4
25,1,8:21.0,,Defensive rebound by A. Wiggins,8,4
26,1,8:18.0,,Shooting foul by M. Chriss (drawn by Z. LaVine),8,4
27,1,8:18.0,,Z. LaVine makes free throw 1 of 2,8,5
28,1,8:18.0,,Z. LaVine makes free throw 2 of 2,8,6
29,1,8:02.0,Turnover by T. Chandler (bad pass; steal by A. Wiggins),,8,6
30,1,7:52.0,,G. Dieng makes 2-pt jump shot from 18 ft (assist by Z. LaVine),8,8
31,1,7:33.0,E. Bledsoe misses 2-pt jump shot from 17 ft,,8,8
32,1,7:32.0,Offensive rebound by M. Chriss,,8,8
33,1,7:32.0,M. Chriss misses 2-pt layup from 1 ft,,8,8
34,1,7:31.0,Offensive rebound by M. Chriss,,8,8
35,1,7:31.0,Personal foul by R. Rubio (drawn by M. Chriss),,8,8
36,1,7:18.0,E. Bledsoe misses 2-pt jump shot from 15 ft (block by Z. LaVine),,8,8
37,1,7:17.0,Offensive rebound by Team,,8,8
38,1,7:12.0,D. Booker misses 2-pt jump shot from 18 ft,,8,8
39,1,7:11.0,,Defensive rebound by K. Towns,8,8
40,1,7:00.0,,A. Wiggins misses 2-pt jump shot from 18 ft,8,8
41,1,6:58.0,Defensive rebound by T. Chandler,,8,8
42,1,6:50.0,E. Bledsoe misses 2-pt layup from 2 ft (block by K. Towns),,8,8
43,1,6:49.0,,Defensive rebound by Team,8,8
44,1,6:34.0,,K. Towns misses 3-pt jump shot from 25 ft,8,8
45,1,6:33.0,,Offensive rebound by G. Dieng,8,8
46,1,6:33.0,,G. Dieng makes 2-pt layup from 1 ft,8,10
47,1,6:20.0,D. Booker misses 2-pt layup from 2 ft,,8,10
48,1,6:19.0,,Defensive rebound by K. Towns,8,10
49,1,6:14.0,,Z. LaVine makes 2-pt layup from 1 ft (assist by K. Towns),8,12
50,1,6:14.0,Phoenix full timeout,,8,12
51,1,6:14.0,A. Len enters the game for D. Booker,,8,12
52,1,6:14.0,B. Knight enters the game for M. Chriss,,8,12
53,1,6:14.0,,S. Muhammad enters the game for Z. LaVine,8,12
54,1,6:00.0,A. Len misses 2-pt jump shot from 18 ft,,8,12
55,1,5:59.0,,Defensive rebound by R. Rubio,8,12
56,1,5:48.0,,G. Dieng misses 2-pt jump shot from 18 ft,8,12
57,1,5:47.0,Defensive rebound by P. Tucker,,8,12
58,1,5:38.0,E. Bledsoe makes 2-pt jump shot from 20 ft,,10,12
59,1,5:24.0,,A. Wiggins misses 2-pt jump shot from 17 ft,10,12
60,1,5:23.0,Defensive rebound by A. Len,,10,12
61,1,5:08.0,P. Tucker misses 3-pt jump shot from 24 ft,,10,12
62,1,5:07.0,,Defensive rebound by G. Dieng,10,12
63,1,5:02.0,,Shooting foul by P. Tucker (drawn by A. Wiggins),10,12
64,1,5:02.0,,A. Wiggins makes free throw 1 of 2,10,13
65,1,5:02.0,,A. Wiggins makes free throw 2 of 2,10,14
66,1,4:49.0,Turnover by E. Bledsoe (lost ball; steal by R. Rubio),,10,14
