,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,ATLANTA_ACTION,BROOKLYN_SCORE,ATLANTA_SCORE
0,1,11:42.0,,K. Bazemore misses 2-pt layup from 3 ft,0,0
1,1,11:39.0,Defensive rebound by R. Foye,,0,0
2,1,11:29.0,R. Hollis-Jefferson makes 2-pt layup from 1 ft (assist by R. Foye),,2,0
3,1,11:12.0,,T. Sefolosha makes 2-pt jump shot from 15 ft (assist by D. Howard),2,2
4,1,10:54.0,J. Lin makes 2-pt jump shot from 16 ft (assist by R. Hollis-Jefferson),,4,2
5,1,10:36.0,,D. Schröder makes 2-pt jump shot from 19 ft,4,4
6,1,10:23.0,Turnover by B. Lopez (bad pass; steal by T. Sefolosha),,4,4
7,1,10:18.0,,T. Sefolosha misses 2-pt layup from 2 ft (block by B. Lopez),4,4
8,1,10:16.0,,Offensive rebound by K. Bazemore,4,4
9,1,10:13.0,,D. Howard misses 2-pt jump shot from 3 ft (block by B. Lopez),4,4
10,1,10:10.0,Defensive rebound by C. LeVert,,4,4
11,1,10:06.0,R. Foye makes 3-pt jump shot from 25 ft (assist by R. Hollis-Jefferson),,7,4
12,1,9:52.0,,P. Millsap misses 2-pt jump shot from 15 ft,7,4
13,1,9:49.0,Defensive rebound by B. Lopez,,7,4
14,1,9:42.0,R. Hollis-Jefferson misses 2-pt jump shot from 5 ft (block by K. Bazemore),,7,4
15,1,9:42.0,,Defensive rebound by T. Sefolosha,7,4
16,1,9:29.0,,Turnover by D. Schröder (bad pass; steal by C. LeVert),7,4
17,1,9:22.0,Personal foul by P. Millsap (drawn by J. Lin),,7,4
18,1,9:19.0,B. Lopez misses 2-pt jump shot from 18 ft,,7,4
19,1,9:18.0,,Defensive rebound by T. Sefolosha,7,4
20,1,9:11.0,,Turnover by D. Schröder (bad pass; steal by B. Lopez),7,4
21,1,8:54.0,J. Lin makes 2-pt layup at rim (assist by B. Lopez),,9,4
22,1,8:41.0,,Shooting foul by R. Hollis-Jefferson (drawn by P. Millsap),9,4
23,1,8:41.0,,P. Millsap misses free throw 1 of 2,9,4
24,1,8:41.0,,Offensive rebound by Team,9,4
25,1,8:41.0,,P. Millsap makes free throw 2 of 2,9,5
26,1,8:33.0,J. Lin misses 2-pt jump shot from 18 ft,,9,5
27,1,8:31.0,,Defensive rebound by D. Howard,9,5
28,1,8:17.0,,P. Millsap makes 2-pt layup from 1 ft (assist by D. Schröder),9,7
29,1,8:00.0,J. Lin misses 2-pt layup from 1 ft,,9,7
30,1,7:59.0,,Defensive rebound by D. Howard,9,7
