,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,PHOENIX_ACTION,CHARLOTTE_SCORE,PHOENIX_SCORE
0,1,11:42.0,,A. Len misses 2-pt jump shot from 19 ft,0,0
1,1,11:42.0,Defensive rebound by N. Batum,,0,0
2,1,11:31.0,M. Williams makes 2-pt layup from 2 ft (assist by N. Batum),,2,0
3,1,11:14.0,,T. Warren makes 2-pt layup at rim (assist by A. Len),2,2
4,1,10:56.0,M. Kidd-Gilchrist misses 2-pt hook shot from 3 ft,,2,2
5,1,10:54.0,Offensive rebound by M. Kidd-Gilchrist,,2,2
6,1,10:52.0,Personal block foul by E. Bledsoe (drawn by K. Walker),,2,2
7,1,10:40.0,K. Walker misses 2-pt jump shot from 4 ft,,2,2
8,1,10:36.0,,Defensive rebound by A. Len,2,2
9,1,10:27.0,,M. Chriss makes 3-pt jump shot from 24 ft (assist by T. Warren),2,5
10,1,10:12.0,N. Batum misses 3-pt jump shot from 25 ft,,2,5
11,1,10:11.0,,Defensive rebound by E. Bledsoe,2,5
12,1,10:01.0,,M. Chriss misses 2-pt jump shot from 3 ft,2,5
13,1,10:00.0,Defensive rebound by M. Kidd-Gilchrist,,2,5
14,1,9:52.0,M. Kidd-Gilchrist misses 2-pt layup from 2 ft (block by T. Warren),,2,5
15,1,9:51.0,,Defensive rebound by A. Len,2,5
16,1,9:45.0,,E. Bledsoe makes 2-pt jump shot from 16 ft,2,7
17,1,9:31.0,M. Williams makes 3-pt jump shot from 25 ft (assist by K. Walker),,5,7
18,1,9:05.0,,Turnover by M. Chriss (lost ball; steal by K. Walker),5,7
19,1,9:05.0,K. Walker makes 2-pt layup from 1 ft,,7,7
20,1,9:01.0,,Phoenix full timeout,7,7
21,1,9:01.0,,J. Dudley enters the game for M. Chriss,7,7
22,1,8:56.0,,D. Booker makes 2-pt jump shot from 18 ft (assist by E. Bledsoe),7,9
23,1,8:42.0,F. Kaminsky misses 3-pt jump shot from 26 ft,,7,9
24,1,8:42.0,,Defensive rebound by D. Booker,7,9
25,1,8:36.0,,Turnover by D. Booker (bad pass; steal by M. Kidd-Gilchrist),7,9
26,1,8:30.0,K. Walker makes 3-pt jump shot from 26 ft (assist by N. Batum),,10,9
27,1,8:20.0,,Turnover by E. Bledsoe (lost ball; steal by M. Kidd-Gilchrist),10,9
28,1,8:04.0,M. Williams makes 3-pt jump shot from 26 ft (assist by K. Walker),,13,9
29,1,7:47.0,,D. Booker misses 3-pt jump shot from 26 ft,13,9
