,QUARTER,TIME_REMAINING,PHOENIX_ACTION,SACRAMENTO_ACTION,PHOENIX_SCORE,SACRAMENTO_SCORE
0,1,11:38.0,,K. Koufos misses 2-pt jump shot from 9 ft,0,0
1,1,11:37.0,,Offensive rebound by Team,0,0
2,1,11:32.0,,Turnover by D. Collison (step out of bounds),0,0
3,1,11:06.0,E. Bledsoe misses 3-pt jump shot from 26 ft,,0,0
4,1,11:04.0,,Defensive rebound by K. Koufos,0,0
5,1,10:57.0,,B. McLemore misses 2-pt jump shot from 8 ft,0,0
6,1,10:57.0,Defensive rebound by T. Chandler,,0,0
7,1,10:52.0,T. Warren makes 2-pt layup from 2 ft (assist by E. Bledsoe),,2,0
8,1,10:33.0,,B. McLemore misses 3-pt jump shot from 24 ft,2,0
9,1,10:31.0,Defensive rebound by M. Chriss,,2,0
10,1,10:14.0,D. Booker misses 2-pt jump shot from 18 ft,,2,0
11,1,10:13.0,,Defensive rebound by M. Barnes,2,0
12,1,9:56.0,,D. Collison misses 3-pt jump shot from 23 ft,2,0
13,1,9:56.0,Defensive rebound by Team,,2,0
14,1,9:56.0,Personal foul by D. Cousins (drawn by T. Chandler),,2,0
15,1,9:39.0,Shooting foul by D. Collison (drawn by T. Warren),,2,0
16,1,9:39.0,T. Warren makes free throw 1 of 2,,3,0
17,1,9:39.0,T. Warren makes free throw 2 of 2,,4,0
18,1,9:16.0,,D. Cousins makes 2-pt jump shot from 17 ft,4,2
19,1,9:16.0,,Shooting foul by M. Chriss (drawn by D. Cousins),4,2
20,1,9:16.0,,D. Cousins misses free throw 1 of 1,4,2
21,1,9:15.0,Defensive rebound by M. Chriss,,4,2
22,1,9:07.0,T. Warren misses 3-pt jump shot from 26 ft,,4,2
23,1,9:05.0,,Defensive rebound by M. Barnes,4,2
24,1,8:52.0,,B. McLemore misses 2-pt jump shot from 8 ft,4,2
25,1,8:50.0,Defensive rebound by T. Chandler,,4,2
26,1,8:44.0,T. Warren misses 2-pt layup from 2 ft (block by D. Cousins),,4,2
27,1,8:42.0,Offensive rebound by T. Warren,,4,2
28,1,8:41.0,T. Warren misses 2-pt layup from 3 ft,,4,2
29,1,8:39.0,,Defensive rebound by D. Cousins,4,2
30,1,8:29.0,,D. Collison misses 2-pt jump shot from 13 ft,4,2
31,1,8:28.0,Defensive rebound by T. Chandler,,4,2
32,1,8:17.0,M. Chriss misses 3-pt jump shot from 24 ft,,4,2
33,1,8:16.0,,Defensive rebound by M. Barnes,4,2
34,1,8:08.0,,Shooting foul by E. Bledsoe (drawn by K. Koufos),4,2
35,1,8:08.0,,K. Koufos makes 2-pt jump shot from 4 ft (assist by D. Cousins),4,4
36,1,8:08.0,,K. Koufos makes free throw 1 of 1,4,5
37,1,7:45.0,D. Booker misses 2-pt jump shot from 15 ft,,4,5
38,1,7:44.0,,Defensive rebound by D. Cousins,4,5
39,1,7:42.0,,Personal block foul by M. Chriss (drawn by D. Cousins),4,5
40,1,7:26.0,,B. McLemore misses 2-pt jump shot from 7 ft,4,5
41,1,7:25.0,Defensive rebound by D. Booker,,4,5
42,1,7:18.0,Turnover by M. Chriss (step out of bounds),,4,5
43,1,7:08.0,,M. Barnes misses 3-pt jump shot from 23 ft,4,5
44,1,7:06.0,Defensive rebound by T. Chandler,,4,5
45,1,6:56.0,M. Chriss misses 3-pt jump shot from 23 ft,,4,5
46,1,6:56.0,,Defensive rebound by M. Barnes,4,5
47,1,6:33.0,,M. Barnes misses 2-pt jump shot from 16 ft,4,5
48,1,6:32.0,Defensive rebound by Team,,4,5
49,1,6:18.0,Turnover by E. Bledsoe (bad pass; steal by D. Cousins),,4,5
50,1,6:14.0,,B. McLemore makes 2-pt dunk at rim (assist by D. Cousins),4,7
51,1,6:12.0,Phoenix full timeout,,4,7
52,1,6:12.0,P. Tucker enters the game for M. Chriss,,4,7
53,1,5:58.0,E. Bledsoe makes 2-pt jump shot from 18 ft,,6,7
54,1,5:35.0,,B. McLemore makes 3-pt jump shot from 25 ft (assist by D. Collison),6,10
55,1,5:24.0,P. Tucker makes 3-pt jump shot from 25 ft (assist by E. Bledsoe),,9,10
56,1,5:00.0,,K. Koufos misses 2-pt jump shot from 9 ft,9,10
57,1,4:56.0,Defensive rebound by T. Chandler,,9,10
58,1,4:53.0,Shooting foul by M. Barnes (drawn by T. Warren),,9,10
59,1,4:53.0,T. Warren makes free throw 1 of 2,,10,10
60,1,4:53.0,T. Warren makes free throw 2 of 2,,11,10
61,1,4:37.0,,B. McLemore makes 3-pt jump shot from 25 ft (assist by D. Cousins),11,13
62,1,4:22.0,D. Booker misses 2-pt jump shot from 18 ft,,11,13
63,1,4:21.0,,Defensive rebound by M. Barnes,11,13
64,1,4:08.0,,D. Collison misses 2-pt jump shot from 12 ft,11,13
65,1,4:07.0,Defensive rebound by P. Tucker,,11,13
66,1,4:00.0,P. Tucker misses 2-pt jump shot from 3 ft,,11,13
67,1,3:59.0,,Defensive rebound by K. Koufos,11,13
68,1,3:52.0,,D. Cousins misses 3-pt jump shot from 25 ft,11,13
69,1,3:51.0,Defensive rebound by T. Warren,,11,13
70,1,3:41.0,D. Booker misses 3-pt jump shot from 25 ft,,11,13
71,1,3:40.0,,Defensive rebound by K. Koufos,11,13
72,1,3:33.0,,B. McLemore makes 2-pt layup from 2 ft,11,15
73,1,3:11.0,P. Tucker misses 3-pt jump shot from 23 ft,,11,15
74,1,3:10.0,,Defensive rebound by D. Cousins,11,15
75,1,3:03.0,,D. Cousins misses 2-pt layup from 3 ft,11,15
76,1,3:01.0,,Offensive rebound by K. Koufos,11,15
77,1,3:01.0,,K. Koufos makes 2-pt layup from 1 ft,11,17
78,1,2:49.0,,Sacramento full timeout,11,17
79,1,2:49.0,B. Knight enters the game for T. Chandler,,11,17
80,1,2:49.0,A. Len enters the game for D. Booker,,11,17
81,1,2:49.0,,M. Richardson enters the game for K. Koufos,11,17
82,1,2:49.0,,A. Tolliver enters the game for B. McLemore,11,17
83,1,2:43.0,T. Warren makes 2-pt jump shot from 13 ft (assist by P. Tucker),,13,17
84,1,2:20.0,,M. Barnes makes 2-pt layup from 2 ft (assist by D. Cousins),13,19
