,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,GOLDEN STATE_ACTION,LA CLIPPERS_SCORE,GOLDEN STATE_SCORE
0,1,11:45.0,,Turnover by Z. Pachulia (lost ball; steal by B. Griffin),0,0
1,1,11:39.0,J. Redick makes 3-pt jump shot from 25 ft (assist by B. Griffin),,3,0
2,1,11:31.0,,Personal foul by L. Mbah a Moute (drawn by S. Curry),3,0
3,1,11:22.0,,S. Curry makes 2-pt layup from 2 ft (assist by Z. Pachulia),3,2
4,1,11:09.0,D. Jordan makes 2-pt layup from 1 ft (assist by A. Rivers),,5,2
5,1,10:59.0,,Personal foul by B. Griffin (drawn by D. Green),5,2
6,1,10:59.0,,D. Green makes free throw 1 of 2,5,3
7,1,10:59.0,,D. Green makes free throw 2 of 2,5,4
8,1,10:37.0,A. Rivers misses 3-pt jump shot from 25 ft,,5,4
9,1,10:36.0,,Defensive rebound by K. Thompson,5,4
10,1,10:21.0,,K. Durant makes 2-pt jump shot from 13 ft (assist by Z. Pachulia),5,6
11,1,10:07.0,J. Redick misses 3-pt jump shot from 26 ft,,5,6
12,1,10:06.0,,Defensive rebound by D. Green,5,6
13,1,9:57.0,,Turnover by K. Thompson (bad pass; steal by L. Mbah a Moute),5,6
14,1,9:53.0,Offensive foul by B. Griffin (drawn by D. Green),,5,6
15,1,9:53.0,Turnover by B. Griffin (offensive foul),,5,6
16,1,9:36.0,,K. Thompson makes 2-pt jump shot from 14 ft,5,8
17,1,9:17.0,B. Griffin makes 2-pt jump shot from 21 ft,,7,8
18,1,9:03.0,,Turnover by K. Thompson (lost ball; steal by J. Redick),7,8
19,1,8:42.0,B. Griffin misses 2-pt jump shot from 22 ft,,7,8
20,1,8:40.0,,Defensive rebound by Z. Pachulia,7,8
21,1,8:36.0,,S. Curry makes 3-pt jump shot from 29 ft,7,11
22,1,8:19.0,A. Rivers misses 2-pt layup from 1 ft (block by K. Durant),,7,11
23,1,8:17.0,,Defensive rebound by S. Curry,7,11
24,1,8:11.0,,D. Green misses 2-pt layup from 2 ft,7,11
25,1,8:10.0,Defensive rebound by D. Jordan,,7,11
26,1,8:00.0,L. Mbah a Moute misses 2-pt jump shot from 19 ft,,7,11
27,1,7:59.0,,Defensive rebound by D. Green,7,11
28,1,7:40.0,,K. Thompson misses 2-pt layup from 2 ft,7,11
29,1,7:39.0,,Offensive rebound by Z. Pachulia,7,11
30,1,7:39.0,,Z. Pachulia makes 2-pt layup from 1 ft,7,13
31,1,7:38.0,LA Clippers full timeout,,7,13
32,1,7:38.0,W. Johnson enters the game for B. Griffin,,7,13
33,1,7:28.0,L. Mbah a Moute misses 2-pt jump shot from 19 ft,,7,13
34,1,7:27.0,Offensive rebound by D. Jordan,,7,13
35,1,7:23.0,J. Redick misses 2-pt jump shot from 20 ft,,7,13
36,1,7:21.0,,Defensive rebound by Team,7,13
37,1,7:09.0,,K. Thompson misses 2-pt jump shot from 18 ft,7,13
38,1,7:08.0,,Offensive rebound by Z. Pachulia,7,13
39,1,7:05.0,,K. Durant makes 3-pt jump shot from 26 ft (assist by Z. Pachulia),7,16
40,1,6:48.0,J. Redick makes 2-pt jump shot from 22 ft (assist by A. Rivers),,9,16
41,1,6:37.0,,Turnover by S. Curry (bad pass),9,16
42,1,6:25.0,Turnover by A. Rivers (bad pass; steal by D. Green),,9,16
43,1,6:21.0,,S. Curry makes 2-pt layup from 1 ft (assist by D. Green),9,18
44,1,6:13.0,Turnover by J. Redick (bad pass; steal by D. Green),,9,18
45,1,6:06.0,,Z. Pachulia misses 2-pt layup from 1 ft,9,18
46,1,6:05.0,Defensive rebound by W. Johnson,,9,18
47,1,5:59.0,Personal foul by D. Green (drawn by D. Jordan),,9,18
48,1,5:59.0,R. Felton enters the game for L. Mbah a Moute,,9,18
49,1,5:47.0,R. Felton misses 2-pt jump shot from 7 ft,,9,18
50,1,5:44.0,,Defensive rebound by K. Durant,9,18
51,1,5:34.0,,S. Curry misses 3-pt jump shot from 25 ft,9,18
52,1,5:33.0,Defensive rebound by R. Felton,,9,18
53,1,5:25.0,J. Redick makes 3-pt jump shot from 23 ft (assist by A. Rivers),,12,18
54,1,5:11.0,,Golden State full timeout,12,18
55,1,5:11.0,,A. Iguodala enters the game for D. Green,12,18
56,1,5:11.0,,J. McGee enters the game for Z. Pachulia,12,18
57,1,4:54.0,,K. Durant misses 3-pt jump shot from 23 ft,12,18
58,1,4:53.0,Defensive rebound by J. Redick,,12,18
59,1,4:34.0,A. Rivers misses 2-pt jump shot from 5 ft,,12,18
60,1,4:33.0,,Defensive rebound by K. Durant,12,18
61,1,4:29.0,,J. McGee makes 2-pt dunk at rim (assist by K. Durant),12,20
62,1,4:07.0,J. Redick misses 3-pt jump shot from 29 ft,,12,20
63,1,4:06.0,,Defensive rebound by K. Durant,12,20
64,1,3:57.0,,K. Durant makes 2-pt layup from 2 ft (assist by K. Thompson),12,22
65,1,3:31.0,W. Johnson makes 3-pt jump shot from 25 ft (assist by D. Jordan),,15,22
66,1,3:18.0,,Offensive foul by J. McGee (drawn by A. Rivers),15,22
67,1,3:18.0,,Turnover by J. McGee (offensive foul),15,22
68,1,3:18.0,,P. McCaw enters the game for K. Thompson,15,22
69,1,3:07.0,R. Felton makes 3-pt jump shot from 27 ft,,18,22
70,1,3:04.0,,Golden State full timeout,18,22
71,1,2:49.0,,J. McGee misses 2-pt layup from 2 ft,18,22
72,1,2:48.0,,Offensive rebound by J. McGee,18,22
73,1,2:48.0,,J. McGee makes 2-pt layup from 1 ft,18,24
74,1,2:32.0,D. Jordan makes 2-pt dunk at rim (assist by A. Rivers),,20,24
75,1,2:32.0,Shooting foul by P. McCaw (drawn by D. Jordan),,20,24
76,1,2:32.0,D. Jordan misses free throw 1 of 1,,20,24
77,1,2:32.0,J. Crawford enters the game for A. Rivers,,20,24
78,1,2:31.0,,Defensive rebound by J. McGee,20,24
79,1,2:21.0,,P. McCaw misses 3-pt jump shot from 26 ft,20,24
80,1,2:20.0,Defensive rebound by W. Johnson,,20,24
81,1,2:15.0,Turnover by R. Felton (bad pass; steal by K. Durant),,20,24
82,1,2:10.0,,S. Curry misses 3-pt jump shot from 25 ft,20,24
83,1,2:09.0,Defensive rebound by R. Felton,,20,24
84,1,1:46.0,W. Johnson misses 2-pt jump shot from 21 ft,,20,24
85,1,1:43.0,,Defensive rebound by A. Iguodala,20,24
86,1,1:41.0,,Personal foul by J. Crawford (drawn by K. Durant),20,24
87,1,1:41.0,,D. Green enters the game for K. Durant,20,24
88,1,1:34.0,,S. Curry misses 2-pt jump shot from 20 ft,20,24
89,1,1:33.0,,Offensive rebound by J. McGee,20,24
90,1,1:31.0,,J. McGee makes 2-pt jump shot from 6 ft,20,26
91,1,1:11.0,Turnover by D. Jordan (lost ball; steal by A. Iguodala),,20,26
92,1,1:05.0,,S. Curry makes 3-pt jump shot from 24 ft (assist by A. Iguodala),20,29
93,1,0:44.0,J. Crawford misses 2-pt jump shot from 22 ft,,20,29
94,1,0:43.0,,Defensive rebound by Team,20,29
95,1,0:43.0,A. Rivers enters the game for J. Redick,,20,29
96,1,0:43.0,M. Speights enters the game for D. Jordan,,20,29
97,1,0:34.0,,S. Curry makes 2-pt layup at rim,20,31
98,1,0:22.0,Shooting foul by J. McGee (drawn by R. Felton),,20,31
99,1,0:22.0,R. Felton makes free throw 1 of 2,,21,31
100,1,0:22.0,,K. Thompson enters the game for J. McGee,21,31
101,1,0:22.0,B. Bass enters the game for W. Johnson,,21,31
102,1,0:22.0,L. Mbah a Moute enters the game for M. Speights,,21,31
103,1,0:22.0,R. Felton makes free throw 2 of 2,,22,31
104,1,0:06.0,,S. Curry misses 3-pt jump shot from 26 ft,22,31
105,1,0:05.0,Defensive rebound by J. Crawford,,22,31
106,2,11:50.0,Turnover by J. Crawford (bad pass),,22,31
107,2,11:29.0,,S. Livingston makes 2-pt jump shot from 12 ft,22,33
108,2,11:08.0,M. Speights makes 2-pt jump shot from 18 ft (assist by R. Felton),,24,33
109,2,10:50.0,,Turnover by J. McAdoo (bad pass; steal by J. Crawford),24,33
110,2,10:43.0,Shooting foul by K. Thompson (drawn by B. Bass),,24,33
111,2,10:43.0,B. Bass makes free throw 1 of 2,,25,33
112,2,10:43.0,B. Bass misses free throw 2 of 2,,25,33
113,2,10:42.0,,Defensive rebound by D. Green,25,33
114,2,10:35.0,,D. Green misses 2-pt jump shot from 11 ft,25,33
115,2,10:33.0,Defensive rebound by B. Bass,,25,33
116,2,10:23.0,Personal foul by S. Livingston (drawn by B. Bass),,25,33
117,2,10:11.0,R. Felton makes 3-pt jump shot from 30 ft,,28,33
118,2,9:53.0,,J. McAdoo makes 2-pt dunk at rim (assist by S. Livingston),28,35
119,2,9:35.0,Turnover by R. Felton (bad pass),,28,35
120,2,9:13.0,,S. Livingston misses 2-pt jump shot from 16 ft,28,35
121,2,9:12.0,Defensive rebound by M. Speights,,28,35
122,2,9:08.0,B. Bass misses 2-pt jump shot from 12 ft,,28,35
123,2,9:05.0,,Defensive rebound by A. Iguodala,28,35
124,2,9:00.0,,J. McAdoo misses 2-pt layup from 2 ft,28,35
125,2,8:59.0,Defensive rebound by R. Felton,,28,35
126,2,8:46.0,M. Speights misses 2-pt jump shot from 15 ft,,28,35
