,QUARTER,TIME_REMAINING,ATLANTA_ACTION,LA LAKERS_ACTION,ATLANTA_SCORE,LA LAKERS_SCORE
0,1,11:35.0,,L. Deng makes 2-pt jump shot from 5 ft,0,2
1,1,11:19.0,D. Howard misses 2-pt jump shot from 14 ft,,0,2
2,1,11:16.0,,Defensive rebound by T. Robinson,0,2
3,1,11:11.0,,N. Young misses 2-pt jump shot from 18 ft,0,2
4,1,11:10.0,Defensive rebound by P. Millsap,,0,2
5,1,11:04.0,D. Howard makes 2-pt dunk at rim (assist by P. Millsap),,2,2
6,1,10:46.0,,L. Deng misses 2-pt jump shot from 18 ft,2,2
7,1,10:45.0,Defensive rebound by D. Schröder,,2,2
8,1,10:37.0,D. Howard makes 2-pt dunk at rim (assist by P. Millsap),,4,2
9,1,10:19.0,,Shooting foul by P. Millsap (drawn by T. Robinson),4,2
10,1,10:19.0,,T. Robinson misses free throw 1 of 2,4,2
11,1,10:19.0,,Offensive rebound by Team,4,2
12,1,10:19.0,,T. Robinson makes free throw 2 of 2,4,3
13,1,10:04.0,D. Howard makes 2-pt layup from 2 ft (assist by D. Schröder),,6,3
14,1,9:52.0,,J. Calderón misses 2-pt jump shot from 19 ft,6,3
15,1,9:51.0,Defensive rebound by D. Howard,,6,3
16,1,9:41.0,K. Bazemore makes 3-pt jump shot from 24 ft (assist by D. Howard),,9,3
17,1,9:21.0,,N. Young makes 3-pt jump shot from 26 ft (assist by T. Mozgov),9,6
18,1,9:09.0,D. Schröder makes 2-pt jump shot from 4 ft,,11,6
19,1,8:56.0,,J. Calderón makes 2-pt jump shot from 15 ft,11,8
20,1,8:35.0,P. Millsap misses 2-pt jump shot from 8 ft,,11,8
21,1,8:31.0,,Defensive rebound by T. Robinson,11,8
22,1,8:23.0,,T. Robinson misses 2-pt jump shot from 6 ft,11,8
23,1,8:21.0,,Offensive rebound by T. Robinson,11,8
24,1,8:21.0,,T. Robinson misses 2-pt layup from 1 ft,11,8
25,1,8:19.0,,Offensive rebound by T. Robinson,11,8
26,1,8:19.0,,T. Robinson misses 2-pt layup from 1 ft,11,8
27,1,8:18.0,Defensive rebound by K. Korver,,11,8
28,1,8:13.0,D. Howard makes 2-pt dunk at rim (assist by D. Schröder),,13,8
29,1,8:13.0,,LA Lakers full timeout,13,8
30,1,8:01.0,,N. Young misses 2-pt layup from 2 ft (block by D. Howard),13,8
31,1,7:59.0,Defensive rebound by D. Schröder,,13,8
32,1,7:53.0,D. Howard misses 2-pt dunk at rim,,13,8
33,1,7:45.0,Offensive rebound by D. Schröder,,13,8
34,1,7:45.0,D. Schröder makes 2-pt layup from 1 ft,,15,8
35,1,7:34.0,,T. Mozgov makes 2-pt jump shot from 16 ft (assist by J. Calderón),15,10
36,1,7:18.0,K. Bazemore misses 2-pt layup at rim,,15,10
37,1,7:18.0,,Defensive rebound by Team,15,10
38,1,7:01.0,,J. Calderón makes 2-pt jump shot from 18 ft (assist by T. Mozgov),15,12
39,1,6:37.0,D. Schröder makes 3-pt jump shot from 24 ft (assist by K. Korver),,18,12
40,1,6:22.0,,T. Mozgov misses 2-pt jump shot from 19 ft,18,12
41,1,6:21.0,,Offensive rebound by T. Robinson,18,12
42,1,6:15.0,,L. Deng misses 3-pt jump shot from 30 ft,18,12
43,1,6:14.0,Defensive rebound by D. Howard,,18,12
44,1,5:56.0,Turnover by P. Millsap (bad pass; steal by J. Calderón),,18,12
45,1,5:51.0,,T. Robinson makes 2-pt dunk at rim (assist by J. Calderón),18,14
46,1,5:31.0,D. Schröder misses 3-pt jump shot from 25 ft,,18,14
47,1,5:30.0,Offensive rebound by Team,,18,14
48,1,5:30.0,M. Muscala enters the game for P. Millsap,,18,14
49,1,5:30.0,,L. Nance enters the game for T. Robinson,18,14
50,1,5:30.0,,B. Ingram enters the game for J. Calderón,18,14
51,1,5:19.0,D. Howard makes 2-pt jump shot from 20 ft (assist by K. Bazemore),,20,14
52,1,4:57.0,,Turnover by L. Deng (lost ball; steal by K. Bazemore),20,14
53,1,4:48.0,D. Schröder misses 2-pt layup from 1 ft,,20,14
54,1,4:45.0,,Defensive rebound by L. Deng,20,14
55,1,4:40.0,,B. Ingram misses 2-pt jump shot from 11 ft,20,14
56,1,4:36.0,Defensive rebound by M. Muscala,,20,14
57,1,4:31.0,Shooting foul by N. Young (drawn by D. Howard),,20,14
58,1,4:31.0,D. Howard misses free throw 1 of 2,,20,14
59,1,4:31.0,Offensive rebound by Team,,20,14
60,1,4:31.0,,J. Clarkson enters the game for N. Young,20,14
61,1,4:31.0,,L. Williams enters the game for L. Deng,20,14
62,1,4:31.0,D. Howard makes free throw 2 of 2,,21,14
63,1,4:10.0,,L. Williams misses 2-pt jump shot from 3 ft (block by M. Muscala),21,14
64,1,4:09.0,Defensive rebound by K. Korver,,21,14
65,1,4:04.0,K. Korver makes 3-pt jump shot from 25 ft (assist by D. Howard),,24,14
66,1,3:41.0,,J. Clarkson misses 2-pt jump shot from 10 ft,24,14
67,1,3:39.0,Defensive rebound by K. Korver,,24,14
68,1,3:31.0,D. Howard makes 2-pt layup from 1 ft (assist by K. Bazemore),,26,14
69,1,3:31.0,,LA Lakers full timeout,26,14
70,1,3:31.0,T. Sefolosha enters the game for K. Bazemore,,26,14
71,1,3:31.0,T. Hardaway enters the game for K. Korver,,26,14
72,1,3:31.0,,T. Black enters the game for T. Mozgov,26,14
73,1,3:18.0,,J. Clarkson misses 2-pt layup from 2 ft,26,14
74,1,3:15.0,Defensive rebound by D. Howard,,26,14
75,1,3:10.0,D. Schröder misses 3-pt jump shot from 26 ft,,26,14
76,1,3:05.0,,Defensive rebound by L. Williams,26,14
77,1,3:05.0,,Shooting foul by T. Hardaway (drawn by L. Williams),26,14
78,1,3:05.0,,L. Williams makes free throw 1 of 2,26,15
79,1,3:05.0,,L. Williams makes free throw 2 of 2,26,16
80,1,2:47.0,,Loose ball foul by L. Nance (drawn by D. Howard),26,16
81,1,2:47.0,Atlanta full timeout,,26,16
82,1,2:37.0,T. Hardaway misses 3-pt jump shot from 25 ft,,26,16
83,1,2:36.0,,Defensive rebound by B. Ingram,26,16
84,1,2:20.0,,B. Ingram misses 2-pt jump shot from 9 ft,26,16
85,1,2:16.0,Defensive rebound by T. Sefolosha,,26,16
86,1,2:09.0,M. Muscala makes 3-pt jump shot from 25 ft (assist by D. Schröder),,29,16
87,1,1:50.0,,L. Williams misses 2-pt jump shot from 15 ft,29,16
88,1,1:50.0,,Offensive rebound by T. Black,29,16
89,1,1:50.0,,T. Black makes 2-pt layup from 2 ft,29,18
90,1,1:50.0,,Shooting foul by D. Howard (drawn by T. Black),29,18
91,1,1:50.0,P. Millsap enters the game for D. Howard,,29,18
92,1,1:50.0,M. Delaney enters the game for D. Schröder,,29,18
93,1,1:50.0,,T. Black makes free throw 1 of 1,29,19
94,1,1:36.0,M. Muscala misses 2-pt jump shot from 10 ft,,29,19
95,1,1:35.0,,Defensive rebound by L. Williams,29,19
96,1,1:22.0,,T. Black misses 2-pt hook shot from 5 ft,29,19
97,1,1:20.0,,Offensive rebound by J. Clarkson,29,19
98,1,1:17.0,,Turnover by L. Nance (offensive foul),29,19
99,1,1:17.0,,Offensive foul by L. Nance (drawn by M. Delaney),29,19
100,1,1:03.0,M. Muscala makes 3-pt jump shot from 23 ft (assist by M. Delaney),,32,19
101,1,0:42.0,,J. Clarkson makes 2-pt hook shot at rim,32,21
102,1,0:33.0,M. Delaney misses 2-pt jump shot from 3 ft,,32,21
103,1,0:33.0,Offensive rebound by Team,,32,21
104,1,0:27.0,M. Muscala misses 3-pt jump shot from 25 ft,,32,21
105,1,0:26.0,,Defensive rebound by L. Nance,32,21
106,1,0:09.0,,B. Ingram misses 2-pt jump shot from 5 ft (block by M. Muscala),32,21
107,1,0:09.0,Defensive rebound by M. Muscala,,32,21
108,1,0:09.0,,Loose ball foul by B. Ingram (drawn by M. Muscala),32,21
109,1,0:09.0,K. Korver enters the game for T. Sefolosha,,32,21
110,1,0:09.0,,L. Deng enters the game for L. Nance,32,21
111,1,0:02.0,P. Millsap misses 2-pt jump shot from 13 ft,,32,21
112,1,0:00.0,Offensive rebound by Team,,32,21
113,2,11:44.0,T. Hardaway misses 2-pt layup from 1 ft,,32,21
114,2,11:41.0,,Defensive rebound by J. Clarkson,32,21
115,2,11:34.0,,J. Clarkson misses 2-pt jump shot from 6 ft,32,21
116,2,11:30.0,Defensive rebound by P. Millsap,,32,21
117,2,11:11.0,P. Millsap misses 3-pt jump shot from 25 ft,,32,21
118,2,11:10.0,,Defensive rebound by B. Ingram,32,21
119,2,10:55.0,,L. Nance makes 2-pt dunk at rim (assist by L. Williams),32,23
120,2,10:40.0,K. Korver enters the game for T. Hardaway,,32,23
