,QUARTER,TIME_REMAINING,ORLANDO_ACTION,SACRAMENTO_ACTION,ORLANDO_SCORE,SACRAMENTO_SCORE
0,1,11:44.0,N. Vučević misses 2-pt jump shot from 20 ft,,0,0
1,1,11:43.0,,Defensive rebound by G. Temple,0,0
2,1,11:26.0,,D. Collison misses 2-pt jump shot from 19 ft,0,0
3,1,11:26.0,Defensive rebound by A. Gordon,,0,0
4,1,11:19.0,A. Gordon misses 2-pt layup from 3 ft (block by S. Labissière),,0,0
5,1,11:17.0,,Defensive rebound by G. Temple,0,0
6,1,11:09.0,,S. Labissière makes 2-pt jump shot from 13 ft (assist by G. Temple),0,2
7,1,11:00.0,A. Gordon misses 2-pt jump shot from 15 ft,,0,2
8,1,10:59.0,,Defensive rebound by D. Collison,0,2
9,1,10:46.0,,B. Hield misses 2-pt jump shot from 15 ft,0,2
10,1,10:46.0,Defensive rebound by E. Payton,,0,2
11,1,10:42.0,Personal foul by D. Collison (drawn by E. Payton),,0,2
12,1,10:30.0,A. Gordon misses 3-pt jump shot from 25 ft,,0,2
13,1,10:28.0,,Defensive rebound by W. Cauley-Stein,0,2
14,1,10:11.0,,G. Temple misses 3-pt jump shot from 26 ft,0,2
15,1,10:11.0,Defensive rebound by E. Payton,,0,2
16,1,9:55.0,E. Fournier makes 2-pt jump shot from 8 ft,,2,2
17,1,9:37.0,,S. Labissière misses 2-pt layup from 4 ft (block by E. Payton),2,2
18,1,9:36.0,Defensive rebound by T. Ross,,2,2
19,1,9:28.0,E. Fournier misses 3-pt jump shot from 25 ft,,2,2
20,1,9:27.0,,Defensive rebound by S. Labissière,2,2
21,1,9:10.0,,S. Labissière makes 2-pt jump shot from 14 ft,2,4
22,1,8:53.0,T. Ross misses 3-pt jump shot from 24 ft,,2,4
23,1,8:53.0,,Defensive rebound by W. Cauley-Stein,2,4
24,1,8:42.0,,W. Cauley-Stein makes 2-pt layup from 3 ft (assist by D. Collison),2,6
25,1,8:25.0,N. Vučević makes 2-pt hook shot from 8 ft,,4,6
26,1,8:11.0,,W. Cauley-Stein misses 2-pt jump shot from 14 ft,4,6
27,1,8:11.0,Defensive rebound by E. Payton,,4,6
28,1,8:03.0,E. Fournier misses 2-pt jump shot from 4 ft,,4,6
29,1,8:01.0,Offensive rebound by E. Fournier,,4,6
30,1,7:59.0,E. Fournier misses 2-pt jump shot from 8 ft (block by S. Labissière),,4,6
31,1,7:57.0,Offensive rebound by E. Fournier,,4,6
32,1,7:48.0,A. Gordon makes 2-pt dunk at rim (assist by E. Payton),,6,6
33,1,7:37.0,,G. Temple makes 2-pt jump shot from 15 ft,6,8
34,1,7:22.0,T. Ross makes 3-pt jump shot from 25 ft (assist by E. Payton),,9,8
35,1,7:02.0,,Shooting foul by A. Gordon (drawn by S. Labissière),9,8
