,QUARTER,TIME_REMAINING,DETROIT_ACTION,DENVER_ACTION,DETROIT_SCORE,DENVER_SCORE
0,1,11:40.0,M. Morris misses 3-pt jump shot from 26 ft,,0,0
1,1,11:38.0,,Defensive rebound by E. Mudiay,0,0
2,1,11:16.0,,G. Harris misses 2-pt jump shot from 19 ft,0,0
3,1,11:15.0,Defensive rebound by A. Drummond,,0,0
4,1,11:00.0,T. Harris misses 2-pt jump shot from 9 ft,,0,0
5,1,10:59.0,,Defensive rebound by D. Gallinari,0,0
6,1,10:53.0,,K. Faried misses 2-pt dunk at rim,0,0
7,1,10:51.0,Defensive rebound by T. Harris,,0,0
8,1,10:46.0,I. Smith makes 2-pt jump shot from 20 ft,,2,0
9,1,10:28.0,,E. Mudiay misses 3-pt jump shot from 26 ft,2,0
10,1,10:27.0,Defensive rebound by M. Morris,,2,0
11,1,10:23.0,I. Smith misses 2-pt layup from 3 ft (block by K. Faried),,2,0
12,1,10:22.0,Offensive rebound by Team,,2,0
13,1,10:09.0,T. Harris makes 2-pt jump shot from 9 ft,,4,0
14,1,10:00.0,,Shooting foul by T. Harris (drawn by D. Gallinari),4,0
15,1,10:00.0,,D. Gallinari makes free throw 1 of 2,4,1
16,1,10:00.0,,D. Gallinari makes free throw 2 of 2,4,2
17,1,9:46.0,Turnover by K. Caldwell-Pope (bad pass; steal by J. Nurkić),,4,2
18,1,9:42.0,,Personal foul by K. Caldwell-Pope (drawn by K. Faried),4,2
19,1,9:38.0,,Turnover by D. Gallinari (bad pass; steal by A. Drummond),4,2
20,1,9:27.0,A. Drummond makes 2-pt hook shot at rim,,6,2
21,1,9:09.0,,K. Faried misses 2-pt layup from 3 ft,6,2
22,1,9:06.0,,Offensive rebound by K. Faried,6,2
23,1,9:06.0,,K. Faried makes 2-pt layup from 2 ft,6,4
24,1,8:58.0,Shooting foul by D. Gallinari (drawn by T. Harris),,6,4
25,1,8:58.0,T. Harris makes free throw 1 of 2,,7,4
26,1,8:58.0,T. Harris makes free throw 2 of 2,,8,4
27,1,8:50.0,,Turnover by K. Faried (bad pass; steal by K. Caldwell-Pope),8,4
28,1,8:47.0,K. Caldwell-Pope makes 2-pt dunk at rim,,10,4
29,1,8:47.0,,Denver full timeout,10,4
30,1,8:23.0,,Turnover by Team (shot clock),10,4
