,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,OKLAHOMA CITY_ACTION,SAN ANTONIO_SCORE,OKLAHOMA CITY_SCORE
0,1,11:44.0,,R. Westbrook makes 2-pt jump shot from 18 ft (assist by V. Oladipo),0,2
1,1,11:23.0,Shooting foul by R. Westbrook (drawn by K. Leonard),,0,2
2,1,11:23.0,K. Leonard makes free throw 1 of 2,,1,2
3,1,11:23.0,K. Leonard makes free throw 2 of 2,,2,2
4,1,11:09.0,,S. Adams makes 2-pt hook shot from 5 ft,2,4
5,1,10:51.0,L. Aldridge makes 2-pt jump shot from 15 ft (assist by D. Murray),,4,4
6,1,10:34.0,,S. Adams makes 2-pt layup from 1 ft,4,6
7,1,10:34.0,,Shooting foul by D. Dedmon (drawn by S. Adams),4,6
8,1,10:34.0,,S. Adams misses free throw 1 of 1,4,6
9,1,10:33.0,Defensive rebound by D. Dedmon,,4,6
10,1,10:23.0,D. Murray makes 2-pt layup from 1 ft,,6,6
11,1,10:03.0,,S. Adams misses 2-pt layup from 2 ft,6,6
12,1,10:03.0,Defensive rebound by D. Green,,6,6
13,1,9:55.0,K. Leonard misses 2-pt jump shot from 20 ft,,6,6
14,1,9:55.0,Offensive rebound by Team,,6,6
15,1,9:50.0,K. Leonard makes 2-pt jump shot from 14 ft (assist by D. Murray),,8,6
16,1,9:36.0,,V. Oladipo misses 2-pt layup from 2 ft (block by D. Dedmon),8,6
17,1,9:36.0,,Offensive rebound by Team,8,6
18,1,9:30.0,,Personal foul by D. Murray (drawn by R. Westbrook),8,6
19,1,9:20.0,,S. Adams misses 2-pt jump shot from 6 ft,8,6
20,1,9:19.0,Defensive rebound by L. Aldridge,,8,6
21,1,8:57.0,K. Leonard makes 2-pt jump shot from 15 ft,,10,6
22,1,8:42.0,,V. Oladipo misses 2-pt jump shot from 17 ft,10,6
23,1,8:42.0,Defensive rebound by D. Murray,,10,6
24,1,8:31.0,Personal block foul by V. Oladipo (drawn by K. Leonard),,10,6
25,1,8:28.0,Turnover by D. Dedmon (bad pass; steal by R. Westbrook),,10,6
26,1,8:25.0,,R. Westbrook makes 2-pt dunk at rim,10,8
27,1,8:04.0,L. Aldridge makes 2-pt jump shot from 17 ft (assist by D. Green),,12,8
28,1,7:54.0,,A. Roberson makes 2-pt dunk at rim (assist by R. Westbrook),12,10
29,1,7:42.0,L. Aldridge misses 2-pt jump shot from 20 ft,,12,10
30,1,7:41.0,,Defensive rebound by T. Gibson,12,10
31,1,7:32.0,,V. Oladipo misses 2-pt jump shot from 3 ft (block by D. Dedmon),12,10
32,1,7:31.0,Defensive rebound by K. Leonard,,12,10
33,1,7:26.0,D. Murray misses 2-pt layup from 2 ft,,12,10
34,1,7:26.0,,Defensive rebound by S. Adams,12,10
35,1,7:16.0,,Turnover by T. Gibson (lost ball; steal by D. Dedmon),12,10
36,1,7:02.0,L. Aldridge makes 2-pt jump shot from 13 ft,,14,10
37,1,7:01.0,,Oklahoma City full timeout,14,10
38,1,6:48.0,,R. Westbrook makes 2-pt jump shot from 18 ft (assist by V. Oladipo),14,12
39,1,6:30.0,L. Aldridge misses 3-pt jump shot from 25 ft,,14,12
40,1,6:30.0,,Defensive rebound by S. Adams,14,12
41,1,6:21.0,,T. Gibson makes 2-pt jump shot from 18 ft (assist by V. Oladipo),14,14
42,1,5:57.0,K. Leonard misses 3-pt jump shot from 27 ft,,14,14
