,QUARTER,TIME_REMAINING,ORLANDO_ACTION,CHICAGO_ACTION,ORLANDO_SCORE,CHICAGO_SCORE
0,1,11:36.0,,J. Grant misses 3-pt jump shot from 24 ft,0,0
1,1,11:35.0,Defensive rebound by T. Ross,,0,0
2,1,11:17.0,A. Gordon makes 2-pt layup from 1 ft (assist by N. Vučević),,2,0
3,1,11:02.0,,R. Lopez makes 2-pt hook shot from 8 ft (assist by J. Grant),2,2
4,1,10:45.0,Turnover by A. Gordon (lost ball; steal by N. Mirotić),,2,2
5,1,10:34.0,,N. Mirotić misses 2-pt jump shot from 4 ft,2,2
6,1,10:33.0,,Offensive rebound by Team,2,2
7,1,10:32.0,,N. Mirotić makes 2-pt layup from 2 ft (assist by J. Grant),2,4
8,1,10:32.0,,Shooting foul by E. Fournier (drawn by N. Mirotić),2,4
9,1,10:32.0,,N. Mirotić makes free throw 1 of 1,2,5
10,1,10:21.0,Turnover by E. Fournier (lost ball; steal by J. Butler),,2,5
11,1,10:14.0,,N. Mirotić misses 3-pt jump shot from 24 ft,2,5
12,1,10:13.0,Defensive rebound by E. Payton,,2,5
13,1,10:07.0,E. Fournier misses 2-pt layup from 1 ft (block by R. Lopez),,2,5
14,1,10:06.0,,Defensive rebound by D. Wade,2,5
15,1,10:00.0,,N. Mirotić makes 2-pt dunk at rim (assist by J. Grant),2,7
16,1,9:39.0,E. Payton misses 3-pt jump shot from 25 ft,,2,7
17,1,9:39.0,,Defensive rebound by Team,2,7
18,1,9:22.0,,D. Wade makes 2-pt jump shot from 9 ft,2,9
19,1,9:07.0,T. Ross misses 3-pt jump shot from 25 ft,,2,9
20,1,9:05.0,,Defensive rebound by N. Mirotić,2,9
21,1,8:55.0,,J. Grant makes 3-pt jump shot from 25 ft (assist by J. Butler),2,12
22,1,8:46.0,Orlando full timeout,,2,12
23,1,8:34.0,E. Fournier misses 2-pt layup from 1 ft,,2,12
24,1,8:33.0,,Defensive rebound by R. Lopez,2,12
25,1,8:24.0,,R. Lopez makes 2-pt jump shot from 19 ft (assist by J. Grant),2,14
26,1,8:03.0,T. Ross misses 2-pt jump shot from 22 ft (block by D. Wade),,2,14
27,1,8:01.0,,Defensive rebound by N. Mirotić,2,14
28,1,7:55.0,,Turnover by J. Butler (bad pass),2,14
29,1,7:36.0,T. Ross misses 3-pt jump shot from 23 ft,,2,14
30,1,7:35.0,,Defensive rebound by J. Butler,2,14
31,1,7:20.0,,R. Lopez misses 2-pt layup from 2 ft (block by T. Ross),2,14
32,1,7:19.0,Defensive rebound by A. Gordon,,2,14
33,1,7:15.0,E. Fournier makes 2-pt layup from 1 ft (assist by A. Gordon),,4,14
34,1,6:53.0,,Turnover by R. Lopez (bad pass),4,14
35,1,6:36.0,N. Vučević misses 2-pt jump shot from 12 ft,,4,14
36,1,6:35.0,Offensive rebound by A. Gordon,,4,14
37,1,6:31.0,Turnover by E. Payton (lost ball; steal by J. Butler),,4,14
38,1,6:22.0,,J. Butler misses 2-pt jump shot from 10 ft,4,14
39,1,6:21.0,,Offensive rebound by R. Lopez,4,14
40,1,6:21.0,,R. Lopez makes 2-pt layup from 1 ft,4,16
41,1,6:10.0,A. Gordon misses 2-pt jump shot from 15 ft (block by D. Wade),,4,16
42,1,6:08.0,,Defensive rebound by D. Wade,4,16
43,1,6:06.0,Violation by E. Payton (def goaltending),,4,16
44,1,6:06.0,,D. Wade makes 2-pt layup from 2 ft,4,18
45,1,5:52.0,A. Gordon makes 2-pt jump shot from 17 ft (assist by E. Payton),,6,18
46,1,5:50.0,,Chicago full timeout,6,18
47,1,5:50.0,,P. Zipser enters the game for D. Wade,6,18
48,1,5:25.0,,J. Grant makes 2-pt jump shot from 12 ft (assist by J. Butler),6,20
49,1,5:13.0,Shooting foul by N. Mirotić (drawn by N. Vučević),,6,20
50,1,5:13.0,N. Vučević misses free throw 1 of 2,,6,20
51,1,5:13.0,Offensive rebound by Team,,6,20
52,1,5:13.0,N. Vučević makes free throw 2 of 2,,7,20
53,1,5:02.0,,J. Butler makes 2-pt layup from 2 ft,7,22
54,1,4:47.0,E. Payton misses 3-pt jump shot from 26 ft,,7,22
55,1,4:46.0,,Defensive rebound by J. Butler,7,22
56,1,4:39.0,,J. Butler misses 2-pt layup from 2 ft,7,22
57,1,4:38.0,Defensive rebound by E. Payton,,7,22
58,1,4:34.0,E. Payton makes 2-pt layup from 1 ft,,9,22
59,1,4:11.0,,N. Mirotić misses 2-pt jump shot from 8 ft,9,22
60,1,4:11.0,Defensive rebound by N. Vučević,,9,22
61,1,4:00.0,E. Fournier misses 2-pt jump shot from 12 ft,,9,22
62,1,3:59.0,,Defensive rebound by R. Lopez,9,22
63,1,3:54.0,,J. Grant makes 2-pt layup from 1 ft,9,24
64,1,3:41.0,N. Vučević makes 2-pt jump shot from 18 ft (assist by E. Payton),,11,24
65,1,3:24.0,,N. Mirotić misses 3-pt jump shot from 23 ft,11,24
66,1,3:23.0,Defensive rebound by N. Vučević,,11,24
67,1,3:18.0,Turnover by E. Payton (bad pass; steal by J. Grant),,11,24
68,1,3:13.0,,Personal foul by T. Ross (drawn by N. Mirotić),11,24
69,1,3:13.0,M. Hezonja enters the game for E. Fournier,,11,24
70,1,3:13.0,D. Augustin enters the game for T. Ross,,11,24
71,1,3:13.0,J. Meeks enters the game for E. Payton,,11,24
72,1,3:12.0,,B. Portis enters the game for N. Mirotić,11,24
73,1,3:12.0,,M. Carter-Williams enters the game for J. Grant,11,24
74,1,3:01.0,,P. Zipser makes 2-pt jump shot from 12 ft,11,26
75,1,2:46.0,N. Vučević misses 2-pt jump shot from 20 ft,,11,26
76,1,2:45.0,,Defensive rebound by B. Portis,11,26
77,1,2:32.0,,Personal foul by D. Augustin (drawn by M. Carter-Williams),11,26
78,1,2:32.0,B. Biyombo enters the game for N. Vučević,,11,26
79,1,2:23.0,,M. Carter-Williams misses 2-pt layup from 3 ft,11,26
80,1,2:22.0,,Offensive rebound by J. Butler,11,26
81,1,2:22.0,,J. Butler makes 2-pt layup from 1 ft,11,28
82,1,2:08.0,J. Meeks misses 2-pt jump shot from 7 ft,,11,28
83,1,2:07.0,,Defensive rebound by P. Zipser,11,28
84,1,1:57.0,,P. Zipser makes 3-pt jump shot from 24 ft (assist by M. Carter-Williams),11,31
85,1,1:56.0,Orlando full timeout,,11,31
86,1,1:39.0,Personal foul by J. Butler (drawn by D. Augustin),,11,31
87,1,1:33.0,D. Augustin misses 3-pt jump shot from 25 ft,,11,31
88,1,1:32.0,,Defensive rebound by P. Zipser,11,31
89,1,1:16.0,,B. Portis makes 3-pt jump shot from 24 ft (assist by M. Carter-Williams),11,34
90,1,0:56.0,M. Hezonja misses 3-pt jump shot from 25 ft,,11,34
91,1,0:55.0,,Defensive rebound by R. Lopez,11,34
92,1,0:51.0,,Offensive foul by R. Lopez (drawn by A. Gordon),11,34
93,1,0:51.0,,Turnover by R. Lopez (offensive foul),11,34
94,1,0:36.0,Turnover by J. Meeks (bad pass; steal by M. Carter-Williams),,11,34
95,1,0:23.0,,R. Lopez misses 2-pt jump shot from 14 ft,11,34
96,1,0:21.0,Defensive rebound by B. Biyombo,,11,34
97,1,0:01.0,D. Augustin makes 2-pt layup from 3 ft,,13,34
98,2,11:46.0,Turnover by J. Meeks (bad pass; steal by P. Zipser),,13,34
99,2,11:38.0,,Shooting foul by B. Biyombo (drawn by D. Wade),13,34
100,2,11:38.0,,D. Wade misses free throw 1 of 2,13,34
101,2,11:38.0,,Offensive rebound by Team,13,34
102,2,11:38.0,,D. Wade makes free throw 2 of 2,13,35
103,2,11:21.0,,Violation by D. Wade (def goaltending),13,35
104,2,11:21.0,B. Biyombo makes 2-pt layup from 2 ft (assist by T. Ross),,15,35
105,2,11:21.0,Shooting foul by D. Wade (drawn by B. Biyombo),,15,35
106,2,11:21.0,,Technical foul by D. Wade,15,35
107,2,11:21.0,T. Ross makes technical free throw,,16,35
108,2,11:21.0,B. Biyombo makes free throw 1 of 1,,17,35
109,2,11:08.0,,D. Wade misses 2-pt jump shot from 14 ft,17,35
110,2,11:07.0,Defensive rebound by D. Augustin,,17,35
111,2,10:59.0,J. Meeks misses 3-pt jump shot from 23 ft,,17,35
112,2,10:58.0,,Defensive rebound by P. Zipser,17,35
113,2,10:50.0,,P. Zipser misses 2-pt layup from 1 ft (block by B. Biyombo),17,35
114,2,10:48.0,,Offensive rebound by D. Wade,17,35
115,2,10:40.0,,P. Zipser misses 2-pt jump shot from 21 ft,17,35
116,2,10:39.0,,Offensive rebound by B. Portis,17,35
117,2,10:34.0,,Personal foul by T. Ross (drawn by D. Wade),17,35
118,2,10:32.0,,Turnover by P. Zipser (bad pass; steal by M. Hezonja),17,35
119,2,10:28.0,M. Hezonja misses 2-pt layup from 1 ft,,17,35
120,2,10:27.0,,Defensive rebound by C. Felício,17,35
121,2,10:20.0,,M. Carter-Williams misses 2-pt jump shot from 18 ft,17,35
122,2,10:19.0,,Offensive rebound by B. Portis,17,35
123,2,10:19.0,,B. Portis makes 2-pt layup from 1 ft,17,37
124,2,10:01.0,M. Hezonja misses 3-pt jump shot from 26 ft,,17,37
125,2,10:00.0,,Defensive rebound by P. Zipser,17,37
126,2,9:47.0,,M. Carter-Williams misses 3-pt jump shot from 23 ft,17,37
127,2,9:47.0,Defensive rebound by B. Biyombo,,17,37
128,2,9:36.0,T. Ross misses 2-pt jump shot from 11 ft,,17,37
129,2,9:35.0,,Defensive rebound by M. Carter-Williams,17,37
130,2,9:25.0,,D. Wade makes 2-pt jump shot from 17 ft (assist by M. Carter-Williams),17,39
