,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,NEW YORK_ACTION,CHARLOTTE_SCORE,NEW YORK_SCORE
0,1,11:41.0,,Personal foul by C. Zeller (drawn by J. Noah),0,0
1,1,11:30.0,,C. Anthony makes 2-pt jump shot from 13 ft,0,2
2,1,11:06.0,M. Williams misses 2-pt jump shot from 8 ft,,0,2
3,1,11:06.0,,Defensive rebound by J. Noah,0,2
4,1,10:57.0,,K. Porziņģis misses 3-pt jump shot from 27 ft,0,2
5,1,10:56.0,Defensive rebound by C. Zeller,,0,2
6,1,10:48.0,C. Zeller makes 2-pt jump shot from 20 ft (assist by N. Batum),,2,2
7,1,10:30.0,,Shooting foul by K. Walker (drawn by D. Rose),2,2
8,1,10:30.0,,D. Rose misses free throw 1 of 2,2,2
9,1,10:30.0,,Offensive rebound by Team,2,2
10,1,10:30.0,,D. Rose makes free throw 2 of 2,2,3
11,1,10:22.0,K. Walker misses 2-pt layup from 2 ft,,2,3
12,1,10:21.0,Offensive rebound by K. Walker,,2,3
13,1,10:21.0,Turnover by K. Walker (traveling),,2,3
14,1,10:04.0,,C. Anthony makes 3-pt jump shot from 24 ft,2,6
15,1,9:47.0,Personal foul by J. Noah (drawn by K. Walker),,2,6
16,1,9:35.0,M. Williams misses 3-pt jump shot from 26 ft,,2,6
17,1,9:34.0,,Defensive rebound by J. Noah,2,6
18,1,9:16.0,,J. Noah misses 2-pt layup from 1 ft (block by M. Williams),2,6
19,1,9:15.0,Defensive rebound by N. Batum,,2,6
20,1,9:09.0,C. Zeller makes 2-pt dunk at rim (assist by N. Batum),,4,6
21,1,8:57.0,,K. Porziņģis misses 2-pt jump shot from 8 ft,4,6
22,1,8:56.0,,Offensive rebound by D. Rose,4,6
23,1,8:50.0,,D. Rose misses 2-pt layup from 2 ft,4,6
24,1,8:48.0,,Offensive rebound by J. Noah,4,6
25,1,8:44.0,,C. Lee makes 3-pt jump shot from 24 ft (assist by J. Noah),4,9
26,1,8:36.0,Personal foul by D. Rose (drawn by M. Williams),,4,9
27,1,8:31.0,K. Walker misses 3-pt jump shot from 25 ft,,4,9
28,1,8:30.0,,Defensive rebound by K. Porziņģis,4,9
29,1,8:12.0,,C. Lee misses 2-pt jump shot from 8 ft,4,9
30,1,8:11.0,Defensive rebound by M. Williams,,4,9
31,1,8:05.0,C. Zeller makes 2-pt layup from 2 ft (assist by N. Batum),,6,9
32,1,7:53.0,,C. Anthony makes 3-pt jump shot from 26 ft (assist by D. Rose),6,12
33,1,7:36.0,M. Kidd-Gilchrist misses 2-pt jump shot from 19 ft,,6,12
34,1,7:36.0,,Defensive rebound by K. Porziņģis,6,12
35,1,7:17.0,,C. Lee misses 2-pt layup from 2 ft,6,12
36,1,7:16.0,,Offensive rebound by J. Noah,6,12
37,1,7:16.0,,J. Noah misses 2-pt layup from 1 ft,6,12
38,1,7:14.0,,Offensive rebound by C. Anthony,6,12
39,1,7:13.0,,C. Anthony misses 3-pt jump shot from 26 ft,6,12
40,1,7:11.0,Defensive rebound by N. Batum,,6,12
41,1,7:04.0,C. Zeller makes 2-pt jump shot from 7 ft (assist by N. Batum),,8,12
42,1,6:39.0,,C. Anthony misses 2-pt jump shot from 21 ft,8,12
43,1,6:39.0,,Offensive rebound by Team,8,12
44,1,6:39.0,Loose ball foul by C. Zeller (drawn by J. Noah),,8,12
45,1,6:39.0,,K. O'Quinn enters the game for J. Noah,8,12
46,1,6:39.0,R. Hibbert enters the game for C. Zeller,,8,12
47,1,6:24.0,,K. O'Quinn misses 2-pt jump shot from 20 ft,8,12
48,1,6:24.0,Defensive rebound by K. Walker,,8,12
49,1,6:19.0,Turnover by R. Hibbert (traveling),,8,12
50,1,6:08.0,,K. O'Quinn makes 2-pt jump shot from 17 ft (assist by D. Rose),8,14
51,1,5:41.0,K. Walker misses 3-pt jump shot from 25 ft,,8,14
52,1,5:40.0,,Defensive rebound by K. O'Quinn,8,14
53,1,5:33.0,,Turnover by K. Porziņģis (step out of bounds),8,14
54,1,5:33.0,,New York full timeout,8,14
55,1,5:21.0,N. Batum makes 2-pt jump shot from 11 ft,,10,14
56,1,5:21.0,Shooting foul by C. Lee (drawn by N. Batum),,10,14
57,1,5:21.0,N. Batum makes free throw 1 of 1,,11,14
58,1,5:03.0,,D. Rose misses 2-pt layup from 2 ft,11,14
59,1,5:03.0,Defensive rebound by N. Batum,,11,14
60,1,4:58.0,N. Batum misses 3-pt jump shot from 25 ft,,11,14
61,1,4:57.0,Offensive rebound by M. Williams,,11,14
62,1,4:51.0,M. Williams makes 3-pt jump shot from 26 ft,,14,14
63,1,4:37.0,,Shooting foul by K. Walker (drawn by C. Anthony),14,14
64,1,4:37.0,,C. Anthony makes free throw 1 of 2,14,15
65,1,4:37.0,,W. Hernangómez enters the game for K. Porziņģis,14,15
66,1,4:37.0,F. Kaminsky enters the game for M. Williams,,14,15
67,1,4:37.0,R. Sessions enters the game for N. Batum,,14,15
68,1,4:37.0,M. Belinelli enters the game for K. Walker,,14,15
69,1,4:37.0,,C. Anthony makes free throw 2 of 2,14,16
70,1,4:25.0,M. Belinelli makes 3-pt jump shot from 25 ft,,17,16
71,1,4:14.0,,Personal foul by M. Belinelli (drawn by C. Lee),17,16
72,1,4:14.0,,C. Lee makes free throw 1 of 2,17,17
73,1,4:14.0,,C. Lee makes free throw 2 of 2,17,18
74,1,3:58.0,R. Sessions makes 2-pt layup from 1 ft (assist by F. Kaminsky),,19,18
75,1,3:44.0,,Turnover by D. Rose (bad pass; steal by M. Belinelli),19,18
76,1,3:39.0,M. Kidd-Gilchrist makes 2-pt layup from 1 ft (assist by M. Belinelli),,21,18
