,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,HOUSTON_ACTION,PHILADELPHIA_SCORE,HOUSTON_SCORE
0,1,11:39.0,J. Embiid makes 2-pt jump shot from 19 ft,,2,0
1,1,11:22.0,,Turnover by J. Harden (bad pass; steal by S. Rodríguez),2,0
2,1,11:14.0,J. Embiid misses 3-pt jump shot from 26 ft,,2,0
3,1,11:13.0,,Defensive rebound by E. Gordon,2,0
4,1,11:03.0,,E. Gordon misses 2-pt jump shot from 22 ft,2,0
5,1,11:02.0,Defensive rebound by J. Embiid,,2,0
6,1,10:55.0,Personal foul by E. Gordon (drawn by J. Embiid),,2,0
7,1,10:42.0,Turnover by J. Embiid (lost ball; steal by T. Ariza),,2,0
8,1,10:36.0,,T. Ariza makes 3-pt jump shot from 26 ft (assist by J. Harden),2,3
9,1,10:24.0,J. Embiid makes 2-pt layup from 2 ft (assist by S. Rodríguez),,4,3
10,1,10:24.0,Shooting foul by J. Harden (drawn by J. Embiid),,4,3
11,1,10:24.0,J. Embiid makes free throw 1 of 1,,5,3
12,1,10:11.0,,Personal foul by R. Covington (drawn by T. Ariza),5,3
13,1,10:06.0,,Turnover by J. Harden (bad pass; steal by J. Embiid),5,3
14,1,9:58.0,D. Šarić makes 2-pt dunk at rim (assist by G. Henderson),,7,3
15,1,9:44.0,,E. Gordon makes 2-pt layup from 2 ft (assist by J. Harden),7,5
16,1,9:27.0,D. Šarić misses 2-pt jump shot from 4 ft (block by C. Capela),,7,5
17,1,9:27.0,Offensive rebound by Team,,7,5
18,1,9:25.0,J. Embiid makes 2-pt dunk at rim (assist by S. Rodríguez),,9,5
19,1,9:08.0,,C. Capela misses 2-pt layup from 1 ft,9,5
20,1,9:05.0,,Offensive rebound by T. Ariza,9,5
21,1,9:05.0,,T. Ariza makes 2-pt layup from 1 ft,9,7
22,1,8:45.0,D. Šarić makes 3-pt jump shot from 25 ft (assist by S. Rodríguez),,12,7
23,1,8:35.0,,J. Harden makes 2-pt layup from 3 ft,12,9
24,1,8:27.0,R. Covington misses 3-pt jump shot from 25 ft,,12,9
25,1,8:26.0,,Defensive rebound by J. Harden,12,9
26,1,8:08.0,,E. Gordon misses 2-pt layup from 3 ft (block by S. Rodríguez),12,9
27,1,8:08.0,,Offensive rebound by Team,12,9
28,1,8:08.0,J. Okafor enters the game for J. Embiid,,12,9
29,1,8:03.0,,Shooting foul by R. Covington (drawn by J. Harden),12,9
30,1,8:03.0,,J. Harden makes free throw 1 of 2,12,10
31,1,8:03.0,H. Thompson enters the game for R. Covington,,12,10
32,1,8:03.0,,J. Harden makes free throw 2 of 2,12,11
33,1,7:46.0,D. Šarić misses 2-pt jump shot from 20 ft,,12,11
34,1,7:44.0,,Defensive rebound by T. Ariza,12,11
35,1,7:39.0,,R. Anderson misses 3-pt jump shot from 32 ft,12,11
36,1,7:38.0,Defensive rebound by J. Okafor,,12,11
37,1,7:25.0,D. Šarić misses 2-pt jump shot from 6 ft,,12,11
38,1,7:23.0,,Defensive rebound by C. Capela,12,11
39,1,7:09.0,,E. Gordon makes 3-pt jump shot from 24 ft,12,14
40,1,6:44.0,J. Okafor makes 2-pt hook shot from 11 ft,,14,14
41,1,6:27.0,,J. Harden makes 2-pt jump shot from 20 ft,14,16
42,1,6:12.0,G. Henderson misses 2-pt jump shot from 20 ft,,14,16
43,1,6:09.0,,Defensive rebound by J. Harden,14,16
44,1,5:56.0,,E. Gordon misses 2-pt jump shot from 5 ft (block by H. Thompson),14,16
45,1,5:56.0,,Offensive rebound by Team,14,16
46,1,5:56.0,,S. Dekker enters the game for C. Capela,14,16
47,1,5:56.0,,N. Hilário enters the game for E. Gordon,14,16
48,1,5:56.0,E. İlyasova enters the game for D. Šarić,,14,16
49,1,5:48.0,Offensive charge foul by R. Anderson (drawn by G. Henderson),,14,16
50,1,5:48.0,,Turnover by R. Anderson (offensive foul),14,16
