,QUARTER,TIME_REMAINING,TORONTO_ACTION,MIAMI_ACTION,TORONTO_SCORE,MIAMI_SCORE
0,1,11:42.0,S. Ibaka makes 2-pt jump shot from 16 ft,,2,0
1,1,11:24.0,,R. McGruder makes 2-pt hook shot from 7 ft (assist by G. Dragić),2,2
2,1,11:12.0,D. DeRozan misses 2-pt layup from 1 ft,,2,2
3,1,11:11.0,Offensive rebound by J. Valančiūnas,,2,2
4,1,11:10.0,J. Valančiūnas makes 2-pt jump shot from 2 ft,,4,2
5,1,10:55.0,,D. Waiters makes 3-pt jump shot from 25 ft (assist by L. Babbitt),4,5
6,1,10:34.0,D. DeRozan misses 2-pt jump shot from 12 ft,,4,5
7,1,10:33.0,Offensive rebound by J. Valančiūnas,,4,5
8,1,10:24.0,J. Valančiūnas makes 2-pt hook shot from 3 ft,,6,5
9,1,10:07.0,,H. Whiteside makes 2-pt jump shot from 16 ft (assist by L. Babbitt),6,7
10,1,9:40.0,Turnover by S. Ibaka (bad pass; steal by G. Dragić),,6,7
11,1,9:36.0,,G. Dragić makes 2-pt layup from 1 ft,6,9
12,1,9:16.0,D. DeRozan makes 2-pt jump shot from 15 ft,,8,9
13,1,9:07.0,,G. Dragić makes 3-pt jump shot from 25 ft,8,12
14,1,8:49.0,S. Ibaka misses 2-pt hook shot from 10 ft,,8,12
15,1,8:48.0,,Defensive rebound by H. Whiteside,8,12
16,1,8:40.0,,L. Babbitt makes 3-pt jump shot from 25 ft (assist by D. Waiters),8,15
17,1,8:32.0,Toronto full timeout,,8,15
18,1,8:23.0,C. Joseph misses 2-pt jump shot from 16 ft,,8,15
19,1,8:21.0,Offensive rebound by N. Powell,,8,15
20,1,8:13.0,Turnover by N. Powell (bad pass; steal by L. Babbitt),,8,15
21,1,7:55.0,,L. Babbitt makes 3-pt jump shot from 23 ft (assist by D. Waiters),8,18
22,1,7:29.0,C. Joseph misses 2-pt layup from 3 ft (block by H. Whiteside),,8,18
23,1,7:28.0,Offensive rebound by Team,,8,18
24,1,7:25.0,S. Ibaka makes 3-pt jump shot from 25 ft (assist by D. DeRozan),,11,18
25,1,7:05.0,,R. McGruder misses 3-pt jump shot from 25 ft,11,18
26,1,7:04.0,Defensive rebound by J. Valančiūnas,,11,18
27,1,6:52.0,N. Powell misses 2-pt jump shot from 16 ft,,11,18
28,1,6:51.0,Offensive rebound by J. Valančiūnas,,11,18
29,1,6:50.0,J. Valančiūnas makes 2-pt dunk at rim,,13,18
30,1,6:40.0,,Shooting foul by J. Valančiūnas (drawn by H. Whiteside),13,18
31,1,6:40.0,,H. Whiteside makes free throw 1 of 2,13,19
32,1,6:40.0,,H. Whiteside makes free throw 2 of 2,13,20
33,1,6:23.0,S. Ibaka misses 2-pt jump shot from 12 ft,,13,20
34,1,6:22.0,Offensive rebound by Team,,13,20
35,1,6:22.0,,Loose ball foul by H. Whiteside (drawn by J. Valančiūnas),13,20
36,1,6:11.0,,Violation by H. Whiteside (def goaltending),13,20
37,1,6:11.0,N. Powell makes 2-pt layup from 2 ft,,15,20
38,1,6:11.0,,Violation by Team (jump ball),15,20
39,1,5:59.0,,L. Babbitt misses 3-pt jump shot from 25 ft,15,20
40,1,5:57.0,,Offensive rebound by Team,15,20
41,1,5:51.0,,D. Waiters makes 2-pt jump shot from 19 ft (assist by G. Dragić),15,22
42,1,5:26.0,S. Ibaka makes 2-pt jump shot from 12 ft,,17,22
43,1,5:15.0,,G. Dragić misses 2-pt layup from 2 ft,17,22
44,1,5:14.0,Defensive rebound by C. Joseph,,17,22
45,1,4:50.0,D. DeRozan misses 2-pt jump shot from 16 ft,,17,22
46,1,4:49.0,,Defensive rebound by G. Dragić,17,22
47,1,4:44.0,,Personal foul by N. Powell (drawn by G. Dragić),17,22
48,1,4:44.0,Technical foul by D. DeRozan,,17,22
