,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,PHILADELPHIA_ACTION,CLEVELAND_SCORE,PHILADELPHIA_SCORE
0,1,11:44.0,,J. Embiid misses 2-pt jump shot from 13 ft (block by J. Smith),0,0
1,1,11:43.0,,Offensive rebound by Team,0,0
2,1,11:40.0,,R. Covington misses 2-pt jump shot from 20 ft,0,0
3,1,11:39.0,Defensive rebound by K. Love,,0,0
4,1,11:33.0,J. Smith misses 3-pt jump shot from 26 ft,,0,0
5,1,11:32.0,Offensive rebound by T. Thompson,,0,0
6,1,11:30.0,T. Thompson misses 2-pt layup from 1 ft (block by J. Embiid),,0,0
7,1,11:28.0,,Defensive rebound by J. Embiid,0,0
8,1,11:22.0,,S. Rodríguez makes 3-pt jump shot from 27 ft (assist by G. Henderson),0,3
9,1,11:01.0,J. Smith misses 2-pt jump shot from 7 ft (block by J. Embiid),,0,3
10,1,11:00.0,Offensive rebound by Team,,0,3
11,1,10:55.0,L. James misses 2-pt jump shot from 9 ft,,0,3
12,1,10:53.0,,Defensive rebound by G. Henderson,0,3
13,1,10:49.0,,E. İlyasova makes 2-pt layup from 1 ft (assist by G. Henderson),0,5
14,1,10:23.0,K. Irving misses 2-pt jump shot from 17 ft,,0,5
15,1,10:22.0,Offensive rebound by K. Love,,0,5
16,1,10:22.0,,Loose ball foul by R. Covington (drawn by K. Love),0,5
17,1,10:12.0,L. James misses 3-pt jump shot from 26 ft,,0,5
18,1,10:10.0,Offensive rebound by K. Love,,0,5
19,1,10:08.0,K. Love misses 3-pt jump shot from 26 ft,,0,5
20,1,10:07.0,,Defensive rebound by R. Covington,0,5
21,1,9:54.0,,E. İlyasova misses 3-pt jump shot from 25 ft,0,5
22,1,9:52.0,,Offensive rebound by J. Embiid,0,5
23,1,9:52.0,,J. Embiid misses 2-pt layup from 3 ft,0,5
24,1,9:51.0,Defensive rebound by L. James,,0,5
25,1,9:38.0,K. Irving misses 2-pt jump shot from 10 ft,,0,5
26,1,9:36.0,Offensive rebound by K. Irving,,0,5
27,1,9:33.0,Shooting block foul by R. Covington (drawn by K. Love),,0,5
28,1,9:33.0,K. Love makes free throw 1 of 2,,1,5
29,1,9:33.0,,H. Thompson enters the game for R. Covington,0,5
30,1,9:33.0,R. Jefferson enters the game for K. Love,,1,5
31,1,9:33.0,K. Love makes free throw 2 of 2,,2,5
32,1,9:24.0,,J. Embiid misses 2-pt jump shot from 4 ft,2,5
33,1,9:21.0,,Offensive rebound by J. Embiid,2,5
34,1,9:16.0,,G. Henderson misses 3-pt jump shot from 25 ft,2,5
35,1,9:14.0,Defensive rebound by J. Smith,,2,5
36,1,9:03.0,J. Smith misses 2-pt jump shot from 17 ft,,2,5
37,1,9:01.0,,Defensive rebound by J. Embiid,2,5
38,1,8:53.0,,J. Embiid makes 3-pt jump shot from 26 ft (assist by S. Rodríguez),2,8
39,1,8:41.0,T. Thompson misses 2-pt jump shot from 7 ft,,2,8
40,1,8:40.0,,Defensive rebound by E. İlyasova,2,8
41,1,8:33.0,,J. Embiid misses 3-pt jump shot from 27 ft,2,8
42,1,8:32.0,Defensive rebound by Team,,2,8
43,1,8:14.0,K. Irving misses 3-pt jump shot from 25 ft,,2,8
44,1,8:12.0,,Defensive rebound by H. Thompson,2,8
45,1,8:01.0,,S. Rodríguez makes 2-pt jump shot from 12 ft,2,10
46,1,7:37.0,J. Smith misses 3-pt jump shot from 27 ft,,2,10
47,1,7:36.0,,Defensive rebound by S. Rodríguez,2,10
48,1,7:23.0,,E. İlyasova misses 3-pt jump shot from 25 ft,2,10
49,1,7:22.0,Defensive rebound by L. James,,2,10
50,1,7:14.0,K. Irving misses 2-pt jump shot from 14 ft,,2,10
