,QUARTER,TIME_REMAINING,ORLANDO_ACTION,INDIANA_ACTION,ORLANDO_SCORE,INDIANA_SCORE
0,1,11:43.0,N. Vučević misses 2-pt hook shot from 14 ft,,0,0
1,1,11:42.0,,Defensive rebound by M. Turner,0,0
2,1,11:32.0,,Offensive foul by M. Turner (drawn by E. Payton),0,0
3,1,11:32.0,,Turnover by M. Turner (offensive foul),0,0
4,1,11:14.0,S. Ibaka misses 3-pt jump shot from 27 ft,,0,0
5,1,11:13.0,,Defensive rebound by M. Ellis,0,0
6,1,10:58.0,,T. Young makes 2-pt hook shot from 2 ft,0,2
7,1,10:48.0,E. Payton makes 2-pt layup at rim,,2,2
8,1,10:34.0,,P. George misses 2-pt jump shot from 15 ft,2,2
9,1,10:33.0,Defensive rebound by N. Vučević,,2,2
10,1,10:17.0,E. Fournier misses 2-pt jump shot from 17 ft,,2,2
11,1,10:16.0,,Defensive rebound by P. George,2,2
12,1,10:09.0,,Personal foul by N. Vučević (drawn by M. Turner),2,2
13,1,10:02.0,,J. Teague misses 3-pt jump shot from 26 ft,2,2
14,1,10:02.0,Defensive rebound by S. Ibaka,,2,2
15,1,9:53.0,N. Vučević misses 2-pt jump shot from 16 ft,,2,2
16,1,9:52.0,,Defensive rebound by J. Teague,2,2
17,1,9:39.0,,M. Ellis makes 2-pt layup from 2 ft,2,4
18,1,9:16.0,N. Vučević misses 2-pt jump shot from 9 ft,,2,4
19,1,9:15.0,,Defensive rebound by P. George,2,4
20,1,9:09.0,,M. Turner misses 2-pt layup from 4 ft,2,4
21,1,9:08.0,Defensive rebound by N. Vučević,,2,4
22,1,8:48.0,E. Fournier misses 3-pt jump shot from 26 ft,,2,4
23,1,8:47.0,Offensive rebound by S. Ibaka,,2,4
24,1,8:25.0,Turnover by N. Vučević (lost ball; steal by T. Young),,2,4
25,1,8:18.0,,M. Turner makes 2-pt dunk at rim (assist by T. Young),2,6
26,1,8:18.0,,Shooting foul by S. Ibaka (drawn by M. Turner),2,6
27,1,8:18.0,,M. Turner makes free throw 1 of 1,2,7
28,1,7:58.0,S. Ibaka misses 2-pt jump shot from 16 ft,,2,7
29,1,7:57.0,,Defensive rebound by M. Turner,2,7
30,1,7:42.0,,M. Turner misses 2-pt jump shot from 4 ft,2,7
31,1,7:41.0,Defensive rebound by N. Vučević,,2,7
32,1,7:31.0,E. Payton misses 2-pt jump shot from 6 ft,,2,7
33,1,7:30.0,Offensive rebound by E. Payton,,2,7
34,1,7:24.0,S. Ibaka misses 3-pt jump shot from 25 ft,,2,7
35,1,7:23.0,,Defensive rebound by J. Teague,2,7
36,1,7:15.0,,M. Ellis misses 3-pt jump shot from 23 ft,2,7
37,1,7:14.0,Defensive rebound by E. Payton,,2,7
38,1,7:04.0,S. Ibaka misses 2-pt jump shot from 16 ft,,2,7
39,1,7:04.0,,Defensive rebound by J. Teague,2,7
40,1,6:56.0,,Personal block foul by J. Green (drawn by J. Teague),2,7
41,1,6:47.0,,Turnover by M. Turner (offensive goaltending),2,7
42,1,6:29.0,E. Payton makes 2-pt layup from 1 ft,,4,7
43,1,6:15.0,,M. Turner misses 2-pt jump shot from 15 ft,4,7
44,1,6:14.0,Defensive rebound by J. Green,,4,7
45,1,6:11.0,,Offensive charge foul by E. Payton (drawn by J. Teague),4,7
46,1,6:11.0,Turnover by E. Payton (offensive foul),,4,7
47,1,5:56.0,,P. George misses 3-pt jump shot from 23 ft,4,7
48,1,5:55.0,Defensive rebound by S. Ibaka,,4,7
49,1,5:49.0,Orlando full timeout,,4,7
50,1,5:49.0,B. Biyombo enters the game for J. Green,,4,7
51,1,5:49.0,A. Gordon enters the game for N. Vučević,,4,7
52,1,5:32.0,S. Ibaka makes 2-pt hook shot from 7 ft,,6,7
53,1,5:14.0,,T. Young misses 2-pt jump shot from 16 ft,6,7
54,1,5:14.0,Defensive rebound by E. Payton,,6,7
55,1,5:01.0,S. Ibaka misses 2-pt jump shot from 16 ft,,6,7
56,1,5:00.0,Offensive rebound by B. Biyombo,,6,7
57,1,5:00.0,,Loose ball foul by M. Turner (drawn by B. Biyombo),6,7
58,1,5:00.0,,A. Jefferson enters the game for M. Turner,6,7
59,1,4:46.0,A. Gordon misses 2-pt jump shot from 13 ft (block by J. Teague),,6,7
60,1,4:44.0,Offensive rebound by B. Biyombo,,6,7
61,1,4:43.0,B. Biyombo makes 2-pt layup from 1 ft,,8,7
62,1,4:25.0,,P. George misses 3-pt jump shot from 27 ft,8,7
63,1,4:23.0,Defensive rebound by S. Ibaka,,8,7
64,1,4:17.0,Personal foul by J. Teague (drawn by E. Payton),,8,7
65,1,4:08.0,Shooting foul by A. Jefferson (drawn by E. Fournier),,8,7
66,1,4:08.0,E. Fournier makes free throw 1 of 2,,9,7
67,1,4:08.0,E. Fournier makes free throw 2 of 2,,10,7
68,1,3:46.0,,M. Ellis makes 2-pt jump shot from 6 ft,10,9
69,1,3:20.0,Turnover by Team (shot clock),,10,9
70,1,3:20.0,,L. Allen enters the game for T. Young,10,9
71,1,3:11.0,,M. Ellis makes 2-pt jump shot from 17 ft,10,11
72,1,2:51.0,B. Biyombo makes 2-pt jump shot from 5 ft (assist by S. Ibaka),,12,11
73,1,2:22.0,,P. George misses 2-pt jump shot from 17 ft,12,11
74,1,2:21.0,Defensive rebound by S. Ibaka,,12,11
75,1,2:13.0,E. Payton makes 2-pt layup from 3 ft,,14,11
76,1,2:08.0,,Indiana full timeout,14,11
77,1,2:08.0,,C. Miles enters the game for M. Ellis,14,11
78,1,1:56.0,,P. George makes 2-pt layup from 1 ft (assist by J. Teague),14,13
79,1,1:31.0,E. Fournier makes 3-pt jump shot from 28 ft (assist by S. Ibaka),,17,13
80,1,1:23.0,,Personal foul by E. Fournier (drawn by C. Miles),17,13
81,1,1:23.0,D. Augustin enters the game for E. Payton,,17,13
82,1,1:23.0,D. Rudež enters the game for S. Ibaka,,17,13
83,1,1:23.0,,A. Brooks enters the game for J. Teague,17,13
84,1,1:17.0,,P. George misses 3-pt jump shot from 26 ft,17,13
85,1,1:16.0,Defensive rebound by B. Biyombo,,17,13
86,1,1:07.0,B. Biyombo makes 2-pt dunk from 2 ft (assist by E. Fournier),,19,13
87,1,0:48.0,,A. Brooks misses 3-pt jump shot from 27 ft,19,13
88,1,0:47.0,Defensive rebound by B. Biyombo,,19,13
89,1,0:35.0,A. Gordon misses 3-pt jump shot from 26 ft,,19,13
90,1,0:34.0,,Defensive rebound by C. Miles,19,13
91,1,0:27.0,,C. Miles makes 3-pt jump shot from 26 ft (assist by P. George),19,16
92,1,0:09.0,E. Fournier misses 2-pt jump shot from 5 ft,,19,16
93,1,0:07.0,Offensive rebound by B. Biyombo,,19,16
94,1,0:02.0,D. Augustin misses 3-pt jump shot from 26 ft,,19,16
95,1,0:02.0,,Defensive rebound by A. Jefferson,19,16
96,2,11:44.0,,Shooting foul by A. Gordon (drawn by C. Miles),19,16
97,2,11:44.0,,C. Miles makes free throw 1 of 2,19,17
98,2,11:44.0,,C. Miles makes free throw 2 of 2,19,18
99,2,11:32.0,Turnover by D. Rudež (bad pass; steal by C. Miles),,19,18
100,2,11:28.0,,C. Miles makes 2-pt dunk at rim,19,20
101,2,11:10.0,C. Watson misses 2-pt jump shot from 15 ft,,19,20
102,2,11:10.0,,Defensive rebound by L. Allen,19,20
103,2,11:00.0,,L. Allen makes 2-pt jump shot from 20 ft (assist by M. Ellis),19,22
104,2,10:44.0,Turnover by B. Biyombo (traveling),,19,22
105,2,10:30.0,,A. Brooks makes 2-pt jump shot from 15 ft,19,24
106,2,10:28.0,Orlando full timeout,,19,24
107,2,10:17.0,A. Gordon makes 2-pt layup from 3 ft (assist by D. Rudež),,21,24
108,2,9:57.0,,Shooting foul by C. Watson (drawn by A. Brooks),21,24
109,2,9:57.0,,A. Brooks makes free throw 1 of 2,21,25
110,2,9:57.0,,A. Brooks makes free throw 2 of 2,21,26
111,2,9:40.0,A. Gordon makes 2-pt layup from 3 ft,,23,26
112,2,9:15.0,,K. Séraphin misses 2-pt jump shot from 13 ft (block by B. Biyombo),23,26
113,2,9:14.0,Defensive rebound by B. Biyombo,,23,26
114,2,9:01.0,B. Biyombo makes 2-pt hook shot from 11 ft,,25,26
115,2,8:41.0,,A. Brooks misses 3-pt jump shot from 30 ft,25,26
116,2,8:40.0,Defensive rebound by A. Gordon,,25,26
117,2,8:32.0,D. Augustin makes 2-pt layup from 2 ft,,27,26
118,2,8:12.0,,L. Allen misses 2-pt layup from 1 ft,27,26
119,2,8:11.0,Defensive rebound by A. Gordon,,27,26
120,2,8:02.0,D. Rudež makes 3-pt jump shot from 26 ft (assist by D. Augustin),,30,26
121,2,7:54.0,,Indiana full timeout,30,26
122,2,7:54.0,,M. Turner enters the game for L. Allen,30,26
123,2,7:54.0,,T. Young enters the game for K. Séraphin,30,26
124,2,7:43.0,,M. Turner misses 2-pt jump shot from 16 ft,30,26
125,2,7:42.0,,Offensive rebound by Team,30,26
126,2,7:42.0,Loose ball foul by D. Rudež (drawn by T. Young),,30,26
127,2,7:33.0,,C. Miles misses 3-pt jump shot from 26 ft,30,26
128,2,7:33.0,Defensive rebound by D. Rudež,,30,26
129,2,7:08.0,A. Gordon misses 3-pt jump shot from 26 ft,,30,26
130,2,7:07.0,Offensive rebound by Team,,30,26
131,2,7:07.0,N. Vučević enters the game for B. Biyombo,,30,26
132,2,6:53.0,A. Gordon misses 2-pt jump shot from 17 ft,,30,26
133,2,6:52.0,,Defensive rebound by M. Turner,30,26
134,2,6:43.0,,M. Turner makes 2-pt layup at rim (assist by A. Brooks),30,28
