,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,LA CLIPPERS_ACTION,MEMPHIS_SCORE,LA CLIPPERS_SCORE
0,1,11:35.0,M. Conley misses 2-pt jump shot from 22 ft,,0,0
1,1,11:31.0,Offensive rebound by M. Gasol,,0,0
2,1,11:24.0,T. Allen misses 3-pt jump shot from 27 ft,,0,0
3,1,11:21.0,,Defensive rebound by L. Mbah a Moute,0,0
4,1,11:01.0,,A. Rivers makes 3-pt jump shot from 27 ft (assist by L. Mbah a Moute),0,3
5,1,10:44.0,M. Gasol makes 2-pt jump shot from 4 ft (assist by M. Conley),,2,3
6,1,10:26.0,,J. Redick makes 2-pt jump shot from 20 ft (assist by R. Felton),2,5
7,1,10:12.0,M. Conley misses 2-pt jump shot from 5 ft,,2,5
8,1,10:09.0,,Defensive rebound by A. Rivers,2,5
9,1,10:04.0,,Turnover by A. Rivers (lost ball; steal by J. Ennis),2,5
10,1,9:58.0,J. Martin makes 3-pt jump shot from 24 ft (assist by M. Conley),,5,5
11,1,9:30.0,,L. Mbah a Moute misses 2-pt layup from 2 ft,5,5
12,1,9:28.0,,Offensive rebound by L. Mbah a Moute,5,5
13,1,9:28.0,,L. Mbah a Moute misses 2-pt layup from 3 ft,5,5
14,1,9:27.0,Defensive rebound by M. Gasol,,5,5
15,1,9:20.0,M. Gasol makes 3-pt jump shot from 26 ft (assist by J. Ennis),,8,5
16,1,9:06.0,,Turnover by R. Felton (lost ball),8,5
17,1,8:51.0,Turnover by M. Gasol (lost ball; steal by R. Felton),,8,5
18,1,8:46.0,,D. Jordan makes 2-pt dunk at rim (assist by R. Felton),8,7
19,1,8:21.0,M. Gasol misses 2-pt jump shot from 13 ft,,8,7
20,1,8:18.0,Offensive rebound by J. Martin,,8,7
21,1,8:18.0,J. Martin misses 2-pt layup from 3 ft,,8,7
22,1,8:17.0,Offensive rebound by J. Martin,,8,7
23,1,8:16.0,J. Martin misses 2-pt layup from 2 ft (block by L. Mbah a Moute),,8,7
24,1,8:16.0,,Defensive rebound by L. Mbah a Moute,8,7
25,1,8:16.0,,Personal foul by T. Allen (drawn by L. Mbah a Moute),8,7
26,1,8:04.0,,Turnover by J. Redick (lost ball),8,7
27,1,7:50.0,T. Allen misses 2-pt jump shot from 19 ft,,8,7
28,1,7:50.0,,Defensive rebound by Team,8,7
29,1,7:34.0,,Shooting foul by J. Martin (drawn by L. Mbah a Moute),8,7
