,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,PHILADELPHIA_ACTION,MEMPHIS_SCORE,PHILADELPHIA_SCORE
0,1,11:40.0,J. Green makes 2-pt jump shot from 20 ft (assist by T. Allen),,2,0
1,1,11:21.0,,Turnover by J. Embiid (bad pass; steal by M. Gasol),2,0
2,1,11:09.0,T. Allen misses 2-pt jump shot from 10 ft,,2,0
3,1,11:07.0,,Defensive rebound by E. İlyasova,2,0
4,1,10:54.0,,H. Thompson makes 2-pt layup from 2 ft (assist by S. Rodríguez),2,2
5,1,10:37.0,M. Gasol misses 2-pt jump shot from 15 ft,,2,2
6,1,10:35.0,,Defensive rebound by R. Covington,2,2
7,1,10:26.0,,S. Rodríguez misses 2-pt jump shot from 15 ft,2,2
8,1,10:24.0,Defensive rebound by J. Green,,2,2
9,1,10:18.0,T. Allen misses 2-pt jump shot from 3 ft (block by H. Thompson),,2,2
10,1,10:16.0,,Defensive rebound by E. İlyasova,2,2
11,1,10:08.0,,E. İlyasova makes 3-pt jump shot from 26 ft (assist by S. Rodríguez),2,5
12,1,9:48.0,M. Gasol makes 2-pt hook shot from 10 ft,,4,5
13,1,9:34.0,,Turnover by J. Embiid (lost ball; steal by T. Daniels),4,5
14,1,9:29.0,T. Allen makes 2-pt jump shot from 6 ft (assist by M. Conley),,6,5
15,1,9:29.0,Shooting foul by H. Thompson (drawn by T. Allen),,6,5
16,1,9:29.0,T. Allen makes free throw 1 of 1,,7,5
17,1,9:20.0,,Personal foul by T. Allen (drawn by S. Rodríguez),7,5
18,1,9:11.0,,E. İlyasova makes 2-pt jump shot from 6 ft (assist by S. Rodríguez),7,7
19,1,8:54.0,T. Daniels misses 3-pt jump shot from 26 ft,,7,7
20,1,8:52.0,,Defensive rebound by E. İlyasova,7,7
21,1,8:35.0,,E. İlyasova misses 2-pt jump shot from 17 ft,7,7
22,1,8:33.0,Defensive rebound by J. Green,,7,7
23,1,8:27.0,M. Conley misses 2-pt jump shot from 22 ft,,7,7
24,1,8:24.0,,Defensive rebound by J. Embiid,7,7
25,1,8:14.0,,H. Thompson misses 3-pt jump shot from 26 ft,7,7
26,1,8:12.0,Defensive rebound by J. Green,,7,7
27,1,8:06.0,T. Allen misses 2-pt layup from 1 ft,,7,7
28,1,8:04.0,,Defensive rebound by J. Embiid,7,7
29,1,7:46.0,,R. Covington misses 3-pt jump shot from 27 ft,7,7
30,1,7:45.0,,Offensive rebound by Team,7,7
31,1,7:45.0,Loose ball foul by J. Green (drawn by E. İlyasova),,7,7
32,1,7:45.0,,J. Okafor enters the game for J. Embiid,7,7
33,1,7:38.0,,S. Rodríguez makes 3-pt jump shot from 25 ft,7,10
