,QUARTER,TIME_REMAINING,BOSTON_ACTION,CHICAGO_ACTION,BOSTON_SCORE,CHICAGO_SCORE
0,1,11:43.0,,D. Wade makes 2-pt jump shot from 20 ft (assist by R. Rondo),0,2
1,1,11:33.0,Turnover by I. Thomas (lost ball; steal by R. Rondo),,0,2
2,1,11:29.0,,Shooting foul by A. Johnson (drawn by R. Lopez),0,2
3,1,11:29.0,,R. Lopez makes free throw 1 of 2,0,3
4,1,11:29.0,,R. Lopez makes free throw 2 of 2,0,4
5,1,11:11.0,A. Bradley misses 2-pt jump shot from 22 ft,,0,4
6,1,11:10.0,,Defensive rebound by J. Butler,0,4
7,1,10:52.0,,T. Gibson misses 2-pt hook shot from 4 ft,0,4
8,1,10:51.0,,Offensive rebound by J. Butler,0,4
9,1,10:45.0,,R. Rondo misses 2-pt layup from 2 ft,0,4
10,1,10:45.0,,Offensive rebound by R. Lopez,0,4
11,1,10:45.0,,Personal foul by A. Johnson (drawn by R. Lopez),0,4
12,1,10:33.0,,R. Lopez misses 2-pt hook shot from 5 ft,0,4
13,1,10:32.0,Defensive rebound by J. Crowder,,0,4
14,1,10:19.0,A. Johnson makes 2-pt layup from 3 ft (assist by J. Crowder),,2,4
15,1,10:03.0,,D. Wade misses 2-pt jump shot from 19 ft,2,4
16,1,10:02.0,Defensive rebound by A. Horford,,2,4
17,1,10:00.0,Turnover by A. Bradley (bad pass),,2,4
18,1,9:50.0,,J. Butler misses 2-pt jump shot from 21 ft,2,4
19,1,9:49.0,Defensive rebound by A. Bradley,,2,4
20,1,9:33.0,A. Horford misses 2-pt jump shot from 20 ft,,2,4
21,1,9:32.0,,Defensive rebound by R. Rondo,2,4
22,1,9:22.0,,T. Gibson makes 2-pt jump shot from 18 ft (assist by R. Rondo),2,6
23,1,9:04.0,I. Thomas misses 3-pt jump shot from 26 ft,,2,6
24,1,9:03.0,,Defensive rebound by J. Butler,2,6
25,1,8:54.0,,T. Gibson makes 2-pt jump shot from 4 ft (assist by D. Wade),2,8
26,1,8:38.0,I. Thomas makes 3-pt jump shot from 25 ft (assist by A. Johnson),,5,8
27,1,8:14.0,,Shooting foul by A. Horford (drawn by J. Butler),5,8
28,1,8:14.0,,J. Butler makes free throw 1 of 2,5,9
