,QUARTER,TIME_REMAINING,ATLANTA_ACTION,HOUSTON_ACTION,ATLANTA_SCORE,HOUSTON_SCORE
0,1,11:45.0,D. Schröder misses 2-pt jump shot from 19 ft,,0,0
1,1,11:44.0,Offensive rebound by Team,,0,0
2,1,11:29.0,D. Howard makes 2-pt dunk at rim (assist by D. Schröder),,2,0
3,1,11:14.0,,T. Ariza misses 3-pt jump shot from 25 ft,2,0
4,1,11:13.0,Defensive rebound by D. Schröder,,2,0
5,1,10:56.0,D. Howard makes 2-pt dunk at rim (assist by K. Bazemore),,4,0
6,1,10:44.0,,R. Anderson misses 3-pt jump shot from 27 ft,4,0
7,1,10:43.0,Defensive rebound by D. Howard,,4,0
8,1,10:29.0,Turnover by P. Millsap (bad pass; steal by J. Harden),,4,0
9,1,10:25.0,,Turnover by J. Harden (lost ball; steal by K. Bazemore),4,0
10,1,10:19.0,P. Millsap makes 2-pt dunk at rim (assist by T. Hardaway),,6,0
11,1,9:56.0,,J. Harden makes 3-pt jump shot from 27 ft,6,3
12,1,9:43.0,Offensive foul by D. Howard (drawn by P. Beverley),,6,3
13,1,9:43.0,Turnover by D. Howard (offensive foul),,6,3
14,1,9:29.0,,C. Capela makes 2-pt hook shot from 6 ft (assist by R. Anderson),6,5
15,1,9:16.0,D. Schröder misses 3-pt jump shot from 25 ft,,6,5
16,1,9:15.0,,Defensive rebound by T. Ariza,6,5
17,1,9:08.0,,J. Harden misses 2-pt layup from 2 ft,6,5
18,1,9:07.0,Defensive rebound by P. Millsap,,6,5
19,1,8:50.0,P. Millsap misses 2-pt jump shot from 16 ft,,6,5
20,1,8:49.0,,Defensive rebound by J. Harden,6,5
21,1,8:41.0,,R. Anderson misses 3-pt jump shot from 23 ft,6,5
22,1,8:40.0,Defensive rebound by D. Howard,,6,5
23,1,8:33.0,T. Hardaway makes 3-pt jump shot from 25 ft,,9,5
24,1,8:17.0,,J. Harden makes 2-pt jump shot from 7 ft,9,7
25,1,8:01.0,D. Howard makes 2-pt dunk at rim (assist by P. Millsap),,11,7
26,1,7:57.0,,T. Ariza misses 2-pt jump shot from 9 ft (block by T. Hardaway),11,7
27,1,7:57.0,Defensive rebound by T. Hardaway,,11,7
28,1,7:41.0,D. Howard makes 2-pt dunk at rim (assist by K. Bazemore),,13,7
29,1,7:15.0,,R. Anderson makes 3-pt jump shot from 28 ft (assist by J. Harden),13,10
30,1,7:03.0,Turnover by D. Howard (bad pass),,13,10
31,1,6:46.0,,C. Capela makes 2-pt dunk at rim,13,12
32,1,6:32.0,D. Schröder makes 2-pt jump shot from 18 ft,,15,12
33,1,6:16.0,,Shooting foul by P. Millsap (drawn by J. Harden),15,12
34,1,6:16.0,,J. Harden makes free throw 1 of 3,15,13
35,1,6:16.0,,J. Harden makes free throw 2 of 3,15,14
36,1,6:16.0,,J. Harden makes free throw 3 of 3,15,15
37,1,6:01.0,K. Bazemore misses 2-pt jump shot from 20 ft,,15,15
38,1,6:00.0,,Defensive rebound by P. Beverley,15,15
39,1,5:51.0,,C. Capela makes 2-pt hook shot from 7 ft (assist by T. Ariza),15,17
40,1,5:39.0,Turnover by T. Hardaway (bad pass; steal by C. Capela),,15,17
41,1,5:31.0,,R. Anderson misses 3-pt jump shot from 27 ft,15,17
42,1,5:30.0,Defensive rebound by K. Bazemore,,15,17
43,1,5:21.0,T. Hardaway misses 3-pt jump shot from 26 ft,,15,17
44,1,5:20.0,,Defensive rebound by P. Beverley,15,17
45,1,5:09.0,,J. Harden misses 3-pt jump shot from 27 ft,15,17
46,1,5:08.0,Defensive rebound by T. Hardaway,,15,17
47,1,5:02.0,Personal foul by P. Beverley (drawn by D. Schröder),,15,17
48,1,5:02.0,,Houston full timeout,15,17
49,1,5:02.0,,E. Gordon enters the game for P. Beverley,15,17
50,1,5:02.0,M. Dunleavy enters the game for T. Hardaway,,15,17
51,1,5:02.0,D. Bembry enters the game for K. Bazemore,,15,17
52,1,5:02.0,Violation by Team (jump ball),,15,17
53,1,4:48.0,D. Schröder misses 2-pt layup from 3 ft,,15,17
54,1,4:46.0,,Defensive rebound by Team,15,17
55,1,4:29.0,,J. Harden misses 2-pt jump shot from 8 ft,15,17
56,1,4:28.0,Defensive rebound by P. Millsap,,15,17
57,1,4:21.0,D. Schröder misses 2-pt layup from 2 ft,,15,17
58,1,4:20.0,,Defensive rebound by C. Capela,15,17
59,1,4:12.0,,C. Capela misses 2-pt layup from 1 ft,15,17
60,1,4:11.0,Defensive rebound by D. Howard,,15,17
61,1,4:03.0,Turnover by D. Schröder (bad pass),,15,17
62,1,4:03.0,,S. Dekker enters the game for R. Anderson,15,17
63,1,4:03.0,,N. Hilário enters the game for C. Capela,15,17
64,1,4:03.0,M. Muscala enters the game for D. Howard,,15,17
65,1,3:47.0,,Shooting foul by P. Millsap (drawn by J. Harden),15,17
66,1,3:47.0,,J. Harden makes free throw 1 of 2,15,18
