,QUARTER,TIME_REMAINING,DENVER_ACTION,TORONTO_ACTION,DENVER_SCORE,TORONTO_SCORE
0,1,11:43.0,,J. Valančiūnas misses 2-pt jump shot from 15 ft,0,0
1,1,11:43.0,Defensive rebound by E. Mudiay,,0,0
2,1,11:33.0,Personal foul by K. Lowry (drawn by E. Mudiay),,0,0
3,1,11:17.0,E. Mudiay misses 2-pt jump shot from 20 ft,,0,0
4,1,11:17.0,,Defensive rebound by D. DeRozan,0,0
5,1,11:01.0,,J. Valančiūnas makes 2-pt dunk at rim (assist by K. Lowry),0,2
6,1,10:51.0,Personal foul by J. Valančiūnas (drawn by J. Nurkić),,0,2
7,1,10:46.0,J. Nurkić misses 2-pt jump shot from 3 ft,,0,2
8,1,10:45.0,,Defensive rebound by P. Siakam,0,2
9,1,10:31.0,,J. Valančiūnas makes 2-pt jump shot from 21 ft (assist by K. Lowry),0,4
10,1,10:16.0,N. Jokić makes 2-pt hook shot from 4 ft (assist by D. Gallinari),,2,4
11,1,9:58.0,,P. Siakam misses 2-pt jump shot from 5 ft (block by J. Nurkić),2,4
12,1,9:57.0,Defensive rebound by N. Jokić,,2,4
13,1,9:51.0,E. Mudiay makes 3-pt jump shot from 26 ft (assist by W. Barton),,5,4
14,1,9:38.0,,D. DeRozan makes 2-pt jump shot from 11 ft (assist by K. Lowry),5,6
15,1,9:29.0,N. Jokić makes 2-pt layup from 2 ft (assist by J. Nurkić),,7,6
16,1,9:17.0,,Def 3 sec tech foul by N. Jokić,7,6
17,1,9:17.0,,D. DeRozan makes technical free throw,7,7
18,1,9:10.0,,Def 3 sec tech foul by J. Nurkić,7,7
19,1,9:10.0,,D. DeRozan makes technical free throw,7,8
20,1,9:02.0,,D. DeRozan misses 2-pt jump shot from 13 ft (block by W. Barton),7,8
21,1,9:01.0,Defensive rebound by E. Mudiay,,7,8
22,1,8:57.0,W. Barton makes 2-pt layup from 2 ft (assist by E. Mudiay),,9,8
23,1,8:47.0,,J. Valančiūnas misses 2-pt layup from 3 ft (block by J. Nurkić),9,8
24,1,8:46.0,Defensive rebound by J. Nurkić,,9,8
25,1,8:41.0,Shooting foul by P. Siakam (drawn by J. Nurkić),,9,8
26,1,8:41.0,J. Nurkić makes free throw 1 of 2,,10,8
27,1,8:41.0,J. Nurkić misses free throw 2 of 2,,10,8
28,1,8:40.0,,Defensive rebound by D. Carroll,10,8
29,1,8:24.0,,D. Carroll makes 2-pt jump shot from 5 ft (assist by J. Valančiūnas),10,10
30,1,7:59.0,J. Nurkić misses 2-pt jump shot from 21 ft,,10,10
31,1,7:59.0,,Defensive rebound by P. Siakam,10,10
32,1,7:49.0,,P. Siakam makes 2-pt hook shot from 4 ft (assist by K. Lowry),10,12
33,1,7:41.0,Personal foul by D. Carroll (drawn by D. Gallinari),,10,12
34,1,7:38.0,Turnover by E. Mudiay (lost ball; steal by K. Lowry),,10,12
35,1,7:34.0,,K. Lowry makes 2-pt layup from 1 ft,10,14
36,1,7:14.0,W. Barton makes 3-pt jump shot from 24 ft,,13,14
37,1,6:47.0,,J. Valančiūnas makes 2-pt layup from 2 ft,13,16
38,1,6:37.0,W. Barton misses 2-pt layup from 1 ft,,13,16
39,1,6:36.0,Offensive rebound by N. Jokić,,13,16
40,1,6:34.0,N. Jokić makes 2-pt layup from 2 ft,,15,16
41,1,6:26.0,,D. DeRozan makes 2-pt jump shot from 4 ft,15,18
42,1,6:25.0,Denver full timeout,,15,18
43,1,6:11.0,W. Barton misses 2-pt jump shot from 5 ft,,15,18
44,1,6:10.0,,Defensive rebound by D. DeRozan,15,18
45,1,5:51.0,,J. Valančiūnas misses 2-pt jump shot from 13 ft,15,18
46,1,5:51.0,Defensive rebound by J. Nurkić,,15,18
47,1,5:43.0,E. Mudiay makes 2-pt jump shot from 17 ft,,17,18
48,1,5:25.0,,D. Carroll makes 2-pt layup from 2 ft (assist by K. Lowry),17,20
49,1,5:11.0,N. Jokić misses 2-pt layup from 2 ft,,17,20
50,1,5:11.0,,Defensive rebound by P. Siakam,17,20
51,1,5:02.0,,K. Lowry misses 2-pt jump shot from 19 ft,17,20
52,1,5:02.0,,Offensive rebound by P. Siakam,17,20
53,1,5:00.0,,P. Siakam misses 2-pt layup from 1 ft,17,20
54,1,4:59.0,,Offensive rebound by D. DeRozan,17,20
55,1,4:51.0,,P. Siakam misses 2-pt jump shot from 15 ft,17,20
56,1,4:51.0,,Offensive rebound by J. Valančiūnas,17,20
57,1,4:43.0,,D. Carroll makes 3-pt jump shot from 25 ft (assist by D. DeRozan),17,23
58,1,4:27.0,E. Mudiay misses 2-pt jump shot from 4 ft,,17,23
59,1,4:27.0,,Defensive rebound by Team,17,23
60,1,4:27.0,W. Chandler enters the game for N. Jokić,,17,23
61,1,4:27.0,K. Faried enters the game for J. Nurkić,,17,23
62,1,4:11.0,,D. DeRozan makes 2-pt jump shot from 18 ft,17,25
63,1,4:10.0,Denver full timeout,,17,25
64,1,4:10.0,,P. Patterson enters the game for P. Siakam,17,25
65,1,3:51.0,E. Mudiay misses 2-pt layup from 2 ft (block by P. Patterson),,17,25
66,1,3:48.0,,Defensive rebound by J. Valančiūnas,17,25
67,1,3:44.0,,K. Lowry makes 2-pt layup from 3 ft,17,27
