,QUARTER,TIME_REMAINING,ORLANDO_ACTION,DENVER_ACTION,ORLANDO_SCORE,DENVER_SCORE
0,1,11:47.0,,Shooting foul by N. Vučević (drawn by N. Jokić),0,0
1,1,11:47.0,,N. Jokić makes free throw 1 of 2,0,1
2,1,11:47.0,,N. Jokić makes free throw 2 of 2,0,2
3,1,11:29.0,Turnover by N. Vučević (bad pass),,0,2
4,1,11:16.0,,D. Gallinari makes 2-pt layup from 1 ft (assist by N. Jokić),0,4
5,1,11:00.0,S. Ibaka makes 2-pt jump shot from 17 ft,,2,4
6,1,10:48.0,,E. Mudiay makes 2-pt layup from 2 ft,2,6
7,1,10:35.0,N. Vučević misses 2-pt jump shot from 17 ft,,2,6
8,1,10:35.0,,Defensive rebound by E. Mudiay,2,6
9,1,10:29.0,,Turnover by N. Jokić (bad pass),2,6
10,1,10:16.0,J. Meeks makes 3-pt jump shot from 22 ft (assist by E. Payton),,5,6
11,1,9:58.0,,N. Jokić makes 2-pt hook shot from 3 ft (assist by E. Mudiay),5,8
12,1,9:41.0,S. Ibaka makes 3-pt jump shot from 25 ft (assist by J. Meeks),,8,8
13,1,9:28.0,,G. Harris misses 2-pt jump shot from 4 ft (block by N. Vučević),8,8
14,1,9:26.0,Defensive rebound by J. Meeks,,8,8
15,1,9:25.0,Shooting foul by E. Mudiay (drawn by J. Meeks),,8,8
16,1,9:25.0,J. Meeks makes free throw 1 of 2,,9,8
17,1,9:25.0,J. Meeks makes free throw 2 of 2,,10,8
18,1,9:10.0,,N. Jokić makes 2-pt dunk at rim (assist by E. Mudiay),10,10
19,1,9:06.0,Personal take foul by K. Faried,,10,10
20,1,9:06.0,,J. Nelson enters the game for G. Harris,10,10
21,1,8:50.0,E. Payton makes 2-pt jump shot from 4 ft (assist by J. Meeks),,12,10
22,1,8:38.0,,K. Faried makes 2-pt dunk at rim (assist by E. Mudiay),12,12
23,1,8:19.0,J. Meeks misses 3-pt jump shot from 24 ft,,12,12
