,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,DETROIT_ACTION,WASHINGTON_SCORE,DETROIT_SCORE
0,1,11:41.0,M. Gortat misses 2-pt jump shot from 7 ft,,0,0
1,1,11:40.0,,Defensive rebound by H. Ellenson,0,0
2,1,11:29.0,,I. Smith makes 2-pt layup at rim,0,2
3,1,11:05.0,M. Morris makes 2-pt jump shot from 16 ft,,2,2
4,1,10:48.0,,Turnover by I. Smith (lost ball; steal by B. Jennings),2,2
5,1,10:42.0,B. Jennings makes 2-pt layup from 1 ft,,4,2
6,1,10:20.0,,M. Morris misses 2-pt jump shot from 15 ft,4,2
7,1,10:20.0,Defensive rebound by K. Oubre,,4,2
8,1,10:14.0,Personal foul by A. Drummond (drawn by M. Gortat),,4,2
9,1,9:59.0,M. Gortat makes 2-pt hook shot from 7 ft,,6,2
10,1,9:39.0,,M. Morris makes 2-pt jump shot from 16 ft,6,4
11,1,9:23.0,M. Morris misses 2-pt jump shot from 10 ft,,6,4
12,1,9:23.0,,Defensive rebound by M. Morris,6,4
13,1,9:15.0,,H. Ellenson misses 3-pt jump shot from 24 ft,6,4
14,1,9:15.0,,Offensive rebound by A. Drummond,6,4
15,1,9:09.0,,A. Drummond misses 2-pt hook shot from 5 ft,6,4
16,1,9:08.0,Defensive rebound by M. Gortat,,6,4
17,1,9:02.0,B. Jennings misses 3-pt jump shot from 25 ft,,6,4
18,1,9:02.0,,Defensive rebound by A. Drummond,6,4
19,1,8:52.0,,A. Drummond misses 2-pt layup at rim (block by M. Morris),6,4
20,1,8:52.0,Defensive rebound by M. Gortat,,6,4
21,1,8:45.0,K. Oubre misses 2-pt layup at rim,,6,4
22,1,8:44.0,Offensive rebound by M. Gortat,,6,4
23,1,8:42.0,M. Gortat makes 2-pt layup at rim,,8,4
24,1,8:38.0,,Detroit full timeout,8,4
25,1,8:37.0,,Turnover by M. Morris (bad pass; steal by B. Jennings),8,4
26,1,8:31.0,B. Jennings misses 2-pt jump shot from 3 ft (block by I. Smith),,8,4
27,1,8:31.0,Offensive rebound by B. Jennings,,8,4
28,1,8:28.0,B. Jennings misses 2-pt jump shot from 4 ft,,8,4
