,QUARTER,TIME_REMAINING,MIAMI_ACTION,HOUSTON_ACTION,MIAMI_SCORE,HOUSTON_SCORE
0,1,11:47.0,,Turnover by J. Harden (bad pass),0,0
1,1,11:30.0,L. Babbitt makes 3-pt jump shot from 25 ft (assist by D. Waiters),,3,0
2,1,11:18.0,,C. Capela misses 2-pt jump shot from 3 ft (block by H. Whiteside),3,0
3,1,11:17.0,Defensive rebound by D. Waiters,,3,0
4,1,11:10.0,D. Waiters misses 2-pt jump shot from 4 ft (block by J. Harden),,3,0
5,1,11:10.0,,Defensive rebound by Team,3,0
6,1,11:05.0,,T. Ariza misses 2-pt layup from 1 ft (block by H. Whiteside),3,0
7,1,11:01.0,Defensive rebound by D. Waiters,,3,0
8,1,10:46.0,R. McGruder misses 2-pt jump shot from 13 ft,,3,0
9,1,10:45.0,,Defensive rebound by J. Harden,3,0
10,1,10:41.0,,Turnover by J. Harden (bad pass; steal by R. McGruder),3,0
11,1,10:40.0,Personal foul by J. Harden (drawn by L. Babbitt),,3,0
12,1,10:21.0,H. Whiteside makes 2-pt hook shot from 11 ft,,5,0
13,1,10:01.0,,P. Beverley makes 2-pt hook shot from 10 ft,5,2
14,1,9:46.0,G. Dragić makes 2-pt jump shot from 13 ft,,7,2
15,1,9:37.0,,R. Anderson makes 3-pt jump shot from 25 ft (assist by J. Harden),7,5
16,1,9:15.0,H. Whiteside makes 2-pt hook shot from 6 ft (assist by G. Dragić),,9,5
17,1,9:07.0,,Shooting foul by R. McGruder (drawn by J. Harden),9,5
18,1,9:07.0,,J. Harden misses free throw 1 of 3,9,5
19,1,9:07.0,,Offensive rebound by Team,9,5
20,1,9:07.0,,J. Harden makes free throw 2 of 3,9,6
21,1,9:07.0,,J. Harden makes free throw 3 of 3,9,7
22,1,8:52.0,Turnover by L. Babbitt (bad pass; steal by T. Ariza),,9,7
23,1,8:44.0,,C. Capela makes 2-pt dunk at rim (assist by P. Beverley),9,9
24,1,8:20.0,R. McGruder makes 2-pt layup from 1 ft (assist by H. Whiteside),,11,9
25,1,8:07.0,,J. Harden makes 2-pt jump shot from 14 ft,11,11
26,1,7:55.0,Personal foul by C. Capela (drawn by D. Waiters),,11,11
27,1,7:48.0,G. Dragić makes 2-pt jump shot from 15 ft (assist by D. Waiters),,13,11
28,1,7:34.0,,Shooting block foul by G. Dragić (drawn by P. Beverley),13,11
29,1,7:34.0,,P. Beverley makes free throw 1 of 2,13,12
30,1,7:34.0,,P. Beverley makes free throw 2 of 2,13,13
31,1,7:20.0,G. Dragić makes 2-pt layup from 2 ft,,15,13
32,1,7:04.0,,P. Beverley misses 2-pt layup from 1 ft (block by L. Babbitt),15,13
33,1,7:02.0,,Offensive rebound by R. Anderson,15,13
34,1,7:01.0,,R. Anderson misses 2-pt layup from 1 ft,15,13
35,1,7:01.0,Defensive rebound by D. Waiters,,15,13
36,1,6:52.0,Personal foul by R. Anderson (drawn by R. McGruder),,15,13
37,1,6:52.0,,N. Hilário enters the game for C. Capela,15,13
38,1,6:44.0,Shooting foul by P. Beverley (drawn by G. Dragić),,15,13
39,1,6:44.0,G. Dragić misses free throw 1 of 2,,15,13
40,1,6:44.0,Offensive rebound by Team,,15,13
41,1,6:44.0,G. Dragić makes free throw 2 of 2,,16,13
42,1,6:36.0,,N. Hilário makes 2-pt layup from 1 ft (assist by J. Harden),16,15
43,1,6:36.0,,Shooting foul by H. Whiteside (drawn by N. Hilário),16,15
44,1,6:36.0,,N. Hilário makes free throw 1 of 1,16,16
45,1,6:11.0,H. Whiteside makes 2-pt hook shot from 5 ft,,18,16
46,1,6:04.0,,Shooting foul by D. Waiters (drawn by J. Harden),18,16
47,1,6:04.0,,J. Harden misses free throw 1 of 2,18,16
48,1,6:04.0,,Offensive rebound by Team,18,16
49,1,6:04.0,T. Johnson enters the game for G. Dragić,,18,16
50,1,6:04.0,,J. Harden makes free throw 2 of 2,18,17
51,1,5:50.0,D. Waiters makes 2-pt layup from 1 ft (assist by T. Johnson),,20,17
52,1,5:36.0,,J. Harden misses 3-pt jump shot from 24 ft,20,17
53,1,5:35.0,,Offensive rebound by R. Anderson,20,17
54,1,5:24.0,,Shooting block foul by H. Whiteside (drawn by N. Hilário),20,17
55,1,5:24.0,,Houston full timeout,20,17
56,1,5:24.0,,N. Hilário misses free throw 1 of 2,20,17
