,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,UTAH_ACTION,LA LAKERS_SCORE,UTAH_SCORE
0,1,11:45.0,,R. Hood makes 2-pt jump shot from 18 ft (assist by B. Diaw),0,2
1,1,11:30.0,N. Young makes 2-pt jump shot from 20 ft (assist by T. Mozgov),,2,2
2,1,11:07.0,,Turnover by B. Diaw (bad pass; steal by D. Russell),2,2
3,1,11:01.0,D. Russell misses 3-pt jump shot from 25 ft,,2,2
4,1,11:00.0,,Defensive rebound by R. Hood,2,2
5,1,10:49.0,,R. Hood makes 3-pt jump shot from 25 ft (assist by R. Gobert),2,5
6,1,10:30.0,Offensive foul by D. Russell (drawn by G. Hill),,2,5
7,1,10:30.0,Turnover by D. Russell (offensive foul),,2,5
8,1,10:09.0,,B. Diaw misses 2-pt jump shot from 2 ft,2,5
9,1,10:09.0,Defensive rebound by L. Deng,,2,5
10,1,10:04.0,L. Deng makes 2-pt layup from 3 ft,,4,5
11,1,9:42.0,,J. Johnson misses 3-pt jump shot from 24 ft,4,5
12,1,9:41.0,Defensive rebound by J. Randle,,4,5
13,1,9:37.0,Shooting foul by R. Hood (drawn by N. Young),,4,5
14,1,9:37.0,N. Young makes free throw 1 of 3,,5,5
15,1,9:37.0,N. Young makes free throw 2 of 3,,6,5
16,1,9:37.0,N. Young makes free throw 3 of 3,,7,5
17,1,9:25.0,,J. Johnson makes 2-pt jump shot from 3 ft,7,7
18,1,9:13.0,L. Deng misses 2-pt jump shot from 10 ft,,7,7
19,1,9:13.0,,Defensive rebound by G. Hill,7,7
20,1,9:04.0,,R. Hood makes 2-pt jump shot from 19 ft,7,9
21,1,8:40.0,T. Mozgov misses 2-pt jump shot from 3 ft (block by R. Gobert),,7,9
22,1,8:39.0,Offensive rebound by D. Russell,,7,9
23,1,8:35.0,N. Young makes 3-pt jump shot from 28 ft (assist by D. Russell),,10,9
24,1,8:15.0,,R. Gobert makes 2-pt dunk at rim (assist by G. Hill),10,11
25,1,7:52.0,D. Russell misses 2-pt jump shot from 9 ft,,10,11
26,1,7:50.0,Offensive rebound by T. Mozgov,,10,11
27,1,7:49.0,T. Mozgov makes 2-pt layup from 2 ft,,12,11
28,1,7:19.0,,R. Hood misses 3-pt jump shot from 27 ft,12,11
29,1,7:19.0,,Offensive rebound by R. Gobert,12,11
30,1,7:04.0,,G. Hill makes 2-pt layup from 2 ft,12,13
31,1,6:49.0,J. Randle makes 3-pt jump shot from 25 ft (assist by D. Russell),,15,13
32,1,6:27.0,,G. Hill makes 3-pt jump shot from 24 ft (assist by B. Diaw),15,16
33,1,6:08.0,Turnover by T. Mozgov (lost ball),,15,16
34,1,6:08.0,,Utah full timeout,15,16
35,1,6:08.0,,D. Exum enters the game for R. Hood,15,16
36,1,5:48.0,,J. Johnson misses 2-pt jump shot from 3 ft,15,16
37,1,5:47.0,,Offensive rebound by R. Gobert,15,16
38,1,5:47.0,,R. Gobert makes 2-pt dunk at rim,15,18
39,1,5:26.0,L. Deng makes 3-pt jump shot from 24 ft (assist by J. Randle),,18,18
40,1,5:04.0,,G. Hill misses 3-pt jump shot from 23 ft,18,18
41,1,5:03.0,Defensive rebound by L. Deng,,18,18
42,1,4:50.0,J. Randle misses 2-pt jump shot from 9 ft,,18,18
43,1,4:50.0,,Defensive rebound by R. Gobert,18,18
44,1,4:41.0,,Turnover by G. Hill (bad pass),18,18
45,1,4:41.0,B. Ingram enters the game for N. Young,,18,18
46,1,4:41.0,J. Clarkson enters the game for T. Mozgov,,18,18
47,1,4:41.0,L. Nance enters the game for L. Deng,,18,18
48,1,4:23.0,B. Ingram makes 2-pt jump shot from 17 ft,,20,18
49,1,4:08.0,,D. Exum makes 2-pt dunk at rim (assist by J. Johnson),20,20
50,1,3:57.0,Shooting foul by G. Hill (drawn by D. Russell),,20,20
51,1,3:57.0,D. Russell misses free throw 1 of 2,,20,20
52,1,3:57.0,Offensive rebound by Team,,20,20
53,1,3:57.0,,D. Favors enters the game for R. Gobert,20,20
54,1,3:57.0,,J. Ingles enters the game for J. Johnson,20,20
55,1,3:57.0,T. Black enters the game for J. Randle,,20,20
56,1,3:57.0,D. Russell makes free throw 2 of 2,,21,20
57,1,3:50.0,,Shooting foul by T. Black (drawn by D. Exum),21,20
58,1,3:50.0,,D. Exum makes free throw 1 of 2,21,21
59,1,3:50.0,L. Williams enters the game for B. Ingram,,21,21
60,1,3:50.0,,D. Exum makes free throw 2 of 2,21,22
61,1,3:37.0,D. Russell misses 2-pt jump shot from 8 ft,,21,22
