,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,DALLAS_ACTION,MILWAUKEE_SCORE,DALLAS_SCORE
0,1,11:45.0,,Offensive charge foul by G. Antetokounmpo (drawn by A. Bogut),0,0
1,1,11:45.0,Turnover by G. Antetokounmpo (offensive foul),,0,0
2,1,11:22.0,,J. Anderson misses 3-pt jump shot from 24 ft,0,0
3,1,11:20.0,Defensive rebound by J. Parker,,0,0
4,1,11:13.0,J. Parker makes 2-pt jump shot from 17 ft,,2,0
5,1,11:00.0,,J. Anderson makes 2-pt layup from 2 ft (assist by A. Bogut),2,2
6,1,10:44.0,J. Parker misses 2-pt jump shot from 19 ft,,2,2
7,1,10:43.0,Offensive rebound by M. Plumlee,,2,2
8,1,10:40.0,G. Antetokounmpo misses 3-pt jump shot from 25 ft,,2,2
9,1,10:39.0,,Defensive rebound by J. Anderson,2,2
10,1,10:23.0,,Personal foul by G. Antetokounmpo (drawn by W. Matthews),2,2
11,1,10:23.0,M. Beasley enters the game for G. Antetokounmpo,,2,2
12,1,10:12.0,,J. Barea makes 2-pt layup from 1 ft (assist by A. Bogut),2,4
13,1,10:02.0,M. Dellavedova makes 2-pt jump shot from 11 ft,,4,4
14,1,9:49.0,,Personal foul by M. Plumlee (drawn by H. Barnes),4,4
15,1,9:40.0,,Turnover by J. Barea (lost ball; steal by M. Plumlee),4,4
16,1,9:30.0,Turnover by M. Dellavedova (bad pass; steal by A. Bogut),,4,4
17,1,9:22.0,,Turnover by W. Matthews (lost ball; steal by M. Beasley),4,4
18,1,9:17.0,J. Parker misses 2-pt layup from 2 ft,,4,4
19,1,9:16.0,,Defensive rebound by J. Anderson,4,4
20,1,9:05.0,,H. Barnes misses 3-pt jump shot from 23 ft,4,4
21,1,9:04.0,Defensive rebound by M. Plumlee,,4,4
22,1,8:50.0,M. Plumlee misses 2-pt jump shot from 14 ft,,4,4
23,1,8:48.0,Offensive rebound by M. Plumlee,,4,4
24,1,8:30.0,T. Snell misses 3-pt jump shot from 24 ft,,4,4
25,1,8:30.0,Offensive rebound by Team,,4,4
26,1,8:19.0,J. Parker makes 2-pt jump shot from 18 ft (assist by M. Dellavedova),,6,4
27,1,8:08.0,,Personal foul by M. Beasley (drawn by J. Anderson),6,4
28,1,8:08.0,,D. Powell enters the game for A. Bogut,6,4
29,1,7:59.0,Violation by J. Parker (kicked ball),,6,4
30,1,7:59.0,,Turnover by Team (5 sec inbounds),6,4
31,1,7:47.0,J. Parker makes 2-pt layup from 1 ft (assist by M. Dellavedova),,8,4
32,1,7:46.0,,Dallas full timeout,8,4
33,1,7:23.0,,J. Barea misses 3-pt jump shot from 26 ft,8,4
34,1,7:22.0,Defensive rebound by M. Dellavedova,,8,4
35,1,7:14.0,M. Plumlee makes 2-pt layup from 3 ft (assist by M. Dellavedova),,10,4
36,1,6:55.0,,H. Barnes misses 2-pt jump shot from 20 ft,10,4
37,1,6:54.0,Defensive rebound by M. Beasley,,10,4
38,1,6:47.0,Turnover by J. Parker (bad pass),,10,4
39,1,6:34.0,,W. Matthews misses 3-pt jump shot from 24 ft,10,4
40,1,6:33.0,Defensive rebound by J. Parker,,10,4
41,1,6:18.0,M. Beasley makes 2-pt jump shot from 10 ft (assist by M. Dellavedova),,12,4
42,1,6:05.0,,Shooting foul by M. Beasley (drawn by H. Barnes),12,4
43,1,6:05.0,,H. Barnes makes free throw 1 of 2,12,5
44,1,6:05.0,,S. Curry enters the game for J. Barea,12,5
45,1,6:05.0,,A. Bogut enters the game for D. Powell,12,5
46,1,6:05.0,G. Monroe enters the game for M. Plumlee,,12,5
47,1,6:05.0,,H. Barnes makes free throw 2 of 2,12,6
48,1,5:55.0,Turnover by M. Dellavedova (bad pass; steal by J. Anderson),,12,6
49,1,5:31.0,,J. Anderson misses 3-pt jump shot from 27 ft,12,6
50,1,5:30.0,Defensive rebound by M. Beasley,,12,6
51,1,5:19.0,J. Parker makes 2-pt jump shot from 18 ft,,14,6
52,1,5:01.0,,W. Matthews misses 3-pt jump shot from 24 ft,14,6
53,1,5:00.0,Defensive rebound by M. Beasley,,14,6
54,1,4:47.0,J. Parker makes 2-pt jump shot from 17 ft,,16,6
55,1,4:46.0,,Dallas full timeout,16,6
56,1,4:46.0,,D. Powell enters the game for H. Barnes,16,6
57,1,4:46.0,M. Brogdon enters the game for M. Dellavedova,,16,6
58,1,4:22.0,,D. Powell misses 3-pt jump shot from 26 ft,16,6
59,1,4:21.0,Defensive rebound by G. Monroe,,16,6
60,1,4:10.0,T. Snell makes 3-pt jump shot from 23 ft (assist by J. Parker),,19,6
61,1,3:47.0,,S. Curry makes 3-pt jump shot from 23 ft (assist by W. Matthews),19,9
62,1,3:26.0,M. Beasley makes 3-pt jump shot from 25 ft (assist by G. Monroe),,22,9
63,1,3:08.0,,W. Matthews misses 3-pt jump shot from 24 ft,22,9
64,1,3:07.0,Defensive rebound by Team,,22,9
65,1,3:07.0,J. Terry enters the game for T. Snell,,22,9
66,1,2:57.0,G. Monroe misses 2-pt jump shot from 19 ft,,22,9
67,1,2:56.0,,Defensive rebound by A. Bogut,22,9
68,1,2:46.0,,J. Anderson misses 2-pt jump shot from 15 ft,22,9
69,1,2:45.0,Defensive rebound by G. Monroe,,22,9
70,1,2:31.0,Turnover by G. Monroe (lost ball; steal by W. Matthews),,22,9
71,1,2:14.0,,J. Anderson makes 2-pt layup from 1 ft,22,11
72,1,2:01.0,M. Brogdon misses 2-pt jump shot from 11 ft,,22,11
73,1,2:00.0,,Defensive rebound by D. Powell,22,11
74,1,1:54.0,,S. Curry makes 2-pt layup from 1 ft,22,13
75,1,1:53.0,Milwaukee full timeout,,22,13
76,1,1:52.0,,N. Brussino enters the game for J. Anderson,22,13
77,1,1:52.0,,H. Barnes enters the game for D. Powell,22,13
78,1,1:52.0,M. Teletović enters the game for J. Parker,,22,13
79,1,1:42.0,M. Beasley misses 2-pt jump shot from 5 ft,,22,13
80,1,1:41.0,,Defensive rebound by A. Bogut,22,13
81,1,1:37.0,,H. Barnes makes 2-pt layup from 2 ft,22,15
82,1,1:37.0,,Shooting foul by M. Brogdon (drawn by H. Barnes),22,15
83,1,1:37.0,,H. Barnes makes free throw 1 of 1,22,16
84,1,1:20.0,G. Monroe misses 2-pt hook shot from 8 ft,,22,16
85,1,1:18.0,,Defensive rebound by N. Brussino,22,16
86,1,1:04.0,,S. Curry misses 3-pt jump shot from 25 ft,22,16
87,1,1:03.0,Defensive rebound by G. Monroe,,22,16
88,1,0:50.0,M. Beasley makes 2-pt jump shot from 8 ft,,24,16
89,1,0:33.0,,W. Matthews makes 3-pt jump shot from 27 ft,24,19
90,1,0:21.0,G. Monroe makes 2-pt hook shot from 6 ft,,26,19
91,1,0:21.0,Shooting foul by A. Bogut (drawn by G. Monroe),,26,19
92,1,0:21.0,,J. Barea enters the game for W. Matthews,26,19
93,1,0:21.0,G. Monroe makes free throw 1 of 1,,27,19
94,1,0:02.0,,Turnover by S. Curry (lost ball; steal by M. Brogdon),27,19
95,1,0:00.0,M. Brogdon misses 3-pt jump shot from 42 ft,,27,19
96,1,0:00.0,Offensive rebound by Team,,27,19
97,2,11:46.0,,Turnover by J. Barea (lost ball; steal by G. Monroe),27,19
98,2,11:32.0,M. Teletović makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),,30,19
99,2,11:23.0,,Personal foul by G. Antetokounmpo (drawn by S. Mejri),30,19
100,2,11:23.0,,D. Finney-Smith enters the game for N. Brussino,30,19
101,2,11:11.0,,H. Barnes misses 3-pt jump shot from 24 ft,30,19
102,2,11:10.0,Defensive rebound by Team,,30,19
103,2,10:50.0,M. Brogdon misses 3-pt jump shot from 24 ft,,30,19
104,2,10:49.0,,Defensive rebound by D. Finney-Smith,30,19
105,2,10:40.0,,H. Barnes makes 2-pt layup from 1 ft (assist by S. Curry),30,21
106,2,10:26.0,M. Teletović misses 3-pt jump shot from 26 ft,,30,21
107,2,10:25.0,,Defensive rebound by S. Mejri,30,21
108,2,10:18.0,,S. Mejri makes 2-pt hook shot from 1 ft (assist by S. Curry),30,23
109,2,10:02.0,Personal foul by D. Finney-Smith (drawn by J. Terry),,30,23
110,2,9:51.0,G. Antetokounmpo misses 2-pt hook shot from 5 ft,,30,23
111,2,9:50.0,,Defensive rebound by H. Barnes,30,23
112,2,9:36.0,,J. Barea misses 2-pt layup from 2 ft,30,23
113,2,9:34.0,Defensive rebound by M. Brogdon,,30,23
114,2,9:29.0,J. Terry misses 3-pt jump shot from 25 ft,,30,23
115,2,9:28.0,Offensive rebound by M. Teletović,,30,23
116,2,9:22.0,G. Monroe makes 2-pt layup at rim,,32,23
117,2,9:22.0,Shooting foul by S. Mejri (drawn by G. Monroe),,32,23
118,2,9:22.0,G. Monroe makes free throw 1 of 1,,33,23
119,2,9:04.0,,H. Barnes misses 2-pt jump shot from 4 ft (block by G. Antetokounmpo),33,23
120,2,9:02.0,,Offensive rebound by H. Barnes,33,23
121,2,8:58.0,,D. Finney-Smith misses 3-pt jump shot from 24 ft,33,23
122,2,8:57.0,Defensive rebound by G. Monroe,,33,23
123,2,8:43.0,M. Brogdon misses 2-pt jump shot from 9 ft (block by S. Mejri),,33,23
124,2,8:41.0,,Defensive rebound by S. Mejri,33,23
125,2,8:25.0,,J. Barea makes 2-pt jump shot from 8 ft,33,25
126,2,8:13.0,Personal foul by S. Mejri (drawn by G. Monroe),,33,25
127,2,8:13.0,Official timeout,,33,25
128,2,8:13.0,J. Parker enters the game for G. Antetokounmpo,,33,25
129,2,8:05.0,G. Monroe makes 2-pt jump shot from 16 ft,,35,25
130,2,7:56.0,,Personal foul by M. Brogdon,35,25
131,2,7:47.0,,Personal foul by M. Brogdon (drawn by S. Mejri),35,25
132,2,7:47.0,M. Dellavedova enters the game for M. Brogdon,,35,25
133,2,7:38.0,,H. Barnes makes 3-pt jump shot from 25 ft (assist by S. Mejri),35,28
134,2,7:19.0,G. Monroe misses 2-pt jump shot from 5 ft,,35,28
135,2,7:19.0,,Defensive rebound by S. Mejri,35,28
136,2,7:19.0,Loose ball foul by G. Monroe (drawn by S. Mejri),,35,28
137,2,7:19.0,T. Snell enters the game for J. Terry,,35,28
138,2,7:06.0,,S. Curry misses 3-pt jump shot from 25 ft,35,28
139,2,7:04.0,Defensive rebound by M. Dellavedova,,35,28
140,2,6:54.0,M. Dellavedova misses 3-pt jump shot from 25 ft,,35,28
141,2,6:53.0,,Defensive rebound by H. Barnes,35,28
142,2,6:45.0,,S. Curry misses 2-pt jump shot from 21 ft,35,28
143,2,6:44.0,Defensive rebound by M. Dellavedova,,35,28
144,2,6:34.0,G. Monroe misses 2-pt layup from 2 ft,,35,28
145,2,6:31.0,,Defensive rebound by H. Barnes,35,28
146,2,6:24.0,,J. Barea makes 2-pt layup at rim,35,30
147,2,6:06.0,Turnover by G. Monroe (bad pass),,35,30
148,2,6:06.0,J. Henson enters the game for G. Monroe,,35,30
149,2,6:06.0,,W. Matthews enters the game for S. Curry,35,30
150,2,5:55.0,,D. Finney-Smith makes 3-pt jump shot from 23 ft (assist by J. Barea),35,33
151,2,5:40.0,J. Parker makes 2-pt jump shot from 19 ft (assist by M. Dellavedova),,37,33
152,2,5:21.0,,Offensive foul by S. Mejri (drawn by M. Dellavedova),37,33
153,2,5:21.0,,Turnover by S. Mejri (offensive foul),37,33
154,2,5:21.0,,Dallas full timeout,37,33
155,2,5:21.0,,A. Bogut enters the game for S. Mejri,37,33
156,2,5:01.0,J. Parker makes 2-pt jump shot from 9 ft,,39,33
157,2,4:47.0,,Shooting block foul by J. Parker (drawn by H. Barnes),39,33
158,2,4:47.0,,H. Barnes makes free throw 1 of 2,39,34
159,2,4:47.0,,H. Barnes makes free throw 2 of 2,39,35
160,2,4:26.0,J. Parker misses 2-pt jump shot from 20 ft,,39,35
161,2,4:25.0,,Defensive rebound by H. Barnes,39,35
162,2,4:15.0,,W. Matthews misses 3-pt jump shot from 22 ft,39,35
163,2,4:14.0,,Offensive rebound by H. Barnes,39,35
164,2,3:57.0,,H. Barnes makes 2-pt jump shot from 20 ft,39,37
165,2,3:44.0,Turnover by J. Henson (traveling),,39,37
166,2,3:30.0,Violation by J. Parker (def goaltending),,39,37
167,2,3:30.0,,H. Barnes makes 2-pt jump shot from 5 ft,39,39
168,2,3:21.0,,Offensive charge foul by T. Snell (drawn by A. Bogut),39,39
