,QUARTER,TIME_REMAINING,INDIANA_ACTION,MIAMI_ACTION,INDIANA_SCORE,MIAMI_SCORE
0,1,11:40.0,P. George makes 2-pt jump shot from 20 ft (assist by J. Teague),,2,0
1,1,11:14.0,,R. McGruder misses 2-pt jump shot from 9 ft,2,0
2,1,11:13.0,,Offensive rebound by H. Whiteside,2,0
3,1,11:11.0,,Turnover by H. Whiteside (lost ball; steal by J. Teague),2,0
4,1,10:54.0,M. Turner misses 2-pt jump shot from 7 ft,,2,0
5,1,10:53.0,Offensive rebound by M. Turner,,2,0
6,1,10:51.0,M. Turner misses 2-pt jump shot from 3 ft,,2,0
7,1,10:50.0,,Defensive rebound by L. Babbitt,2,0
8,1,10:44.0,,G. Dragić makes 2-pt layup from 1 ft,2,2
9,1,10:30.0,P. George misses 2-pt jump shot from 17 ft,,2,2
10,1,10:29.0,Offensive rebound by T. Young,,2,2
11,1,10:28.0,T. Young misses 2-pt layup from 1 ft,,2,2
12,1,10:27.0,,Defensive rebound by H. Whiteside,2,2
13,1,10:20.0,,D. Waiters makes 3-pt jump shot from 23 ft (assist by G. Dragić),2,5
14,1,10:10.0,Personal foul by R. McGruder (drawn by P. George),,2,5
15,1,10:01.0,J. Teague misses 3-pt jump shot from 25 ft,,2,5
16,1,10:00.0,Offensive rebound by P. George,,2,5
17,1,9:53.0,C. Miles makes 3-pt jump shot from 24 ft (assist by P. George),,5,5
18,1,9:36.0,,Turnover by D. Waiters (bad pass; steal by M. Turner),5,5
19,1,9:30.0,Personal foul by R. McGruder (drawn by M. Turner),,5,5
20,1,9:30.0,,T. Johnson enters the game for R. McGruder,5,5
21,1,9:11.0,P. George misses 2-pt jump shot from 21 ft,,5,5
22,1,9:10.0,,Defensive rebound by T. Johnson,5,5
23,1,8:58.0,,T. Johnson misses 3-pt jump shot from 24 ft,5,5
24,1,8:57.0,Defensive rebound by C. Miles,,5,5
25,1,8:50.0,Turnover by P. George (lost ball; steal by D. Waiters),,5,5
26,1,8:44.0,,G. Dragić misses 3-pt jump shot from 25 ft,5,5
27,1,8:43.0,Defensive rebound by M. Turner,,5,5
28,1,8:32.0,J. Teague makes 2-pt jump shot from 14 ft,,7,5
29,1,8:14.0,,L. Babbitt misses 3-pt jump shot from 24 ft,7,5
30,1,8:13.0,Defensive rebound by M. Turner,,7,5
31,1,7:58.0,T. Young makes 2-pt hook shot from 5 ft,,9,5
32,1,7:34.0,,D. Waiters misses 3-pt jump shot from 24 ft,9,5
33,1,7:33.0,,Offensive rebound by L. Babbitt,9,5
34,1,7:20.0,,H. Whiteside misses 2-pt hook shot from 8 ft,9,5
35,1,7:19.0,Defensive rebound by C. Miles,,9,5
36,1,7:16.0,Shooting foul by L. Babbitt (drawn by P. George),,9,5
37,1,7:16.0,P. George makes free throw 1 of 2,,10,5
38,1,7:16.0,P. George makes free throw 2 of 2,,11,5
39,1,6:59.0,,H. Whiteside makes 2-pt hook shot from 5 ft (assist by T. Johnson),11,7
40,1,6:51.0,Shooting foul by G. Dragić (drawn by J. Teague),,11,7
41,1,6:51.0,J. Teague makes free throw 1 of 2,,12,7
42,1,6:51.0,J. Teague makes free throw 2 of 2,,13,7
43,1,6:42.0,,Personal block foul by P. George (drawn by D. Waiters),13,7
44,1,6:29.0,,L. Babbitt makes 3-pt jump shot from 23 ft (assist by D. Waiters),13,10
45,1,6:17.0,Turnover by T. Young (traveling),,13,10
46,1,6:08.0,,D. Waiters makes 2-pt layup from 1 ft,13,12
47,1,5:51.0,M. Turner makes 2-pt dunk at rim (assist by J. Teague),,15,12
48,1,5:41.0,,Turnover by D. Waiters (bad pass),15,12
49,1,5:41.0,,Miami full timeout,15,12
50,1,5:41.0,,W. Ellington enters the game for G. Dragić,15,12
51,1,5:27.0,P. George misses 2-pt jump shot from 19 ft,,15,12
52,1,5:26.0,,Defensive rebound by H. Whiteside,15,12
53,1,5:09.0,,H. Whiteside misses 2-pt jump shot from 6 ft,15,12
54,1,5:08.0,Defensive rebound by M. Turner,,15,12
55,1,4:59.0,Turnover by T. Young (bad pass),,15,12
