,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,MINNESOTA_ACTION,LA LAKERS_SCORE,MINNESOTA_SCORE
0,1,11:47.0,J. Randle misses 3-pt jump shot from 25 ft,,0,0
1,1,11:46.0,,Defensive rebound by R. Rubio,0,0
2,1,11:33.0,,Shooting foul by C. Brewer (drawn by A. Wiggins),0,0
3,1,11:33.0,,A. Wiggins makes free throw 1 of 2,0,1
4,1,11:33.0,,A. Wiggins makes free throw 2 of 2,0,2
5,1,11:21.0,I. Zubac makes 2-pt jump shot from 14 ft (assist by D. Russell),,2,2
6,1,11:04.0,,B. Rush makes 3-pt jump shot from 23 ft (assist by R. Rubio),2,5
7,1,10:49.0,D. Russell makes 3-pt jump shot from 24 ft (assist by J. Randle),,5,5
8,1,10:26.0,,K. Towns misses 2-pt hook shot from 7 ft,5,5
9,1,10:25.0,,Offensive rebound by K. Towns,5,5
10,1,10:24.0,,Shooting foul by I. Zubac (drawn by K. Towns),5,5
11,1,10:24.0,,K. Towns makes free throw 1 of 2,5,6
12,1,10:24.0,,K. Towns makes free throw 2 of 2,5,7
13,1,10:11.0,C. Brewer misses 3-pt jump shot from 23 ft,,5,7
14,1,10:10.0,,Defensive rebound by G. Dieng,5,7
15,1,10:02.0,,B. Rush makes 3-pt jump shot from 23 ft (assist by R. Rubio),5,10
16,1,9:58.0,Personal foul by R. Rubio (drawn by J. Clarkson),,5,10
17,1,9:50.0,I. Zubac misses 2-pt hook shot from 5 ft,,5,10
18,1,9:48.0,Offensive rebound by J. Randle,,5,10
19,1,9:46.0,J. Randle misses 2-pt jump shot from 6 ft,,5,10
20,1,9:46.0,Offensive rebound by Team,,5,10
21,1,9:46.0,Personal foul by K. Towns (drawn by C. Brewer),,5,10
22,1,9:46.0,T. Black enters the game for I. Zubac,,5,10
23,1,9:41.0,Turnover by D. Russell (bad pass; steal by R. Rubio),,5,10
24,1,9:36.0,,A. Wiggins makes 2-pt layup from 1 ft (assist by R. Rubio),5,12
25,1,9:26.0,D. Russell misses 3-pt jump shot from 25 ft,,5,12
26,1,9:25.0,,Defensive rebound by K. Towns,5,12
27,1,9:10.0,,Shooting foul by J. Randle (drawn by K. Towns),5,12
28,1,9:10.0,,K. Towns makes free throw 1 of 2,5,13
29,1,9:10.0,,K. Towns makes free throw 2 of 2,5,14
30,1,8:58.0,C. Brewer misses 2-pt layup from 4 ft,,5,14
31,1,8:57.0,,Defensive rebound by G. Dieng,5,14
32,1,8:44.0,,K. Towns misses 2-pt jump shot from 23 ft,5,14
33,1,8:43.0,,Offensive rebound by G. Dieng,5,14
34,1,8:38.0,,R. Rubio makes 2-pt jump shot from 6 ft (assist by G. Dieng),5,16
35,1,8:37.0,LA Lakers full timeout,,5,16
36,1,8:20.0,D. Russell misses 2-pt layup from 2 ft (block by K. Towns),,5,16
37,1,8:19.0,,Defensive rebound by G. Dieng,5,16
38,1,8:12.0,,B. Rush misses 3-pt jump shot from 24 ft,5,16
39,1,8:11.0,,Offensive rebound by Team,5,16
40,1,8:02.0,,K. Towns makes 2-pt jump shot from 19 ft (assist by R. Rubio),5,18
41,1,7:50.0,J. Randle makes 2-pt jump shot from 5 ft (assist by J. Clarkson),,7,18
42,1,7:34.0,,G. Dieng misses 2-pt jump shot from 15 ft,7,18
43,1,7:34.0,Defensive rebound by C. Brewer,,7,18
