,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,PORTLAND_ACTION,LA LAKERS_SCORE,PORTLAND_SCORE
0,1,11:43.0,,Personal foul by J. Randle (drawn by A. Aminu),0,0
1,1,11:30.0,,M. Plumlee makes 2-pt dunk at rim (assist by A. Aminu),0,2
2,1,11:07.0,Turnover by D. Russell (lost ball; steal by M. Plumlee),,0,2
3,1,11:04.0,,M. Plumlee makes 2-pt dunk at rim,0,4
4,1,11:01.0,Turnover by J. Randle (lost ball),,0,4
5,1,10:58.0,,C. McCollum misses 3-pt jump shot from 24 ft,0,4
6,1,10:57.0,Defensive rebound by T. Mozgov,,0,4
7,1,10:46.0,N. Young misses 2-pt jump shot from 22 ft,,0,4
8,1,10:45.0,,Defensive rebound by M. Plumlee,0,4
9,1,10:39.0,,D. Lillard makes 2-pt layup from 1 ft (assist by C. McCollum),0,6
10,1,10:11.0,J. Randle makes 2-pt jump shot from 15 ft,,2,6
11,1,9:53.0,,C. McCollum misses 3-pt jump shot from 25 ft,2,6
12,1,9:53.0,Defensive rebound by T. Mozgov,,2,6
13,1,9:39.0,J. Randle misses 2-pt layup from 1 ft (block by M. Harkless),,2,6
14,1,9:38.0,Offensive rebound by J. Randle,,2,6
15,1,9:32.0,B. Ingram makes 3-pt jump shot from 23 ft (assist by J. Randle),,5,6
16,1,9:18.0,,D. Lillard makes 2-pt jump shot from 23 ft (assist by C. McCollum),5,8
17,1,9:04.0,Shooting foul by M. Harkless (drawn by B. Ingram),,5,8
18,1,9:04.0,B. Ingram makes free throw 1 of 2,,6,8
19,1,9:04.0,B. Ingram makes free throw 2 of 2,,7,8
20,1,8:49.0,,M. Plumlee misses 2-pt layup from 2 ft,7,8
21,1,8:48.0,Defensive rebound by T. Mozgov,,7,8
22,1,8:37.0,J. Randle misses 2-pt jump shot from 19 ft,,7,8
23,1,8:36.0,,Defensive rebound by M. Harkless,7,8
24,1,8:29.0,,D. Lillard makes 3-pt jump shot from 24 ft (assist by C. McCollum),7,11
25,1,8:10.0,T. Mozgov makes 2-pt jump shot from 15 ft (assist by J. Randle),,9,11
26,1,7:55.0,,Shooting block foul by T. Mozgov (drawn by M. Plumlee),9,11
27,1,7:55.0,,M. Plumlee makes free throw 1 of 2,9,12
28,1,7:55.0,,M. Plumlee misses free throw 2 of 2,9,12
29,1,7:55.0,Defensive rebound by J. Randle,,9,12
30,1,7:39.0,Shooting foul by D. Lillard (drawn by D. Russell),,9,12
31,1,7:39.0,D. Russell makes free throw 1 of 2,,10,12
32,1,7:39.0,D. Russell makes free throw 2 of 2,,11,12
33,1,7:30.0,,Personal foul by B. Ingram (drawn by M. Harkless),11,12
34,1,7:19.0,,C. McCollum misses 2-pt jump shot from 20 ft,11,12
35,1,7:18.0,Defensive rebound by T. Mozgov,,11,12
36,1,7:09.0,T. Mozgov misses 2-pt hook shot from 5 ft,,11,12
37,1,7:08.0,,Defensive rebound by M. Plumlee,11,12
38,1,6:59.0,,C. McCollum makes 2-pt jump shot from 18 ft (assist by M. Plumlee),11,14
39,1,6:31.0,N. Young misses 3-pt jump shot from 24 ft,,11,14
40,1,6:31.0,,Defensive rebound by M. Harkless,11,14
41,1,6:25.0,,Turnover by M. Harkless (traveling),11,14
42,1,6:17.0,N. Young misses 2-pt layup from 2 ft,,11,14
43,1,6:16.0,,Defensive rebound by C. McCollum,11,14
44,1,6:11.0,,M. Plumlee makes 2-pt dunk at rim (assist by C. McCollum),11,16
45,1,6:11.0,LA Lakers full timeout,,11,16
46,1,6:11.0,L. Williams enters the game for B. Ingram,,11,16
47,1,5:56.0,T. Mozgov makes 2-pt dunk at rim (assist by L. Williams),,13,16
48,1,5:37.0,,C. McCollum misses 3-pt jump shot from 24 ft,13,16
49,1,5:37.0,Defensive rebound by T. Mozgov,,13,16
50,1,5:25.0,N. Young misses 2-pt jump shot from 23 ft,,13,16
51,1,5:25.0,,Defensive rebound by M. Plumlee,13,16
52,1,5:16.0,,A. Aminu makes 2-pt jump shot from 22 ft (assist by M. Plumlee),13,18
