,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,DALLAS_ACTION,NEW ORLEANS_SCORE,DALLAS_SCORE
0,1,11:47.0,J. Holiday makes 2-pt layup from 3 ft (assist by D. Cousins),,2,0
1,1,11:32.0,,H. Barnes misses 2-pt jump shot from 16 ft,2,0
2,1,11:31.0,Defensive rebound by A. Davis,,2,0
3,1,11:14.0,A. Davis makes 2-pt jump shot from 16 ft (assist by H. Thompson),,4,0
4,1,11:00.0,,D. Nowitzki makes 3-pt jump shot from 24 ft (assist by S. Curry),4,3
5,1,10:47.0,D. Cousins makes 3-pt jump shot from 25 ft (assist by J. Holiday),,7,3
6,1,10:29.0,,Y. Ferrell misses 3-pt jump shot from 25 ft,7,3
7,1,10:28.0,Defensive rebound by D. Cousins,,7,3
8,1,10:14.0,A. Davis makes 2-pt layup from 2 ft (assist by D. Cousins),,9,3
9,1,10:14.0,Shooting foul by H. Barnes (drawn by A. Davis),,9,3
10,1,10:14.0,A. Davis misses free throw 1 of 1,,9,3
11,1,10:13.0,,Defensive rebound by S. Curry,9,3
12,1,10:05.0,,Turnover by S. Curry (bad pass),9,3
13,1,9:58.0,J. Holiday makes 3-pt jump shot from 24 ft,,12,3
14,1,9:57.0,,Dallas full timeout,12,3
15,1,9:37.0,,Y. Ferrell makes 3-pt jump shot from 25 ft (assist by W. Matthews),12,6
16,1,9:22.0,Shooting foul by Y. Ferrell (drawn by J. Holiday),,12,6
17,1,9:22.0,J. Holiday makes free throw 1 of 2,,13,6
18,1,9:22.0,J. Holiday makes free throw 2 of 2,,14,6
19,1,9:07.0,,Y. Ferrell misses 2-pt layup from 2 ft,14,6
20,1,9:06.0,Defensive rebound by D. Cousins,,14,6
21,1,8:57.0,A. Davis misses 2-pt jump shot from 21 ft,,14,6
22,1,8:55.0,,Defensive rebound by W. Matthews,14,6
23,1,8:47.0,,W. Matthews makes 3-pt jump shot from 25 ft (assist by Y. Ferrell),14,9
24,1,8:36.0,Turnover by D. Cousins (bad pass; steal by H. Barnes),,14,9
25,1,8:22.0,,S. Curry misses 3-pt jump shot from 25 ft,14,9
26,1,8:21.0,Defensive rebound by A. Davis,,14,9
27,1,8:05.0,S. Hill misses 3-pt jump shot from 28 ft,,14,9
28,1,8:05.0,Offensive rebound by J. Holiday,,14,9
29,1,8:03.0,J. Holiday misses 2-pt layup from 4 ft,,14,9
30,1,8:01.0,,Defensive rebound by Y. Ferrell,14,9
31,1,7:50.0,,D. Nowitzki misses 2-pt jump shot from 19 ft,14,9
32,1,7:49.0,Defensive rebound by A. Davis,,14,9
33,1,7:31.0,Personal block foul by W. Matthews (drawn by D. Cousins),,14,9
34,1,7:21.0,H. Thompson misses 3-pt jump shot from 24 ft,,14,9
35,1,7:21.0,,Defensive rebound by D. Nowitzki,14,9
36,1,7:00.0,,S. Curry misses 2-pt jump shot from 18 ft (block by A. Davis),14,9
37,1,6:58.0,Defensive rebound by D. Cousins,,14,9
38,1,6:57.0,Personal foul by D. Nowitzki (drawn by D. Cousins),,14,9
39,1,6:57.0,,N. Noel enters the game for Y. Ferrell,14,9
40,1,6:57.0,,D. Harris enters the game for D. Nowitzki,14,9
41,1,6:46.0,Personal foul by S. Curry (drawn by J. Holiday),,14,9
42,1,6:46.0,J. Holiday makes free throw 1 of 2,,15,9
43,1,6:46.0,J. Holiday makes free throw 2 of 2,,16,9
44,1,6:31.0,,Turnover by D. Harris (bad pass; steal by D. Cousins),16,9
45,1,6:28.0,Turnover by D. Cousins (bad pass; steal by D. Harris),,16,9
46,1,6:26.0,,Personal foul by H. Thompson (drawn by S. Curry),16,9
47,1,6:16.0,,H. Barnes makes 2-pt jump shot from 22 ft (assist by S. Curry),16,11
48,1,6:05.0,A. Davis misses 3-pt jump shot from 27 ft,,16,11
49,1,6:04.0,,Defensive rebound by S. Curry,16,11
50,1,5:47.0,,D. Harris misses 3-pt jump shot from 25 ft,16,11
51,1,5:46.0,Defensive rebound by D. Cousins,,16,11
52,1,5:37.0,D. Cousins makes 3-pt jump shot from 26 ft (assist by H. Thompson),,19,11
53,1,5:14.0,,H. Barnes misses 2-pt jump shot from 4 ft,19,11
