,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,NEW YORK_ACTION,NEW ORLEANS_SCORE,NEW YORK_SCORE
0,1,11:43.0,,C. Lee misses 2-pt jump shot from 21 ft,0,0
1,1,11:41.0,Defensive rebound by A. Davis,,0,0
2,1,11:31.0,Offensive foul by J. Holiday (drawn by B. Jennings),,0,0
3,1,11:31.0,Turnover by J. Holiday (offensive foul),,0,0
4,1,11:23.0,,K. Porziņģis makes 2-pt dunk at rim (assist by J. Noah),0,2
5,1,11:03.0,A. Davis misses 2-pt jump shot from 10 ft,,0,2
6,1,11:02.0,Offensive rebound by D. Cunningham,,0,2
7,1,10:56.0,D. Cunningham makes 3-pt jump shot from 22 ft (assist by A. Davis),,3,2
8,1,10:41.0,,B. Jennings misses 3-pt jump shot from 26 ft,3,2
9,1,10:40.0,,Offensive rebound by C. Lee,3,2
10,1,10:23.0,,C. Anthony makes 2-pt jump shot from 21 ft (assist by J. Noah),3,4
11,1,10:05.0,A. Davis makes 2-pt jump shot from 13 ft,,5,4
12,1,9:47.0,,C. Lee makes 2-pt jump shot from 4 ft (assist by K. Porziņģis),5,6
13,1,9:34.0,J. Holiday misses 3-pt jump shot from 26 ft,,5,6
14,1,9:34.0,,Defensive rebound by J. Noah,5,6
15,1,9:14.0,,C. Anthony makes 3-pt jump shot from 27 ft (assist by B. Jennings),5,9
16,1,9:02.0,S. Hill misses 3-pt jump shot from 26 ft,,5,9
17,1,9:00.0,,Defensive rebound by J. Noah,5,9
18,1,8:50.0,,K. Porziņģis misses 3-pt jump shot from 25 ft,5,9
19,1,8:49.0,Defensive rebound by A. Davis,,5,9
20,1,8:33.0,S. Hill misses 2-pt layup from 2 ft (block by K. Porziņģis),,5,9
21,1,8:32.0,,Defensive rebound by B. Jennings,5,9
22,1,8:24.0,,C. Lee makes 3-pt jump shot from 26 ft (assist by B. Jennings),5,12
23,1,8:16.0,New Orleans full timeout,,5,12
24,1,8:08.0,S. Hill misses 3-pt jump shot from 25 ft,,5,12
25,1,8:08.0,,Defensive rebound by J. Noah,5,12
26,1,7:44.0,,C. Anthony misses 2-pt jump shot from 16 ft,5,12
27,1,7:43.0,,Offensive rebound by J. Noah,5,12
28,1,7:43.0,,J. Noah misses 2-pt layup from 2 ft,5,12
29,1,7:42.0,Defensive rebound by A. Davis,,5,12
30,1,7:34.0,B. Hield makes 3-pt jump shot from 26 ft (assist by J. Holiday),,8,12
31,1,7:14.0,,K. Porziņģis misses 3-pt jump shot from 26 ft,8,12
32,1,7:13.0,Defensive rebound by A. Davis,,8,12
33,1,7:00.0,A. Davis makes 2-pt hook shot from 5 ft (assist by J. Holiday),,10,12
34,1,6:32.0,,K. Porziņģis makes 2-pt jump shot from 14 ft,10,14
35,1,6:20.0,Shooting foul by C. Anthony (drawn by A. Davis),,10,14
36,1,6:20.0,A. Davis makes free throw 1 of 2,,11,14
37,1,6:20.0,,L. Thomas enters the game for K. Porziņģis,11,14
38,1,6:20.0,A. Davis makes free throw 2 of 2,,12,14
