,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,CHICAGO_ACTION,CLEVELAND_SCORE,CHICAGO_SCORE
0,1,11:38.0,,T. Gibson makes 2-pt hook shot from 5 ft,0,2
1,1,11:28.0,Turnover by K. Irving (lost ball; steal by R. Rondo),,0,2
2,1,11:23.0,,R. Rondo makes 2-pt layup from 1 ft (assist by D. Wade),0,4
3,1,11:09.0,Turnover by K. Love (lost ball),,0,4
4,1,10:49.0,,R. Lopez misses 2-pt hook shot from 4 ft,0,4
5,1,10:47.0,,Offensive rebound by R. Lopez,0,4
6,1,10:47.0,,R. Lopez misses 2-pt layup from 1 ft,0,4
7,1,10:46.0,,Offensive rebound by R. Lopez,0,4
8,1,10:46.0,,R. Lopez misses 2-pt layup from 1 ft,0,4
9,1,10:46.0,Defensive rebound by K. Love,,0,4
10,1,10:38.0,J. Smith makes 3-pt jump shot from 26 ft (assist by K. Irving),,3,4
11,1,10:15.0,,J. Butler misses 3-pt jump shot from 25 ft,3,4
12,1,10:15.0,Defensive rebound by K. Love,,3,4
13,1,10:07.0,J. Smith misses 3-pt jump shot from 25 ft,,3,4
14,1,10:06.0,,Defensive rebound by T. Gibson,3,4
15,1,9:52.0,,T. Gibson makes 2-pt layup from 3 ft (assist by R. Rondo),3,6
16,1,9:30.0,J. Smith makes 3-pt jump shot from 25 ft (assist by K. Irving),,6,6
17,1,9:15.0,,R. Rondo misses 2-pt jump shot from 20 ft,6,6
18,1,9:14.0,Defensive rebound by K. Love,,6,6
19,1,9:06.0,L. James makes 2-pt layup from 2 ft,,8,6
20,1,8:47.0,,D. Wade misses 2-pt jump shot from 7 ft,8,6
21,1,8:46.0,Defensive rebound by K. Love,,8,6
22,1,8:40.0,J. Smith makes 3-pt jump shot from 26 ft (assist by L. James),,11,6
23,1,8:30.0,,D. Wade makes 2-pt layup from 2 ft (assist by T. Gibson),11,8
24,1,8:13.0,T. Thompson makes 2-pt hook shot from 6 ft (assist by K. Irving),,13,8
25,1,7:49.0,,T. Gibson makes 2-pt jump shot from 15 ft (assist by J. Butler),13,10
26,1,7:25.0,L. James makes 2-pt jump shot from 7 ft (assist by J. Smith),,15,10
27,1,6:58.0,,R. Lopez makes 2-pt hook shot from 6 ft (assist by J. Butler),15,12
28,1,6:47.0,K. Love misses 3-pt jump shot from 26 ft,,15,12
29,1,6:46.0,,Defensive rebound by T. Gibson,15,12
30,1,6:37.0,,T. Gibson makes 2-pt layup from 2 ft (assist by R. Rondo),15,14
31,1,6:25.0,T. Thompson makes 2-pt dunk at rim (assist by K. Irving),,17,14
32,1,6:08.0,,D. Wade makes 2-pt layup from 2 ft,17,16
33,1,5:59.0,J. Smith misses 3-pt jump shot from 23 ft,,17,16
34,1,5:57.0,Offensive rebound by K. Irving,,17,16
35,1,5:52.0,L. James misses 2-pt jump shot from 23 ft,,17,16
36,1,5:51.0,,Defensive rebound by T. Gibson,17,16
37,1,5:44.0,,R. Rondo misses 2-pt layup from 3 ft,17,16
38,1,5:44.0,Defensive rebound by K. Love,,17,16
39,1,5:37.0,K. Irving makes 2-pt layup from 3 ft (assist by L. James),,19,16
40,1,5:23.0,,J. Butler misses 3-pt jump shot from 23 ft,19,16
41,1,5:22.0,Defensive rebound by T. Thompson,,19,16
42,1,5:13.0,L. James misses 2-pt layup from 2 ft,,19,16
43,1,5:11.0,Offensive rebound by T. Thompson,,19,16
44,1,5:11.0,T. Thompson makes 2-pt dunk at rim,,21,16
45,1,5:11.0,,Chicago full timeout,21,16
46,1,5:11.0,,I. Canaan enters the game for D. Wade,21,16
47,1,5:02.0,,J. Butler makes 2-pt dunk at rim (assist by R. Rondo),21,18
48,1,4:46.0,Turnover by T. Thompson (bad pass; steal by R. Rondo),,21,18
49,1,4:42.0,,J. Butler makes 2-pt layup from 2 ft (assist by R. Rondo),21,20
50,1,4:36.0,L. James makes 2-pt layup from 1 ft,,23,20
51,1,4:28.0,,J. Butler makes 2-pt jump shot from 11 ft (assist by R. Rondo),23,22
52,1,4:11.0,L. James makes 2-pt layup from 1 ft (assist by J. Smith),,25,22
53,1,3:58.0,,J. Butler misses 2-pt jump shot from 17 ft,25,22
54,1,3:58.0,Defensive rebound by Team,,25,22
55,1,3:49.0,K. Irving makes 2-pt jump shot from 12 ft,,27,22
56,1,3:49.0,Shooting foul by I. Canaan (drawn by K. Irving),,27,22
57,1,3:49.0,K. Irving makes free throw 1 of 1,,28,22
58,1,3:34.0,,T. Gibson makes 2-pt hook shot from 2 ft (assist by R. Rondo),28,24
59,1,3:20.0,T. Thompson makes 2-pt layup from 3 ft (assist by K. Irving),,30,24
60,1,3:20.0,Shooting foul by R. Lopez (drawn by T. Thompson),,30,24
61,1,3:20.0,,Violation by R. Rondo (lane),30,24
62,1,3:20.0,I. Shumpert enters the game for K. Irving,,30,24
63,1,3:20.0,R. Jefferson enters the game for L. James,,30,24
64,1,3:20.0,,N. Mirotić enters the game for R. Lopez,30,24
65,1,3:20.0,T. Thompson makes free throw 1 of 1,,31,24
66,1,3:08.0,,J. Butler makes 2-pt layup from 1 ft,31,26
67,1,2:54.0,K. Love misses 2-pt jump shot from 16 ft,,31,26
68,1,2:53.0,,Defensive rebound by R. Rondo,31,26
69,1,2:43.0,,Turnover by N. Mirotić (bad pass; steal by K. Love),31,26
70,1,2:36.0,Turnover by K. Love (3 sec),,31,26
71,1,2:36.0,Cleveland full timeout,,31,26
72,1,2:36.0,,R. Lopez enters the game for J. Butler,31,26
73,1,2:36.0,,J. Grant enters the game for T. Gibson,31,26
74,1,2:36.0,,D. Wade enters the game for R. Rondo,31,26
75,1,2:25.0,Violation by T. Thompson (def goaltending),,31,26
76,1,2:25.0,,D. Wade makes 2-pt jump shot from 7 ft (assist by J. Grant),31,28
77,1,2:12.0,Turnover by I. Shumpert (bad pass; steal by D. Wade),,31,28
78,1,2:12.0,,Turnover by D. Wade (bad pass),31,28
79,1,1:59.0,Turnover by J. Smith (lost ball; steal by N. Mirotić),,31,28
80,1,1:46.0,,R. Lopez makes 2-pt hook shot from 5 ft (assist by N. Mirotić),31,30
81,1,1:36.0,K. Love misses 2-pt jump shot from 12 ft,,31,30
82,1,1:36.0,,Defensive rebound by Team,31,30
83,1,1:25.0,,N. Mirotić misses 3-pt jump shot from 25 ft,31,30
84,1,1:24.0,Defensive rebound by J. Smith,,31,30
85,1,1:09.0,K. Love misses 2-pt jump shot from 19 ft,,31,30
86,1,1:08.0,,Defensive rebound by J. Grant,31,30
87,1,0:55.0,,I. Canaan misses 3-pt jump shot from 24 ft,31,30
88,1,0:54.0,Defensive rebound by T. Thompson,,31,30
89,1,0:47.0,,Offensive charge foul by I. Shumpert (drawn by I. Canaan),31,30
90,1,0:47.0,Turnover by I. Shumpert (offensive foul),,31,30
