,QUARTER,TIME_REMAINING,DENVER_ACTION,CHARLOTTE_ACTION,DENVER_SCORE,CHARLOTTE_SCORE
0,1,11:36.0,,C. Zeller misses 2-pt hook shot from 1 ft,0,0
1,1,11:35.0,Defensive rebound by N. Jokić,,0,0
2,1,11:28.0,G. Harris misses 3-pt jump shot from 25 ft,,0,0
3,1,11:27.0,,Defensive rebound by C. Zeller,0,0
4,1,11:18.0,,N. Batum misses 2-pt layup from 1 ft,0,0
5,1,11:17.0,Defensive rebound by K. Faried,,0,0
6,1,11:07.0,N. Jokić makes 2-pt jump shot from 16 ft (assist by D. Gallinari),,2,0
7,1,10:48.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 16 ft,2,0
8,1,10:47.0,Defensive rebound by J. Nelson,,2,0
9,1,10:37.0,K. Faried makes 2-pt layup from 2 ft (assist by N. Jokić),,4,0
10,1,10:23.0,,K. Walker makes 3-pt jump shot from 25 ft (assist by N. Batum),4,3
11,1,10:01.0,J. Nelson misses 3-pt jump shot from 26 ft,,4,3
12,1,9:58.0,Offensive rebound by N. Jokić,,4,3
13,1,9:48.0,Turnover by K. Faried (lost ball; steal by M. Williams),,4,3
14,1,9:45.0,,Shooting foul by J. Nelson (drawn by M. Kidd-Gilchrist),4,3
15,1,9:45.0,,M. Kidd-Gilchrist makes free throw 1 of 2,4,4
16,1,9:45.0,,M. Kidd-Gilchrist misses free throw 2 of 2,4,4
17,1,9:43.0,Defensive rebound by K. Faried,,4,4
18,1,9:27.0,G. Harris misses 3-pt jump shot from 25 ft,,4,4
19,1,9:26.0,,Defensive rebound by N. Batum,4,4
20,1,9:17.0,,N. Batum makes 2-pt dunk at rim,4,6
21,1,8:50.0,N. Jokić misses 2-pt jump shot from 10 ft (block by C. Zeller),,4,6
22,1,8:48.0,Offensive rebound by K. Faried,,4,6
23,1,8:48.0,K. Faried makes 2-pt layup from 1 ft,,6,6
24,1,8:31.0,,C. Zeller misses 2-pt jump shot from 8 ft,6,6
25,1,8:30.0,Defensive rebound by K. Faried,,6,6
26,1,8:26.0,Turnover by K. Faried (bad pass; steal by N. Batum),,6,6
27,1,8:23.0,Violation by K. Faried (def goaltending),,6,6
28,1,8:23.0,,K. Walker makes 2-pt layup from 1 ft (assist by N. Batum),6,8
29,1,8:04.0,J. Nelson makes 3-pt jump shot from 25 ft (assist by N. Jokić),,9,8
30,1,7:51.0,,K. Walker misses 3-pt jump shot from 26 ft,9,8
