,QUARTER,TIME_REMAINING,UTAH_ACTION,SACRAMENTO_ACTION,UTAH_SCORE,SACRAMENTO_SCORE
0,1,11:44.0,,A. Afflalo makes 2-pt jump shot from 12 ft,0,2
1,1,11:28.0,R. Hood makes 2-pt jump shot from 18 ft (assist by R. Gobert),,2,2
2,1,11:10.0,,T. Lawson misses 2-pt jump shot from 16 ft,2,2
3,1,11:10.0,,Offensive rebound by K. Koufos,2,2
4,1,11:08.0,,K. Koufos misses 2-pt layup from 3 ft,2,2
5,1,11:07.0,Defensive rebound by G. Hayward,,2,2
6,1,10:54.0,G. Hayward makes 2-pt jump shot from 10 ft,,4,2
7,1,10:36.0,,W. Cauley-Stein misses 2-pt layup from 4 ft,4,2
8,1,10:34.0,Defensive rebound by D. Favors,,4,2
9,1,10:12.0,D. Favors misses 2-pt jump shot from 23 ft,,4,2
10,1,10:12.0,,Defensive rebound by K. Koufos,4,2
11,1,10:04.0,,D. Collison makes 2-pt jump shot from 21 ft,4,4
12,1,9:44.0,R. Gobert makes 2-pt layup from 2 ft (assist by G. Hill),,6,4
13,1,9:26.0,,A. Afflalo makes 2-pt jump shot from 21 ft (assist by W. Cauley-Stein),6,6
14,1,9:03.0,D. Favors makes 2-pt jump shot from 10 ft (assist by G. Hayward),,8,6
15,1,8:50.0,,K. Koufos misses 2-pt jump shot from 9 ft,8,6
16,1,8:50.0,,Offensive rebound by K. Koufos,8,6
17,1,8:48.0,,K. Koufos makes 2-pt jump shot from 12 ft,8,8
18,1,8:33.0,R. Hood misses 3-pt jump shot from 25 ft,,8,8
19,1,8:33.0,,Defensive rebound by Team,8,8
20,1,8:19.0,,A. Afflalo misses 2-pt jump shot from 18 ft,8,8
21,1,8:18.0,Defensive rebound by R. Gobert,,8,8
22,1,8:11.0,Personal foul by T. Lawson (drawn by G. Hill),,8,8
23,1,8:02.0,G. Hill makes 3-pt jump shot from 24 ft,,11,8
24,1,7:41.0,,T. Lawson makes 3-pt jump shot from 25 ft,11,11
25,1,7:18.0,R. Hood misses 3-pt jump shot from 22 ft,,11,11
26,1,7:18.0,Offensive rebound by R. Hood,,11,11
27,1,7:10.0,Turnover by G. Hayward (bad pass; steal by W. Cauley-Stein),,11,11
28,1,7:03.0,,Shooting foul by G. Hill (drawn by D. Collison),11,11
29,1,7:03.0,,D. Collison makes free throw 1 of 2,11,12
30,1,7:03.0,,D. Collison misses free throw 2 of 2,11,12
31,1,7:03.0,D. Exum enters the game for G. Hill,,11,12
32,1,7:02.0,Defensive rebound by R. Gobert,,11,12
33,1,6:37.0,R. Hood makes 2-pt jump shot from 14 ft (assist by D. Exum),,13,12
34,1,6:23.0,,K. Koufos makes 2-pt jump shot from 11 ft (assist by T. Lawson),13,14
35,1,6:14.0,Turnover by G. Hayward (bad pass),,13,14
36,1,6:14.0,J. Ingles enters the game for R. Hood,,13,14
37,1,6:14.0,B. Diaw enters the game for D. Favors,,13,14
38,1,6:01.0,,D. Collison makes 2-pt jump shot from 17 ft,13,16
39,1,6:01.0,Utah full timeout,,13,16
40,1,5:49.0,G. Hayward misses 3-pt jump shot from 25 ft,,13,16
41,1,5:49.0,,Defensive rebound by W. Cauley-Stein,13,16
42,1,5:36.0,,K. Koufos misses 2-pt jump shot from 6 ft (block by R. Gobert),13,16
43,1,5:35.0,Defensive rebound by B. Diaw,,13,16
44,1,5:29.0,D. Exum misses 2-pt jump shot from 5 ft,,13,16
45,1,5:29.0,,Defensive rebound by W. Cauley-Stein,13,16
46,1,5:19.0,,W. Cauley-Stein misses 2-pt jump shot from 8 ft,13,16
47,1,5:18.0,Defensive rebound by R. Gobert,,13,16
48,1,5:01.0,R. Gobert makes 2-pt dunk at rim (assist by G. Hayward),,15,16
49,1,4:38.0,,D. Collison makes 3-pt jump shot from 24 ft (assist by A. Afflalo),15,19
50,1,4:12.0,R. Gobert makes 2-pt layup from 3 ft (assist by B. Diaw),,17,19
51,1,3:50.0,,W. Cauley-Stein makes 2-pt jump shot from 16 ft (assist by D. Collison),17,21
52,1,3:28.0,B. Diaw misses 3-pt jump shot from 23 ft,,17,21
53,1,3:28.0,,Defensive rebound by A. Afflalo,17,21
54,1,3:20.0,,W. Cauley-Stein misses 2-pt hook shot from 6 ft,17,21
55,1,3:18.0,Defensive rebound by R. Gobert,,17,21
56,1,3:09.0,J. Ingles misses 3-pt jump shot from 29 ft,,17,21
57,1,3:09.0,,Defensive rebound by K. Koufos,17,21
58,1,3:09.0,,Sacramento full timeout,17,21
59,1,3:09.0,A. Burks enters the game for G. Hayward,,17,21
60,1,3:09.0,G. Hill enters the game for R. Gobert,,17,21
61,1,3:09.0,D. Favors enters the game for D. Exum,,17,21
62,1,3:09.0,,A. Tolliver enters the game for K. Koufos,17,21
63,1,3:09.0,,G. Temple enters the game for T. Lawson,17,21
64,1,2:56.0,,A. Afflalo makes 2-pt jump shot from 11 ft (assist by A. Tolliver),17,23
65,1,2:37.0,A. Burks misses 3-pt jump shot from 24 ft,,17,23
66,1,2:37.0,Offensive rebound by A. Burks,,17,23
67,1,2:35.0,Turnover by A. Burks (lost ball; steal by G. Temple),,17,23
68,1,2:23.0,,W. Cauley-Stein makes 2-pt hook shot from 7 ft (assist by D. Collison),17,25
69,1,1:56.0,A. Burks makes 2-pt jump shot from 7 ft,,19,25
70,1,1:42.0,,G. Temple misses 3-pt jump shot from 24 ft,19,25
71,1,1:41.0,Defensive rebound by G. Hill,,19,25
72,1,1:36.0,A. Burks makes 2-pt layup from 3 ft (assist by G. Hill),,21,25
73,1,1:14.0,,A. Afflalo makes 2-pt jump shot from 12 ft,21,27
74,1,0:55.0,D. Favors makes 2-pt hook shot from 6 ft (assist by B. Diaw),,23,27
75,1,0:43.0,,Def 3 sec tech foul by A. Burks,23,27
76,1,0:43.0,,B. Hield enters the game for A. Afflalo,23,27
77,1,0:43.0,,G. Temple makes technical free throw,23,28
78,1,0:32.0,,B. Hield makes 3-pt jump shot from 24 ft (assist by W. Cauley-Stein),23,31
