,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,PHOENIX_ACTION,CLEVELAND_SCORE,PHOENIX_SCORE
0,1,11:51.0,,Shooting block foul by D. Liggins (drawn by D. Booker),0,0
1,1,11:51.0,,D. Booker makes free throw 1 of 3,0,1
2,1,11:51.0,,D. Booker misses free throw 2 of 3,0,1
3,1,11:51.0,,Offensive rebound by Team,0,1
4,1,11:51.0,,D. Booker makes free throw 3 of 3,0,2
5,1,11:40.0,L. James makes 2-pt layup from 2 ft,,2,2
6,1,11:26.0,,M. Chriss makes 2-pt dunk at rim (assist by T. Warren),2,4
7,1,11:01.0,K. Love misses 3-pt jump shot from 24 ft,,2,4
8,1,10:59.0,,Defensive rebound by T. Chandler,2,4
9,1,10:53.0,,D. Booker makes 2-pt layup from 2 ft,2,6
10,1,10:53.0,,Shooting foul by T. Thompson (drawn by D. Booker),2,6
11,1,10:53.0,,D. Booker misses free throw 1 of 1,2,6
12,1,10:52.0,,Offensive rebound by D. Booker,2,6
13,1,10:50.0,,D. Booker misses 2-pt layup from 2 ft,2,6
14,1,10:48.0,Defensive rebound by D. Liggins,,2,6
15,1,10:44.0,D. Liggins makes 2-pt layup from 2 ft,,4,6
16,1,10:21.0,,E. Bledsoe makes 3-pt jump shot from 25 ft (assist by M. Chriss),4,9
17,1,10:07.0,K. Irving makes 2-pt layup from 1 ft,,6,9
18,1,10:07.0,Shooting foul by T. Chandler (drawn by K. Irving),,6,9
19,1,10:07.0,K. Irving makes free throw 1 of 1,,7,9
20,1,9:58.0,,Turnover by T. Chandler (bad pass; steal by D. Liggins),7,9
21,1,9:54.0,L. James makes 2-pt jump shot from 8 ft (assist by D. Liggins),,9,9
22,1,9:54.0,Shooting foul by M. Chriss (drawn by L. James),,9,9
23,1,9:54.0,L. James makes free throw 1 of 1,,10,9
24,1,9:40.0,,M. Chriss makes 2-pt layup from 1 ft,10,11
25,1,9:25.0,Turnover by K. Irving (bad pass; steal by E. Bledsoe),,10,11
26,1,9:20.0,,D. Booker misses 2-pt layup from 1 ft,10,11
27,1,9:19.0,,Offensive rebound by M. Chriss,10,11
28,1,9:17.0,,M. Chriss misses 2-pt layup from 2 ft,10,11
29,1,9:15.0,,Offensive rebound by T. Warren,10,11
30,1,9:05.0,,D. Booker misses 3-pt jump shot from 25 ft,10,11
31,1,9:03.0,Defensive rebound by L. James,,10,11
32,1,8:58.0,Turnover by D. Liggins (bad pass; steal by M. Chriss),,10,11
33,1,8:37.0,,E. Bledsoe misses 3-pt jump shot from 23 ft,10,11
34,1,8:33.0,Defensive rebound by L. James,,10,11
35,1,8:25.0,K. Irving misses 2-pt jump shot from 14 ft,,10,11
36,1,8:23.0,,Defensive rebound by T. Chandler,10,11
37,1,7:59.0,,D. Booker misses 2-pt jump shot from 16 ft,10,11
38,1,7:57.0,Defensive rebound by T. Thompson,,10,11
39,1,7:47.0,K. Love makes 2-pt hook shot from 8 ft,,12,11
40,1,7:34.0,,E. Bledsoe makes 2-pt layup from 2 ft,12,13
41,1,7:14.0,T. Thompson misses 2-pt layup from 3 ft (block by M. Chriss),,12,13
42,1,7:11.0,Offensive rebound by L. James,,12,13
43,1,7:09.0,K. Love makes 3-pt jump shot from 24 ft (assist by L. James),,15,13
44,1,6:49.0,,M. Chriss misses 2-pt dunk at rim (block by D. Liggins),15,13
45,1,6:46.0,,Offensive rebound by T. Chandler,15,13
46,1,6:42.0,,T. Warren makes 3-pt jump shot from 24 ft (assist by E. Bledsoe),15,16
47,1,6:34.0,Shooting foul by D. Booker (drawn by T. Thompson),,15,16
48,1,6:34.0,T. Thompson makes free throw 1 of 2,,16,16
49,1,6:34.0,,Violation by A. Len (lane),16,16
50,1,6:34.0,,A. Len enters the game for T. Chandler,16,16
51,1,6:34.0,T. Thompson makes free throw 2 of 2,,17,16
52,1,6:19.0,,E. Bledsoe makes 3-pt jump shot from 25 ft (assist by D. Booker),17,19
53,1,6:00.0,K. Irving makes 3-pt jump shot from 26 ft,,20,19
54,1,5:54.0,,Turnover by M. Chriss (bad pass; steal by D. Liggins),20,19
55,1,5:51.0,D. Liggins makes 2-pt layup from 1 ft,,22,19
56,1,5:38.0,,A. Len misses 2-pt jump shot from 15 ft,22,19
57,1,5:36.0,Defensive rebound by L. James,,22,19
58,1,5:33.0,Shooting foul by T. Warren (drawn by L. James),,22,19
59,1,5:33.0,,Phoenix full timeout,22,19
60,1,5:33.0,L. James makes free throw 1 of 2,,23,19
61,1,5:33.0,,P. Tucker enters the game for T. Warren,22,19
62,1,5:33.0,L. James misses free throw 2 of 2,,23,19
63,1,5:32.0,Offensive rebound by L. James,,23,19
64,1,5:32.0,Shooting foul by P. Tucker (drawn by L. James),,23,19
65,1,5:32.0,L. James makes free throw 1 of 2,,24,19
66,1,5:32.0,L. James misses free throw 2 of 2,,24,19
67,1,5:30.0,,Defensive rebound by P. Tucker,24,19
68,1,5:14.0,,E. Bledsoe makes 2-pt jump shot from 8 ft,24,21
69,1,4:57.0,L. James misses 2-pt jump shot from 9 ft,,24,21
70,1,4:54.0,,Defensive rebound by P. Tucker,24,21
71,1,4:48.0,,M. Chriss misses 3-pt jump shot from 23 ft,24,21
72,1,4:45.0,Defensive rebound by T. Thompson,,24,21
73,1,4:35.0,K. Irving makes 2-pt jump shot from 9 ft,,26,21
74,1,4:14.0,,E. Bledsoe misses 2-pt jump shot from 10 ft,26,21
75,1,4:11.0,Defensive rebound by K. Love,,26,21
76,1,4:06.0,Shooting foul by M. Chriss (drawn by K. Love),,26,21
