,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,ATLANTA_ACTION,GOLDEN STATE_SCORE,ATLANTA_SCORE
0,1,11:45.0,S. Curry misses 3-pt jump shot from 23 ft,,0,0
1,1,11:44.0,,Defensive rebound by D. Howard,0,0
2,1,11:23.0,,D. Howard makes 2-pt dunk at rim (assist by T. Sefolosha),0,2
3,1,11:07.0,D. Green makes 3-pt jump shot from 25 ft (assist by Z. Pachulia),,3,2
4,1,10:48.0,,D. Schröder misses 3-pt jump shot from 24 ft,3,2
5,1,10:45.0,Defensive rebound by Z. Pachulia,,3,2
6,1,10:36.0,Z. Pachulia makes 2-pt jump shot from 12 ft (assist by K. Thompson),,5,2
7,1,10:12.0,,P. Millsap makes 2-pt jump shot from 17 ft (assist by D. Schröder),5,4
8,1,9:57.0,D. Green makes 2-pt layup from 2 ft (assist by K. Thompson),,7,4
9,1,9:51.0,,Turnover by D. Howard (offensive foul),7,4
10,1,9:51.0,,Offensive foul by D. Howard (drawn by Z. Pachulia),7,4
11,1,9:43.0,Turnover by P. McCaw (traveling),,7,4
12,1,9:32.0,,D. Schröder makes 2-pt layup from 1 ft,7,6
13,1,9:17.0,P. McCaw misses 3-pt jump shot from 24 ft,,7,6
14,1,9:16.0,,Defensive rebound by Team,7,6
15,1,9:03.0,,K. Bazemore makes 2-pt jump shot from 19 ft,7,8
16,1,8:57.0,Turnover by D. Green (lost ball),,7,8
17,1,8:46.0,,D. Schröder misses 2-pt jump shot from 7 ft (block by K. Thompson),7,8
18,1,8:43.0,Defensive rebound by Z. Pachulia,,7,8
19,1,8:40.0,P. McCaw misses 2-pt layup from 3 ft (block by P. Millsap),,7,8
20,1,8:38.0,Offensive rebound by P. McCaw,,7,8
21,1,8:36.0,P. McCaw misses 2-pt layup from 1 ft (block by T. Sefolosha),,7,8
22,1,8:35.0,,Defensive rebound by T. Sefolosha,7,8
23,1,8:31.0,,D. Schröder makes 3-pt jump shot from 26 ft (assist by T. Sefolosha),7,11
24,1,8:17.0,K. Thompson misses 3-pt jump shot from 26 ft,,7,11
25,1,8:16.0,,Defensive rebound by P. Millsap,7,11
26,1,8:09.0,,K. Bazemore misses 2-pt jump shot from 18 ft,7,11
27,1,8:07.0,,Offensive rebound by D. Howard,7,11
28,1,8:07.0,,Shooting foul by Z. Pachulia (drawn by D. Howard),7,11
29,1,8:07.0,,D. Howard misses free throw 1 of 2,7,11
30,1,8:07.0,,Offensive rebound by Team,7,11
31,1,8:07.0,,D. Howard makes free throw 2 of 2,7,12
32,1,7:51.0,K. Thompson misses 3-pt jump shot from 25 ft,,7,12
33,1,7:50.0,,Defensive rebound by D. Schröder,7,12
34,1,7:39.0,,K. Bazemore makes 2-pt layup from 2 ft (assist by P. Millsap),7,14
35,1,7:39.0,Golden State full timeout,,7,14
36,1,7:26.0,S. Curry misses 2-pt jump shot from 21 ft,,7,14
37,1,7:24.0,,Defensive rebound by D. Howard,7,14
38,1,7:11.0,,P. Millsap misses 3-pt jump shot from 25 ft,7,14
39,1,7:09.0,Defensive rebound by P. McCaw,,7,14
40,1,7:04.0,D. Green makes 2-pt layup from 2 ft (assist by Z. Pachulia),,9,14
41,1,6:50.0,,K. Bazemore misses 3-pt jump shot from 25 ft,9,14
42,1,6:48.0,,Offensive rebound by P. Millsap,9,14
43,1,6:46.0,,P. Millsap misses 2-pt jump shot from 5 ft,9,14
44,1,6:45.0,Defensive rebound by Z. Pachulia,,9,14
45,1,6:42.0,Turnover by K. Thompson (traveling),,9,14
46,1,6:24.0,,Personal foul by Z. Pachulia (drawn by D. Howard),9,14
47,1,6:24.0,J. McGee enters the game for Z. Pachulia,,9,14
48,1,6:24.0,A. Iguodala enters the game for P. McCaw,,9,14
49,1,6:14.0,,Shooting foul by A. Iguodala (drawn by P. Millsap),9,14
50,1,6:14.0,,P. Millsap makes free throw 1 of 2,9,15
51,1,6:14.0,,P. Millsap makes free throw 2 of 2,9,16
52,1,6:02.0,D. Green misses 2-pt layup at rim (block by K. Bazemore),,9,16
53,1,6:02.0,Offensive rebound by D. Green,,9,16
