,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,ATLANTA_ACTION,PHILADELPHIA_SCORE,ATLANTA_SCORE
0,1,11:42.0,,D. Schröder misses 2-pt jump shot from 20 ft,0,0
1,1,11:41.0,Defensive rebound by R. Covington,,0,0
2,1,11:22.0,Personal foul by P. Millsap (drawn by E. İlyasova),,0,0
3,1,11:11.0,E. İlyasova makes 3-pt jump shot from 24 ft (assist by T. McConnell),,3,0
4,1,10:55.0,,P. Millsap misses 2-pt layup from 1 ft,3,0
5,1,10:54.0,Defensive rebound by T. McConnell,,3,0
6,1,10:49.0,N. Stauskas misses 3-pt jump shot from 25 ft,,3,0
7,1,10:47.0,,Defensive rebound by D. Howard,3,0
8,1,10:35.0,,T. Sefolosha makes 2-pt layup from 1 ft (assist by D. Schröder),3,2
9,1,10:17.0,E. İlyasova misses 2-pt jump shot from 14 ft,,3,2
10,1,10:16.0,,Defensive rebound by P. Millsap,3,2
11,1,10:10.0,,D. Howard makes 2-pt dunk at rim (assist by D. Schröder),3,4
12,1,9:55.0,R. Covington makes 2-pt layup from 1 ft (assist by T. McConnell),,5,4
13,1,9:46.0,,D. Howard misses 2-pt layup from 1 ft (block by J. Okafor),5,4
14,1,9:44.0,Defensive rebound by R. Covington,,5,4
15,1,9:34.0,N. Stauskas makes 2-pt layup from 1 ft (assist by E. İlyasova),,7,4
16,1,9:15.0,,K. Bazemore misses 3-pt jump shot from 23 ft,7,4
17,1,9:13.0,Defensive rebound by N. Stauskas,,7,4
18,1,9:07.0,E. İlyasova misses 2-pt layup from 2 ft,,7,4
19,1,9:04.0,,Defensive rebound by P. Millsap,7,4
20,1,8:56.0,,D. Schröder misses 2-pt layup from 2 ft (block by N. Stauskas),7,4
21,1,8:55.0,Defensive rebound by J. Okafor,,7,4
22,1,8:42.0,Turnover by T. McConnell (bad pass; steal by K. Bazemore),,7,4
23,1,8:38.0,,K. Bazemore makes 2-pt layup at rim,7,6
24,1,8:20.0,N. Stauskas makes 2-pt dunk at rim (assist by J. Okafor),,9,6
25,1,8:01.0,,Turnover by D. Schröder (bad pass; steal by T. McConnell),9,6
26,1,7:50.0,E. İlyasova misses 3-pt jump shot from 26 ft,,9,6
27,1,7:48.0,,Defensive rebound by D. Howard,9,6
28,1,7:37.0,,D. Schröder makes 2-pt jump shot from 16 ft,9,8
29,1,7:19.0,Shooting foul by D. Howard (drawn by J. Okafor),,9,8
30,1,7:19.0,J. Okafor makes free throw 1 of 2,,10,8
31,1,7:19.0,G. Henderson enters the game for N. Stauskas,,10,8
32,1,7:19.0,J. Okafor makes free throw 2 of 2,,11,8
33,1,7:11.0,,Personal foul by E. İlyasova (drawn by P. Millsap),11,8
34,1,7:01.0,,D. Howard misses 2-pt layup from 1 ft (block by J. Okafor),11,8
35,1,6:59.0,Defensive rebound by J. Okafor,,11,8
36,1,6:52.0,J. Okafor makes 2-pt jump shot from 16 ft (assist by T. McConnell),,13,8
37,1,6:43.0,,K. Bazemore makes 3-pt jump shot from 25 ft,13,11
38,1,6:34.0,G. Henderson makes 3-pt jump shot from 24 ft (assist by E. İlyasova),,16,11
39,1,6:12.0,,D. Schröder misses 2-pt jump shot from 7 ft,16,11
40,1,6:12.0,,Offensive rebound by D. Howard,16,11
41,1,6:12.0,,Shooting foul by E. İlyasova (drawn by D. Howard),16,11
42,1,6:12.0,,D. Howard misses free throw 1 of 2,16,11
43,1,6:12.0,,Offensive rebound by Team,16,11
44,1,6:12.0,D. Šarić enters the game for E. İlyasova,,16,11
45,1,6:12.0,,D. Howard makes free throw 2 of 2,16,12
46,1,5:55.0,T. McConnell makes 2-pt layup from 2 ft,,18,12
47,1,5:49.0,,Atlanta full timeout,18,12
48,1,5:49.0,,T. Hardaway enters the game for K. Bazemore,18,12
49,1,5:39.0,,Turnover by P. Millsap (lost ball; steal by T. McConnell),18,12
50,1,5:34.0,T. McConnell misses 2-pt layup from 1 ft (block by D. Schröder),,18,12
51,1,5:32.0,Offensive rebound by R. Covington,,18,12
52,1,5:31.0,R. Covington misses 2-pt layup from 2 ft,,18,12
53,1,5:30.0,Offensive rebound by T. McConnell,,18,12
54,1,5:27.0,G. Henderson misses 3-pt jump shot from 25 ft,,18,12
55,1,5:26.0,,Defensive rebound by D. Howard,18,12
56,1,5:15.0,,P. Millsap makes 2-pt jump shot from 12 ft,18,14
57,1,5:00.0,J. Okafor makes 2-pt jump shot from 19 ft,,20,14
58,1,4:40.0,,D. Schröder misses 2-pt layup from 1 ft,20,14
59,1,4:38.0,,Offensive rebound by D. Howard,20,14
60,1,4:38.0,,D. Howard makes 2-pt dunk at rim,20,16
61,1,4:20.0,J. Okafor makes 2-pt jump shot from 19 ft (assist by D. Šarić),,22,16
62,1,4:04.0,,K. Humphries enters the game for D. Howard,22,16
63,1,4:04.0,,M. Dunleavy enters the game for T. Sefolosha,22,16
64,1,4:04.0,T. Luwawu-Cabarrot enters the game for R. Covington,,22,16
65,1,4:01.0,,D. Schröder makes 2-pt layup from 1 ft (assist by T. Hardaway),22,18
66,1,3:56.0,Philadelphia full timeout,,22,18
67,1,3:55.0,Turnover by J. Okafor (traveling),,22,18
68,1,3:38.0,,P. Millsap misses 2-pt jump shot from 18 ft,22,18
69,1,3:35.0,Defensive rebound by D. Šarić,,22,18
70,1,3:35.0,Turnover by D. Šarić (bad pass),,22,18
71,1,3:35.0,N. Stauskas enters the game for T. McConnell,,22,18
72,1,3:23.0,,K. Humphries misses 2-pt jump shot from 13 ft,22,18
73,1,3:21.0,Defensive rebound by D. Šarić,,22,18
74,1,3:15.0,N. Noel enters the game for J. Okafor,,22,18
75,1,3:15.0,,M. Delaney enters the game for D. Schröder,22,18
76,1,3:12.0,G. Henderson makes 3-pt jump shot from 24 ft (assist by N. Stauskas),,25,18
77,1,2:51.0,,P. Millsap makes 3-pt jump shot from 25 ft (assist by M. Delaney),25,21
78,1,2:26.0,D. Šarić misses 2-pt layup from 1 ft,,25,21
79,1,2:25.0,,Defensive rebound by P. Millsap,25,21
80,1,2:19.0,,Turnover by T. Hardaway (bad pass; steal by D. Šarić),25,21
81,1,2:15.0,,Offensive charge foul by T. Luwawu-Cabarrot (drawn by M. Delaney),25,21
82,1,2:15.0,Turnover by T. Luwawu-Cabarrot (offensive foul),,25,21
83,1,2:04.0,,Turnover by M. Delaney (bad pass; steal by D. Šarić),25,21
84,1,1:52.0,G. Henderson misses 3-pt jump shot from 24 ft,,25,21
85,1,1:50.0,,Defensive rebound by K. Humphries,25,21
86,1,1:39.0,,M. Delaney makes 2-pt layup from 2 ft,25,23
87,1,1:34.0,Personal foul by M. Delaney (drawn by N. Stauskas),,25,23
88,1,1:25.0,D. Šarić misses 3-pt jump shot from 25 ft,,25,23
89,1,1:23.0,,Defensive rebound by K. Humphries,25,23
90,1,1:12.0,,P. Millsap makes 2-pt jump shot from 14 ft (assist by T. Hardaway),25,25
91,1,0:55.0,D. Šarić misses 2-pt hook shot from 6 ft,,25,25
92,1,0:53.0,,Defensive rebound by P. Millsap,25,25
93,1,0:45.0,,T. Hardaway misses 3-pt jump shot from 24 ft,25,25
94,1,0:44.0,Defensive rebound by N. Noel,,25,25
95,1,0:32.0,Turnover by G. Henderson (step out of bounds),,25,25
96,1,0:27.0,,M. Delaney misses 3-pt jump shot from 25 ft,25,25
97,1,0:26.0,Defensive rebound by N. Stauskas,,25,25
98,1,0:19.0,D. Šarić misses 2-pt layup from 1 ft,,25,25
99,1,0:17.0,,Defensive rebound by P. Millsap,25,25
100,1,0:02.0,,T. Hardaway misses 2-pt layup from 1 ft,25,25
101,1,0:01.0,Defensive rebound by G. Henderson,,25,25
102,2,11:39.0,Shooting foul by M. Dunleavy (drawn by T. Luwawu-Cabarrot),,25,25
103,2,11:39.0,T. Luwawu-Cabarrot makes free throw 1 of 2,,26,25
104,2,11:39.0,T. Luwawu-Cabarrot makes free throw 2 of 2,,27,25
105,2,11:17.0,,M. Dunleavy misses 2-pt jump shot from 12 ft,27,25
106,2,11:16.0,Defensive rebound by Team,,27,25
107,2,11:09.0,D. Šarić misses 2-pt jump shot from 16 ft,,27,25
108,2,11:07.0,,Defensive rebound by D. Howard,27,25
109,2,10:59.0,,T. Hardaway misses 3-pt jump shot from 25 ft,27,25
110,2,10:58.0,Defensive rebound by D. Šarić,,27,25
111,2,10:45.0,D. Šarić makes 3-pt jump shot from 24 ft (assist by T. Luwawu-Cabarrot),,30,25
112,2,10:23.0,,M. Scott misses 3-pt jump shot from 23 ft,30,25
113,2,10:21.0,,Offensive rebound by D. Howard,30,25
114,2,10:18.0,,T. Hardaway makes 3-pt jump shot from 24 ft (assist by D. Howard),30,28
115,2,10:05.0,N. Stauskas misses 2-pt jump shot from 11 ft,,30,28
116,2,10:02.0,,Defensive rebound by M. Scott,30,28
117,2,9:53.0,,T. Hardaway makes 3-pt jump shot from 27 ft (assist by M. Dunleavy),30,31
118,2,9:46.0,Philadelphia full timeout,,30,31
119,2,9:46.0,T. McConnell enters the game for N. Stauskas,,30,31
120,2,9:46.0,R. Covington enters the game for G. Henderson,,30,31
121,2,9:38.0,D. Šarić misses 2-pt jump shot from 23 ft,,30,31
