,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,DALLAS_ACTION,WASHINGTON_SCORE,DALLAS_SCORE
0,1,11:43.0,M. Gortat misses 2-pt hook shot from 7 ft,,0,0
1,1,11:43.0,,Defensive rebound by D. Nowitzki,0,0
2,1,11:26.0,,D. Nowitzki makes 2-pt jump shot from 19 ft (assist by H. Barnes),0,2
3,1,11:14.0,Shooting foul by D. Nowitzki (drawn by M. Morris),,0,2
4,1,11:14.0,M. Morris makes free throw 1 of 2,,1,2
5,1,11:14.0,M. Morris makes free throw 2 of 2,,2,2
6,1,11:14.0,,H. Barnes makes 2-pt layup from 1 ft,2,4
7,1,10:58.0,M. Morris misses 2-pt jump shot from 9 ft,,2,4
8,1,10:58.0,Offensive rebound by M. Gortat,,2,4
9,1,10:53.0,M. Gortat misses 2-pt hook shot from 6 ft,,2,4
10,1,10:53.0,Offensive rebound by M. Morris,,2,4
11,1,10:53.0,M. Morris misses 2-pt layup from 1 ft,,2,4
12,1,10:49.0,Offensive rebound by Team,,2,4
13,1,10:24.0,B. Beal misses 2-pt jump shot from 15 ft,,2,4
14,1,10:23.0,,Defensive rebound by D. Nowitzki,2,4
15,1,10:06.0,,D. Finney-Smith misses 3-pt jump shot from 25 ft,2,4
16,1,10:05.0,Defensive rebound by M. Morris,,2,4
17,1,9:53.0,M. Gortat misses 2-pt hook shot from 6 ft,,2,4
18,1,9:53.0,,Defensive rebound by D. Nowitzki,2,4
19,1,9:47.0,,D. Nowitzki misses 3-pt jump shot from 27 ft,2,4
20,1,9:44.0,Defensive rebound by O. Porter,,2,4
21,1,9:32.0,M. Gortat misses 2-pt layup from 1 ft,,2,4
22,1,9:31.0,,Defensive rebound by D. Nowitzki,2,4
23,1,9:24.0,,H. Barnes misses 2-pt layup from 2 ft (block by O. Porter),2,4
24,1,9:23.0,Defensive rebound by M. Gortat,,2,4
25,1,9:10.0,J. Wall makes 2-pt jump shot from 15 ft,,4,4
26,1,8:55.0,,H. Barnes makes 2-pt jump shot from 18 ft (assist by D. Williams),4,6
27,1,8:41.0,M. Morris makes 2-pt layup from 1 ft (assist by J. Wall),,6,6
28,1,8:27.0,,D. Nowitzki misses 2-pt jump shot from 20 ft,6,6
29,1,8:26.0,Defensive rebound by B. Beal,,6,6
30,1,8:20.0,B. Beal makes 2-pt layup from 2 ft,,8,6
31,1,8:09.0,,W. Matthews makes 2-pt jump shot from 2 ft,8,8
32,1,7:39.0,Turnover by Team (shot clock),,8,8
33,1,7:24.0,,D. Williams makes 3-pt jump shot from 24 ft (assist by H. Barnes),8,11
34,1,7:00.0,Personal foul by D. Williams (drawn by J. Wall),,8,11
35,1,7:00.0,,A. Bogut enters the game for D. Nowitzki,8,11
36,1,6:51.0,Shooting foul by D. Finney-Smith (drawn by M. Gortat),,8,11
37,1,6:51.0,M. Gortat makes free throw 1 of 2,,9,11
38,1,6:51.0,M. Gortat makes free throw 2 of 2,,10,11
39,1,6:27.0,,Turnover by Team (shot clock),10,11
40,1,6:15.0,M. Morris makes 3-pt jump shot from 23 ft (assist by B. Beal),,13,11
41,1,6:05.0,,D. Williams makes 3-pt jump shot from 24 ft,13,14
42,1,5:53.0,O. Porter makes 3-pt jump shot from 23 ft (assist by J. Wall),,16,14
43,1,5:52.0,,Dallas full timeout,16,14
44,1,5:43.0,,D. Williams makes 2-pt layup from 1 ft (assist by A. Bogut),16,16
45,1,5:29.0,B. Beal makes 3-pt jump shot from 24 ft (assist by M. Gortat),,19,16
46,1,5:15.0,,W. Matthews misses 3-pt jump shot from 24 ft,19,16
47,1,5:14.0,Defensive rebound by M. Morris,,19,16
48,1,4:56.0,B. Beal misses 2-pt jump shot from 23 ft,,19,16
49,1,4:55.0,,Defensive rebound by D. Williams,19,16
50,1,4:48.0,,Shooting foul by B. Beal (drawn by H. Barnes),19,16
51,1,4:48.0,,H. Barnes makes free throw 1 of 2,19,17
52,1,4:48.0,,D. Harris enters the game for D. Williams,19,17
53,1,4:48.0,,S. Curry enters the game for D. Finney-Smith,19,17
54,1,4:48.0,K. Oubre enters the game for M. Morris,,19,17
55,1,4:48.0,,H. Barnes makes free throw 2 of 2,19,18
56,1,4:38.0,B. Beal misses 3-pt jump shot from 25 ft,,19,18
57,1,4:37.0,,Defensive rebound by H. Barnes,19,18
58,1,4:19.0,,Turnover by A. Bogut (bad pass; steal by O. Porter),19,18
59,1,4:17.0,B. Beal makes 2-pt dunk from 1 ft (assist by O. Porter),,21,18
60,1,3:52.0,,A. Bogut misses 2-pt jump shot from 13 ft,21,18
61,1,3:51.0,,Offensive rebound by Team,21,18
62,1,3:51.0,,Turnover by Team (shot clock),21,18
63,1,3:43.0,O. Porter makes 3-pt jump shot from 26 ft (assist by J. Wall),,24,18
64,1,3:41.0,,Dallas full timeout,24,18
65,1,3:41.0,M. Thornton enters the game for B. Beal,,24,18
66,1,3:22.0,,D. Harris misses 3-pt jump shot from 22 ft,24,18
67,1,3:22.0,Defensive rebound by J. Wall,,24,18
68,1,3:14.0,O. Porter misses 3-pt jump shot from 25 ft,,24,18
69,1,3:14.0,,Defensive rebound by W. Matthews,24,18
70,1,3:04.0,,S. Curry misses 3-pt jump shot from 23 ft,24,18
71,1,3:02.0,Defensive rebound by J. Wall,,24,18
72,1,2:55.0,O. Porter misses 2-pt layup from 1 ft (block by A. Bogut),,24,18
73,1,2:54.0,,Defensive rebound by S. Curry,24,18
74,1,2:48.0,,D. Harris misses 3-pt jump shot from 25 ft,24,18
75,1,2:48.0,Defensive rebound by J. Wall,,24,18
76,1,2:32.0,Offensive foul by M. Gortat (drawn by D. Harris),,24,18
77,1,2:32.0,Turnover by M. Gortat (offensive foul),,24,18
78,1,2:32.0,Washington full timeout,,24,18
79,1,2:32.0,,D. Powell enters the game for H. Barnes,24,18
80,1,2:32.0,S. Mac enters the game for O. Porter,,24,18
81,1,2:14.0,,W. Matthews makes 2-pt hook shot from 5 ft,24,20
82,1,1:57.0,K. Oubre makes 2-pt layup from 1 ft,,26,20
83,1,1:33.0,,W. Matthews misses 2-pt jump shot from 16 ft,26,20
84,1,1:32.0,Defensive rebound by M. Gortat,,26,20
85,1,1:25.0,J. Wall misses 2-pt jump shot from 18 ft,,26,20
86,1,1:24.0,,Defensive rebound by A. Bogut,26,20
87,1,1:09.0,,W. Matthews makes 3-pt jump shot from 25 ft (assist by A. Bogut),26,23
88,1,0:50.0,S. Mac misses 3-pt jump shot from 23 ft,,26,23
89,1,0:50.0,,Defensive rebound by D. Harris,26,23
90,1,0:34.0,,D. Harris makes 3-pt jump shot from 24 ft,26,26
91,1,0:25.0,Turnover by J. Wall (lost ball; steal by D. Powell),,26,26
92,1,0:08.0,,D. Harris makes 2-pt jump shot from 23 ft,26,28
93,1,0:01.0,Shooting foul by A. Bogut (drawn by J. Wall),,26,28
94,1,0:01.0,J. Wall makes 2-pt jump shot from 5 ft,,28,28
95,1,0:01.0,J. Wall makes free throw 1 of 1,,29,28
96,2,11:48.0,,D. Williams misses 2-pt jump shot from 17 ft,29,28
97,2,11:47.0,,Offensive rebound by Team,29,28
98,2,11:35.0,,D. Nowitzki misses 3-pt jump shot from 25 ft,29,28
99,2,11:34.0,Defensive rebound by M. Gortat,,29,28
100,2,11:21.0,M. Gortat makes 2-pt layup from 1 ft (assist by T. Burke),,31,28
101,2,11:08.0,,Shooting foul by M. Thornton (drawn by D. Nowitzki),31,28
102,2,11:08.0,,D. Nowitzki makes free throw 1 of 2,31,29
103,2,11:08.0,J. Smith enters the game for M. Gortat,,31,29
104,2,11:08.0,,D. Nowitzki makes free throw 2 of 2,31,30
105,2,10:59.0,K. Oubre makes 3-pt jump shot from 24 ft (assist by T. Burke),,34,30
106,2,10:42.0,,S. Curry makes 3-pt jump shot from 24 ft (assist by D. Williams),34,33
107,2,10:20.0,J. Smith makes 2-pt jump shot from 20 ft (assist by T. Burke),,36,33
108,2,10:00.0,,D. Nowitzki makes 2-pt jump shot from 13 ft (assist by D. Powell),36,35
109,2,9:50.0,T. Burke misses 2-pt jump shot from 18 ft,,36,35
110,2,9:49.0,,Defensive rebound by D. Powell,36,35
111,2,9:37.0,,D. Nowitzki misses 2-pt layup from 3 ft,36,35
112,2,9:35.0,Defensive rebound by S. Mac,,36,35
113,2,9:31.0,Turnover by M. Thornton (offensive foul),,36,35
114,2,9:31.0,,Offensive charge foul by M. Thornton (drawn by J. Anderson),36,35
115,2,9:31.0,M. Morris enters the game for S. Mac,,36,35
116,2,9:19.0,,Personal foul by M. Thornton (drawn by D. Williams),36,35
117,2,9:19.0,B. Beal enters the game for M. Thornton,,36,35
118,2,9:16.0,,Turnover by D. Williams (bad pass),36,35
119,2,8:59.0,,Offensive charge foul by J. Smith (drawn by D. Powell),36,35
120,2,8:59.0,Turnover by J. Smith (offensive foul),,36,35
121,2,8:59.0,Official timeout,,36,35
122,2,8:59.0,,D. Harris enters the game for S. Curry,36,35
123,2,8:36.0,,D. Powell misses 2-pt layup from 2 ft (block by J. Smith),36,35
124,2,8:35.0,Defensive rebound by J. Smith,,36,35
125,2,8:27.0,T. Burke misses 3-pt jump shot from 25 ft,,36,35
126,2,8:26.0,,Defensive rebound by J. Anderson,36,35
127,2,8:12.0,,D. Nowitzki makes 2-pt jump shot from 13 ft,36,37
128,2,7:57.0,B. Beal misses 2-pt jump shot from 17 ft,,36,37
129,2,7:56.0,,Defensive rebound by D. Harris,36,37
130,2,7:50.0,,D. Harris makes 2-pt layup from 1 ft,36,39
131,2,7:50.0,,Shooting block foul by B. Beal (drawn by D. Harris),36,39
132,2,7:50.0,,D. Harris makes free throw 1 of 1,36,40
133,2,7:39.0,B. Beal misses 3-pt jump shot from 24 ft,,36,40
134,2,7:38.0,,Defensive rebound by J. Anderson,36,40
135,2,7:34.0,,D. Harris misses 2-pt layup from 2 ft (block by J. Smith),36,40
136,2,7:32.0,Defensive rebound by B. Beal,,36,40
137,2,7:27.0,K. Oubre makes 3-pt jump shot from 23 ft (assist by T. Burke),,39,40
138,2,7:07.0,,D. Powell makes 2-pt jump shot from 2 ft (assist by D. Williams),39,42
139,2,7:07.0,,Shooting foul by M. Morris (drawn by D. Powell),39,42
140,2,7:07.0,J. Wall enters the game for T. Burke,,39,42
141,2,7:07.0,,W. Matthews enters the game for D. Nowitzki,39,42
142,2,7:07.0,,A. Bogut enters the game for J. Anderson,39,42
143,2,7:07.0,,S. Curry enters the game for D. Williams,39,42
144,2,7:07.0,,D. Powell makes free throw 1 of 1,39,43
145,2,6:58.0,Turnover by J. Wall (bad pass; steal by S. Curry),,39,43
146,2,6:36.0,,D. Harris misses 3-pt jump shot from 26 ft,39,43
147,2,6:35.0,,Offensive rebound by D. Powell,39,43
148,2,6:35.0,Loose ball foul by M. Morris (drawn by D. Powell),,39,43
149,2,6:35.0,,D. Powell makes free throw 1 of 2,39,44
150,2,6:35.0,,P. Jackson enters the game for D. Harris,39,44
151,2,6:35.0,,D. Powell makes free throw 2 of 2,39,45
152,2,6:29.0,Personal take foul by P. Jackson (drawn by J. Wall),,39,45
153,2,6:29.0,,H. Barnes enters the game for D. Powell,39,45
154,2,6:19.0,J. Smith misses 2-pt jump shot from 18 ft,,39,45
155,2,6:18.0,,Defensive rebound by A. Bogut,39,45
156,2,6:09.0,,Shooting foul by K. Oubre (drawn by P. Jackson),39,45
157,2,6:09.0,,P. Jackson makes free throw 1 of 2,39,46
158,2,6:09.0,Washington full timeout,,39,46
159,2,6:09.0,M. Gortat enters the game for J. Smith,,39,46
160,2,6:09.0,O. Porter enters the game for K. Oubre,,39,46
161,2,6:09.0,,P. Jackson makes free throw 2 of 2,39,47
162,2,5:55.0,M. Gortat makes 2-pt layup from 1 ft (assist by B. Beal),,41,47
163,2,5:39.0,,P. Jackson misses 2-pt jump shot from 17 ft (block by J. Wall),41,47
164,2,5:38.0,Defensive rebound by J. Wall,,41,47
165,2,5:31.0,B. Beal misses 3-pt jump shot from 25 ft,,41,47
166,2,5:30.0,,Defensive rebound by W. Matthews,41,47
167,2,5:26.0,,S. Curry makes 3-pt jump shot from 24 ft (assist by W. Matthews),41,50
168,2,5:01.0,O. Porter makes 2-pt jump shot from 21 ft (assist by M. Gortat),,43,50
169,2,4:43.0,,H. Barnes makes 2-pt layup from 1 ft,43,52
170,2,4:34.0,O. Porter misses 2-pt jump shot from 10 ft,,43,52
171,2,4:33.0,,Defensive rebound by S. Curry,43,52
