,QUARTER,TIME_REMAINING,INDIANA_ACTION,LA CLIPPERS_ACTION,INDIANA_SCORE,LA CLIPPERS_SCORE
0,1,11:45.0,,D. Jordan makes 2-pt dunk at rim (assist by C. Paul),0,2
1,1,11:26.0,Turnover by M. Turner (lost ball),,0,2
2,1,11:13.0,,Def 3 sec tech foul by M. Turner,0,2
3,1,11:13.0,,C. Paul makes technical free throw,0,3
4,1,10:58.0,,J. Redick makes 3-pt jump shot from 25 ft (assist by B. Griffin),0,6
5,1,10:44.0,J. Teague misses 2-pt jump shot from 4 ft,,0,6
6,1,10:41.0,,Defensive rebound by B. Griffin,0,6
7,1,10:37.0,,B. Griffin misses 2-pt layup from 1 ft (block by M. Turner),0,6
8,1,10:34.0,Defensive rebound by T. Young,,0,6
9,1,10:31.0,T. Young misses 2-pt layup from 1 ft (block by D. Jordan),,0,6
10,1,10:28.0,Offensive rebound by T. Young,,0,6
11,1,10:21.0,T. Young misses 2-pt jump shot from 11 ft,,0,6
12,1,10:18.0,,Defensive rebound by C. Paul,0,6
13,1,10:10.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by C. Paul),0,9
14,1,9:53.0,P. George misses 2-pt jump shot from 13 ft (block by L. Mbah a Moute),,0,9
15,1,9:51.0,,Defensive rebound by D. Jordan,0,9
16,1,9:40.0,,J. Redick misses 3-pt jump shot from 25 ft,0,9
17,1,9:39.0,Defensive rebound by P. George,,0,9
18,1,9:23.0,M. Ellis misses 2-pt jump shot from 13 ft,,0,9
19,1,9:23.0,,Defensive rebound by Team,0,9
20,1,8:58.0,,L. Mbah a Moute misses 3-pt jump shot from 23 ft,0,9
21,1,8:57.0,,Offensive rebound by D. Jordan,0,9
22,1,8:45.0,,Turnover by C. Paul (bad pass),0,9
23,1,8:32.0,T. Young makes 2-pt hook shot from 5 ft (assist by P. George),,2,9
24,1,8:32.0,Shooting foul by L. Mbah a Moute (drawn by T. Young),,2,9
25,1,8:32.0,T. Young misses free throw 1 of 1,,2,9
26,1,8:31.0,,Defensive rebound by B. Griffin,2,9
27,1,8:18.0,,Shooting foul by T. Young (drawn by B. Griffin),2,9
28,1,8:18.0,,B. Griffin makes free throw 1 of 2,2,10
29,1,8:18.0,,B. Griffin misses free throw 2 of 2,2,10
30,1,8:17.0,Defensive rebound by M. Turner,,2,10
31,1,8:06.0,M. Ellis misses 3-pt jump shot from 24 ft,,2,10
32,1,8:05.0,,Defensive rebound by D. Jordan,2,10
33,1,7:56.0,,J. Redick misses 3-pt jump shot from 25 ft,2,10
34,1,7:55.0,Defensive rebound by T. Young,,2,10
35,1,7:45.0,M. Turner misses 2-pt jump shot from 19 ft,,2,10
36,1,7:44.0,,Defensive rebound by B. Griffin,2,10
37,1,7:39.0,,Turnover by L. Mbah a Moute (step out of bounds),2,10
38,1,7:21.0,M. Turner misses 2-pt jump shot from 10 ft,,2,10
39,1,7:18.0,,Defensive rebound by C. Paul,2,10
40,1,7:15.0,,Turnover by C. Paul (bad pass),2,10
41,1,7:06.0,M. Ellis makes 2-pt layup from 2 ft (assist by P. George),,4,10
42,1,6:46.0,,Turnover by D. Jordan (bad pass; steal by P. George),4,10
43,1,6:43.0,M. Ellis makes 2-pt layup from 1 ft,,6,10
44,1,6:26.0,,Turnover by C. Paul (bad pass),6,10
45,1,6:15.0,P. George misses 2-pt jump shot from 15 ft,,6,10
46,1,6:11.0,,Defensive rebound by B. Griffin,6,10
47,1,5:56.0,,J. Redick makes 3-pt jump shot from 25 ft (assist by B. Griffin),6,13
48,1,5:41.0,M. Turner makes 2-pt jump shot from 20 ft (assist by M. Ellis),,8,13
49,1,5:30.0,,L. Mbah a Moute makes 3-pt jump shot from 24 ft (assist by B. Griffin),8,16
50,1,5:23.0,Indiana full timeout,,8,16
51,1,5:23.0,A. Jefferson enters the game for M. Turner,,8,16
52,1,5:09.0,T. Young misses 2-pt layup from 2 ft,,8,16
53,1,5:08.0,,Defensive rebound by D. Jordan,8,16
54,1,5:02.0,,L. Mbah a Moute misses 2-pt layup from 1 ft,8,16
55,1,5:02.0,,Offensive rebound by L. Mbah a Moute,8,16
56,1,5:00.0,,L. Mbah a Moute makes 2-pt layup from 1 ft,8,18
57,1,4:52.0,P. George misses 2-pt jump shot from 16 ft,,8,18
58,1,4:50.0,,Defensive rebound by B. Griffin,8,18
59,1,4:28.0,,C. Paul misses 3-pt jump shot from 27 ft,8,18
60,1,4:27.0,Defensive rebound by A. Jefferson,,8,18
61,1,4:10.0,A. Jefferson misses 2-pt hook shot from 13 ft,,8,18
62,1,4:07.0,,Defensive rebound by D. Jordan,8,18
63,1,4:05.0,,Shooting foul by J. Teague (drawn by C. Paul),8,18
64,1,4:05.0,,C. Paul makes free throw 1 of 2,8,19
65,1,4:05.0,,C. Paul misses free throw 2 of 2,8,19
