,QUARTER,TIME_REMAINING,MIAMI_ACTION,SACRAMENTO_ACTION,MIAMI_SCORE,SACRAMENTO_SCORE
0,1,11:44.0,,Personal foul by L. Babbitt (drawn by K. Koufos),0,0
1,1,11:35.0,,D. Cousins makes 2-pt layup from 2 ft (assist by M. Barnes),0,2
2,1,11:13.0,Personal foul by M. Barnes (drawn by W. Reed),,0,2
3,1,11:01.0,W. Reed misses 2-pt jump shot from 6 ft (block by K. Koufos),,0,2
4,1,10:59.0,,Defensive rebound by D. Cousins,0,2
5,1,10:52.0,,D. Collison makes 3-pt jump shot from 24 ft (assist by M. Barnes),0,5
6,1,10:37.0,G. Dragić misses 2-pt jump shot from 8 ft,,0,5
7,1,10:36.0,,Defensive rebound by M. Barnes,0,5
8,1,10:20.0,,D. Cousins misses 3-pt jump shot from 24 ft,0,5
9,1,10:19.0,Defensive rebound by R. McGruder,,0,5
10,1,10:06.0,R. McGruder misses 3-pt jump shot from 25 ft,,0,5
11,1,10:06.0,,Defensive rebound by D. Collison,0,5
12,1,9:59.0,,B. McLemore misses 3-pt jump shot from 23 ft,0,5
13,1,9:59.0,Defensive rebound by J. Richardson,,0,5
14,1,9:47.0,L. Babbitt makes 3-pt jump shot from 25 ft (assist by J. Richardson),,3,5
15,1,9:25.0,,D. Cousins misses 2-pt jump shot from 18 ft,3,5
16,1,9:24.0,Defensive rebound by L. Babbitt,,3,5
17,1,9:09.0,Turnover by L. Babbitt (bad pass; steal by D. Cousins),,3,5
18,1,8:54.0,,Personal foul by L. Babbitt (drawn by K. Koufos),3,5
19,1,8:54.0,J. Johnson enters the game for L. Babbitt,,3,5
20,1,8:42.0,,D. Collison misses 2-pt layup from 4 ft (block by J. Johnson),3,5
21,1,8:41.0,Defensive rebound by J. Richardson,,3,5
22,1,8:38.0,G. Dragić makes 2-pt layup from 2 ft (assist by J. Richardson),,5,5
23,1,8:21.0,,B. McLemore misses 2-pt jump shot from 10 ft,5,5
24,1,8:20.0,Defensive rebound by W. Reed,,5,5
25,1,8:12.0,J. Richardson makes 3-pt jump shot from 24 ft (assist by J. Johnson),,8,5
26,1,7:58.0,,Personal foul by W. Reed (drawn by D. Cousins),8,5
27,1,7:43.0,,Turnover by Team (shot clock),8,5
28,1,7:30.0,R. McGruder makes 2-pt jump shot from 22 ft (assist by J. Johnson),,10,5
29,1,7:07.0,,M. Barnes makes 3-pt jump shot from 23 ft (assist by D. Collison),10,8
30,1,6:45.0,J. Johnson makes 3-pt jump shot from 25 ft (assist by G. Dragić),,13,8
31,1,6:31.0,,B. McLemore misses 2-pt jump shot from 12 ft,13,8
32,1,6:30.0,Defensive rebound by R. McGruder,,13,8
33,1,6:22.0,G. Dragić misses 3-pt jump shot from 25 ft,,13,8
34,1,6:22.0,Offensive rebound by J. Johnson,,13,8
35,1,6:22.0,Personal foul by D. Collison (drawn by J. Johnson),,13,8
36,1,6:22.0,,A. Tolliver enters the game for K. Koufos,13,8
37,1,6:14.0,J. Richardson makes 2-pt jump shot from 20 ft (assist by G. Dragić),,15,8
38,1,6:09.0,,Sacramento full timeout,15,8
39,1,6:09.0,,G. Temple enters the game for B. McLemore,15,8
40,1,6:01.0,,Personal foul by J. Johnson (drawn by D. Cousins),15,8
41,1,5:52.0,,A. Tolliver makes 3-pt jump shot from 24 ft (assist by G. Temple),15,11
42,1,5:35.0,R. McGruder misses 3-pt jump shot from 25 ft,,15,11
43,1,5:34.0,,Defensive rebound by D. Cousins,15,11
44,1,5:23.0,,M. Barnes misses 3-pt jump shot from 24 ft,15,11
45,1,5:22.0,Defensive rebound by J. Johnson,,15,11
46,1,5:14.0,Shooting foul by D. Cousins (drawn by J. Johnson),,15,11
47,1,5:14.0,J. Johnson makes free throw 1 of 2,,16,11
48,1,5:14.0,T. Johnson enters the game for G. Dragić,,16,11
49,1,5:14.0,J. Johnson makes free throw 2 of 2,,17,11
50,1,4:54.0,,G. Temple makes 2-pt jump shot from 9 ft (assist by D. Cousins),17,13
51,1,4:45.0,Personal foul by A. Tolliver (drawn by J. Johnson),,17,13
52,1,4:45.0,,A. Afflalo enters the game for M. Barnes,17,13
53,1,4:38.0,J. Richardson makes 2-pt jump shot from 8 ft (assist by T. Johnson),,19,13
54,1,4:23.0,,A. Tolliver makes 2-pt jump shot from 7 ft (assist by G. Temple),19,15
55,1,4:22.0,Miami full timeout,,19,15
56,1,4:12.0,Offensive foul by W. Reed (drawn by G. Temple),,19,15
57,1,4:12.0,Turnover by W. Reed (offensive foul),,19,15
58,1,4:12.0,W. Ellington enters the game for W. Reed,,19,15
59,1,4:00.0,,Turnover by A. Afflalo (lost ball; steal by R. McGruder),19,15
60,1,3:55.0,J. Johnson makes 2-pt jump shot from 9 ft,,21,15
61,1,3:35.0,,D. Cousins makes 2-pt jump shot from 8 ft,21,17
62,1,3:19.0,T. Johnson makes 2-pt jump shot from 23 ft (assist by J. Johnson),,23,17
63,1,2:57.0,,D. Cousins misses 3-pt jump shot from 25 ft,23,17
64,1,2:57.0,Defensive rebound by J. Richardson,,23,17
65,1,2:49.0,R. McGruder misses 3-pt jump shot from 23 ft,,23,17
66,1,2:48.0,Offensive rebound by J. Johnson,,23,17
67,1,2:48.0,J. Johnson misses 2-pt layup from 3 ft,,23,17
68,1,2:47.0,,Defensive rebound by D. Cousins,23,17
69,1,2:37.0,,Turnover by D. Collison (bad pass; steal by W. Ellington),23,17
70,1,2:23.0,W. Ellington makes 3-pt jump shot from 25 ft (assist by J. Johnson),,26,17
71,1,2:08.0,,Personal foul by J. Johnson (drawn by D. Cousins),26,17
72,1,2:08.0,,D. Cousins makes free throw 1 of 2,26,18
73,1,2:08.0,,D. Cousins misses free throw 2 of 2,26,18
74,1,2:08.0,D. Waiters enters the game for J. Johnson,,26,18
75,1,2:08.0,U. Haslem enters the game for R. McGruder,,26,18
76,1,2:08.0,,T. Lawson enters the game for D. Collison,26,18
77,1,2:06.0,Defensive rebound by J. Richardson,,26,18
78,1,1:58.0,Personal foul by G. Temple (drawn by U. Haslem),,26,18
79,1,1:58.0,U. Haslem misses free throw 1 of 2,,26,18
80,1,1:58.0,Offensive rebound by Team,,26,18
81,1,1:58.0,,W. Cauley-Stein enters the game for D. Cousins,26,18
82,1,1:58.0,U. Haslem makes free throw 2 of 2,,27,18
83,1,1:48.0,,G. Temple misses 3-pt jump shot from 24 ft,27,18
84,1,1:47.0,Defensive rebound by D. Waiters,,27,18
85,1,1:42.0,Turnover by D. Waiters (bad pass),,27,18
86,1,1:28.0,,A. Afflalo makes 2-pt jump shot from 14 ft,27,20
87,1,1:19.0,D. Waiters makes 2-pt layup from 3 ft,,29,20
88,1,1:08.0,,Shooting foul by D. Waiters (drawn by A. Afflalo),29,20
89,1,1:08.0,,A. Afflalo makes free throw 1 of 2,29,21
90,1,1:08.0,,A. Afflalo makes free throw 2 of 2,29,22
91,1,0:45.0,J. Richardson misses 3-pt jump shot from 25 ft,,29,22
