,QUARTER,TIME_REMAINING,PORTLAND_ACTION,MINNESOTA_ACTION,PORTLAND_SCORE,MINNESOTA_SCORE
0,1,11:40.0,,K. Towns makes 2-pt layup from 1 ft (assist by G. Dieng),0,2
1,1,11:23.0,M. Leonard misses 2-pt jump shot from 19 ft,,0,2
2,1,11:22.0,Offensive rebound by M. Harkless,,0,2
3,1,11:11.0,N. Vonleh makes 2-pt dunk at rim (assist by M. Leonard),,2,2
4,1,10:54.0,,K. Towns misses 2-pt jump shot from 18 ft,2,2
5,1,10:53.0,Defensive rebound by D. Lillard,,2,2
6,1,10:43.0,M. Harkless makes 3-pt jump shot from 25 ft (assist by M. Leonard),,5,2
7,1,10:27.0,,K. Towns makes 2-pt hook shot from 6 ft (assist by B. Rush),5,4
8,1,10:08.0,N. Vonleh misses 2-pt jump shot from 4 ft (block by G. Dieng),,5,4
9,1,10:06.0,,Defensive rebound by R. Rubio,5,4
10,1,10:00.0,,Shooting foul by D. Lillard (drawn by R. Rubio),5,4
11,1,10:00.0,,R. Rubio makes free throw 1 of 2,5,5
12,1,10:00.0,,R. Rubio misses free throw 2 of 2,5,5
13,1,9:59.0,Defensive rebound by N. Vonleh,,5,5
14,1,9:44.0,M. Harkless makes 2-pt jump shot from 4 ft,,7,5
15,1,9:26.0,,A. Wiggins misses 2-pt layup from 1 ft (block by N. Vonleh),7,5
16,1,9:25.0,,Offensive rebound by Team,7,5
17,1,9:20.0,,B. Rush misses 2-pt layup at rim,7,5
18,1,9:19.0,Defensive rebound by M. Leonard,,7,5
19,1,9:12.0,,Violation by G. Dieng (kicked ball),7,5
20,1,8:54.0,M. Leonard misses 2-pt jump shot from 6 ft,,7,5
21,1,8:53.0,,Defensive rebound by K. Towns,7,5
22,1,8:42.0,,K. Towns makes 2-pt jump shot from 15 ft (assist by R. Rubio),7,7
23,1,8:22.0,C. McCollum misses 3-pt jump shot from 25 ft,,7,7
24,1,8:21.0,,Defensive rebound by Team,7,7
25,1,8:08.0,,A. Wiggins makes 2-pt jump shot from 20 ft (assist by R. Rubio),7,9
26,1,7:55.0,Shooting foul by R. Rubio (drawn by D. Lillard),,7,9
27,1,7:55.0,D. Lillard misses free throw 1 of 3,,7,9
28,1,7:55.0,Offensive rebound by Team,,7,9
