,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,INDIANA_ACTION,OKLAHOMA CITY_SCORE,INDIANA_SCORE
0,1,11:42.0,,P. George makes 3-pt jump shot from 26 ft (assist by J. Teague),0,3
1,1,11:28.0,V. Oladipo misses 3-pt jump shot from 26 ft,,0,3
2,1,11:28.0,,Defensive rebound by Team,0,3
3,1,11:14.0,,L. Allen misses 2-pt layup from 2 ft (block by R. Westbrook),0,3
4,1,11:14.0,Defensive rebound by A. Roberson,,0,3
5,1,11:08.0,V. Oladipo misses 2-pt jump shot from 16 ft,,0,3
6,1,11:07.0,,Defensive rebound by L. Allen,0,3
7,1,11:01.0,,M. Turner misses 3-pt jump shot from 26 ft,0,3
8,1,10:59.0,,Offensive rebound by P. George,0,3
9,1,10:49.0,,J. Teague misses 3-pt jump shot from 26 ft,0,3
10,1,10:49.0,,Offensive rebound by Team,0,3
11,1,10:42.0,,C. Miles makes 2-pt jump shot from 19 ft (assist by P. George),0,5
12,1,10:25.0,S. Adams makes 2-pt layup from 1 ft,,2,5
13,1,10:08.0,,Shooting foul by D. Sabonis (drawn by M. Turner),2,5
14,1,10:08.0,,M. Turner makes free throw 1 of 2,2,6
15,1,10:08.0,,M. Turner misses free throw 2 of 2,2,6
16,1,10:08.0,Defensive rebound by R. Westbrook,,2,6
17,1,10:03.0,Shooting foul by C. Miles (drawn by A. Roberson),,2,6
18,1,10:03.0,A. Roberson misses free throw 1 of 2,,2,6
19,1,10:03.0,Offensive rebound by Team,,2,6
20,1,10:03.0,A. Roberson makes free throw 2 of 2,,3,6
21,1,9:54.0,,Turnover by P. George (lost ball),3,6
22,1,9:37.0,S. Adams makes 2-pt dunk from 2 ft (assist by D. Sabonis),,5,6
23,1,9:14.0,,P. George misses 3-pt jump shot from 26 ft,5,6
24,1,9:14.0,Defensive rebound by R. Westbrook,,5,6
25,1,9:04.0,R. Westbrook makes 2-pt jump shot from 16 ft,,7,6
26,1,8:47.0,,Turnover by P. George (bad pass),7,6
27,1,8:41.0,V. Oladipo makes 2-pt layup from 1 ft (assist by R. Westbrook),,9,6
28,1,8:28.0,,C. Miles misses 3-pt jump shot from 24 ft,9,6
29,1,8:27.0,,Offensive rebound by M. Turner,9,6
30,1,8:23.0,,M. Turner misses 2-pt jump shot from 17 ft,9,6
31,1,8:21.0,Defensive rebound by V. Oladipo,,9,6
32,1,8:12.0,R. Westbrook misses 2-pt jump shot from 15 ft,,9,6
33,1,8:12.0,,Defensive rebound by L. Allen,9,6
34,1,8:02.0,,J. Teague misses 2-pt jump shot from 4 ft,9,6
35,1,8:01.0,,Offensive rebound by L. Allen,9,6
36,1,8:01.0,,L. Allen makes 2-pt dunk at rim,9,8
37,1,7:34.0,R. Westbrook makes 2-pt jump shot from 13 ft (assist by S. Adams),,11,8
38,1,7:21.0,,J. Teague misses 2-pt layup from 3 ft,11,8
39,1,7:20.0,Defensive rebound by R. Westbrook,,11,8
40,1,7:13.0,V. Oladipo misses 2-pt dunk at rim,,11,8
41,1,7:13.0,,Defensive rebound by P. George,11,8
42,1,7:03.0,,J. Teague makes 3-pt jump shot from 24 ft (assist by M. Turner),11,11
43,1,6:48.0,V. Oladipo misses 2-pt layup from 2 ft (block by M. Turner),,11,11
44,1,6:47.0,Offensive rebound by D. Sabonis,,11,11
45,1,6:37.0,S. Adams misses 2-pt hook shot from 6 ft,,11,11
46,1,6:36.0,,Defensive rebound by M. Turner,11,11
47,1,6:25.0,,Turnover by P. George (bad pass),11,11
48,1,6:25.0,Oklahoma City full timeout,,11,11
49,1,6:25.0,A. Morrow enters the game for V. Oladipo,,11,11
50,1,6:11.0,S. Adams makes 2-pt layup from 2 ft,,13,11
51,1,5:55.0,,C. Miles misses 3-pt jump shot from 26 ft,13,11
52,1,5:53.0,Defensive rebound by S. Adams,,13,11
53,1,5:46.0,R. Westbrook misses 2-pt jump shot from 16 ft,,13,11
54,1,5:46.0,Offensive rebound by S. Adams,,13,11
55,1,5:46.0,,Loose ball foul by P. George (drawn by S. Adams),13,11
56,1,5:37.0,Shooting foul by M. Turner (drawn by R. Westbrook),,13,11
57,1,5:37.0,R. Westbrook makes free throw 1 of 2,,14,11
58,1,5:37.0,R. Westbrook makes free throw 2 of 2,,15,11
59,1,5:23.0,,L. Allen misses 2-pt layup from 3 ft (block by R. Westbrook),15,11
60,1,5:22.0,,Offensive rebound by L. Allen,15,11
