,QUARTER,TIME_REMAINING,NEW YORK_ACTION,GOLDEN STATE_ACTION,NEW YORK_SCORE,GOLDEN STATE_SCORE
0,1,11:44.0,L. Thomas makes 2-pt jump shot from 20 ft (assist by J. Noah),,2,0
1,1,11:27.0,,D. Green misses 3-pt jump shot from 26 ft,2,0
2,1,11:26.0,Defensive rebound by B. Jennings,,2,0
3,1,11:08.0,C. Lee misses 2-pt jump shot from 11 ft,,2,0
4,1,11:07.0,Offensive rebound by J. Noah,,2,0
5,1,11:07.0,J. Noah misses 2-pt layup from 1 ft,,2,0
6,1,11:05.0,,Defensive rebound by K. Durant,2,0
7,1,10:57.0,,K. Thompson misses 3-pt jump shot from 23 ft,2,0
8,1,10:57.0,Defensive rebound by B. Jennings,,2,0
9,1,10:43.0,B. Jennings misses 2-pt jump shot from 21 ft,,2,0
10,1,10:43.0,,Defensive rebound by K. Durant,2,0
11,1,10:37.0,,K. Durant misses 2-pt layup at rim,2,0
12,1,10:37.0,Defensive rebound by J. Noah,,2,0
13,1,10:28.0,K. Porziņģis misses 2-pt jump shot from 18 ft,,2,0
14,1,10:28.0,Offensive rebound by J. Noah,,2,0
15,1,10:23.0,L. Thomas misses 3-pt jump shot from 28 ft,,2,0
16,1,10:23.0,Offensive rebound by J. Noah,,2,0
17,1,10:22.0,J. Noah misses 2-pt layup from 2 ft,,2,0
18,1,10:20.0,,Defensive rebound by D. Green,2,0
19,1,10:13.0,,S. Curry misses 3-pt jump shot from 28 ft,2,0
20,1,10:12.0,,Offensive rebound by J. McGee,2,0
21,1,10:07.0,,J. McGee misses 2-pt hook shot from 5 ft,2,0
22,1,10:06.0,Defensive rebound by J. Noah,,2,0
23,1,9:58.0,K. Porziņģis misses 3-pt jump shot from 25 ft,,2,0
24,1,9:57.0,,Defensive rebound by D. Green,2,0
25,1,9:51.0,,K. Durant makes 2-pt jump shot from 8 ft (assist by D. Green),2,2
26,1,9:35.0,J. Noah makes 2-pt dunk at rim (assist by C. Lee),,4,2
27,1,9:19.0,,Turnover by K. Thompson (traveling),4,2
28,1,9:07.0,Personal foul by D. Green (drawn by K. Porziņģis),,4,2
29,1,9:00.0,J. Noah misses 2-pt layup from 3 ft,,4,2
30,1,9:00.0,,Defensive rebound by S. Curry,4,2
31,1,8:54.0,,K. Thompson makes 3-pt jump shot from 25 ft (assist by S. Curry),4,5
32,1,8:41.0,K. Porziņģis makes 2-pt jump shot from 14 ft (assist by B. Jennings),,6,5
33,1,8:25.0,,D. Green makes 3-pt jump shot from 26 ft (assist by K. Durant),6,8
34,1,8:09.0,J. Noah misses 2-pt hook shot from 10 ft,,6,8
35,1,8:09.0,,Defensive rebound by K. Durant,6,8
36,1,7:59.0,,D. Green misses 2-pt jump shot from 19 ft,6,8
37,1,7:58.0,Defensive rebound by L. Thomas,,6,8
38,1,7:51.0,B. Jennings misses 2-pt layup from 2 ft,,6,8
39,1,7:51.0,,Defensive rebound by S. Curry,6,8
40,1,7:47.0,,J. McGee misses 2-pt layup at rim (block by J. Noah),6,8
41,1,7:46.0,,Offensive rebound by D. Green,6,8
42,1,7:43.0,,K. Thompson misses 3-pt jump shot from 25 ft,6,8
43,1,7:42.0,Defensive rebound by K. Porziņģis,,6,8
44,1,7:27.0,L. Thomas misses 2-pt jump shot from 17 ft,,6,8
45,1,7:26.0,,Defensive rebound by K. Durant,6,8
46,1,7:20.0,,J. McGee makes 2-pt layup from 1 ft (assist by K. Durant),6,10
47,1,6:50.0,Turnover by Team (shot clock),,6,10
48,1,6:50.0,K. O'Quinn enters the game for J. Noah,,6,10
49,1,6:41.0,,J. McGee makes 2-pt dunk at rim (assist by S. Curry),6,12
50,1,6:41.0,,Shooting foul by K. O'Quinn (drawn by J. McGee),6,12
51,1,6:41.0,,J. McGee misses free throw 1 of 1,6,12
52,1,6:39.0,,Offensive rebound by K. Thompson,6,12
53,1,6:32.0,,Turnover by D. Green (bad pass; steal by K. O'Quinn),6,12
54,1,6:24.0,B. Jennings makes 2-pt jump shot from 6 ft,,8,12
55,1,6:16.0,,Golden State full timeout,8,12
56,1,6:16.0,,A. Iguodala enters the game for K. Durant,8,12
57,1,6:09.0,,S. Curry misses 3-pt jump shot from 27 ft,8,12
58,1,6:08.0,Defensive rebound by B. Jennings,,8,12
59,1,6:04.0,K. O'Quinn makes 2-pt layup from 3 ft (assist by B. Jennings),,10,12
60,1,6:04.0,Shooting foul by A. Iguodala (drawn by K. O'Quinn),,10,12
61,1,6:04.0,K. O'Quinn misses free throw 1 of 1,,10,12
62,1,6:03.0,,Defensive rebound by D. Green,10,12
63,1,5:43.0,,J. McGee makes 2-pt dunk at rim (assist by K. Thompson),10,14
64,1,5:26.0,L. Thomas misses 3-pt jump shot from 25 ft,,10,14
65,1,5:25.0,,Defensive rebound by S. Curry,10,14
66,1,5:12.0,,D. Green misses 2-pt layup from 2 ft,10,14
67,1,5:12.0,Defensive rebound by K. O'Quinn,,10,14
68,1,5:08.0,B. Jennings makes 2-pt layup from 1 ft,,12,14
