,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,PHILADELPHIA_ACTION,SACRAMENTO_SCORE,PHILADELPHIA_SCORE
0,1,11:43.0,G. Temple makes 2-pt layup from 1 ft (assist by D. Cousins),,2,0
1,1,11:29.0,,Turnover by T. McConnell (bad pass; steal by G. Temple),2,0
2,1,11:22.0,Shooting foul by E. İlyasova (drawn by D. Cousins),,2,0
3,1,11:22.0,D. Cousins makes free throw 1 of 2,,3,0
4,1,11:22.0,D. Cousins makes free throw 2 of 2,,4,0
5,1,11:09.0,,Turnover by N. Stauskas (lost ball),4,0
6,1,10:56.0,A. Afflalo misses 2-pt jump shot from 20 ft,,4,0
7,1,10:55.0,Offensive rebound by D. Cousins,,4,0
8,1,10:54.0,D. Cousins makes 2-pt layup from 1 ft,,6,0
9,1,10:41.0,,J. Okafor misses 2-pt jump shot from 9 ft,6,0
10,1,10:40.0,Defensive rebound by A. Afflalo,,6,0
11,1,10:29.0,Turnover by G. Temple (bad pass; steal by E. İlyasova),,6,0
12,1,10:23.0,,E. İlyasova makes 3-pt jump shot from 23 ft (assist by T. McConnell),6,3
13,1,10:00.0,G. Temple misses 2-pt jump shot from 14 ft (block by N. Stauskas),,6,3
14,1,10:00.0,,Defensive rebound by Team,6,3
15,1,9:52.0,,Shooting foul by K. Koufos (drawn by E. İlyasova),6,3
16,1,9:52.0,,E. İlyasova makes free throw 1 of 2,6,4
17,1,9:52.0,,E. İlyasova makes free throw 2 of 2,6,5
18,1,9:43.0,Turnover by D. Cousins (bad pass; steal by R. Covington),,6,5
19,1,9:39.0,,Turnover by R. Covington (dbl dribble),6,5
20,1,9:18.0,D. Cousins makes 2-pt layup from 2 ft,,8,5
21,1,9:09.0,,Turnover by R. Covington (bad pass),8,5
22,1,8:57.0,K. Koufos makes 2-pt hook shot from 8 ft (assist by G. Temple),,10,5
23,1,8:46.0,,T. McConnell misses 2-pt jump shot from 12 ft,10,5
24,1,8:45.0,Defensive rebound by D. Cousins,,10,5
25,1,8:32.0,Shooting foul by E. İlyasova (drawn by D. Cousins),,10,5
26,1,8:32.0,D. Cousins makes free throw 1 of 2,,11,5
27,1,8:32.0,,D. Šarić enters the game for E. İlyasova,11,5
28,1,8:32.0,D. Cousins makes free throw 2 of 2,,12,5
29,1,8:21.0,,R. Covington misses 3-pt jump shot from 23 ft,12,5
30,1,8:20.0,Defensive rebound by D. Cousins,,12,5
31,1,8:02.0,D. Cousins makes 2-pt layup from 1 ft (assist by A. Afflalo),,14,5
32,1,8:01.0,,Philadelphia full timeout,14,5
33,1,7:43.0,,R. Covington misses 3-pt jump shot from 25 ft,14,5
34,1,7:42.0,Defensive rebound by Team,,14,5
35,1,7:31.0,D. Collison misses 2-pt jump shot from 18 ft,,14,5
36,1,7:30.0,,Defensive rebound by D. Šarić,14,5
37,1,7:16.0,,J. Okafor makes 2-pt layup from 2 ft,14,7
38,1,7:03.0,K. Koufos misses 2-pt jump shot from 7 ft,,14,7
39,1,7:02.0,Offensive rebound by Team,,14,7
40,1,7:02.0,,G. Henderson enters the game for R. Covington,14,7
41,1,6:56.0,D. Collison misses 3-pt jump shot from 25 ft,,14,7
42,1,6:55.0,Offensive rebound by D. Cousins,,14,7
43,1,6:53.0,Turnover by D. Cousins (lost ball; steal by N. Stauskas),,14,7
44,1,6:43.0,,J. Okafor makes 2-pt layup from 2 ft (assist by D. Šarić),14,9
45,1,6:23.0,Turnover by G. Temple (lost ball; steal by T. McConnell),,14,9
46,1,6:21.0,,Personal foul by D. Collison,14,9
47,1,6:21.0,,T. Luwawu-Cabarrot enters the game for N. Stauskas,14,9
48,1,6:13.0,,D. Šarić misses 3-pt jump shot from 25 ft,14,9
49,1,6:12.0,Defensive rebound by A. Afflalo,,14,9
50,1,5:48.0,D. Cousins makes 3-pt jump shot from 26 ft (assist by D. Collison),,17,9
51,1,5:39.0,,Turnover by T. McConnell (bad pass),17,9
52,1,5:39.0,,N. Noel enters the game for J. Okafor,17,9
53,1,5:28.0,G. Temple makes 3-pt jump shot from 23 ft (assist by D. Cousins),,20,9
54,1,5:07.0,,N. Noel makes 2-pt layup at rim (assist by D. Šarić),20,11
55,1,4:44.0,K. Koufos makes 2-pt hook shot from 6 ft (assist by D. Cousins),,22,11
56,1,4:31.0,,T. Luwawu-Cabarrot misses 3-pt jump shot from 22 ft,22,11
57,1,4:30.0,Defensive rebound by D. Cousins,,22,11
58,1,4:08.0,D. Cousins makes 2-pt jump shot from 13 ft,,24,11
59,1,3:57.0,,Personal foul by D. Cousins (drawn by G. Henderson),24,11
60,1,3:57.0,,S. Rodríguez enters the game for T. McConnell,24,11
61,1,3:57.0,W. Cauley-Stein enters the game for K. Koufos,,24,11
62,1,3:49.0,,Turnover by T. Luwawu-Cabarrot (lost ball; steal by D. Cousins),24,11
63,1,3:48.0,Turnover by D. Cousins (lost ball),,24,11
64,1,3:38.0,,D. Šarić makes 2-pt jump shot from 19 ft (assist by T. Luwawu-Cabarrot),24,13
65,1,3:26.0,D. Cousins misses 2-pt hook shot from 6 ft,,24,13
66,1,3:25.0,,Defensive rebound by T. Luwawu-Cabarrot,24,13
67,1,3:19.0,,Personal foul by W. Cauley-Stein (drawn by N. Noel),24,13
68,1,3:19.0,T. Lawson enters the game for D. Collison,,24,13
69,1,3:11.0,,Turnover by S. Rodríguez (bad pass; steal by W. Cauley-Stein),24,13
70,1,3:02.0,D. Cousins makes 3-pt jump shot from 25 ft (assist by G. Temple),,27,13
71,1,2:46.0,,G. Henderson makes 2-pt jump shot from 16 ft,27,15
72,1,2:27.0,W. Cauley-Stein makes 2-pt layup from 1 ft (assist by G. Temple),,29,15
73,1,2:15.0,,D. Šarić makes 2-pt layup from 3 ft (assist by T. Luwawu-Cabarrot),29,17
74,1,2:09.0,Sacramento full timeout,,29,17
75,1,2:09.0,M. Barnes enters the game for G. Temple,,29,17
76,1,2:09.0,A. Tolliver enters the game for D. Cousins,,29,17
77,1,2:05.0,Turnover by A. Tolliver (illegal screen),,29,17
78,1,1:50.0,,D. Šarić makes 2-pt layup from 2 ft (assist by G. Henderson),29,19
79,1,1:39.0,Personal foul by D. Šarić (drawn by A. Tolliver),,29,19
80,1,1:26.0,W. Cauley-Stein makes 2-pt hook shot from 7 ft (assist by A. Afflalo),,31,19
81,1,1:14.0,,G. Henderson misses 3-pt jump shot from 25 ft,31,19
82,1,1:13.0,Defensive rebound by W. Cauley-Stein,,31,19
83,1,1:03.0,T. Lawson makes 2-pt layup from 1 ft,,33,19
84,1,0:58.0,,Turnover by T. Luwawu-Cabarrot (traveling),33,19
85,1,0:58.0,M. Richardson enters the game for A. Afflalo,,33,19
86,1,0:42.0,M. Barnes misses 2-pt jump shot from 22 ft,,33,19
87,1,0:41.0,,Defensive rebound by D. Šarić,33,19
88,1,0:32.0,,T. Luwawu-Cabarrot misses 3-pt jump shot from 25 ft,33,19
89,1,0:31.0,,Offensive rebound by D. Šarić,33,19
90,1,0:28.0,,D. Šarić makes 2-pt jump shot from 4 ft,33,21
91,1,0:07.0,W. Cauley-Stein makes 2-pt layup from 2 ft (assist by T. Lawson),,35,21
92,1,0:01.0,,S. Rodríguez misses 3-pt jump shot from 35 ft,35,21
93,1,0:00.0,,Offensive rebound by Team,35,21
